de	of
commettre	commit
résurrection	resurrection
messager	messenger
auquel	to which
colonne	column
appartenait	belonged
circoncis	circumcised
devoir	to have to
davantage	any further
certainement	definitely
transmettre	to transmit
orge	barley
installa	installed
membre	member
endroits	locations
verbe	verb
révèle	revealed
tranquille	calm
verrez	will see
ceinture	belt
monte	mounted
somme	sum
respecte	respect
Cadès	Cades
sable	sand
abattre	tear down
longue	long
espère	hope
recevra	will receive
participer	to participate
ayant	having
évoque	evoked
but	aim
présenta	presented
privé	private
rassembler	bring together
propose	offers
envoyèrent	sent
meilleurs	best
dresser	to draw up
espèce	species
porté	gate
vivait	lived
venez	come
Séir	Seir
petites	small
éfod	efod
bouc	goat
déshonneur	dishonor
interviendrai	will intervene
domaine	domain
cher	dear
signes	signs
voyez	see
rendent	render
prisonnier	prisoner
rejeté	rejected
vraie	true
possède	possesses
pareil	the same
voulez	want
commun	common
ramené	brings back
romain	Roman
irai	will go
convient	agrees
plante	plant
suivants	next
ouvriers	workers
expérience	experience
suffit	enough
défaite	defeat
Mésopotamie	Mesopotamia
redoutable	formidable
forêt	forest
éclat	glow
bénit	bless
rejoindre	rejoin
trésors	treasures
comprenait	included
construisit	built
Guézer	Gezer
numérotés	numbered
purent	could
tentes	tents
trouvera	will find
bateau	boat
entendis	heard
protecteur	protective
lèvres	lips
Michée	Micah
morceau	piece
réponds	answer
sauterelles	grasshoppers
frappé	struck
attentif	attentive
anneaux	rings
pousse	grow
désobéi	disobeyed
invités	guests
remis	handed over
sauf	except
livrés	books
sel	salt
accompagnaient	accompanied
voeu	wish
enfuit	fled
prières	prayers
éternel	eternal
sache	know
erreur	mistake
action	stock
fierté	pride
allé	go
araméen	Aramaic
montra	showed
servi	served
cependant	however
traiter	treat
béni	blessed
accompli	accomplished
défense	defense
merveilles	wonders
emmenèrent	took away
projet	project
rassemblés	gathered
renommée	fame
Tel	Such
courageux	courageous
refusa	refused
couché	lying
considéré	considered
Sour	sour
socles	pedestals
punition	punishment
emporter	carry
lampe	lamp
graisse	fat
donnait	gave
éviter	to avoid
sec	dry
maladie	sickness
condamné	sentenced
touche	touches
offrirez	will offer
vendre	sale
centre	center
quinze	fifteen
tromper	deceive
cornes	horns
lire	read
armées	armies
savent	know
restait	remained
reconnaît	recognize
diront	will say
véritable	true
règle	rule
immoralité	immorality
clairement	clearly
simplement	merely
incapable	unable
puissants	powerful
incapables	incapable
joyeux	joyful
usage	use
resté	rest
choisit	choose
couper	to cut
barres	bars
avions	planes
infidèle	unfaithful
réfugier	refuge
désigné	appointed
Mika	Mike
Aï	Have
signification	meaning
grêle	hail
lèpre	Meadow
Qumrân	Qumran
cache	hidden
réalisé	realized
aviez	had
pensent	think
brisé	broken
rouleau	roll
garçons	boys
divine	Divine
arracher	to tear out
arrivés	arrived
enverrai	will send
intérêt	interest
avertir	to warn
lever	get up
poser	to pose
parfaitement	perfectly
raconte	recount
consacrer	devote
remettre	to put back
jetèrent	threw
delà	of the
hauteur	height
confié	entrusts
trompettes	trumpets
meilleur	better
tirer	pull
élite	elite
ossements	bones
ramener	to bring back
portiers	doormen
générations	generations
soumettre	submit
fournir	provide
emparèrent	seized
imbécile	imbecile
poitrine	chest
relever	raise
bénisse	bless
fardeau	burden
répondra	will answer
figuier	fig tree
proclamez	proclaim
patrie	country
pire	worse
réputation	reputation
avança	advanced
impure	unclean
manifesté	manifest
cherchent	they search
tribunal	court
activité	activity
tint	held
vivres	provisions
voulut	wanted
citerne	tank
soudain	suddenly
ouvrir	open
devinrent	became
Maaka	maaka
Jonas	Jonah
délivré	issued
exigences	requirements
Esdras	Ezra
complainte	lament
ardente	fiery
vide	empty
assit	sitting
trouverez	will find
savait	knew
filet	net
pratiquer	practice
regards	looks
tendre	tender
tache	stain
frappa	knocked
attaché	attached
amena	brought
tourne	turned
venger	revenge
obéissez	obey
honneurs	honors
croyez	believe
voudrais	would like
commet	commits
devenus	become
enseigne	taught
eh	hey
