-Abarīmas	-Abarimas
—tad	—then
—tādā	—such
—tādas	—such
—tādēļ	—therefore
—tādiem	—for such
—tāds	—such
—tādu	—such
—tai	—this
—tajās	—in those
—tanī	—this
—tāpat	—same
—tāpēc	—therefore
—tas	—that
—tās	—those
—tauta	—people
—tautas	—people
—Tava	—Yours
—tavā	—in your
—tavai	—yours
—tavs	—your
—temanietis	—Temanite
—tev	—to you
—tēvs	—father
—tie	—those
—tiem	—those
—tiešām	—really
—tik	—so
—tikai	—only
—tīrums	—cleanliness
—to	—to
—tolaik	—at that time
—tomēr	—however
—topiet	—tobe
—tos	—these
—trīcēs	—will tremble
—Trīs	—Three
—tu	—you
—tūkstoš	—thousand
—tur	—there
—turp	—continued
—ūdeņi	—waters
—un	—and
—uz	—to
—uzklausi	—listen
—uzklausiet	—listen
—vai	—or
—varbūt	—maybe
—varens	—mighty
—varonīgi	—heroically
—viena	—one
—vieni	—one
—viens	—one
—vienu	—one
—vietā	—in place
—viņa	—she
—viņam	—to him
—viņi	—they
—viņiem	—for them
—viņš	—he
—viņu	—their
—viņus	—them
—vīri	—men
—vīru	—husband
—Visa	—Everything
—Visai	—To all
—visas	—all
—visi	—all
—vispār	—in general
—Vispievilcīgāko	—The most attractive
—viss	—everything
—visu	—all
—visus	—all
—zemākais—viens	—the lowest—one
—zemi	—earth
—ziemeļvalsts	—northern country
—ziniet	—know
a	a
Aba	Both
Aba-Tēvs	Aba-Father
Aba—Tēvs	Aba—Father
Abaddons	Abaddon
Abadons	Abaddon
Abagtam	For the rich
Abajs	Abay
Abarima	Abarima
Abarīmā	In Abarima
Ābarīmā	In Abarima
Abarimkalna	Abarimkalna
abas	both
abās	in both
Abba	Abba
Abda	Abda
Abdas	Abdas
Abdēla	Abdel
Abdiēla	Abdiel
Abdija	Obadiah
Abdijs	Abdy
Abdona	Abdon
Abdonam	To Abdon
Abdons	Abdon
Abdonu	Abdon
Abed-Nego	Abednego
Abējas	Abey
abējās	both
abējpušu	bilateral
abēju	both
abējus	both
Abēl-Bet	Abel-Beth
Ābēl-Bēt	Abel-Beth
Abel-Hā-Šitimai	Abel-Hashitimai
Abel-Keramimai	Abel-Keramimai
Abel-Majimu	Abel-Mayimu
Ābel-Majimu	Abel-Mayim
Abel-Meholas	Abel-Meholah
Ābel-Mekolai	Abel-Mekolai
Ābel-Šitimai	Abel-Shittimai
Abelā	In Abel
Ābela	Abel
Ābelā	In Abel
Abela-Bet-ha-Maachā	Abel-Beth-Ha-Maachah
Abela-Bet-Maahā	Abel Beth Maachah
Abelai	For Abel
Abelas-Meholas	Abel-Meholah
ābele	apple tree
ābeles	apple trees
Ābels	Abel
Ābelu	Abel
abi	both
abi—cilvēks	both—human
abi—tiklab	both—as well
Abialbons	Abialbon
Abiāsafs	Abiasaph
Abiatara	Abiathar
Abiba	Abiba
ābība	apathy
Abida	Abida
Abidana	Abidan
Abidans	Abidjan
Abidanu	Abidjan
Abiēla	Abiel
Abiēls	Abiel
abiem	for both
Abiēzera	Abiezer
abiēzeriešu	Abiezer
abiēzeriešus	Abiezerites
abiēzerietim	Abiezer
Abiēzers	Abiezer
Abiēzeru	Abiezer
abiēzrietim	Abiezrian
Abigaila	Abigail
Abigailai	To Abigail
Abigailas	Abigail
Abigailu	Abigail
Abihaila	Abihail
Abihailas	Abihail
Abihuds	Abihud
Abihudu	Abihu
Abija	Abijah
Abijam	Abijah
Abijāma	Abijam
Abijāms	Abijam
Abijāmu	Abijam
Abijas	Abijah
Abijs	Abby
Abiju	Abijah
abildēja	defendant
Abilenē	In Abilene
Abilinē	Abilene
Abimaēlu	Abimael
Abime-lecham	Abime-lecham
Abime-lechu	Abime-lechu
Abimelecha	Abimelech
Abimelecham	Abimelech
Abimelechs	Abimelech
Abimelechu	Abimelech
Abimeleha	Abimelech
Abimeleham	Abimelech
Abimelehs	Abimelech
Abimelehu	Abimelech
Abinadaba	Abinadab
Abinādaba	Abinadab
Abinadabs	Abinadab
Abinadabu	Abinadab
Abinādabu	Abinadab
Abinoāma	Abinoam
Abionāma	Abionam
Abirāma	Abiram
Abirāmam	To Abiram
Abirāms	Abiram
Abirāmu	Abiram
Abišaga	Abishag
Abišagu	Abishagu
Abišaja	Abishai
Abišajam	To Abishai
Abišajs	Abishai
Abisaju	Abishai
Abišua	Abishua
Abišuas	Abishua
Abišujs	Abishui
Abišuju	Abishua
Abišura	Abishur
Abišurs	Abishur
Abitalas	Abitals
Abitubs	Abitub
Abitubu	Abitubu
Abiuds	Abiud
Abiudu	Abiudu
Abjatā-ram	Abiathar-ram
Abjatara	Abiathar
Abjatāra	Abiathar
Abjatāram	Abiathar
Abjatars	Abiathar
Abjatārs	Abiathar
Abjataru	Abiathar
Abjatāru	Abiathar
Abner	Abner
Abnera	Abner
Abneram	Abner
Abners	Abner
Abneru	Abner
ābolā	in the apple
āboli	apples
āboliem	apples
ābolu	apple
ābolus	apples
abos	in both
abpus	on both sides
abpusēji	mutually
abra	abra
Ābra-hāma	Abra-ham
Ābra-hāmam	To Abraham
Ābrā-hamu	Abraham
Abrahām	Abraham
Ābraham	Abraham
Ābrahām	To Abraham
Ābrahama	Abraham
Ābrahāma	Abraham
Ābrahamam	To Abraham
Ābrahāmam	To Abraham
Ābrahams	Abraham
Ābrahāms	Abraham
Ābrahamu	Abraham
Ābrahāmu	Abraham
Ābrāhamu	Abraham
Abrām	To Abram
Ābrām	For the Abras
Abrāma	Abram
Ābrāma	Abram
Abrāmam	To Abram
Ābramam	To Abram
Ābrāmam	To Abram
Abrāms	Abram
Ābrāms	Abram
Abrāmu	Abram
Ābramu	Abram
Ābrāmu	Abram
abras	abras
abrās	in the morning
Abronā	In Abrona
Abronas	Abronas
Absalom	Absalom
Absaloma	Absalom
Absalomam	To Absalom
Absaloms	Absalom
Absalomu	Absalom
Absoloma	Absolom
Absoloms	Absolom
abu	both
abus	both
Acaljas	Azaleas
Acela	Acela
Acelam	Acelam
Acelei	For Ace
Ačelei	Achille
Acels	Axel
ačgārni	backwards
ačgārnības	perversions
Achaika	Achaica
Achaja	Achaia
Achajā	Achaia
Achajas	Achaia
Achaju	Achaia
Achanam	Achan
Achans	Achan
Achanu	Achan
achats	achat
Achbanu	Achbanu
Achbora	Achbor
Achboram	Achboram
Achbors	Achbor
Achija	Achia
Achio	Achio
Achiša	Achish
Achišam	To Achish
Achišs	Achish
Achišu	Achis
Achjans	Achjan
Achjo	Achjo
Achlabā	In Achlabā
Achlaja	Achlaya
Achlajs	Achlay
Achoras	Achor
Achsa	Achsa
Achsiba	Achsiba
Achsibā	In Achsiba
Achsibas	Achsibas
Achuzatu	Achuzatu
Achzaja	Achzaya
aci	eye
acī	in the eye
acij	eye
acim	eye
acīm	eyes
acis	eyes
acīs	in the eyes
acis—	eyes—
acīs—	in the eyes—
Acmonas	Azmona
Acmonu	Atzmon
acs	eye
acu	eye
aculiecinieki	eyewitnesses
aculiecinieku	eyewitness
acumirkli	momentarily
acumirklī	instantly
acurauga	eyeball
acuraugam	eye-catching
acuraugu	eyeball
Ada	Ada
ādā	in the skin
Adada	Needle
ādai	for the skin
Adaid	Adaid
Adaja	Aday
Adajas	Adai
Adalju	Adalja
ādām	skins
Ādama	Adam
Ādamā	Adam
Ādamam	To Adam
Adamas	Adamas
adāmās	knitting
Ādamas	Adam's
Adamī-hā-Nekebai	Adami-ha-Nekebai
Adamī-Nekebai	Adami-Nekebai
Ādams	Adam
Ādamu	Adam
adara	adara
ādāra	skin
Adars	Adar
Adaru	Adaru
Adas	Leather
ādās	in the skin
adatas	needles
Adbeēls	Adbeel
Adbels	Adbel
Adi	Adi
Adiēla	Adiel
Adiēls	Adiel
Adīja	Adi
adījuma	knitting
adījumā	in knitting
adījumi	knitwear
adījumiem	knitwear
Adina	Adina
Adīna	Adina
Adīns	Adin
Aditaima	Adytaim
adītām	knitted
adītas	knitted
Adlaja	Adlaya
Adlna	Adln
Admas	Admas
Admata	Admat
Admina	Admin
ādmiņa	leatherette
Admu	Admu
Adna	Adna
Adnachs	Adnach
Adnahs	Adnah
Adonas	Adonai
Adonī-Bezeks	Adoni-Bezek
Adonī-Bezeku	Adoni-Bezek
Adonija	Adonijah
Adonijs	Adonis
Adonikāma	Adonikam
Adonirāms	Adoniram
Adonīrāms	Adoniram
Adonisedeks	Adonisedek
Adonja	Adonijah
Adonjam	Adonijah
Adonjas	Adonijah
Adonju	Adonai
Adoraimu	Adoraim
Adorāms	Adoram
Adorāmu	Adorama
Adram-Melekam	Adram-Melech
Adramelechs	Adrammelech
Adramelehs	Adrammelech
Adramitijas	Adramyttium
Adriēlam	Adriel
Adrijas	Adriatic
Adu	Adu
Adulāmas	Adullam
Adulāmu	Adullam
Adullama	Adullam
Adullāma	Adullam
Adullāmā	In Adullam
Adullamas	Adullam
Adullāmas	Adullam
Adullāmu	Adullam
Adumima	Adumim
Adumimu	Knitting
Afarsachas	Afarsach
afarsatchajieši	Afarsatchays
afarsathajieši	Afarsathians
Afeka	Aphek
Afekā	In Afeka
Afekai	Afekai
Afekas	Aphek
Afeku	Aphek
Afijas	Afia
Agabs	Agabus
agagieša	Agagite
agagieti	Agagites
agagietim	Agagite
agagietis	Agagite
Agags	Agag
Agagu	Agag
Agare	Agar
Ages	Age
agra	early
agrai	early
agrais	early
agrāka	earlier
agrākā	earlier
agrākajā	in the past
agrākajās	in the past
agrākam	earlier
agrākām	earlier
agrākas	earlier
agrākās	earlier
agrākie	the earliest
agrākiem	earlier
agrāko	the former
agrākos	earlier
agrās	early
agri	early
agrīna	early
agrīnai	early
agrīnas	early
agrīnās	early
agrīno	early
agrīnus	early
Agripa	Agrippa
agro	agro
agrs	early
agrumā	early
Agura	Agura
ahā	aha
Ahaba	Ahab
Ahabam	Ahab
Ahabs	Ahab
Ahabu	Ahab
Ahaika	Achaica
Ahaja	Achaia
Ahajā	Achaia
Ahajas	Achaia
Ahaju	Achaia
Ahanam	Achan
Ahans	Achan
Ahanu	Achan
Aharhēla	Aharhel
Ahasa	Ahaz
Ahasam	Ahaz
Ahasebaja	Ahasbey
Ahasja	Ahaziah
Ahasjam	Ahaziah
Ahasjas	Ahaziah
Ahasju	Ahaz
Ahass	Ahaz
Ahaštari	Ahashtari
Ahasu	Ahaz
Ahasvera	Ahasuerus
Ahasveram	Ahasuerus
Ahasvers	Ahasuerus
Ahasveru	Ahasuerus
ahats	agate
Ahavas	Ahava
Ahavu	Ahava
Ahazs	Ahaz
Ahazu	Ahaz
Ahbanu	Ahbanu
Ahbora	Ahbor
Ahboram	Ahboram
Ahbors	Ahbor
Ahera	Acher
Ahiāms	Ahiam
Ahibuba	Ahibub
Ahiēzera	Ahiezer
Ahiēzers	Ahiezer
Ahiēzeru	Ahiezer
Ahihuds	Ahihud
Ahihudu	Ahihud
Ahija	Ahijah
Ahijam	Ahijah
Ahijas	Ahijah
Ahijs	Achi
Ahiju	Ahijah
Ahikāma	Ahikam
Ahikāmam	To Ahikam
Ahikāms	Ahikam
Ahiluda	Ahilud
Ahimaaca	Ahimaaz
Ahimaācs	Ahimaaz
Ahimaācu	Ahimaaz
Ahimācs	Ahimach
Ahimans	Ahiman
Ahimanu	Ahiman
Ahimelech	Ahimelech
Ahimelecha	Ahimelech
Ahimelecham	Ahimelech
Ahimelechs	Ahimelech
Ahimēlechs	Ahimelech
Ahimelechu	Ahimelech
Ahimeleh	Ahimelech
Ahimeleha	Ahimelech
Ahimeleham	Ahimelech
Ahimelehs	Ahimelech
Ahimēlehs	Ahimelech
Ahimelehu	Ahimelech
Ahimēleka	Ahimelech
Ahimēleku	Ahimelech
Ahimots	Achimot
Ahims	Achim
Ahimu	Achim
Ahīnadabs	Ahinadab
Ahinoāma	Ahinoam
Ahinoāmas	Ahinoam
Ahinoāmu	Ahinoam
Ahinomu	Ahinomu
Ahio	Ahio
Ahionāmu	Ahionam
Ahīra	Ahirah
Ahirāma	Ahiram
Ahirāmu	Ahiram
Ahīrs	Ahir
Ahīru	Ahiru
Ahiša	Achish
Ahišahars	Ahishahar
Ahišam	To Achish
Ahisāmaka	Ahisamach
Ahisāmeka	Ahisamach
Ahišars	Ahishar
Ahišs	Achish
Ahišu	Achis
Ahitofela	Ahithophel
Ahitofelam	Ahithophel
Ahitofels	Ahithophel
Ahitofelu	Ahithophel
Ahituba	Ahitub
Ahitubs	Ahitub
Ahitubu	Ahitub
Ahjans	Ahyan
Ahjis	Ahji
Ahjo	Ahjo
Ahlabā	In Ahlaba
Ahlaja	Akhlaia
Ahlajs	Ahlay
Aho	Aho
Ahoachs	Ahoach
Ahoahs	Ahoah
Ahohas	Ahoha
ahohieša	ahohiese
ahohietis	Achoan
Ahohija	Ahochia
Ahoras	Ahora
Ahsa	Ahsa
Ahsiba	Ahsiba
Ahsibā	In Ahsiba
Ahsibas	Ahsibas
Ahumaju	Ahumayu
Ahuzāmu	Ahuzama
Ahuzatu	Ahuzattu
Ahzaja	Ahzaya
ai	oh
Aiāci	Ajax
aicina	invites
aicinā-juma	invitation
aicinādami	inviting
aicinādams	inviting
aicināja	invited
aicinājāt	you invited
aicinājis	invited
aicināju	I called
aicinājuma	invitation
aicinājumā	in the call
aicinājumam	to the call
aicinājums	invitation
aicinājumu	invitation
aicinājuši	invited
aicinās	will invite
aicināšana	invitation
aicināsi	you will invite
aicināsit	will invite
aicināšu	I will invite
aicināt	to invite
aicināta	invited
aicinātais	invited
Aicinātāja	The inviter
aicinātajiem	invited
aicinātājs	inviter
aicināti	invited
aicināti—	invited—
aicinātie	invited
aicinātiem	invited
aicināto	invited
aicinātos	invited
aicināts	invited
aicinātu	would invite
aicini	invite
aiciniet	invite
aicinu	I invite
Aijai	For Aiya
ailē	in the column
ailēm	columns
ailes	columns
ailēs	in the columns
aiļru	ailru
aiļu	column
Aina	Scene
Ainas	Scenes
Ainej	Ainej
Ainejs	Ainey
Aineju	Aineia
Ainonā	In Ainon
airēdami	rowing
airējot	rowing
airētāji	rowers
airu	oar
airus	oars
aitājus	shepherds
aitas	sheep
aitiņa	sheep
aitiņai	for the sheep
aitiņu	sheep
aitiopicšus	aitiopicsus
aitiopieša	Ethiopian
aitiopieši	Ethiopians
aitiopiešiem	Ethiopians
aitiopiešu	Ethiopian
aitiopiešus	Ethiopians
aitiopietes	Ethiopians
aitiopieti	Ethiopians
aitiopietim	athienopist
aitiopietis	Ethiopian
Aitiopijā	In Ethiopia
Aitiopijai	Ethiopia
Aitiopijas	Ethiopian
Aitiopiju	Ethiopia
aitiopu	aitiopu
aitu	sheep
aiz	behind
aiz-dedzina	burns
Aiz-Eifratas	Trans-Euphrates
aiz-midzis	asleep
aizā	gorge
aizām	gorges
aizas	gorges
aizās	gorge
aizaudzēšu	I will overgrow
aizaudzināšu	I will raise
aizbaidīti	scared
aizbaidīts	scared
aizbāž	clogs
aizbāza	stuffed
aizbāzis	clogged
aizbāzīs	will plug
aizbāzta	clogged
aizbāzuši	clogged
aizbēdzis	escaped
aizbēg	escape
aizbēga	ran away
aizbēgs	will escape
aizbēgt	to escape
aizbēgusi	escaped
aizbēguši	escaped
aizbēra	filled up
aizbērsit	will fill up
aizbērt	to fill up
aizbēruši	filled up
aizbildi-nāties	to intercede
aizbildinādamies	under pretext
aizbildināt	to plead
aizbildināties	to make excuses
aizbildinātu	would intercede
aizbildini	intercede
aizbildņiem	guardians
aizbildnis	guardian
aizbrauca	left
aizbraucam	we are leaving
aizbraucām	we left
aizbraucot	leaving
aizbraukt	to leave
aizbraukuši	have left
Aizbraukušu	Departed
aizbultē	behind the scenes
aizbultēdams	bolting
aizbultēja	bolted
aizbultējami	boltable
aizcēla	took away
aizcēlis	stolen
aizceļo	leaves
aizceļodams	departing
aizceļoja	left
aizceļošanas	departure
aizceļošanu	departure
aizdara	close
aizdārd	thunder
aizdarīja	closed
aizdarījis	closed
aizdarījuši	closed
aizdarījušies	closed
aizdarīta	closed
aizdaru	I close.
aizde-vējam	lend-to-the-wind
aizdedzina	ignites
aizdedzināja	set on fire
aizdedzinājis	ignited
aizdedzinājuši	have set fire to
aizdedzināmo	flammable
aizdedzinās	will ignite
aizdedzināšu	I will light it.
aizdedzināt	to ignite
aizdedzināta	ignited
aizdedziniet	ignite
aizdevāt	lent
aizdevēja	lender
aizdevējam	to the lender
aizdevējiem	lenders
aizdevis	lent
aizdevumu	loan
aizdevumus	loans
aizdevuši	lent
aizdod	lend
aizdodams	lendable
aizdodat	lend
aizdodi	lend
aizdodiet	lend
aizdomas	suspicion
aizdomīga	suspicious
aizdomīgā	suspicious
aizdomīgu	suspicious
aizdos	will lend
aizdosi	will lend
aizdosiet	will lend
aizdot	lend
aizdoto	lent
aizdots	lent
aizdrāžas	gets stuck
aizdzen	drive away
aizdzina	drove away
aizdzini	drive away
aizdzinis	driven away
aizdzīs	will drive away
aizdzīšu	I will drive away
aizdzīt	to drive away
aizdzīti	driven away
aizdzītos	driven away
aizdzīts	driven away
aizdzītu	would drive away
aizēdis	eaten
aizeimu	departure
aizeita	gone
aizej	go away
aizejam	we are leaving
aizejat	you are leaving
aizejiet	leave
aizejot	leaving
aizeju	I am leaving.
aizgādāja	delivered
aizgādājami	to be provided
aizgādāšu	I will deliver
aizgādāt	to deliver
aizgādība	care
aizgādībai	for the care of
aizgāja	left
aizgājā	gone
aizgājāt	you left
aizgāji	you left
aizgājis	gone
aizgāju	I left.
aizgājušai	gone
aizgājušas	gone
aizgājusi	gone
aizgājuši	gone
aizgājušie	the departed
aizgājušos	departed
aizgrābti	captivated
aizgrābts	captivated
aizgriezās	turned around
aiziedami	leaving
aiziedams	leaving
aizies	leave
aiziešanas	departure
aiziešanu	departure
aiziesi	you will leave
aiziesiet	leave
aiziesim	let's go
aiziesit	will leave
aiziešu	I will leave.
aiziet	to leave
aizietu	would leave
aizjāja	rode away
Aizjardāna	Backyard
Aizjardāni	Outsiders
Aizjordāna	Transjordan
Aizjordānijā	Transjordan
Aizjordānijas	Transjordanian
Aizjordānu	Transjordan
aizjūdza	went away
aizjūgam	for the harness
aizjūgiem	harnesses
aizjūgt	to harness
aizkar	curtain
aizkaŗ	hang
aizkār	curtain
aizkara	curtain
aizkāra	touched
aizkaram	curtain
aizkari	curtains
aizkāris	touched
aizkarot	to conquer
aizkars	curtain
aizkaršu	curtain
aizkart	to touch
aizkartu	curtain
aizkaru	curtain
aizkarus	curtains
aizkārusi	overdue
aizkāruši	overdue
aizkavēja	delayed
aizkavējis	delayed
aizkavējos	I was late.
aizkavējuši	delayed
aizkavēs	will delay
aizkavēsi	will delay
aizkavēt	to delay
aizkavētos	would be delayed
aizkavēts	delayed
aizkavētu	would delay
aizklāja	covered
aizklājuši	covered
aizklāts	covered
aizklīdinās	will wander
aizklīst	to wander
aizkodis	bitten
aizkorēts	hooked
aizkritusi	fallen
aizkuriem	for ignition
aizkurtam	burnt
aizkustinājis	moved
aizkustināts	moved
aizlaidīšu	I will leave.
aizlaiduši	abandoned
aizlaikā	late
aizlaiku	late
aizlaista	neglected
aizlaisties	to leave
aizlaistos	would leave
aizlaists	abandoned
aizlaistu	would leave
aizlaižas	leaves
aizlauzto	broken
aizlidoja	flew away
aizlidojam	we are flying away
aizlidojuši	have flown away
aizlidos	will fly away
aizlidotu	would fly away
aizliedz	prohibits
aizliedza	banned
aizliedzām	we forbade
aizliedzi	ban
aizliedzis	forbidden
aizliedzu	I forbade
aizliegdama	forbidding
aizliegdams	prohibiting
aizliegs	will prohibit
aizliegsi	will prohibit
aizliegsim	let's prohibit
aizliegšu	I will prohibit
aizliegt	prohibit
aizliegtā	forbidden
aizliegtas	prohibited
aizliegts	forbidden
aizlieguma	prohibition
aizliegumi	prohibitions
aizliegumiem	prohibitions
aizliegums	prohibition
aizliegumu	prohibition
aizliegumus	prohibitions
aizliegušas	banned
aizliegusi	banned
aizlieguši	banned
aizlipinājis	glued
aizlipušas	stuck
aizlokās	closed
aizlūdz	prays
aizlūdza	prayed
aizlūdzam	we pray
aizlūdziet	pray
aizlūdzis	prayed
aizlūdzu	I pray.
aizlūgdami	praying
aizlūgdams	praying
aizlūgšanām	intercessions
aizlūgšanas	intercession
aizlūgšanās	intercession
aizlūgšu	I will pray.
aizlūgt	to pray
aizlūgtu	would pray
aizlūgumi	prayers
aizlūgumos	in intercession
aizlūgums	intercession
aizlūgumu	intercession
aizlūgumus	intercessions
aizlūzi	broken
aizmaldās	gets lost
aizmaldīties	to get lost
aizmāršīgs	forgetful
aizmesta	discarded
aizmests	abandoned
aizmestu	would throw away
aizmet	throws
aizmetās	threw up
aizmetis	abandoned
aizmetīs	will throw away
aizmetīsies	will throw
aizmetīšu	I will throw it away.
aizmidzis	asleep
aizmiga	fell asleep
aizmigs	will fall asleep
aizmigu	I fell asleep.
aizmigušajiem	for the sleepers
aizmiguši	asleep
aizmigušos	asleep
aizmigušus	asleep
aizmirsa	forgot
aizmirsdams	forgetting
aizmirsi	forgot
aizmirsis	forgotten
aizmirsīs	will forget
aizmirsīsi	you will forget
aizmirsīsit	you will forget
aizmirsīšu	I will forget
aizmirst	forget
aizmirstā	forgotten
aizmirstas	forgotten
aizmirsti	forget
aizmirstībā	in oblivion
aizmirstības	oblivion
aizmirstību	oblivion
aizmirsties	forget
aizmirstot	forgetting
aizmirsts	forgotten
aizmirstu	I would forget
aizmirsušas	forgotten
aizmirsusi	forgot
aizmirsuši	forgotten
aizmugurējie	rear
aizmugurējos	rear
aizmugures	rear
aizmugurisko	absentee
aizņem	takes
aizņēma	occupied
aizņemas	borrows
aizņemies	borrow
aizņēmies	borrowed
aizņemta	busy
aizņemti	busy
aizņemties	borrow
aizņemts	busy
aizņēmuma	loan
aizņēmušies	borrowed
aiznes	take away
aiznesa	carried away
aiznesi	take away
Aiznesiet	Take it away
aiznesis	carried away
aiznesīs	will carry away
aiznesīsi	you will take away
aiznesīsim	let's take away
aiznesīšu	I will take it away.
aiznest	to carry away
aiznesti	carried away
aiznestu	would carry away
aiznesu	I will take away
aiznesuši	carried away
aizpilda	fills
aizpildīdams	filling
aizpildīja	filled in
aizpildīs	will fill
aizpildītu	would fill
aizplīvurojās	veiled
aizplīvurots	veiled
aizpludinātu	flooded
aizplūdīs	will flow away
aizplūdušās	flooded
aizplūst	to drain away
aizpūš	blows away
aizpūsta	blown away
aizput	fade away
aizrāda	reprimands
aizrādām	we reprimand
aizrādi	reprimand
aizrādīdams	reprimanding
aizrādīja	scolded
aizrādījām	we reprimanded
aizrādījis	reprimanded
aizrādīju	I reprimanded
aizrādījumi	reprimands
aizrādījumiem	reprimands
aizrādījums	reprimand
aizrādījumu	reprimand
aizrādījumus	reprimands
aizrādīt	to reprimand
aizrādu	I reprimand
aizraidīja	dismissed
aizraidīji	you have rejected
aizraidījis	dismissed
