⼀事,yī shì,A thing
不,bù,Do not
不管,bù guǎn,Regardless of
能,néng,can
被,bèi,Was being
要,yào,want
論,lùn,s
變,biàn,change
負,fù,negative
透,tòu,through
配,pèi,With
意,yì,meaning
且,qiě,And
⼈,rén,People
代,dài,generation
代,dài,generation
界,jiè,Sector
間,jiān,between
丟,diū,throw
棄,qì,abandoned
並,bìng,and
在,zài,in
中,zhōng,in
之,zhī,The
國,guó,country
有,yǒu,Have
的,de,of
主,zhǔ,the Lord
主,zhǔ,the Lord
主,zhǔ,the Lord
因,yīn,because
宰,zǎi,slaughter
恩,ēn,Yep
主意,zhǔ yì,idea
主旨,zhǔ zhǐ,Subject
主權,zhǔ quán,sovereignty
主神,zhǔ shén,Lord God
主要,zhǔ yào,main
乃是,nǎi shì,But yes
乃是,nǎi shì,But yes
乃是,nǎi shì,But yes
是,shì,Yes
乃,nǎi,Yes
乃,nǎi,Yes
之,zhī,The
之,zhī,The
前,qián,before
地,de,To the ground
外,wài,outer
⼦,zi,Sub
處,chù,At the office
乎,hu,Almost
乏,fá,Lack of
也,yě,and also
是,shì,Yes
會,huì,meeting
沒,méi,No
要,yào,want
許,xǔ,Xu
香,xiāng,Fragrant
乾,gān,dry
乾旱,gān hàn,drought
乾渴,gān kě,Thirsty
亁,gān,dry
了,le,The
了,le,The
解,jiě,solution
事,shì,thing
情,qíng,situation
物,wù,Things
⼆,èr,two
五,wǔ,Fives
古,gǔ,ancient
亙,gèn,through
亙古,gèn gǔ,Ancient
些,xiē,some
亞,yà,Ya
亞,yà,Ya
亞,yà,Ya
亞,yà,Ya
亞,yà,Ya
交,jiāo,cross
交,jiāo,cross
交給,jiāo gěi,To give to
交,jiāo,cross
託,tuō,Care
通,tōng,through
享,xiǎng,enjoy
享,xiǎng,enjoy
受,shòu,By
光,guāng,Light
光,guāng,Light
亮,liàng,bright
⼈,rén,People
⼈,rén,People
⼈,rén,People
⼈,rén,People
⼈,rén,People
⼈們,rén men,People
⼈像,rén xiàng,Portrait
什,shén,Why
什麼,shén me,what
仁愛,rén 'ài,Love
愛,ài,Love
仁,rén,benevolence
仁,rén,benevolence
敵,dí,enemy
仇,chóu,hatred
敵,dí,enemy
仇,chóu,hatred
今,jīn,this
今,jīn,this
今,jīn,this
夜,yè,night
天,tiān,day
仍,réng,still
仍,réng,still
仍,réng,still
然,rán,Then
仍然,réng rán,still
仍要,réng yào,Still want to
他,tā,he
他,tā,he
們,men,We are
付,fù,pay
付,fù,pay
付出,fù chū ,Pay out
代,dài,generation
令,lìng,make
令⼈,lìng rén,Make people
以,yǐ,To
以,yǐ,To
列,liè,Column
⾊列,sè liè,Column
以⾊,yǐ sè,To color
仰,yǎng,Yang
仰望,yǎng wàng,Look up
仰,yǎng,Yang
望,wàng,hope
任,rèn,Any
何⼈,hé rén,Who is
任何,rèn hé,any
憑,píng,By virtue of
份,fèn,Copies
伊,yī,Iraq
伯,bó,Bo
恆,héng,Constant
伴,bàn,Companion
伸,shēn,stretch
但,dàn,but
住,zhù,live
住,zhù,live
佔,zhàn,Take up
何,hé,what
何,hé,what
等,děng,Wait
等,děng,Wait
何,hé,what
作,zuò,For
作,zuò,For
作,zuò,For
為,wèi,for
你,nǐ,you
們,men,We are
偶,ǒu,I
佳,jiā,good
美,měi,nice
使,shǐ,Make
⽤,yòng,Use
來,lái,Come
來,lái,Come
信,xìn,letter
到,dào,To
到,dào,To
⾃,zì,From
侍,shì,Paternity
立,lì,Stand
供,gōng,for
應,yīng,should
依,yī,according to
偎,wēi,cuddle
然,rán,Then
依,yī,according to
侵,qīn,Invasion
侵入,qīn rù,Invasion
俄,é,Russian
俄,é,Russian
保,bǎo,Paul
守,shǒu,Shou
留,liú,stay
護,hù,Care
障,zhàng,barrier
信,xìn,letter
信,xìn,letter
信實,xìn shí,Faithfulness
信實,xìn shí,Faithfulness
實,shí,real
實,shí,real
伏,fú,Volts
俯伏,fǔ fú ,Fall down
個,gè,One
個,gè,One
倒,dào,inverted
靠,kào,by
倚,yǐ,Leaning on
倢,jié,personable
倢,jié,personable
倢,jié,personable
值,zhí,value
假,jiǎ,false
偉,wěi,Wei
偉,wěi,Wei
⼤,dà,Large
離,lí,from
做,zuò,do
做,zuò,do
的,de,of
歇,xiē,rest
⽌,zhǐ,Stop
留在,liú zài,Stay in
側耳,cè 'ěr,Side ear
偷取,tōu qǔ,Steal
備,bèi,Prepared
備,bèi,Prepared
催,cuī,Reminder
傳,chuán,pass
債,zhài,debt
傷,shāng,hurt
傷,shāng,hurt
傾,qīng,pour
傾倒,qīng dǎo,Dumping
傾倒,qīng dǎo,Dumping
倒,dào,inverted
傾,qīng,pour
聽,tīng,listen
像,xiàng,Like
像,xiàng,Like
像,xiàng,Like
僕,pú,servant
僕,pú,servant
價,jià,price
價值,jià zhí,value
儆,jǐng,To watch
元,yuán,yuan
元,yuán,yuan
⾸,shǒu,first
充,chōng,Charge
充,chōng,Charge
滿,mǎn,full
滿,mǎn,full
充,chōng,Charge
充滿,chōng mǎn,full
了,le,The
兆,zhào,trillion
先,xiān,first
彩,cǎi,color
明,míng,Bright
照,zhào,According to the photo
華,huá,China
輝,huī,Hui
免,miǎn,Free
兒,er,child
女,nǚ,Female
兒女,ér nǚ,Children
兒女,ér nǚ,Children
女,nǚ,Female
兒,er,child
兒⼦,er zi,Children
兒⼦,er zi,Children
⼦,zi,Sub
兒,er,child
兒,er,child
入,rù,In
入,rù,In
侵,qīn,Invasion
入侵,rù qīn,Invasion
內,nèi,Inside
內⼼,nèi xīn,The heart
內⼼,nèi xīn,The heart
內,nèi,Inside
內⼼,nèi xīn,The heart
全,quán,all
全,quán,all
全,quán,all
全,quán,all
全世,quán shì,The whole world
界,jiè,Sector
世界,shì jiè,world
⼒,lì,Force
全,quán,all
全意,quán yì,Full meaning
全⼼,quán xīn,Wholeheartedly
意,yì,meaning
新,xīn,new
然,rán,Then
全,quán,all
全能,quán néng,Almighty
全部,quán bù,All
全都,quán dōu,all
公,gōng,public
義,yì,Righteousness
義,yì,Righteousness
公,gōng,public
同,tóng,with
共,gòng,Total
器,qì,Device
再,zài,again
再,zài,again
再,zài,again
回,huí,Back
現,xiàn,Now
造,zào,Made
冕,miǎn,Coronal
冠,guān,crown
冰,bīng,ice
凡,fán,Where
凡,fán,Where
凱,kǎi,Kay
出,chū,Out
出,chū,Out
出,chū,Out
劍,jiàn,sword
分,fēn,Minute
別,bié,do not
離,lí,from
切,qiè,cut
罰,fá,Penalty
列,liè,Column
列國,liè guó,Nations
初,chū,early
初,chū,early
別,bié,do not
別,bié,do not
利,lì,Lee
利,lì,Lee
利亞,lì yǎ,Leah
到,dào,To
底,dǐ,bottom
處,chù,At the office
達,dá,Up to
刻,kè,engraved
削,xuē,cut
前,qián,before
前,qián,before
強,qiáng,Strong
剛強,gāng qiáng,Strong
剛強,gāng qiáng,Strong
剛,gāng,just
剛,gāng,just
剛強,gāng qiáng,Strong
剛強,gāng qiáng,Strong
強,qiáng,Strong
剛,gāng,just
創,chuàng,Create
劍,jiàn,sword
劍,jiàn,sword
⼒,lì,Force
⼒量,lì liàng,The amount of power
量,liàng,the amount
⼒量,lì liàng,The amount of power
⼒量,lì liàng,The amount of power
⼒,lì,Force
量,liàng,the amount
量,liàng,the amount
功勞,gōng láo,Credit
加,jiā,plus
加,jiā,plus
加,jiā,plus
給,gěi,give
助,zhù,help
助,zhù,help
助,zhù,help
努⼒,nǔ lì,Hard work
勇,yǒng,Brave
敢,gǎn,dare
勵,lì,Encouragement
勒,lēi,Le
動,dòng,move
搖,yáo,shake
搖,yáo,shake
動,dòng,move
動,dòng,move
蕩,dàng,swing
勝,shèng,Wins
勝世,shèng shì,Wins the world
勝利,shèng lì,victory
利,lì,Lee
於,wū,in
過,guò,Too
勝,shèng,Wins
過,guò,Too
勝過,shèng guò,Better than
勞,láo,labor
勞,láo,labor
勢,shì,Potential
包,bāo,package
容,róng,Capacity
包,bāo,package
化,huà,The
成,chéng,to make
烏,wū,Black
風,fēng,wind
匯,huì,exchange
字架,zì jià,The word frame
⼗字,shí zì,Word
⼗,shí,cross
架,jià,frame
架,jià,frame
⼗架,shí jià,Frame
⼗,shí,cross
千,qiān,thousand
千,qiān,thousand
萬萬,wàn wàn,absolutely
千千,qiān qiān,Thousands of thousands
萬,wàn,Million
年,nián,year
萬,wàn,Million
千,qiān,thousand
升,shēng,Rise
升到,shēng dào,Rose to
升起,shēng qǐ,rising
升,shēng,Rise
降,jiàng,drop
卑,bēi,humble
風,fēng,wind
印,yìn,Printed
印,yìn,Printed
記,jì,Remember
印,yìn,Printed
難,nán,difficult
危,wēi,Danger
即,jí,which is
將,jiāng,will
卷,juǎn,volume
卸,xiè,Unloading
卻,què,but
卻,què,but
沒有,méi yǒu,No
卻能,què néng,But can
原,yuán,original
原,yuán,original
厭,yàn,Tired
去,qù,go with
去,qù,go with
去,qù,go with
⼜,yòu,and
時,shí,Time
友,you,Friends
友愛,yǒu 'ài,Friendly
反映,fǎn yìng,reflect
取,qǔ,take
悅,yuè,Wyatt
受,shòu,By
受,shòu,By
害,hài,harm
受屈,shòu qū,Aggrieved
受盡,shòu jǐn,Suffer
受苦,shòu kǔ,suffer
⼝,kǒu,Mouth
⼝,kǒu,Mouth
⼝,kǒu,Mouth
⼝中,kǒu zhōng,In the mouth
⼝號,kǒu hào,Sign number
古今,gǔ jīn,Ancient and modern
叩,kòu,knock
⾨,mén,gate
只,zhǐ,only
只,zhǐ,only
因,yīn,because
想,xiǎng,miss you
只想,zhǐ xiǎng,Just want to
只有,zhǐ yǒu,only
只,zhǐ,only
只有,zhǐ yǒu,only
有,yǒu,Have
只有,zhǐ yǒu,only
只,zhǐ,only
求,qiú,begging
需,xū,need
叫,jiào,call
可,kě,can
以,yǐ,To
愛,ài,Love
畏,wèi,fear
可,kě,can
台,tái,station
台,tái,station
右,yòu,right
右,yòu,right
⼿,shǒu,Hands
邊,biān,side
各,gè,each
各,gè,each
各,gè,each
⽅,fāng,Side
族,zú,Family
合,hé,Together
⽽,ér,At the same time
同,tóng,with
⼼,xīn,The centering
⼼,xīn,The centering
同,tóng,with
同⼼,tóng xīn,The same
同⼼,tóng xīn,The same
同樣,tóng yàng,same
同聲,tóng shēng,Simultaneous
同行,tóng xíng,Peer
名,míng,name
名,míng,name
名,míng,name
稱,chēng,Said
吐,tǔ,threw up
向,xiàng,to
向,xiàng,to
向,xiàng,to
王,wáng,king
君,jūn,Jun
君,jūn,Jun
吟,yín,Yin
詩,shī,poetry
否,fǒu,no
引,yǐn,lead
吸,xī,Suck
吹,chuī,blow
氣,qì,gas
呀,ya,Yeah
告,gào,Report
圍,wéi,Wai
呼,hū,call
呼,hū,call
呼,hū,call
吸,xī,Suck
喊,hǎn,call
喚,huàn,Call
聲,shēng,sound
命,mìng,Life
命,mìng,Life
令,lìng,make
定,dìng,set
和,hé,with
和,hé,with
和,hé,with
平,píng,level
咒,zhòu,curse
咱,zán,we
咱,zán,we
咱,zán,we
咾,lǎo,noise
哈,hā,what
哈利,hā lì,Harry
哈,hā,what
哉,zāi,Zai
哉,zāi,Zai
哉,zāi,Zai
哦,ó,Oh
哪,nǎ,where
哪,nǎ,where
哪,nǎ,where
哪裡,nǎ lǐ ,where
裡,li,in
裡,li,in
哪,nǎ,where
泣,qì,weep
哭,kū,cry
唇,chún,lip
唯,wéi,only
唯有,wéi yǒu,Only
有,yǒu,Have
獨,dú,alone
唱,chàng,sing
唱,chàng,sing
歌,gē,song
著,zhe,With
啊,a,what
啊,a,what
啊,a,what
啓,qǐ,start
啓⽰,qǐ shì,Enlightenment
啞巴,yǎ ba,Dumb
啟,qǐ,start
啟,qǐ,start
錄,lù,record
啥,shà,What
善,shàn,good
善,shàn,good
喔,ō,Oh
喔,ō,Oh
喔,ō,Oh
喔,ō,Oh
喔,ō,Oh
醒,xǐng,wake
喜,xǐ,like
喜悅,xǐ yuè ,joy
喜樂,xǐ lè ,Joyful
喜,xǐ,like
樂,lè,fun
喪,sàng,funeral
單,dān,single
息,xi,interest
嘎,gā,Ga
嘗,cháng,taste
嘴,zuǐ,mouth
唇,chún,lip
⽫,mǐn,dish
嚐,cháng,taste
嚮,xiàng,to
往,wǎng,to
四,sì,four
四,sì,four
周,zhōu,week
圍,wéi,Wai
散,sàn,Scattered
⽅,fāng,Side
⾯,miàn,Screen for
⾯受,miàn shòu,Face by
回,huí,Back
回,huí,Back
天,tiān,day
家,jiā,Family
應,yīng,should
歸,guī,Go back
轉,zhuǎn,turn
頭,tóu,head
頭,tóu,head
因,yīn,because
因,yīn,because
困,kùn,sleepy
倦,juàn,tired
境,jìng,territory
度,dù,degree
繞,rào,Around
裡,li,in
土,tǔ,earth
在,zài,in
在,zài,in
在,zài,in
起,qǐ,From
⼀起,yī qǐ,Together
在⼀,zài yī,In one
⼀起,yī qǐ,Together
在世,zài shì,living
在乎,zài hū,care
在於,zài wū,Is
在此,zài cǐ,here
此,cǐ,this
此,cǐ,this
地,de,To the ground
地,de,To the ground
地上,dì shàng,On the ground
下,xià,under
地下,dì xià,underground
地⽅,de fāng,Place
動,dòng,move
震,zhèn,shock
坐,zuò,sit
垂,chuí,Down
垂,chuí,Down
垂,chuí,Down
葬,zàng,burial
城,chéng,city
城,chéng,city
城,chéng,city
市,shì,city
城市,chéng shì,city
城⾨,chéng mén,City gate
⾨,mén,gate
埔,bù,Po
執,zhí,Executive
督,dū,Governor
基,jī,base
固,gù,solid
堅,jiān,Kennedy
守,shǒu,Shou
定,dìng,set
持,chí,hold
償,cháng,Compensation
報,bào,Reported
塑,sù,Plastic
⼟,tǔ,earth
落,luò,drop
墳,fén,grave
壓,yā,Pressure
壓,yā,Pressure
膽,dǎn,Gall bladder
麗,lì,Korea
夏,xià,summer
夏,xià,summer
外,wài,outer
多,duō,many
多,duō,many
夜,yè,night
夜,yè,night
夠,gòu,enough
夠,gòu,enough
夢,mèng,dream
夢,mèng,dream
想,xiǎng,miss you
夢,mèng,dream
⼤,dà,Large
⼤事,dà shì,Big thing
⼤地,dà dì,The earth
⼤⼩,dà xiǎo,Size
⼤⼭,dà shān,Big mountain
⼤⼯,dà gōng,Elders
⼤海,dà hǎi,The sea
⼤溪,dà xī,Big River
⼤⽯,dà shí,Big stone
⼤聲,dà shēng,Loudly
⼤衛,dà wèi,David
⼤軍,dà jūn,The army
⼤,dà,Large
⼤軍,dà jūn,The army
軍,jūn,military
雨,yǔ,rain
天,tiān,day
天,tiān,day
天,tiān,day
天上,tiān shàng,Heaven
天地,tiān dì,world
物,wù,Things
堂,táng,Church
庭,tíng,court
海,hǎi,sea
父,fù,father
真,zhēn,true
空,kōng,air
窗,chuāng ,window
賜,cì,Give
賜,cì,Give
際,jì,International
太,tài,too
陽,yáng,Yang
失,shī,Lost
敗,bài,defeat
奇,qí,odd
妙,miào,wonderful
奇妙,qí miào,wonderful
奇異,qí yì,Strange
奉,fèng,Bong
奉,fèng,Bong
奉勸,fèng quàn,Advocate
奉獻,fèng xiàn,Dedication
奉,fèng,Bong
獻,xiàn,offer
獻,xiàn,offer
奔,bēn,Ben
奔,bēn,Ben
跑,pǎo,run
祕,bì,secret
秘,mì,secret
奪,duó,Wins
得,de,Get it
走,zǒu,go
奮,fèn,Fen
奮,fèn,Fen
好,hǎo,it is good
好,hǎo,it is good
好像,hǎo xiàng,like
好壞,hǎo huài,Good or bad
好比,hǎo bǐ,like
好的,hǎo de,Ok
如,rú,Such as
如,rú,Such as
如,rú,Such as
果,guǒ,fruit
果,guǒ,fruit
如此,rú cǐ,in this way
如火,rú huǒ,Such as fire
如舊,rú jiù,Old
如雨,rú yǔ,Rainy
妝,zhuāng,Makeup
飾,shì,Decorated
威,wēi,Granville
娶,qǔ,Marry
娶,qǔ,Marry
婚,hūn,marriage
婚,hūn,marriage
禮,lǐ,ceremony
嫉,jí,Jealousy
嬉,xī,play
嬰,yīng,infant
⼦,zi,Sub
⼦,zi,Sub
民,mín,people
存,cún,Save
存,cún,Save
存,cún,Save
兒,er,child
單,dān,single
童,tóng,child
它,tā,it
它,tā,it
宇,yǔ,Yu
守,shǒu,Shou
安,ān,Ann
安,ān,Ann
安,ān,Ann
慰,wèi,comfort
慰,wèi,comfort
歇,xiē,rest
安歇,ān xiē,Rest
安然,ān rán,safely
安眠,ān mián,Sleep
安睡,ān shuì,Sleepy
安穩,ān wěn,Stable
安靜,ān jìng,be quiet
完,wán,Finish
完,wán,Finish
成,chéng,to make
美,měi,nice
恩,ēn,Yep
定,dìng,set
定睛,dìng jīng,Fixed eyes
客,kè,customer
告,gào,Report
宣,xuān,Declared
揚,yáng,Young
教,jiào,teach
宮,gōng,palace
怕,pà,afraid
易,yì,easy
顏,yán,Yan
富,fù,rich
⾜,zú,Pillow
富⾜,fù zú,Rich
察看,chá kàn,Look at
寡婦,guǎ fù,widow
實在,shí zài,really
實為,shí wèi,Really
實無,shí wú,Really no
審判,shěn pàn,Trial
寬容,kuān róng,tolerant
寬恕,kuān shù,forgive
寶,bǎo,treasure
寶,bǎo,treasure
寶,bǎo,treasure
射,shè,Shot
將,jiāng,will
將,jiāng,will
從,cóng,From
與,yǔ,versus
專,zhuān,Special
屬,shǔ,Genus
尊,zūn,Respect
尊,zūn,Respect
尊,zūn,Respect
尊,zūn,Respect
尊,zūn,Respect
崇,chóng,worship
崇,chóng,worship
榮,róng,Wing
貴,guì,expensive
貴,guì,expensive
尋,xún,Looking for
尋,xún,Looking for
尋找,xún zhǎo,Look for
尋求,xún qiú,seek
尋,xún,Looking for
覓,mì,seek
對,duì,Correct
對,duì,Correct
對,duì,Correct
⼩,xiǎo,Small
⼩的,xiǎo de,Small
⼩⼩,xiǎo xiǎo,Small
少,shǎo,less
少年,shào nián,juvenile
尚,shàng,Yet
尚,shàng,Yet
就,jiù,on
就,jiù,on
就不,jiù bù,No more
就像,jiù xiàng,Like
就在,jiù zài,at
就,jiù,on
就得,jiù de,You have to
就是,jiù shì,That is
就有,jiù yǒu,There is
算,suàn,Count
讓,ràng,Let
近,jìn,near
尼,ní,Nepalese
尾,wěi,tail
居,jū,Home
住,zhù,live
所,suǒ,By
屈,qū,Bend
膝,xī,knee
展,zhǎn,exhibition
翅,chì,wing
開,kāi,open
屬,shǔ,Genus
屬,shǔ,Genus
屬於,shǔ wū,belong
⼭,shān,mountain
⼭,shān,mountain
丘,qiū,mound
寨,zhài,Walled
岡,gāng,Okayama
川,chuān,Chuan
越,yuè,The more
岸,àn,shore
崇,chóng,worship
崇拜,chóng bài,worship
崇⾼,chóng gāo,Lofty high
崙,lún,Lun
⼯,gōng,Work
左,zuǒ,left
左,zuǒ,left
差,chà,difference
差,chà,difference
遣,qiǎn,Sent
⼰,jǐ,self
⼰,jǐ,self
已,yǐ,Has been
已,yǐ,Has been
已,yǐ,Has been
已,yǐ,Has been
已,yǐ,Has been
經,jīng,through
經,jīng,through
已經,yǐ jīng,already
⺒,sì,morning
希奇,xī qí ,strange
希望,xī wàng,hope
希,xī,hope
希,xī,hope
帕,pà,Pa
帕,pà,Pa
師,shī,division
師,shī,division
幕,mù,screen
帶,dài,band
帶,dài,band
帶,dài,band
帶,dài,band
帶來,dài lái,bring
帶出,dài chū,Bring out
帶給,dài gěi,Bring it
帶著,dài zhe,With
帶走,dài zǒu,take away
帶領,dài lǐng ,lead
常,cháng,often
常,cháng,often
常,cháng,often
幫助,bāng zhù,help
幫,bāng,help
幫,bāng,help
平,píng,level
靜,jìng,Static
福,fú,blessing
幸,xìng,Fortunately
暗,àn,dark
幽,yōu,quiet
⾕,gǔ,valley
底,dǐ,bottom
座,zuò,seat
⼤,dà,Large
廣,guǎng,wide
闊,kuò,wide
續,xù,Continued
建,jiàn,build
導,dǎo,guide
領,lǐng,collar
兄,xiōng,Brother
弟,dì,younger brother
張,zhāng,Zhang
壯,zhuàng,strong
彈,dàn,bomb
奏,zòu,Play
琴,qín,Piano
賽,sài,Race
曲,qū,song
形,xíng,shape
象,xiàng,Like
彰,zhāng,Zhang
顯,xiǎn,Apparent
顯,xiǎn,Apparent
影,yǐng,shadow
彷彿,fǎng fú,as if
彼此,bǐ cǐ,each other
往,wǎng,to
往前,wǎng qián,Forward
征服,zhēng fú,conquer
很,hěn,very
後,hòu,Rear
後,hòu,Rear
得,de,Get it
得,de,Get it
得,de,Get it
得,de,Get it
得,de,Get it
得以,dé yǐ,To be able to
得⼒,de lì,To be sure
得勝,dé shèng,Victorious
得救,dé jiù,Be saved
著,zhe,With
從,cóng,From
未,wèi,not
復,fù,complex
活,huó,live
興,xìng,Hing
徨,huáng,Anxious
微,wēi,micro-
笑,xiào,laugh
德,dé,Germany
中,zhōng,in
弦,xián,string
⼼得,xīn dé,Won the effort
心,xīn,heart
⼼意,xīn yì,Perseverance
⼼愛,xīn ài,Love
⼼房,xīn fáng,Room
⼼肝,xīn gān,Liver
⼼裡,xīn lǐ,In the center
⼼要,xīn yào,To be
⼼跳,xīn tiào,Jumping
⼼靈,xīn líng,Spirit
靈,líng,spirit
願,yuàn,willing
必,bì,must
必,bì,must
必定,bì dìng,Must be
必得,bì děi,must
必從,bì cóng,Must from
必然,bì rán,inevitable
必要,bì yào,necessary
必須,bì xū,have to
忌妒,jì dù,Jealousy
忍耐,rěn nài,patience
志,zhì,Mind
記,jì,Remember
忠,zhōng,Loyalty
快,kuài,fast
快,kuài,fast
樂,lè,fun
步,bù,step
忽,hū,suddenly
忿,fèn,Anger
怎,zěn,How
怎樣,zěn yàng,how
怎能,zěn néng,How can we
怒吼,nù hǒu ,roar
吼,hǒu,Roar
怒,nù,angry
思,sī,think
尤,yóu,especially
恐,kǒng,fear
恐,kǒng,fear
懼,jù,fear
恐懼,kǒng jù,fear
恢復,huī fù,restore
恢,huī,Recovery
恢,huī,Recovery
恣,zì,Unavoidable
恨,hèn,hate
恩,ēn,Yep
典,diǎn,Code
寵,chǒng,Pet
惠,huì,benefit
敬,jìng,Respectfully
恭,gōng,Christine
悅,yuè,Wyatt
悔,huǐ,regret
患,huàn,Suffer from
傷,shāng,hurt
悲,bēi,sad
緒,xù,thread
惟,wéi,but
惡,è,evil
⾏,xíng,yes
愁,chóu,worry
志,zhì,Mind
拙,zhuō,clumsy
愛,ài,Love
愛,ài,Love
情,qíng,situation
慕,mù,Mu
憐,lián,pity
感,gǎn,sense
覺,jué,feel
感,gǎn,sense
覺,jué,feel
謝,xiè,thank
謝,xiè,thank
感謝,gǎn xiè,thank
慈,cí,Mercy
慈,cí,Mercy
悲,bēi,sad
慈,cí,Mercy
賀,hè,He
慶,qìng,Celebration
慶,qìng,Celebration
憂,yōu,worry
憂傷,yōu shāng,sad
憂患,yōu huàn,Worry
憂愁,yōu chóu,sad
憂慮,yōu lǜ,concern
憐憫,lián mǐn,mercy
憑,píng,By virtue of
憑,píng,By virtue of
求,qiú,begging
懇,kěn,Ken
當,dāng,when
許,xǔ,Xu
懷,huái,Pregnant
抱,bào,hold
長,zhǎng,long
我,wǒ,I
我不,wǒ bù,I do not
我也,wǒ yě,I also
我來,wǒ lái,I come
我們,wǒ men,we
我再,wǒ zài,I again
我到,wǒ dào,I'm here
我去,wǒ qù,I go
我⼜,wǒ yòu,I am
我只,wǒ zhǐ,I only
我嗎,wǒ ma,me
我在,wǒ zài,I'm here
我家,wǒ jiā ,my home
我想,wǒ xiǎng,I think
我愛你,wǒ ài nǐ,I love you
我是,wǒ shì,I'm
我會,wǒ huì,I will
我有,wǒ yǒu,I have got
我欲,wǒ yù,I want to
我的,wǒ de,mine
我看,wǒ kàn,I read
我看到,wǒ kàn dào,I saw
我知道,wǒ zhī dào ,I know
我能,wǒ néng,I can
我被,wǒ bèi,I was
我要,wǒ yào,I need to
我還,wǒ hái,I still
或,huò,or
或許,huò xǔ,perhaps
戰,zhàn,war
戰勝,zhàn shèng,Victory over
戰場,zhàn chǎng,battlefield
戰⼠,zhàn shì,Warfare
戳記,chuō jì,stamp
戴著,dài zhe,Wearing
房,fáng,room
房間,fáng jiān,room
所以,suǒ yǐ,and so
所信,suǒ xìn,Believe
所在,suǒ zài,Where
所屬,suǒ shǔ,Belongs to
所有,suǒ yǒu,all
所望,suǒ wàng,Hope
所為,suǒ wéi,For what
所⽤,suǒ yòng,Used
所知,suǒ zhī,Know
所要,suǒ yào,What you want
所⾒,suǒ jiàn,see see
所需,suǒ xū,Required
所願,suǒ yuàn,Wish
⼿,shǒu,Hands
手中,shǒu zhōng,Hands
⼿握著,shǒu wò zhe,Holding hands
⼿裡,shǒu li,In the hand
才敢,cái gǎn,Dare to dare
才能,cái néng,Ability to
扎根,zhá gēn,Take root
打倒,dǎ dǎo,Knock down
打勝仗,dǎ shèng zhàng,Win the battle
打拼,dǎ pīn,Work hard
打破,dǎ pò,break in
打開,dǎ kāi,turn on
托住,tuō zhù,Hold it
扶持,fú chí,Support
找到,zhǎo dào,turn up
承受,chéng shòu,bear
承擔,chéng dān,bear
承認,chéng rèn,recognition
承諾,chéng nuò,committed to
把,bǎ,To put
抓住,zhuā zhù,To seize
抓著,zhuā zhe,Clutching
投靠,tóu kào,To seek refuge
折,zhé,fold
披,pī,Phi
披覆,pī fù,Draped
抬起,tái qǐ,Lift up
