⼀事	yī shì
助	zhù
助	zhù
助	zhù
努⼒	nǔ lì
勇	yǒng
敢	gǎn
勵	lì
勒	lēi
動	dòng
搖	yáo
搖	yáo
動	dòng
動	dòng
蕩	dàng
勝	shèng
勝世	shèng shì
勝利	shèng lì
利	lì
於	wū
過	guò
勝	shèng
過	guò
勝過	shèng guò
勞	láo
勞	láo
勢	shì
包	bāo
容	róng
包	bāo
化	huà
成	chéng
烏	wū
風	fēng
匯	huì
字架	zì jià
⼗字	shí zì
⼗	shí
架	jià
架	jià
⼗架	shí jià
⼗	shí
千	qiān
千	qiān
萬萬	wàn wàn
千千	qiān qiān
萬	wàn
年	nián
萬	wàn
千	qiān
升	shēng
升到	shēng dào
升起	shēng qǐ
升	shēng
降	jiàng
卑	bēi
風	fēng
印	yìn
印	yìn
記	jì
印	yìn
難	nán
危	wēi
即	jí
將	jiāng
卷	juǎn
卸	xiè
卻	què
卻	què
沒有	méi yǒu
卻能	què néng
原	yuán
原	yuán
厭	yàn
去	qù
去	qù
去	qù
⼜	yòu
時	shí
友	you
友愛	yǒu 'ài
反映	fǎn yìng
取	qǔ
悅	yuè
受	shòu
受	shòu
害	hài
受屈	shòu qū
受盡	shòu jǐn
受苦	shòu kǔ
⼝	kǒu
⼝	kǒu
⼝	kǒu
⼝中	kǒu zhōng
⼝號	kǒu hào
古今	gǔ jīn
叩	kòu
⾨	mén
只	zhǐ
只	zhǐ
因	yīn
想	xiǎng
只想	zhǐ xiǎng
只有	zhǐ yǒu
只	zhǐ
只有	zhǐ yǒu
有	yǒu
只有	zhǐ yǒu
只	zhǐ
求	qiú
需	xū
叫	jiào
可	kě
以	yǐ
愛	ài
畏	wèi
可	kě
台	tái
台	tái
右	yòu
右	yòu
⼿	shǒu
邊	biān
各	gè
各	gè
各	gè
⽅	fāng
族	zú
合	hé
⽽	ér
同	tóng
⼼	xīn
⼼	xīn
同	tóng
同⼼	tóng xīn
同⼼	tóng xīn
同樣	tóng yàng
同聲	tóng shēng
同行	tóng xíng
名	míng
名	míng
名	míng
稱	chēng
吐	tǔ
向	xiàng
向	xiàng
向	xiàng
王	wáng
君	jūn
君	jūn
吟	yín
詩	shī
否	fǒu
引	yǐn
吸	xī
吹	chuī
氣	qì
呀	ya
告	gào
圍	wéi
呼	hū
呼	hū
呼	hū
吸	xī
喊	hǎn
喚	huàn
聲	shēng
命	mìng
命	mìng
令	lìng
定	dìng
和	hé
和	hé
和	hé
平	píng
咒	zhòu
咱	zán
咱	zán
咱	zán
咾	lǎo
哈	hā
哈利	hā lì
哈	hā
哉	zāi
哉	zāi
哉	zāi
哦	ó
哪	nǎ
哪	nǎ
哪	nǎ
哪裡	nǎ lǐ 
裡	li
裡	li
哪	nǎ
泣	qì
哭	kū
唇	chún
唯	wéi
唯有	wéi yǒu
有	yǒu
獨	dú
唱	chàng
唱	chàng
歌	gē
著	zhe
啊	a
啊	a
啊	a
啓	qǐ
啓⽰	qǐ shì
啞巴	yǎ ba
啟	qǐ
啟	qǐ
錄	lù
啥	shà
善	shàn
善	shàn
喔	ō
喔	ō
喔	ō
喔	ō
喔	ō
醒	xǐng
喜	xǐ
喜悅	xǐ yuè 
喜樂	xǐ lè 
喜	xǐ
樂	lè
喪	sàng
單	dān
息	xi
嘎	gā
嘗	cháng
嘴	zuǐ
唇	chún
⽫	mǐn
嚐	cháng
嚮	xiàng
往	wǎng
四	sì
四	sì
周	zhōu
圍	wéi
散	sàn
⽅	fāng
⾯	miàn
⾯受	miàn shòu
回	huí
回	huí
天	tiān
家	jiā
應	yīng
歸	guī
轉	zhuǎn
頭	tóu
頭	tóu
因	yīn
因	yīn
困	kùn
倦	juàn
境	jìng
度	dù
繞	rào
裡	li
土	tǔ
在	zài
在	zài
在	zài
起	qǐ
⼀起	yī qǐ
在⼀	zài yī
⼀起	yī qǐ
在世	zài shì
在乎	zài hū
在於	zài wū
在此	zài cǐ
此	cǐ
此	cǐ
地	de
地	de
地上	dì shàng
下	xià
地下	dì xià
地⽅	de fāng
動	dòng
震	zhèn
坐	zuò
垂	chuí
垂	chuí
垂	chuí
葬	zàng
城	chéng
城	chéng
城	chéng
市	shì
城市	chéng shì
城⾨	chéng mén
⾨	mén
埔	bù
執	zhí
督	dū
基	jī
固	gù
堅	jiān
守	shǒu
定	dìng
持	chí
償	cháng
報	bào
塑	sù
⼟	tǔ
落	luò
墳	fén
壓	yā
壓	yā
膽	dǎn
麗	lì
夏	xià
夏	xià
外	wài
多	duō
多	duō
夜	yè
夜	yè
夠	gòu
夠	gòu
夢	mèng
夢	mèng
想	xiǎng
夢	mèng
⼤	dà
⼤事	dà shì
⼤地	dà dì
⼤⼩	dà xiǎo
⼤⼭	dà shān
⼤⼯	dà gōng
⼤海	dà hǎi
⼤溪	dà xī
⼤⽯	dà shí
⼤聲	dà shēng
⼤衛	dà wèi
⼤軍	dà jūn
⼤	dà
⼤軍	dà jūn
軍	jūn
雨	yǔ
天	tiān
天	tiān
天	tiān
天上	tiān shàng
天地	tiān dì
物	wù
堂	táng
庭	tíng
海	hǎi
父	fù
真	zhēn
空	kōng
窗	chuāng 
賜	cì
賜	cì
際	jì
太	tài
陽	yáng
失	shī
敗	bài
奇	qí
妙	miào
奇妙	qí miào
奇異	qí yì
奉	fèng
奉	fèng
奉勸	fèng quàn
奉獻	fèng xiàn
奉	fèng
獻	xiàn
獻	xiàn
奔	bēn
奔	bēn
跑	pǎo
祕	bì
秘	mì
奪	duó
得	de
走	zǒu
奮	fèn
奮	fèn
好	hǎo
好	hǎo
好像	hǎo xiàng
好壞	hǎo huài
好比	hǎo bǐ
好的	hǎo de
如	rú
如	rú
如	rú
果	guǒ
果	guǒ
如此	rú cǐ
如火	rú huǒ
如舊	rú jiù
如雨	rú yǔ
妝	zhuāng
飾	shì
威	wēi
娶	qǔ
娶	qǔ
婚	hūn
婚	hūn
禮	lǐ
嫉	jí
嬉	xī
嬰	yīng
⼦	zi
⼦	zi
民	mín
存	cún
存	cún
存	cún
兒	er
單	dān
童	tóng
它	tā
它	tā
宇	yǔ
守	shǒu
安	ān
安	ān
安	ān
慰	wèi
慰	wèi
歇	xiē
安歇	ān xiē
安然	ān rán
安眠	ān mián
安睡	ān shuì
安穩	ān wěn
安靜	ān jìng
完	wán
完	wán
成	chéng
美	měi
恩	ēn
定	dìng
定睛	dìng jīng
客	kè
告	gào
宣	xuān
揚	yáng
教	jiào
宮	gōng
怕	pà
易	yì
顏	yán
富	fù
⾜	zú
富⾜	fù zú
察看	chá kàn
寡婦	guǎ fù
實在	shí zài
實為	shí wèi
實無	shí wú
審判	shěn pàn
寬容	kuān róng
寬恕	kuān shù
寶	bǎo
寶	bǎo
寶	bǎo
射	shè
將	jiāng
將	jiāng
從	cóng
與	yǔ
專	zhuān
屬	shǔ
尊	zūn
尊	zūn
尊	zūn
尊	zūn
尊	zūn
崇	chóng
崇	chóng
榮	róng
貴	guì
貴	guì
尋	xún
尋	xún
尋找	xún zhǎo
尋求	xún qiú
尋	xún
覓	mì
對	duì
對	duì
對	duì
⼩	xiǎo
⼩的	xiǎo de
⼩⼩	xiǎo xiǎo
少	shǎo
少年	shào nián
尚	shàng
尚	shàng
就	jiù
就	jiù
就不	jiù bù
就像	jiù xiàng
就在	jiù zài
就	jiù
就得	jiù de
就是	jiù shì
就有	jiù yǒu
算	suàn
讓	ràng
近	jìn
尼	ní
尾	wěi
居	jū
住	zhù
所	suǒ
屈	qū
膝	xī
展	zhǎn
翅	chì
開	kāi
屬	shǔ
屬	shǔ
屬於	shǔ wū
⼭	shān
⼭	shān
丘	qiū
寨	zhài
岡	gāng
川	chuān
越	yuè
岸	àn
崇	chóng
崇拜	chóng bài
崇⾼	chóng gāo
崙	lún
⼯	gōng
左	zuǒ
左	zuǒ
差	chà
差	chà
遣	qiǎn
⼰	jǐ
⼰	jǐ
已	yǐ
已	yǐ
已	yǐ
已	yǐ
已	yǐ
經	jīng
經	jīng
已經	yǐ jīng
⺒	sì
希奇	xī qí 
希望	xī wàng
希	xī
希	xī
帕	pà
帕	pà
師	shī
師	shī
幕	mù
帶	dài
帶	dài
帶	dài
帶	dài
帶來	dài lái
帶出	dài chū
帶給	dài gěi
帶著	dài zhe
帶走	dài zǒu
帶領	dài lǐng 
常	cháng
常	cháng
常	cháng
幫助	bāng zhù
幫	bāng
幫	bāng
平	píng
靜	jìng
福	fú
幸	xìng
暗	àn
幽	yōu
⾕	gǔ
底	dǐ
座	zuò
⼤	dà
廣	guǎng
闊	kuò
續	xù
建	jiàn
導	dǎo
領	lǐng
兄	xiōng
弟	dì
張	zhāng
壯	zhuàng
彈	dàn
奏	zòu
琴	qín
賽	sài
曲	qū
形	xíng
象	xiàng
彰	zhāng
顯	xiǎn
顯	xiǎn
影	yǐng
彷彿	fǎng fú
彼此	bǐ cǐ
往	wǎng
往前	wǎng qián
征服	zhēng fú
很	hěn
後	hòu
後	hòu
得	de
得	de
得	de
得	de
得	de
得以	dé yǐ
得⼒	de lì
得勝	dé shèng
得救	dé jiù
著	zhe
從	cóng
未	wèi
復	fù
活	huó
興	xìng
徨	huáng
微	wēi
笑	xiào
德	dé
中	zhōng
弦	xián
⼼得	xīn dé
心	xīn
⼼意	xīn yì
⼼愛	xīn ài
⼼房	xīn fáng
⼼肝	xīn gān
⼼裡	xīn lǐ
⼼要	xīn yào
⼼跳	xīn tiào
⼼靈	xīn líng
靈	líng
願	yuàn
必	bì
必	bì
必定	bì dìng
必得	bì děi
必從	bì cóng
必然	bì rán
必要	bì yào
必須	bì xū
忌妒	jì dù
忍耐	rěn nài
志	zhì
記	jì
忠	zhōng
快	kuài
快	kuài
樂	lè
步	bù
忽	hū
忿	fèn
怎	zěn
怎樣	zěn yàng
怎能	zěn néng
怒吼	nù hǒu 
吼	hǒu
怒	nù
思	sī
尤	yóu
恐	kǒng
恐	kǒng
懼	jù
恐懼	kǒng jù
恢復	huī fù
恢	huī
恢	huī
恣	zì
恨	hèn
恩	ēn
典	diǎn
寵	chǒng
惠	huì
敬	jìng
恭	gōng
悅	yuè
悔	huǐ
患	huàn
傷	shāng
悲	bēi
緒	xù
惟	wéi
惡	è
⾏	xíng
愁	chóu
志	zhì
拙	zhuō
愛	ài
愛	ài
情	qíng
慕	mù
憐	lián
感	gǎn
覺	jué
感	gǎn
覺	jué
謝	xiè
謝	xiè
感謝	gǎn xiè
慈	cí
慈	cí
悲	bēi
慈	cí
賀	hè
慶	qìng
慶	qìng
憂	yōu
憂傷	yōu shāng
憂患	yōu huàn
憂愁	yōu chóu
憂慮	yōu lǜ
憐憫	lián mǐn
憑	píng
憑	píng
求	qiú
懇	kěn
當	dāng
許	xǔ
懷	huái
抱	bào
長	zhǎng
我	wǒ
我不	wǒ bù
我也	wǒ yě
我來	wǒ lái
我們	wǒ men
我再	wǒ zài
我到	wǒ dào
我去	wǒ qù
我⼜	wǒ yòu
我只	wǒ zhǐ
我嗎	wǒ ma
我在	wǒ zài
我家	wǒ jiā 
我想	wǒ xiǎng
我愛你	wǒ ài nǐ
我是	wǒ shì
我會	wǒ huì
我有	wǒ yǒu
我欲	wǒ yù
我的	wǒ de
我看	wǒ kàn
我看到	wǒ kàn dào
我知道	wǒ zhī dào 
我能	wǒ néng
我被	wǒ bèi
我要	wǒ yào
我還	wǒ hái
或	huò
或許	huò xǔ
戰	zhàn
戰勝	zhàn shèng
戰場	zhàn chǎng
戰⼠	zhàn shì
戳記	chuō jì
戴著	dài zhe
房	fáng
房間	fáng jiān
所以	suǒ yǐ
所信	suǒ xìn
所在	suǒ zài
所屬	suǒ shǔ
所有	suǒ yǒu
所望	suǒ wàng
所為	suǒ wéi
所⽤	suǒ yòng
所知	suǒ zhī
所要	suǒ yào
所⾒	suǒ jiàn
所需	suǒ xū
所願	suǒ yuàn
⼿	shǒu
手中	shǒu zhōng
⼿握著	shǒu wò zhe
⼿裡	shǒu li
才敢	cái gǎn
才能	cái néng
扎根	zhá gēn
打倒	dǎ dǎo
打勝仗	dǎ shèng zhàng
打拼	dǎ pīn
打破	dǎ pò
打開	dǎ kāi
托住	tuō zhù
扶持	fú chí
找到	zhǎo dào
承受	chéng shòu
承擔	chéng dān
承認	chéng rèn
承諾	chéng nuò
把	bǎ
抓住	zhuā zhù
抓著	zhuā zhe
投靠	tóu kào
折	zhé
披	pī
披覆	pī fù
抬起	tái qǐ
抬起頭來	tái qǐ tóu lái
抬頭	tái tóu
抹	mǒ
抹去	mǒ qù
拆毀	chāi huǐ
拉	lā
拋到	pāo dào
拍⼿	pāi shǒu
拍拍⼿	pāi pāi shǒu
拒絕	jù jué
拖	tuō
拜	bài
拯救	zhěng jiù
拿	ná
拿掉	ná diào
拿走	ná zǒu
指引	zhǐ yǐn
指教	zhǐ jiào
按	àn
挑	tiāo
挑動	tiǎo dòng
挪	nuó
挪移	nuó yí
挪開	nuó kāi
捆	kǔn
捆綁	kǔn bǎng
捨	shě
捨命	shě mìng
捨棄	shě qì
捲起	juǎn qǐ
掉	diào
掌	zhǎng
掌控	zhǎng kòng
掌握	zhǎng wò
掌權	zhǎng quán
掌管	zhǎng guǎn
掙扎	zhēng zhá
掛	guà
掛慮	guà lǜ
接	jiē
接納	jiē nà
接續	jiē xù
推開	tuī kāi
掩	yǎn
揀選	jiǎn xuǎn
描述	miáo shù
提升	tí shēng
揚聲	yáng shēng
揚起	yáng qǐ
換	huàn
換來	huàn lái
握	wò
握住	wò zhù
揭	jiē
揭去	jiē qù
揭開	jiē kāi
揮	huī
揮別	huī bié
損	sǔn
搖	yáo
搖動	yáo dòng
搖著	yáo zhe
搶救	qiǎng jiù
摩	mó
摸	mō
摸不著	mō bù zháo
撇下	piē xià
撇棄	piē qì
撒	sā
撕裂	sī liè
擁抱	yǒng bào
擁抱著	yǒng bào zhe
擁有	yǒng yǒu
擄	lǔ
擄獲	lǔ huò
擊敗	jí bài
擊毀	jí huǐ
擊⿎	jī gǔ
擋	dǎng
擔	dān
擔⼦	dān zi
擔當	dān dāng
擘	bāi
擱	gē
擴張	kuò zhāng
擺	bǎi
擺在	bǎi zài
擺設	bǎi shè
攏	lǒng
攔	lán
攔阻	lán zǔ
⽀派	zhī pài
收割	shōu gē
收取	shōu qǔ
改	gǎi
改為	gǎi wèi
改變	gǎi biàn
攻	gōng
攻掠	gōng lüè
攻擊	gōng jí
放下	fàng xià
放光芒	fàng guāng máng
放在	fàng zài
放⼿	fàng shǒu
放棄	fàng qì
放開	fàng kāi
政權	zhèng quán
故事	gù shì
故鄉	gù xiāng
效⼒	xiào lì
救	jiù
救主	jiù zhǔ
救⼈	jiù rén
救贖	jiù shú
教導	jiào dǎo
教會	jiào huì
敞	chang
敞開	chǎng kāi
散	sàn
敬奉	jìng fèng
敬拜	jìng bài
敬畏	jìng wèi
整個	zhěng gè
斯	sī
新	xīn
新天地	xīn tiān dì
新婦	xīn fù
新歌	xīn gē
新⽣	xīn shēng
新的	xīn de
新郎	xīn láng
新酒	xīn jiǔ
新鮮	xīn xiān
斷開	duàn kāi
⽅向	fāng xiàng
施	shī
施展	shī zhǎn
施恩	shī ēn
施⾏	shī xíng
旁	páng
旁邊	páng biān
旅程	lǚ chéng
旈	liú
旋	xuán
旋律	xuán lǜ
旌旗	jīng qí
族群	zú qún
既	jì
既有	jì yǒu
⽇夜	rì yè
⽇⼦	rì zi
⽇常	rì cháng
⽇復⼀⽇	rì fù yī rì
⽇期	rì qí
旨意	zhǐ yì
早已	zǎo yǐ
早晨	zǎo chen
旱	hàn
旱地	hàn dì
旺	wàng
明亮	míng liàng
明光	míng guāng
明天	míng tiān
明⽩	míng bái
明瞭	míng liǎo
昔	xī
昕	xīn
星	xīng
星宿	xīng sù
星星	xīng xīng
映	yìng
春	chūn
春天	chūn tiān
春雨	chūn yǔ
春風	chūn fēng
昨⽇	zuó rì
昨⽇今⽇	zuó rì jīn rì
是以	shì yǐ
是否	shì fǒu
是好	shì hǎo
是永	shì yǒng
是誰	shì shuí
時代	shí dài
時候	shí hou
時刻	shí kè
時常	shí cháng
時間	shí jiān
晝夜	zhòu yè
晝夜不息	zhòu yè bù xī
晨光	chén guāng
晨星	chén xīng
晨曦	chén xī
普	pǔ
普照	pǔ zhào
景仰	jǐng yǎng
智	zhì
智慧	zhì huì
暖房	nuǎn fáng
暗中	àn zhōng
暗夜	àn yè
暫時	zhàn shí
暴雨	bào yǔ
暴風	bào fēng
暴風雨	bào fēng yǔ
曉	xiǎo
曉得	xiǎo de
曠野	kuàng yě
更	gèng
更像	gèng xiàng
更加	gèng jiā
更多	gèng duō
更⼤	gèng dà
更好	gèng hǎo
更少	gèng shǎo
更新	gēng xīn
更有	gèng yǒu
更深	gēng shēn
更美	gèng měi
更⾼	gèng gāo
書	shū
曾	céng
曾經	céng jīng
最	zuì
最佳	zuì jiā
最妙	zuì miào
最後	zuì hòu 
最愛	zuì 'ài
最深	zuì shēn 
最終	zuì zhōng 
最美	zuì měi 
最⾼	zuì gāo
⽉	yuè
⽉亮	yuè liàng
有了	yǒu le
有⼈	yǒu rén
有份	yǒu fèn
有位	yǒu wèi
有何	yǒu hé
有個	yǒu gè
有利	yǒu lì
有⼒	yǒu lì
有情	yǒu qíng 
有意義	yǒu yì yì 
有能	yǒu néng
有餘	yǒu yú
朋友	péng yǒu
服	fú
朝	cháo
朝著	cháo zhe
朝陽	zhāo yáng 
期待	qí dài 
未來	wèi lái 
未曾	wèi céng 
末	mò
末世	mò shì 
末⽇	mò rì
束	shù
杯	bēi
東	dōng
果⼦	guǒ zi
枝	zhī
枝⼦	zhī zi
枯乾	kū gān 
枯骨	kū gǔ 
枷鎖	jiā suǒ
柄	bǐng
柔和	róu hé
根	gēn
根基	gēn jī
根據	gēn jù
根源	gēn yuán 
格外	gé wài 
栽在	zāi zài
桑⽥	sāng tián
梅	méi
條件	tiáo jiàn 
棒	bàng
棚	péng
森	sēn
森林	sēn lín 
植	zhí
業	yè
極	jí
極⼤	jí dà
榮	róng
榮光	róng guāng 
榮美	róng měi
榮耀	róng yào
榮華	róng huá
樂意	lè yì
樂歌	yuè gē
標竿	biāo gān
模	mó
樣式	yàng shì
樹	shù
橄欖	gǎn lǎn
橄欖樹	gǎn lǎn shù
權	quán
權位	quán wèi
權勢	quán shì
權柄	quán bǐng 
權能	quán néng 
⽋缺	qiàn quē
欣	xīn
款待	kuǎn dài
歇息	xiē xi
歌	gē
歌唱	gē chàng 
歌聲	gē shēng 
歌頌	gē sòng 
歡	huan
歡呼	huān hū
歡呼聲	huān hū shēng 
歡唱	huan chàng
歡喜	huān xǐ
歡愉	huān yú
歡暢	huān chàng 
歡樂	huān lè
歡欣	huān xīn
歡笑	huān xiào
歡聚	huān jù
歡聲	huān shēng 
歡迎	huān yíng
⽌不住	zhǐ bù zhù
⽌息	zhǐ xi
正	zhèng
正午	zhèng wǔ
正在	zhèng zài
正當	zhèng dàng
正直	zhèng zhí
正義	zhèng yì
正著	zhèng zháo
此刻	cǐ kè
此時此刻	cǐ shí cǐ kè
此⽣	cǐ shēng
步伐	bù fá
歷	lì
歷代	lì dài
歷史	lì shǐ 
歸	guī
歸向	guī xiàng 
歸於	guī wū
死	sǐ
死亡	sǐ wáng 
死⼈	sǐ rén
死別	sǐ bié 
死去	sǐ qù 
殘忍	cán rěn
殿	diàn
殿中	diàn zhōng 
殿宇	diàn yǔ
毀壞	huǐ huài 
⺟	mǔ
每	měi
每⼀	měi yī
每⼀個	měi yī gè
每個	měi gè
每個⼈	měi gè rén
每句話	měi jù huà
每天	měi tiān 
每張	měi zhāng
每⽇	měi rì
每次	měi cì
每當	měi dāng
每逢	měi féng
每顆	měi kē
每⾸歌	měi shǒu gē
毒	dú
比	bǐ
毫	háo
毫無	háo wú
⺠	mín
氣⼒	qì lì
氣息	qì xí
氣餒	qìn ěi 
⽔	shuǐ
⽔果	shuǐ guǒ
⽔流	shuǐ liú
⽔深	shuǐ shēn
⽔⾯	shuǐ miàn
⽔⾯上	shuǐ miàn shàng
永	yǒng
永不	yǒng bù
永世	yǒng shì
永久	yǒng jiǔ
永住	yǒng zhù
永恆	yǒng héng 
永樂	yǒng lè
永永遠遠	yǒng yǒng yuǎn yuǎn
永⽣	yǒng shēng
永福	yǒng fú
永遠	yǒng yuǎn
永長	yǒng zhǎng 
求救	qiú jiù 
求教	qiú jiào 
江	jiāng
江河	jiāng hé
污穢	wū huì 
汪洋	wāng yáng
決	jué
決定	jué dìng 
決⼼	jué xīn
沈睡	chén shuì
沈默	chén mò
沒藥	mò yào
沙	shā
沮喪	jǔ sàng 
河	hé
河中	hé zhōng 
河流	hé liú 
油	yóu
治理	zhì lǐ
沾	zhān
泉	quán
泉源	quán yuán
泏	zhú
法	fǎ
法度	fǎ dù 
泛	fàn
波	bō
波濤	bō tāo 
波濤洶湧	bō tāo xiōng yǒng 
泥	ní
泥⼟	ní tǔ
注	zhù
注⽬	zhù mù
注視	zhù shì 
注視著	zhù shì zhe
洋	yáng
洗	xǐ
