"-aemia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-aemia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a specified condition of the blood."
"abortus","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abortus</b> (ă-<b>bor</b>-tŭs) <span class=""abrv""><i>n.</i></span><div class=""content"">a fetus, weighing less than 500 g, that is expelled from the uterus either dead or incapable of surviving."
"abrasion","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abrasion</b> (ă-<b>bray</b>-<i>zh</i>ŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">a minor wound in which the surface of the skin or a mucous membrane is worn away by rubbing or scraping."
"abreaction","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abreaction</b> (ab-ree-<b>ak</b>-shŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">the release of strong emotion associated with a buried memory. Abreaction may be induced as a treatment for conversion disorder, anxiety state, and other neurotic conditions."
"abruptio placentae","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abruptio placentae</b> (ă-<b>brup</b>-ti-oh plă-<b>sent</b>-i) <span class=""abrv""><i>n.</i></span><div class=""content"">bleeding from the placenta causing its complete or partial detachment from the uterine wall after the 24th week of gestation. Abruptio placentae is often associated with hypertension and pre-eclampsia."
"abscess","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abscess</b> (<b>ab</b>-sis) <span class=""abrv""><i>n.</i></span><div class=""content"">a collection of pus enclosed by damaged and inflamed tissues. <i>acute a.</i> an abscess associated with pain, inflammation, and some fever. <i>apical a.</i> an abscess in the bone around the tip of the root of a tooth. <i>Brodie's a.</i> a chronic abscess of bone that develops from acute bacterial osteomyelitis. <i>cerebral a.</i> an abscess resulting from infection of the brain or its meninges. <i>cold</i> or <i>chronic a.</i> an abscess, usually due to tuberculosis organisms, in which there is little pain or inflammation. <i>psoas a.</i> a cold abscess in the psoas muscle (in the groin), which has spread from diseased vertebrae in the lower part of the spine. <i>subphrenic a.</i> an abscess in the space below the diaphragm, usually resulting from a spread of infection from the abdomen. <i>tropical</i> (or <i>amoebic</i> ) <i>a.</i> an abscess of the liver caused by infection with <i>Entamoeba histolytica</i>. See also <a href=""entry://ischiorectal abscess""><span class=""links"">ISCHIORECTAL ABSCESS</span></a>."
"absence","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>absence</b> (<b>ab</b>-sĕns) <span class=""abrv""><i>n.</i></span><div class=""content""><span color=""red""><b><i>(in neurology)</b></i></span> see <a href=""entry://epilepsy""><span class=""links"">EPILEPSY</span></a>."
"absorption","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>absorption</b> (ăb-<b>sorp</b>-shŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">the uptake of digested food from the intestine into the blood and lymphatic systems. See also <a href=""entry://assimilation""><span class=""links"">ASSIMILATION</span></a>, <a href=""entry://digestion""><span class=""links"">DIGESTION</span></a>."
"abulia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abulia</b> (ă-<b>boo</b>-liă) <span class=""abrv""><i>n.</i></span><div class=""content"">absence or impairment of will power, commonly a symptom of schizophrenia."
"acanthosis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acanthosis</b> (ak-ăn-<b>thoh</b>-sis) <span class=""abrv""><i>n.</i></span><div class=""content"">an increase in the number of prickle cells in the innermost layer of the epidermis, leading to thickening of the epidermis. <i>a. nigricans</i> acanthosis characterized by papillomatous growths, mainly in the armpits, which give the skin a pigmented appearance and a velvety texture. It may be benign or malignant."
"acapnia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acapnia</b>
<i>(hypocapnia)</i> (ă-<b>kap</b>-niă) <span class=""abrv""><i>n.</i></span><div class=""content"">a condition in which there is an abnormally low concentration of carbon dioxide in the blood."
"acardia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acardia</b> (ay-<b>kar</b>-diă) <span class=""abrv""><i>n.</i></span><div class=""content"">congenital absence of the heart. The condition may occur in conjoined twins; the twin with the heart controls the circulation for both."
"acariasis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acariasis</b> (akă-<b>ry</b>-ă-sis) <span class=""abrv""><i>n.</i></span><div class=""content"">an infestation of mites and ticks."
"acaricide","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acaricide</b> (ă-<b>ka</b>-ri-syd) <span class=""abrv""><i>n.</i></span><div class=""content"">any chemical agent used for destroying mites and ticks."
"acatalasia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acatalasia</b> (ă-kat-ă-<b>lay</b>-ziă) <span class=""abrv""><i>n.</i></span><div class=""content"">an inborn lack of the enzyme catalase, leading to recurrent infections of the gums (gingivitis) and mouth."
"accessory nerve","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>accessory nerve</b>
<i>(spinal accessory nerve)</i> (ăk-<b>sess</b>-er-i) <span class=""abrv""><i>n.</i></span><div class=""content"">the eleventh cranial nerve (XI), which arises from two roots, cranial and spinal. Fibres from the cranial root form the recurrent laryngeal nerve, which supplies the internal laryngeal muscles; fibres from the spinal root supply the sternomastoid and trapezius muscles, in the neck region."
"accident","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>accident</b> (<b>ak</b>-sid-ĕnt) <span class=""abrv""><i>n.</i></span><div class=""content"">a traumatic incident involving any part of the body. <i>Accident and emergency</i>
<i>(A and E) medicine</i> is evolving as a specialized area of patient care."
"accommodation","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>accommodation</b> (ă-kom-ŏ-<b>day</b>-shŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">adjustment of the shape of the lens to change the focus of the eye. When the ciliary muscle (see <a href=""entry://ciliary body""><span class=""links"">CILIARY BODY</span></a>) is relaxed, the lens is flattened and the eye is then able to focus on distant objects. To focus the eye on near objects the ciliary muscles contract and the lens becomes more spherical. <i>a. reaction</i> the constriction of the pupil that occurs when an individual focuses on a near object."
