"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"absolute temperature","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute temperature</b><br>See <a href=""entry://absolute"">absolute</a>;<a href=""entry://temperature"">temperature</a>"
"absolute value","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute value</b><i>(modulus)</i>
<br>The square root of the sum of the squares of the real numbers in a <a href=""entry://complex number"">complex number</a>, i.e. the absolute value of the complex number <div class=""equ""><i>z</i> = <i>x</i> + i<i>y</i> is |<i>z</i>| = v(<i>x</i><sup class=""expo"">2</sup> + <i>y</i><sup class=""expo"">2</sup>)</div>"
"absolute zero","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute zero</b><br>Zero of thermodynamic <a href=""entry://temperature"">temperature</a> (0 kelvin) and the lowest temperature theoretically attainable. It is the temperature at which the kinetic energy of atoms and molecules is minimal. It is equivalent to -273.15°C or -459.67°F. See also <a href=""entry://zero-point energy"">zero-point energy</a>; <a href=""entry://cryogenics"">cryogenics</a>"
"absorptance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absorptance</b><br>Symbol α. The ratio of the radiant or luminous flux absorbed by a body to the flux falling on it. Formerly called <i>absorptivity</i> , the absorptance of a <a href=""entry://black body"">black body</a> is by definition 1"
"absorption","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absorption</b><br><b>1</b> The take-up of a gas by a solid or liquid, or the take-up of a liquid by a solid. Absorption differs from <a href=""entry://adsorption"">adsorption</a> in that the absorbed substance permeates the bulk of the absorbing substance.
<br><b>2</b> The conversion of the energy of electromagnetic radiation, sound, streams of particles, etc., into other forms of energy on passing through a medium. A beam of light, for instance, passing through a medium, may lose intensity because of two effects: scattering of light out of the beam, and absorption of photons by atoms or molecules in the medium. When a photon is absorbed, there is a transition to an excited state."
"absorption coefficient","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absorption coefficient</b><br><b>1</b>
<font class=""bir"">(in physics)</font> See <a href=""entry://Lambert's laws"">Lambert's laws</a>.
<br><b>2</b>
<font class=""bir"">(in chemistry)</font> The volume of a given gas, measured at standard temperature and pressure, that will dissolve in unit volume of a given liquid."
"absorption spectrum","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absorption spectrum</b><br>See <a href=""entry://spectrum"">spectrum</a>"
"absorptivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absorptivity</b><br>See <a href=""entry://absorptance"">absorptance</a>"
"abundance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>abundance</b><br><b>1</b> The ratio of the total mass of a specified element in the earth's crust to the total mass of the earth's crust, often expressed as a percentage. For example, the abundance of aluminium in the earth's crust is about 8%.
<br><b>2</b> The ratio of the number of atoms of a particular isotope of an element to the total number of atoms of all the isotopes present, often expressed as a percentage. For example, the abundance of uranium -235 in natural uranium is 0.71%. This is the <i>natural abundance</i> , i.e. the abundance as found in nature before any enrichment has taken place."
"acceleration","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acceleration</b><br>Symbol <i>a</i>. The rate of increase of speed or velocity. It is measured in m s<sup class=""expo"">-2</sup>. For a body moving linearly with constant acceleration <i>a</i> from a speed <i>u</i> to a speed <i>v</i>,<div class=""equ""><i>a</i> = (<i>v</i> - <i>u</i>)/<i>t</i>=(<i>v</i><sup class=""expo"">2</sup>-<i>u</i><sup class=""expo"">2</sup>)/2<i>s</i></div> where <i>t</i> is the time taken and <i>s</i> the distance covered.
<br>If the acceleration is not constant it is given by <div class=""equ"">d<i>v</i>/d<i>t</i>=d<sup class=""expo"">2</sup><i>s</i>/d<i>t</i><sup class=""expo"">2</sup></div>. If the motion is not linear the vector character of displacement, velocity, and acceleration must be considered"
"acceleration of free fall","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acceleration of free fall</b><br>Symbol <i>g</i>. The acceleration experienced by any massive object falling freely in the earth's gravitational field. Experimentally this is almost constant for all positions near the earth's surface, independent of the nature of the falling body (provided air resistance is eliminated). This is taken to indicate the strict proportionality of <a href=""entry://weight"">weight</a> (the force causing the acceleration) and inertial <a href=""entry://mass"">mass</a>, on the basis of <a href=""entry://Newton's second law of motion"">Newton's second law of motion</a>. There is some variation of <i>g</i> with latitude, because of the earth's rotation and because the earth is not completely spherical. The standard value is taken as 9.806 65 m s<sup class=""expo"">-2</sup>. The acceleration of free fall is also called the <i>acceleration due to gravity</i>"
"accelerator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>accelerator</b><br>An apparatus for increasing the kinetic energies of charged particles, used for research in nuclear and particle physics. See <a href=""entry://Bevatron"">Bevatron</a>; <a href=""entry://cyclotron"">cyclotron</a>; <a href=""entry://linear accelerator"">linear accelerator</a>; <a href=""entry://particle-beam experiments"">particle-beam experiments</a>; <a href=""entry://synchrocyclotron"">synchrocyclotron</a>; <a href=""entry://synchrotron"">synchrotron</a>"
"acceptor","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acceptor</b><br>A substance that is added as an impurity to a <a href=""entry://semiconductor"">semiconductor</a> because of its ability to accept electrons from the valence bands, causing <i>p-</i> type conduction by the mobile positive holes left"
"acceptor levels","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acceptor levels</b><br>Energy levels of an acceptor atom in a <a href=""entry://semiconductor"">semiconductor</a>, such as aluminium, in silicon. These energy levels are very near the top of the valence band, and therefore cause <i>p-</i>type conduction. See also <a href=""entry://energy band"">energy bands</a>"
"accommodation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>accommodation</b><br>The process by which the focal length of the <a href=""entry://lens"">lens</a> of the eye is changed so that clear images of objects at a range of distances are displayed on the retina. In man and some other mammals accommodation is achieved by reflex adjustments in the shape of the lens brought about by relaxation and contraction of muscles within the ciliary body"
"accretion disc","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>accretion disc</b><br>A disc-shaped rotating mass formed by gravitational attraction. See <a href=""entry://black hole"">black hole</a>; <a href=""entry://neutron star"">neutron star</a>; <a href=""entry://white dwarf"">white dwarf</a>"
"accumulator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>accumulator</b><i>(secondary cell; storage battery)</i>
<br>A type of <a href=""entry://voltaic cell"">voltaic cell</a> or battery that can be recharged by passing a current, through it from an external d.c. supply. The charging current, which is passed in the opposite direction to that in which the cell supplies current, reverses the chemical reactions in the cell. The common types are the <a href=""entry://lead-acid accumulator"">lead&mdash;acid accumulator</a> and the <a href=""entry://nickel-iron accumulator"">nickel-iron accumulator</a> and nickel&mdash;cadmium accumulator. See also <a href=""entry://sodium-sulphur cell"">sodium&mdash;sulphur cell</a>"
"achromatic lens","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>achromatic lens</b><br>A lens that corrects for chromatic <a href=""entry://aberration"">aberration</a> by using a combination of two lenses, made of different kinds of glass, such that their <a href=""entry://dispersion"">dispersions</a> neutralize each other although their <a href=""entry://refraction"">refractions</a> do not. The aberration can be reduced further by using an <i>apochromatic lens</i> , which consists of three or more different kinds of glass"
"acoustics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acoustics</b><br><b>1</b> The study of sound and sound waves.
<br><b>2</b> The characteristics of a building, especially an auditorium, with regard to its ability to enable speech and music to be heard clearly within it. For this purpose there should be no obtrusive echoes or resonances and the reverberation time should be near the optimum for the hall. Echoes are reduced by avoiding sweeping curved surfaces that could focus the sound and by breaking up large plane surfaces or covering them with sound-absorbing materials. Resonance is avoided by avoiding simple ratios for the main dimensions of the room, so that no one wavelength of sound is a factor of more than one of them. If the reverberation time is too long, speech will sound indistinct and music will be badly articulated, with one note persisting during the next. However, if it is too short, music sounds dead. It is long in a bare room with hard walls, and can be deliberately reduced by carpets, soft furnishings and sound-absorbent (‘acoustic’) felt. Reverberation times tend to be reduced by the presence of an audience and this must be taken into account in the design of the building."
"acoustoelectronic devices","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>acoustoelectronic devices</b><i>(electroacoustic devices)</i>
<br>Devices in which electronic signals are converted into acoustic waves. Acoustoelectronic devices are used in constructing <a href=""entry://delay line"">delay lines</a> and also in converting digital data from computers for transmission by telephone lines"
"actinic radiation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>actinic radiation</b><br>Electromagnetic radiation that is capable of initiating a chemical reaction. The term is used especially of ultraviolet radiation and also to denote radiation that will affect a photographic emulsion"
"actinium","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>actinium</b><br>Symbol Ac. A silvery radioactive metallic element belonging to group 3 (formerly IIIA) of the periodic table; a.n. 89; mass number of most stable isotope 227 (half-life 21.7 years); m.p. 1050 ± 50°C; b.p. 3200°C (estimated). Actinium&mdash;227 occurs in natural uranium to an extent of about 0.715%. Actinium&mdash;228 (half-life 6.13 hours) also occurs in nature. There are 22 other artificial isotopes, all radioactive and all with very short half-lives. Its chemistry is similar to that of lanthanum. Its main use is as a source of alpha particles. The element was discovered by A. Debierene in 1899"
"actinium series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>actinium series</b><br>See <a href=""entry://radioactive series"">radioactive series</a>"
"actinoid contraction","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>actinoid contraction</b><br>A smooth decrease in atomic or ionic radius with increasing proton number found in the actinoids"
"actinometer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>actinometer</b><br>Any of various instruments for measuring the intensity of electromagnetic radiation. Recent actinometers use the <a href=""entry://photoelectric effect"">photoelectric effect</a> but earlier instruments depended either on the fluorescence produced by the radiation on a screen or on the amount of chemical change induced in some suitable substance"
"action at a distance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>action at a distance</b><br>The direct interaction between bodies that are not in physical contact with each other. The concept involves the assumption that the interactions are instantaneous. This assumption is not consistent with the special theory of <a href=""entry://relativity"">relativity</a>, which states that nothing (including interactions) can travel through space faster than the <a href=""entry://speed of light"">speed of light</a> in a vacuum. For this reason it is more logical to describe interactions between bodies by <a href=""entry://field"">field</a> theories or by the exchange of virtual particles (see <a href=""entry://virtual state"">virtual state</a>) rather than theories based on action at a distance"
"action potential","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>action potential</b><br>The change in electrical potential that occurs across a cell membrane during the passage of a nerve impulse. As an impulse travels in a wavelike manner along the axon of a nerve, it causes a localized and transient switch in electric potential across the cell membrane from -60 mV (millivolts; the resting potential) to +45 mV. The change in electric potential is caused by an influx of sodium ions. Nervous stimulation of a muscle fibre has a similar effect"
"action spectrum","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>action spectrum</b><br>A graphical plot of the efficiency of electromagnetic radiation in producing a photochemical reaction against the wavelength of the radiation used. For example, the action spectrum for photosynthesis using light shows a peak in the region 670&ndash;700 nm. This corresponds to a maximum absorption in the absorption spectrum of chlorophylls in this region"
"activation analysis","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>activation analysis</b><br>An analytical technique that can be used to detect most elements when present in a sample in milligram quantities (or less). In <i>neutron activation analysis</i> the sample is exposed to a flux of thermal neutrons in a nuclear reactor. Some of these neutrons are captured by nuclides in the sample to form nuclides of the same atomic number but a higher mass number. These newly formed nuclides emit gamma radiation, which can be used to identify the element present by means of a gammaray spectrometer. Activation analysis has also been employed using charged particles, such as protons or alpha particles"
"active device","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>active device</b><br><b>1</b> An electronic component, such as a transistor, that is capable of amplification.
<br><b>2</b> An artificial <a href=""entry://satellite"">satellite</a> that receives information and retransmits it after amplification.
<br><b>3</b> A radar device that emits microwave radiation and provides information about a distant body by receiving a reflection of this radiation. Compare <a href=""entry://passive device"">passive device</a>."
"activity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>activity</b><br><b>1</b> Symbol <i>a</i>. A thermodynamic function used in place of concentration in equilibrium constants for reactions involving nonideal gases and solutions. For example, in a reaction <div class=""equ"">A ? B + C</div> the true equilibrium constant is given by <div class=""equ""><i>K</i> = <i>a</i><sub class=""ind"">B</sub><i>a</i><sub class=""ind"">C</sub>/<i>a</i><sub class=""ind"">A</sub></div> where <i>a</i><sub class=""ind"">A</sub>, <i>a</i><sub class=""ind"">B</sub>, and <i>a</i><sub class=""ind"">C</sub> are the activities of the components, which function as concentrations (or pressures) corrected for nonideal behaviour. <i>Activity coefficients</i> (symbol γ) are defined for gases by γ = <i>a</i>/<i>p</i> (where <i>p</i> is pressure) and for solutions by γ = <i>a</i><i>X</i> (where <i>X</i> is the mole fraction). Thus, the equilibrium constant of a gas reaction has the form <div class=""equ""><i>K</i><sub class=""ind""><i>p</i></sub> =γ<sub class=""ind"">B</sub><i>P</i><sub class=""ind"">B</sub>γ<sub class=""ind"">C</sub><i>P</i><sub class=""ind"">C</sub>/γ<sub class=""ind"">A</sub><i>P</i><sub class=""ind"">A</sub></div>The equilibrium constant of a reaction in solution is <div class=""equ""><i>K</i><sub class=""ind""><i>c</i></sub> = γ<sub class=""ind"">B</sub><i>X</i><sub class=""ind"">B</sub>γ<sub class=""ind"">C</sub>/γ<sub class=""ind"">A</sub><i>X</i><sub class=""ind"">A</sub></div>The activity coefficients thus act as correction factors for the pressures or concentrations. See <a href=""entry://fugacity"">fugacity</a>.
<br><b>2</b> Symbol <i>A</i>. The number of atoms of a radioactive substance that disintegrate per unit time. The <i>specific activity</i> (<i>a</i>) is the activity per unit mass of a pure radioisotope. See <a href=""entry://radiation units"">radiation units</a>."
"additive process","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>additive process</b><br>See <a href=""entry://colour"">colour</a>"
"adiabatic approximation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>adiabatic approximation</b><br>An approximation used in <a href=""entry://quantum mechanics"">quantum mechanics</a> when the time dependence of parameters, such as the internuclear distance between atoms in a molecule is slowly varying. This approximation means that the solution of the <a href=""entry://Schrödinger equation"">Schrödinger equation</a> at one time goes continuously over to the solution at a later time. This approximation was formulated by Max Born and the Soviet physicist Vladimir Alexandrovich Fock (1898&ndash;1974) in 1928. The <a href=""entry://Born-Oppenheimer approximation"">Born&mdash;Oppenheimer approximation</a> is an example of the adiabatic approximation"
"adiabatic demagnetization","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>adiabatic demagnetization</b><br>A technique for cooling a paramagnetic salt, such as potassium chrome alum, to a temperature near <a href=""entry://absolute zero"">absolute zero</a>. The salt is placed between the poles of an electromagnet and the heat produced during magnetization is removed by liquid helium. The salt is then isolated thermally from the surroundings and the field is switched off; the salt is demagnetized adiabatically and its temperature falls. This is because the demagnetized state, being less ordered, involves more energy than the magnetized state. The extra energy can come only from the internal, or thermal, energy of the substance"
"adiabatic process","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>adiabatic process</b><br>Any process that occurs without heat entering or leaving a system. In general, an adiabatic change involves a fall or rise in temperature of the system. For example, if a gas expands under adiabatic conditions, its temperature falls (work is done against the retreating walls of the container). The <i>adiabatic equation</i> describes the relationship between the pressure (<i>p</i>) of an ideal gas and its volume (<i>V</i>), i.e. <div class=""equ""><i>p</i><sub class=""ind""><i>V</i>γ</sub> = <i>K</i></div>, where γ is the ratio of the principal specific <a href=""entry://heat capacity"">heat capacities</a> of the gas and K is a constant"
"admittance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>admittance</b><br>Symbol <i>Y</i>. The reciprocal of <a href=""entry://impedance"">impedance</a>. It is measured in siemens"
"adsorbate","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>adsorbate</b><br>A substance that is adsorbed on a surface"
"adsorption","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>adsorption</b><br>The formation of a layer of gas, liquid, or solid on the surface of a solid or, less frequently, of a liquid. There are two types depending on the nature of the forces involved. In <i>chemisorption</i> a single layer of molecules, atoms, or ions is attached to the adsorbent surface by chemical bonds. In <i>physisorption</i> adsorbed molecules are held by the weaker <a href=""entry://van der Waals' force"">van der Waals' forces</a>. Adsorption is an important feature of surface reactions, such as corrosion, and heterogeneous catalysis. The property is also utilized in adsorption chromatography"
"advanced gas-cooled reactor","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>advanced gas-cooled reactor</b>(AGR)
<br>See <a href=""entry://nuclear reactor"">nuclear reactor</a>"
"aerial","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aerial</b><i>(antenna)</i>
<br>The part of a radio or television system from which radio waves are transmitted into the atmosphere or space (<i>transmitting aerial</i> ) or by which they are received (<i>receiving aerial</i> ). A <i>directional aerial</i> or <i>directive aerial</i> is one in which energy is transmitted or received more effectively from some directions than others, whereas an <i>omnidirectional aerial</i> transmits and receives equally well in all directions"
"aerodynamics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aerodynamics</b><br>The study of the motion of gases (particularly air) and the motion of solid bodies in air. Aerodynamics is particularly concerned with the motion and stability of aircraft. Another application of aerodynamics is to the flight of birds and insects. The branch of aerodynamics concerned with the flow of gases through compressors, ducts, fans, orifices, etc., is called <i>internal aerodynamics</i> .
<br><i>Aerodynamic drag</i> is the force that opposes the motion of a body moving relative to a gas and is a function of the density of the gas, the square of the relative velocity, the surface area of the body, and a quantity called the <i>drag coefficient</i> , which is a function of the <a href=""entry://Reynolds number"">Reynolds number</a>. <i>Aerodynamic lift</i> is an upward force experienced by a body moving through a gas and is a function of the same variables as aerodynamic drag"
"aerogenerator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aerogenerator</b><br>See <a href=""entry://wind power"">wind power</a>"
"aeronautics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aeronautics</b><br>The branch of <a href=""entry://aerodynamics"">aerodynamics</a> concerned with the design, construction, and operation of aircraft and rockets"
"aerosol","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aerosol</b><br>A colloidal dispersion of a solid or liquid in a gas. The commonly used aerosol sprays contain an inert propellant liquefied under pressure. Halogenated alkanes containing chlorine and fluorine (chlorofluorocarbons, or CFC<sub class=""ind"">s</sub>) have been used in aerosol cans. This use has been criticized on the grounds that these compounds persist in the atmosphere and lead to depletion of the ozone layer"
"aerospace","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aerospace</b><br>The earth's atmosphere and the space beyond it"
"AFM","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>AFM</b><br>See <a href=""entry://atomic force microscope"">atomic force microscope</a>"
"after-heat","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>after-heat</b><br>Heat produced by a nuclear reactor after it has been shut down. The after-heat is generated by radioactive substances formed in the fuel elements"
"age of the earth","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>age of the earth</b><br>The time since the earth emerged as a planet of the sun, estimated by <a href=""entry://dating techniques"">dating techniques</a> to be about 4.6 × 10<sup class=""expo"">9</sup> years. The oldest known rocks on earth are estimated by their <a href=""entry://radioactive age"">radioactive age</a> to be about 3.5 × 10<sup class=""expo"">9</sup> years old. The earth is older than this because of the long time it took to cool. An estimate for the cooling time is included in the estimate for the age of the earth"
"age of the universe","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>age of the universe</b><br>A time determined by the reciprocal of the value of the <a href=""entry://Hubble constant"">Hubble constant</a> to be between 10 and 20 billion years. The calculation of the Hubble constant, and hence the age of the universe, depends on which theory of <a href=""entry://cosmology"">cosmology</a> is used. Usually, the age of the universe is calculated by assuming that the <a href=""entry://expansion of the universe"">expansion of the universe</a> can be described by the <a href=""entry://big-bang"">big-bang</a> theory. Some estimates for the age of the universe suggest a figure that is less than the age of some stars in the universe, which would constitute a major paradox for cosmology"
"AGR","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>AGR</b><br>Advanced gas-cooled reactor. See <a href=""entry://nuclear reactor"">nuclear reactor</a>"
"AI","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>AI</b><br>See <a href=""entry://artificial intelligence"">artificial intelligence</a>"
"air","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>air</b><br>See <a href=""entry://earth's atmosphere"">earth's atmosphere</a>"
"albedo","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>albedo</b><br><b>1</b> The ratio of the radiant flux reflected by a surface to that falling on it.
<br><b>2</b> The probability that a neutron entering a body of material will be reflected back through the same surface as it entered."
"algebraic sum","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>algebraic sum</b><br>The total of a set of quantities paying due regard to sign, e.g. the algebraic sum of 3 and -4 is -1"
"algorithm","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>algorithm</b><br>A method of solving a problem, involving a finite series of steps. In computing practice the algorithm denotes the expression on paper of the proposed computing process (often by means of a flowchart) prior to the preparation of the program. If no algorithm is possible a <a href=""entry://heuristic"">heuristic</a> solution has to be sought"
"allowed bands","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>allowed bands</b><br>See <a href=""entry://energy band"">energy bands</a>"
"allowed transitions","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>allowed transitions</b><br>See <a href=""entry://selection rules"">selection rules</a>"
"alloy","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>alloy</b><br>A material consisting of two or more metals (e.g. brass is an alloy of copper and zinc) or a metal and a nonmetal (e.g. steel is an alloy of iron and carbon, sometimes with other metals included). Alloys may be compounds, <a href=""entry://solid solution"">solid solutions</a>, or mixtures of the components"
"alloy steels","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>alloy steels</b><br>See <a href=""entry://steel"">steel</a>"
"Alnico","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Alnico</b><br>A tradename for a series of alloys, containing iron, aluminium, nickel, cobalt, and copper, used to make permanent magnets"
"alpha particle","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>alpha particle</b><br>A helium&ndash;4 nucleus emitted by a larger nucleus during the course of the type of radioactive decay known as <i>alpha decay</i> . As a helium&ndash;4 nucleus consists of two protons and two neutrons bound together as a stable entity the loss of an alpha particle involves a decrease in <a href=""entry://nucleon number"">nucleon number</a> of 4 and decrease of 2 in the <a href=""entry://atomic number"">atomic number</a>, e.g. the decay of a uranium&ndash;238 nucleus into a thorium&ndash;234 nucleus. A stream of alpha particles is known as an <i>alpha-ray</i> or <i>alpha-radiation</i>"
"alternating current","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>alternating current</b>(a.c.)
<br>An electric current that reverses its direction with a constant <a href=""entry://frequency"">frequency</a> (<i>f</i>). If a graph of the current against time has the form of a <a href=""entry://sine wave"">sine wave</a>, the current is said to be <i>sinusoidal</i> . Alternating current, unlike direct current, is therefore continuously varying and its magnitude is either given as its peak value (<i>I</i><sub class=""ind"">o</sub>) or its <a href=""entry://root-mean-square value"">root-mean-square value</a> (<i>I</i><sub class=""ind"">o</sub>/v2 for a sinusoidal current). This r.m.s. value is more useful as it is comparable to a d.c. value in being a measure of the ability of the current to transmit power. The instantaneous value of a sinusoidal current (<i>I</i>) is given by <div class=""equ""><i>I</i> = <i>I</i><sub class=""ind"">o</sub>sin2π</img><i>ft</i>.</div>
<br>If a direct current is supplied to a circuit the only opposition it encounters is the circuit's <a href=""entry://resistance"">resistance</a>. However, an alternating current is opposed not only by the resistance of the circuit but also by its <a href=""entry://reactance"">reactance</a>. This reactance is caused by <a href=""entry://capacitance"">capacitance</a> and <a href=""entry://inductance"">inductance</a> in the circuit. In a circuit consisting of a resistance (<i>R</i>), and inductance (<i>L</i>), and a capacitance (<i>C</i>) all in series, the reactance (<i>X</i>) is equal to (2π</img><i>fL</i>) &ndash; (1/2π</img><i>fC</i>). The total opposition to the current, called the <a href=""entry://impedance"">impedance</a> (<i>Z</i>), is then equal to the ratio of the r.m.s. applied p.d. to the r.m.s. current and is given by v(<i>R</i><sup class=""expo"">2</sup> + <i>X</i><sup class=""expo"">2</sup>)"
