e	and
nomes	names
juntamente	along
valor	value
falava	spoke
vestes	clothes
décimo	tenth
levado	taken
nota	notice
Rúben	Reuben
dali	from there
Jeú	Jehu
leão	lion
daqueles	of those
cem	hundred
conselho	advice
Betel	Bethel
venha	come
comprimento	length
trazer	to bring
gentios	gentiles
escolheu	he chose
setenta	seventy
seres	beings
andar	to walk
escuridão	darkness
Gileade	Gilead
momento	moment
esposa	wife
tristeza	sadness
governador	governor
frutos	fruits
serei	I will be
entendimento	understanding
amorreus	amorites
mataram	killed
juramento	oath
possa	may
fui	I went
ossos	bones
farinha	flour
receber	to receive
estamos	we are
receberam	received
jovem	young
cordeiros	lambs
impuro	impure
fique	stay
vista	view
alimento	food
pele	skin
feitos	made
lábios	lips
Galileia	Galilee
uvas	grapes
altares	altars
depressa	quickly
sonho	dream
porquanto	because
pertence	belongs
querem	want
esteja	be
chamar	to call
tirar	to throw
ouvi	I heard
fizer	do
colocou	placed
cheia	full
jamais	never
posso	I can
primeira	first
apareceu	he appeared
adorar	love
louvor	praise
asas	wings
Balaão	Balaam
jovens	young people
ímpios	wicked
pegou	he picked up
tempos	times
certamente	certainly
cento	hundred
metade	half
tivesse	had
muro	wall
vivos	alive
alta	high
vitória	victory
tomar	take
vindo	coming
Abrão	Abram
falando	talking
autoridades	authorities
ouve	listen
verão	summer
ouvido	heard
Pilatos	Pilate
prova	proof
obedecer	obey
gerações	generations
nuvens	clouds
angústia	anguish
pecar	sin
vamos	let's go
fiquem	stay
nesta	in this
cumprir	to fulfill
cheios	full
carta	letter
tocar	touch
culto	cult
comandante	commander
confiança	trust
hei	hey
pôr	put
vendo	seeing
sabendo	knowing
princípio	beginning
capaz	able
refúgio	refuge
conhecer	to know
encontrar	find
continuou	continued
Josias	Josiah
côvados	cubits
expiação	atonement
dessas	of these
vara	stick
peso	weight
Isaías	Isaiah
descendência	offspring
contar	tell
altos	high
estrangeiro	foreigner
quiser	he wants
descanso	rest
gordura	fat
cujo	whose
presente	present
planos	plans
praga	Prague
salvar	save
boi	ox
bênção	blessing
vêm	he comes
chamada	call
ruas	streets
morrerá	will die
livre	free
cordeiro	lamb
ocasião	occasion
rico	rich
mandado	warrant
pedir	ask
desceu	went down
rocha	rock
Zacarias	Zacharias
Josafá	Jehoshaphat
carneiros	sheep
Líbano	Lebanon
juntos	together
compaixão	compassion
virão	will come
perversos	wicked
perguntaram	they asked
escravo	slave
primeiros	first
maravilhas	wonders
poço	pit
Amom	Amon
colheita	harvest
violência	violence
temor	fear
quis	wanted
falta	lack
conhece	do you know
amigo	friend
desses	of these
senão	if not
cama	bed
valentes	brave
presentes	gifts
semente	seed
parentes	relatives
conosco	with us
portanto	therefore
passado	past
Herodes	Herod
forem	were
recebeu	it received
puseram	put
trouxeram	brought
faço	I make
Siquém	Shechem
falsos	false
ramos	branches
Labão	Laban
viagem	trip
lados	sides
feita	done
destruídos	destroyed
sessenta	sixty
prometeu	Prometheus
morreram	died
duzentos	two hundred
utensílios	utensils
ruínas	ruins
futuro	future
sombra	shadow
posse	possession
sinais	signs
dada	given
adiante	ahead
novilho	bullock
espécie	species
prisão	prison
objetos	objects
muros	walls
guardas	guards
existe	exists
fazia	did
mel	honey
nesse	in that
disto	of this
atacar	attack
pastores	shepherds
estrelas	stars
vier	come
fortaleza	strength
viúva	widow
propriedade	property
fermento	yeast
inteiro	whole
quilos	kilos
riqueza	wealth
fidelidade	fidelity
trombeta	trumpet
testemunhas	witnesses
saberão	will know
Noé	Noah
seguintes	following
tesouros	treasures
sede	thirst
partiu	left
aflição	affliction
Joás	Joash
iam	were going
Hebrom	Hebron
terrível	terrible
neles	in them
deixem	leave
cananeus	Canaanites
som	sound
podia	could
oriente	east
orgulho	pride
dê	of
Zedequias	Zedekiah
importante	important
parábola	parable
motivo	reason
escolhido	chosen
cerca	about
tendas	tents
destruído	destroyed
daquela	of that
seca	dry
deixaram	left
amonitas	ammonites
acima	above
judeu	Jewish
igualmente	also
dirá	will say
desejo	desire
cativeiro	captivity
subir	go up
poderia	it could
lança	spear
pecadores	sinners
querubins	cherubs
passa	raisin
reinar	reign
esquerda	left
fonte	source
sepultura	grave
fronteira	border
abriu	opened
meses	months
diga	say
caíram	fell
rainha	queen
falei	I spoke
interior	inside
ambos	both
prazer	pleasure
sentado	sitting
Simeão	Simeon
oeste	west
pedido	order
mentiras	lies
comunidade	community
Basã	Bashan
estiverem	are
estás	these
ajudar	to help
tropas	troops
sequer	even
partir	leave
dou	I give
disser	say
santa	saint
maldição	curse
mandamento	commandment
chama	flame
medida	measure
imagem	image
grego	Greek
exílio	exile
entraram	entered
anda	go
amado	loved
tiveram	had
soube	I knew
sofrimento	Suffering
grupos	groups
daqui	from here
Roboão	Rehoboam
gramas	grams
construir	build
imagens	images
oito	eight
Gade	Gad
entregue	delivered
feriu	hurt
criança	child
armas	weapons
verdadeiro	TRUE
pastor	shepherd
estatutos	statutes
pedaços	pieces
chegando	arriving
segunda	second
inocente	innocent
buscar	search
sagradas	sacred
sabemos	we know
tábuas	boards
viva	alive
realmente	really
louvores	praises
dono	owner
procura	search
carro	car
andam	walk
recompensa	reward
queimada	burned
rios	rivers
levantou-se	got up
cabeças	heads
estarão	will be
algumas	some
pagãos	pagans
pensamentos	thoughts
Sodoma	Sodom
certeza	certainty
amanhã	tomorrow
acaso	chance
acabou	he finished
pediu	he requested
estando	being
Abimeleque	Abimelech
irado	angry
haja	there is
pagar	pay
testemunha	witness
houver	there is
ficava	was
defeito	defect
domínio	domain
cobre	copper
bons	good
abundância	abundance
manda	he sends
queria	I wanted
coroa	crown
agradável	pleasant
selvagens	wild
levados	taken
fino	fine
firme	firm
quinto	fifth
mostrar	show
manto	cloak
sinagoga	synagogue
ressurreição	resurrection
preso	arrested
poderosos	powerful
naquela	in that
jumento	donkey
fugiram	fled
fiéis	faithful
cova	grave
construiu	built
juízes	judges
arraial	camp
contou	told
haver	be
encontrou	it found
dura	hard
cedro	cedar
Belém	Bethlehem
muralhas	walls
contudo	however
reinos	kingdoms
átrio	atrium
Eufrates	Euphrates
viverá	will live
promessas	promises
companheiros	companions
casamento	marriage
sepultado	buried
velhos	old
notícia	news
montanha	mountain
gritos	screams
exemplo	example
Judeia	Judea
israelita	Israelite
dando	giving
culpado	guilty
passaram	passed
humano	human
cuja	whose
cordas	strings
bode	goat
Acaz	Ahaz
principais	main
plano	flat
atos	acts
Ismael	Ishmael
morrerão	will die
lua	moon
espíritos	spirits
totalmente	fully
relações	relations
termo	term
podemos	we can
trabalhar	to work
morar	to live
tornará	will become
fugir	to escape
ficam	stay
coragem	courage
viveu	lived
preciso	necessary
oficial	official
farão	Pharaoh
ventre	belly
pano	cloth
declara	declares
serás	you will be
destes	of these
barco	boat
orações	prayers
jumentos	donkeys
julgamento	judgment
contados	counted
cá	here
socorro	help
cego	blind
camelos	camels
posto	post
julgar	judge
Azarias	Azariah
descendente	descendant
conhecem	know
aldeias	villages
abençoou	blessed
levantar	get up
eterno	eternal
prisioneiros	prisoners
partiram	left
comeram	ate
Jessé	Jesse
ímpio	wicked
especial	special
anunciar	announce
orar	pray
deixe	leave
possam	may
lepra	leprosy
algo	something
espera	wait
perverso	wicked
costas	back
comerão	will eat
ressuscitou	resurrected
luto	grief
gritou	shouted
fugiu	ran away
ensinar	to teach
destas	of these
tornar	become
tomaram	took
província	province
línguas	languages
feliz	happy
época	era
neto	grandchild
deem	give
chorar	to cry
Acazias	Ahaziah
repente	suddenly
melhores	best
combate	fight
barro	clay
vinhas	vineyards
leite	milk
casar	to marry
flechas	arrows
corações	hearts
túmulo	tomb
sabia	you knew
porventura	perhaps
lutar	to fight
membros	members
colinas	hills
banquete	banquet
antigos	old
correntes	currents
nelas	in them
milagres	miracles
vinda	coming
liberdade	freedom
escapar	escape
ruína	ruin
juiz	judge
serva	servant
castigar	punish
tornaram	became
significado	meaning
dão	give
ofereceu	offered
juízos	judgments
estendeu	extended
nessa	in this
vestidos	dresses
corpos	bodies
arco	bow
imundo	unclean
criou	created
mestres	masters
estejam	be
destruiu	destroyed
deixará	will leave
Issacar	Issachar
tipo	type
partes	parts
parede	wall
cavaleiros	knights
cairão	will fall
cairá	will fall
facto	fact
jardim	garden
doente	sick
lenha	firewood
grandeza	greatness
leva	he takes
caldeus	Chaldeans
cegos	blind
trarei	I will bring
cruz	cross
continuar	continue
acontecido	happened
reto	straight
preceitos	precepts
paciência	patience
levantaram	raised
conhecido	known
tiverem	have
festas	parties
cedo	early
Amazias	Amaziah
mestre	teacher
fomos	we were
notícias	news
más	but
farás	you will do
veem	see
dava	gave
quase	almost
leões	lions
assembleia	assembly
prostituta	prostitute
dirão	they will say
mensageiro	messenger
viviam	lived
trezentos	three hundred
nascer	to be born
guerreiros	warriors
cura	cure
clã	clan
viúvas	widows
trombetas	trumpets
ponto	point
adversários	opponents
Naftali	Naphtali
teria	would have
devemos	we must
deixa	he leaves
pertencem	belong
palha	straw
montanhosa	mountainous
exclamou	exclaimed
tais	such
salvo	saved
chegado	arrived
venham	come
mente	mind
erva	herb
tornou-se	became
seiscentos	six hundred
olhar	to look
nove	nine
nascimento	birth
cântico	song
sois	you are
disse-me	told me
indignação	indignation
amam	love
ungido	anointed
tempestade	storm
entregar	deliver
ouvindo	listening
Hamã	Haman
véu	veil
insensato	foolish
tolo	fool
sairá	will come out
ricos	rich
correr	run
bênçãos	blessings
restante	remainder
perguntar	to ask
líder	leader
acamparam	camped
todo-poderoso	almighty
poucos	few
podiam	could
circuncisão	circumcision
trazem	bring
saco	bag
indo	going
breve	brief
praticam	practice
peixes	fish
estado	state
encontraram	found
quatrocentos	four hundred
decretos	decrees
siclos	shekels
enviado	sent
der	give
coluna	column
Zadoque	Zadok
vacas	cows
rebeldes	rebels
mandar	to send
lágrimas	tears
devia	should
come	eat
Joiada	Jeweled
púrpura	purple
portão	gate
ministério	ministry
humana	human
baixo	low
adultério	adultery
piedade	mercy
deixarei	I will leave
vim	I came
clãs	clans
ouvem	hear
milhares	thousands
capazes	capable
procurar	to search for
igrejas	churches
esteve	was
dentes	teeth
sabes	you know
guardar	save
consciência	conscience
vestido	dress
apresentar	to present
levando	taking
demônios	demons
chifres	horns
àquele	that one
presos	prisoners
moabitas	Moabites
igual	equal
foste	you were
correu	ran
chamados	called
litros	liters
falam	speak
cevada	barley
vejam	see
pergunta	question
destruída	destroyed
colheitas	harvests
apesar	despite
responder	to respond
procuram	looking for
verdadeira	true
entender	to understand
digam	say
conselheiros	advisors
bodes	goats
recebe	receives
quiseram	wanted
perguntou-lhe	asked him
destruirei	I will destroy
recebido	received
olhou	looked
humanos	humans
cálice	cup
trará	will bring
fundo	bottom
flor	flower
falado	spoken
cabelo	hair
sala	room
queimar	burn
oitavo	eighth
muralha	wall
amo	I love
vivam	live
simples	simple
pequeno	small
dores	pains
comprar	buy
Gibeá	Gibeah
respondeu-lhe	answered him
estrada	road
costume	custom
fizerem	do
voto	vote
passando	passing by
injustiça	injustice
escritas	written
base	basis
armadilha	trap
tribunal	court
purificação	purification
escolher	to choose
antiga	old
Jorão	Joron
vizinhos	neighbors
Aser	Asher
pedaço	chunk
paredes	walls
novas	new
sai	get out
presa	prey
porei	I will put
permanece	remains
escolhidos	chosen
cavalo	horse
volte	come back
oriental	Eastern
nasceu	he was born
imediatamente	immediately
Jónatas	Jonathan
vivia	lived
feitas	made
habita	inhabits
seguiram	followed
retidão	righteousness
perdão	forgiveness
gafanhotos	locusts
daquilo	of that
beira	border
reuniu	gathered
pena	pity
mentira	lie
encontra	finds
creram	believed
adoração	worship
Saulo	Saul
dor	pain
chamava	called
Ramá	Ramah
tocou	touched
tive	I had
instrumentos	instruments
clamor	cry
arredores	surroundings
pedindo	asking
temem	fear
moço	boy
jurou	swore
faziam	did
descer	to descend
irei	I will go
dom	Sun
Seir	Know
sagrado	sacred
pronto	ready
pensar	think
certa	right
Urias	Uriah
texto	text
ouvirem	hear
desejos	wishes
criado	created
orou	prayed
oitenta	eighty
longo	far away
fio	wire
escolhi	I chose
ribeiro	brook
escudos	shields
bezerro	calf
azul	blue
Uzias	Uzziah
meia	half
livrar	rid
firmes	firm
fortalezas	fortresses
espinhos	thorns
digno	worthy
cometeu	committed
argolas	rings
sofrer	to suffer
primogênito	first-born
menor	minor
décima	tenth
banda	band
rebelde	rebel
prosperidade	prosperity
peito	chest
passam	pass
olho	eye
fazerem	do
escudo	shield
escreveu	he wrote
antepassado	ancestor
Timóteo	Timothy
salvos	saved
habitação	housing
sucedeu	happened
subiram	went up
põe	put
puderam	could
mostrou	showed
decreto	decree
versículo	verse
moça	girl
instante	instant
habitar	inhabit
fontes	sources
acontece	it happens
Asafe	Asaph
impura	impure
derramou	spilled
manjares	delicacies
Zebulom	Zebulun
acrescentou	added
preço	price
mesmas	same
incluindo	including
habitam	inhabit
comam	eat
sozinho	alone
ensino	teaching
deves	you must
voltarão	will return
seguiu	followed
fama	fame
torna	becomes
tirado	taken
dera	gave
continuamente	continuously
cantos	corners
besta	beast
vermelho	red
rodas	wheels
pastagens	pastures
passos	steps
limpo	clean
governantes	rulers
intermédio	intermediate
falaram	they spoke
sábados	Saturdays
preciosas	precious
ocidente	West
grega	Greek
capa	cover
cabelos	hair
Natã	Cream
Mardoqueu	Mordecai
objeto	object
obedecem	obey
natureza	nature
mandaram	they sent
inveja	envy
trabalhos	works
crescer	to grow
cortina	curtain
pequena	small
desprezo	contempt
povoados	towns
peço	I ask
figueira	fig tree
enorme	huge
aceita	accepted
profundezas	depths
maldades	evils
jugo	yoke
vingança	revenge
tirei	I took
terceira	third
portões	gates
triste	sad
segredo	secret
cheias	full
queimou	burned
lago	lake
envergonhados	ashamed
torre	tower
quantidade	amount
tanta	so much
salva	save
prática	practice
ponta	tip
adoraram	loved it
midianitas	Midianites
ido	gone
veja	look
passagem	ticket
parece	seems
espigas	ears
abrir	open
morada	household
impostos	taxes
ídolo	idol
crentes	believers
capitães	captains
achou	he thought
visões	visions
termos	terms
pura	pure
preparado	prepared
má	bad
Balaque	Balak
rolo	roll
reuniram	gathered
moedas	coins
espadas	swords
escondido	hidden
comunhão	communion
Calebe	Caleb
videira	vine
tesouro	treasure
orvalho	dew
desceram	went down
conselhos	advice
planta	plant
jebuseus	Jebusites
bastante	quite
tivessem	had
procurando	looking for
poderosa	powerful
efeito	effect
cadáveres	corpses
antigo	old
serpente	snake
alegre	happy
acabar	to finish
abominações	abominations
Semaías	Shemaiah
prometido	promised
porá	will put
fizera	had done
felizes	happy
vais	you go
sofrimentos	sufferings
levantará	will rise
aparência	appearance
Esdras	Ezra
terei	I will have
passará	will pass
nobres	nobles
navio	ship
matá-lo	kill him
contas	accounts
parecer	opinion
comerá	will eat
abismo	abyss
Hilquias	Hilkiah
consagrado	consecrated
Abias	Abijah
queimará	will burn
fiquei	I was left
escritos	writings
devido	due
contaram	they told
cantores	singers
pôs-se	possession
pensa	think
fazes	you do
despojo	spoil
pensam	think
nasceram	were born
fracos	weak
comeu	he ate
bebida	drink
sono	sleep
sacerdotal	priestly
deixado	left
canto	corner
beleza	beauty
apóstolo	apostle
rede	network
podes	you can
curado	cured
rapaz	boy
lavar	to wash
cortinas	curtains
sexto	sixth
usar	to use
sentido	sense
parar	to stop
cinto	belt
candelabro	chandelier
àqueles	those ones
ouçam	listen
destruirá	will destroy
deixes	leave
cujos	whose
condenado	condemned
dormir	sleep
andando	walking
tenhas	have
produz	produces
necessidade	need
majestade	majesty
imoralidade	immorality
deviam	should
profecia	prophecy
ondas	waves
meio-dia	midday
lã	there
glorioso	glorious
deu-lhe	gave him
suficiente	enough
saindo	leaving
preparar	prepare
peste	plague
perdoados	forgiven
morta	dead
lista	list
lançou	launched
transgressões	transgressions
raízes	roots
filisteu	Philistine
santidade	holiness
discípulo	disciple
aquelas	those
vales	valleys
queimadas	burned
livrou	freed
chamas	flames
sepulcro	tomb
senhores	sirs
havendo	having
entrarem	enter
despojos	spoils
cadáver	corpse
areia	sand
sonhos	dreams
seguro	safe
salário	wage
medidas	measures
impuros	impure
Benaia	Benaiah
governadores	governors
exatamente	exactly
creem	believe
agrada	pleases
virgem	virgin
morra	die
importantes	important
ficarem	stay
Jefté	Jephthah
Hesbom	Heshbon
parto	childbirth
madrugada	dawn
esperando	waiting
devo	I must
dedo	finger
abençoe	bless
propósito	purpose
disseste	you said
concerto	concert
companheiro	partner
castigarei	I will punish
quinhentos	five hundred
perigo	danger
habitavam	inhabited
defronte	in front
catorze	fourteen
cartas	letters
bacia	bowl
províncias	provinces
navios	ships
deixando	leaving
toma	take
pudesse	could
prostituição	prostitution
novilhos	steers
confins	confines
cobriu	covered
Adonias	Adonijah
peleja	fight
pecador	sinner
ombros	shoulders
fraco	weak
Abiatar	Abiathar
vinham	came
ofereceram	offered
limites	limits
chorando	crying
cheiro	smell
queimados	burned
morrido	dead
encarregado	in charge
atacou	attacked
terás	you will have
saiba	know
sagrados	sacred
parente	relative
moravam	lived
alicerces	foundations
achar	to think
tomará	he had taken
taça	cup
encheu	filled
Hananias	Hananiah
Dario	Darius
serve	serves
inteligência	intelligence
Ciro	Cyrus
seguindo	following
perder	lose
enviar	to send
acontecimentos	events
virem	come
saibam	know
fumaça	smoke
darão	will give
crê	believe
Nínive	Nineveh
trazendo	bringing
parou	stopped
Jeoaquim	Jehoiakim
planície	plain
passava	passed
mostra	show
escravidão	slavery
costumes	customs
tributo	tribute
terreno	land
tantos	so many
ordenara	had ordered
mandei	I sent
levita	Levite
doentes	sick
abaixo	below
sabiam	knew
grávida	pregnant
figos	figs
quantos	how many
loucura	craziness
livres	free
joelhos	knees
jejum	fast
final	end
felicidade	happiness
Rute	Ruth
usado	used
seguidores	followers
nascido	born
levanta	get up
adoram	love
abandonaram	abandoned
Éfeso	Ephesus
zelo	zeal
sagrada	sacred
extremidade	end
criados	created
tradução	translation
seremos	we will be
hebreus	Hebrews
estivesse	were
coro	choir
ódio	hatred
ação	action
varas	rods
resistir	resist
conheço	I know
Pérsia	Persia
exilados	exiles
espiritual	spiritual
batismo	baptism
aparecer	to appear
amalequitas	Amalekites
viverão	will live
julga	judge
horas	hours
harpa	harp
Antioquia	Antioch
ventos	winds
fazê-lo	do it
distantes	distant
coberta	covered
vaso	vase
praia	beach
pediram	asked
órfãos	orphans
limite	limit
grito	scream
vaidade	vanity
tendes	you have
precisam	need
olha	look
