ve	And
dünyanın	the world
çıkan	coming out
elli	fifty
el	hand
kardeşleri	siblings
yoksa	or?
yaşında	years old
söyledi	he said
sunu	presentation
mu	is it
miras	heritage
başı	head
kadının	woman's
yakmalık	burnt
vasıtası	means
çıktılar	They came out
kapı	door
aynı	same
iş	work
eski	old
bak	Look
Benyamin	Benjamin
yap	do
takdis	consecration
Irmağı	The river
önünden	in front of
yeri	place
nda	in
burada	Here
ilgili	relating to
bulunan	found
ait	Belonging
güçlü	strong
Hizkiya	Hezekiah
kılıç	sword
kralın	the king's
boyunca	along
şehir	city
veren	giving
kez	times
ince	thin
ay	month
yukarı	above
kalan	remainder
hakkı	right
getireceğim	I will bring
buhur	incense
yapan	made by
selâmet	salvation
oğullarını	their sons
getirdiler	They brought
sizinle	with you
insanlar	people
halkına	to the people
anlamına	means
ölüm	death
yılında	in the year
yoktu	There was no
kavmı	People
arasından	Amongst
Tanrımız	Our God
nedir	why
idiler	They were
yüreği	heart
verecek	will give
sunusu	offering
sizden	from you
takdime	Presentation
kâhinler	Oracles
kardeşi	brother
iyidir	It is good
dinleyin	listen
kendine	yourself
verdim	I gave it
sözlerini	your words
birinci	first
altına	under
yemek	food
olduğum	I am
Yeruşalime	Jerusalem
seslendi	called out
satın	buy
oldular	They became
olun	be
çölde	in the desert
hep	always
günlerde	in the days
diyarı	land of
üçüncü	third
söylediği	what he said
misin	Are you
koç	ram
yani	well
iken	while
yalan	Lie
İshak	Isaac
nedenle	for this reason
İnsanoğlu	Mankind
yoldan	from the road
uzak	far
kız	girl
Yakub	Jacob
çıkardı	took it out
halkını	your people
Filistliler	Philistines
Şeria	Sharia
şehadet	martyrdom
sular	water
ayın	ritual
verin	give it
kavma	Kavma
kan	blood
bunun	this
Yonatan	Jonathan
yanıtladı	answered
verir	gives
sesini	your voice
nerede	where
günler	days
diyarına	to the land of
ağacı	tree
aranızda	among you
sevinç	joy
gerek	necessary
esenlik	well-being
dünya	World
dönüp	turn around
şekel	shekel
tunç	bronze
mutlu	Happy
vurdu	hit
orduların	armies
olacaklar	they will be
milletler	nations
elinde	in your hand
Elç	Messenger
temiz	clean
kılıçla	with the sword
ediyor	It does
ziyade	rather
ye	eat
gibidir	It is like
yerden	from the ground
yedinci	seventh
söyle	Like this
sesle	with voice
sesi	voice
ol	be
kuzu	lamb
kendisinden	from himself
oldukları	they are
halkının	of the people
ardından	behind
Yahya	John
çıkacak	will come out
vermek	to give
karşısında	against
gönderip	send and
göklerin	the skies
benzer	similar
aldılar	They took
Elişa	Elisha
öldürdü	killed
hoşnut	pleased
İbranice	Hebrew
çağırdı	called
nde	in the
ebedî	eternal
Siyon	Zion
kırala	to the king
Grekçe	Greek
işleri	works
etmiş	done
efendim	Sir
doğurdu	gave birth
şunu	this
şeye	to something
verildi	was given
uzun	LONG
evini	your house
buyruk	command
yapacağım	I will do it
sevinçle	joyfully
Samiriye	Samaria
uğruna	for the sake of
toprak	soil
Şabat	Shabbat
öteki	other
yolunu	your way
yas	age
tam	full
oğul	son
ortasında	in the middle
olanların	those who have
feryat	bellow
etsin	Let it be
yabancı	foreign
varsa	if any
kırallık	kingdom
kanı	blood
şunlardır	These are:
babasının	his father
sekiz	eight
harap	ruined
derim	I say
yüzünü	your face
yakın	close
köle	slave
diyarından	from the land of
bazı	some
arşındı	He paced
arasına	between
oturdu	sat down
kalktı	got up
Efrayim	Ephraim
İsanın	Jesus'
sabah	morning
izin	permission
kişiyi	Person
emrettiği	ordered
almak	to take
övgüler	compliments
vaftiz	baptism
talant	talent
yolda	on the way
uluslar	nations
girdi	entry
hor	contempt
daima	always
Davuda	In the drum
çıkar	interest
günlerinde	in the days of
edecekler	They will
duyunca	when i heard
birer	one by one
Yahudi	Jewish
Manaşşe	Manasseh
Allahınız	Your God
odur	That is it
Mesihin	Christ's
yetmiş	seventy
yanından	from your side
rahat	comfortable
deniz	sea
bazıları	some
şehrin	the city
üzerinden	over
kuvvetli	strong
yolu	way
sırada	in line
boyu	height
birinin	someone's
işler	works
boğa	bull
alacak	will take
Moav	Moab
çağırıp	calling
kendisile	with himself
kardeşler	siblings
hoş	pleasant
ağır	heavy
zina	adultery
tahıl	grain
kirli	dirty
evin	your house
ellerini	your hands
durdu	stopped
canını	your life
Tanrım	Oh my God
İsraile	To Israel
sıkıntı	problem
meleği	angel
eve	home
bol	plenty
Rabbimiz	Our Lord
mutlaka	definitely
metin	text
melek	angel
kadınlar	women
işitince	When I heard
gözü	eye
değerli	valuable
Esav	Esau
rica	request
koyun	sheep
götürdü	took away
ettin	you did
Asur	Assyrian
ülkeyi	the country
ölüler	the dead
çocukları	Children
güneş	sun
az	little
aslan	lion
altından	under
Yehoşafat	Jehoshaphat
kentin	the city
gözleri	eyes
geçti	passed
adına	on behalf of
yapacaksın	you will do
yana	sideways
gözlerini	your eyes
kılıçtan	from the sword
birine	to someone
yapılan	done
toplanma	collection
takdim	presentation
memleket	home town
buraya	here
Masoretik	Masoretic
Ferisiler	Pharisees
İnsan	Person
öfkesi	his anger
yeryüzünde	on earth
yeniden	again
giden	outgoing
gerçek	real
aralarında	between them
Mısırlılar	Egyptians
ruh	soul
olacağım	I will be
göç	migration
yolundan	from your way
yapmış	made
kusursuz	flawless
kere	times
insanların	people's
gören	seeing
ağaçları	trees
sayısı	number of
ülke	country
yolunda	on its way
mezbah	Slaughterhouse
gördüler	They saw
girip	enter and
adamların	men
Rabbin	Your Lord
olanları	what happened
kızları	Daughters
koydular	They put
söyleyeyim	Let me tell you
sensin	You are
olmıyan	not existent
ataları	ancestors
pay	share
kenti	city
gökten	from the sky
evinden	from your home
bunların	these
Musanın	Moses
İlyas	Elijah
karanlık	darkness
ilân	advert
dördüncü	fourth
sizler	you
olursa	if it happens
kulu	servant
kadına	to woman
adıyla	with the name
yağ	oil
olmasın	Don't let it happen
dul	widow
indi	landed
Allahımız	Our God
olanlara	to those who
olana	to what happened
kaçıp	run away
günden	from the day
döndüler	They returned
bunlardır	These are
yanıt	response
ikisi	the two
göründü	appeared
Efraim	Ephraim
şehri	city
çepçevre	all around
sözler	words
sordular	They asked
ses	sound
kurtardı	saved
Simun	Simon
Ruben	Reuben
yağı	oil
oymağından	from the tribe
ordu	army
kulları	His servants
koy	bay
keten	linen
hayvan	animal
gelsin	come on
gel	come
can	life
Saulun	Saul's
uygun	suitable
oğlum	my son
mekruh	detestable
gök	sky
dikkat	attention
başladılar	They started
Gilat	Gilead
şudur	This is
İM	IM
terennüm	chant
kesip	cut and paste
gelin	bride
derin	deep
şehre	to the city
yiğit	valiant
sahibi	owner
demir	iron
atalarının	ancestors
kadını	woman
edeceksin	You will
buldu	found
ağaç	tree
ateşe	into the fire
üzerlerine	upon them
buğday	wheat
bugüne	to date
yerinde	in place
yapın	do it
para	money
olduğumu	I am
işlerini	their work
haksızlık	injustice
gündüz	daytime
vay	Wow
kurtar	save
kura	draw
kendisinde	in itself
duran	standing
bırakıp	leaving
peygamberler	Prophets
izzet	Izzet
dinle	listen
ayrılıp	leaving
ateşle	with fire
ülkede	in the country
salih	Righteous
krallık	kingdom
kendileri	themselves
evet	Yes
buyruğu	commandment
bizimle	with us
başını	your head
yaptıkları	what they did
buyurduğu	He commanded
buyurdu	He commanded
bulut	cloudy
başları	heads
Yarovam	Jeroboam
Sebt	Sabbath
oldum	I became
kalacak	will stay
ulusların	of nations
sunağın	the altar
parça	piece
kıtlık	famine
kente	to the city
gidin	go
Aşur	Assyrian
tekrar	again
sınırı	border
ordusu	army
olmıyacak	won't happen
memlekette	in the country
krallığının	of the kingdom
ister	whether...or
emretti	ordered
dur	Stop
daki	in the
attı	threw
ahit	testament
tapınağın	the temple
bina	building
Septuaginta	Septuagint
Avşalom	Avsalom
teselli	consolation
sözüne	your word
milletlerin	of nations
kıyam	uprising
kefaret	penance
kaldırıp	lift up
işittim	I heard
insanın	of a human being
göz	eyelash
gerçekten	Really
edecektir	will
ruhu	Spirit
kanını	your blood
görüp	seeing
geçirdi	spent
araya	in between
Pilatus	Pilate
Allahım	Oh my God!
üstün	superior
öldürmek	kill
tanıklık	testimony
saf	pure
kötülüğü	evil
devam	continue
denilen	called
boru	pipe
Şimşon	Samson
üstünde	above
olsa	though
krala	to the king
atalarına	to their ancestors
at	horse
İsraili	Israeli
İsayı	Jesus
pek	much
olunca	when it is
kulun	Your servant
kavmım	My people
iğrenç	disgusting
hüküm	provision
huzurunda	before
hepsine	to all of them
hazır	ready
hayvanları	animals
günleri	days
etsinler	Let them do it
buna	to this
ağzından	from your mouth
antlaşma	treaty
Meryem	Mary
önümde	in front of me
yazılı	written
tutup	hold on
sıptından	from the tribe
kırmızı	red
kesinlikle	Definitely
esvabını	your clothes
biraz	A little
ayak	foot
Yoşiya	Josiah
İsaya	To Jesus
öldürdüler	They killed
çıkaran	issuer
yağmur	rain
yaptım	I did
oğlunu	your son
merhamet	mercy
kapısında	at the door
hikmetli	wise
hayat	life
diyecek	will say
boy	size
alın	forehead
altmış	sixty
Allahtan	Thank God
İbr	Heb
suçlu	guilty
olacaksın	You will be
kalmadı	There is no more
getirin	bring it
canı	villain
bilir	knows
Süleymanın	Suleyman
şeyde	in thing
çocuğu	child
çocuklar	Children
çapul	booty
verdiğim	I gave
ulaklar	Messengers
giysilerini	your clothes
ettikleri	what they did
ediyorlar	They are doing
diyecekler	They will say
dağlık	mountainous
anda	at the moment
Balam	Balaam
ıssız	unemployed
tuttu	kept
terk	abandon
kat	floor
karar	decision
gebe	pregnant
edenler	Those who do
diyorlar	They say
denize	to the sea
deki	in the
büyüktür	It is big
ayağa	stand up
altınla	with gold
Yehovanın	Jehovah's
İyi	Good
şeriat	Sharia
üstüne	over
yazılmıştır	It was written
sona	end
ortadan	from the middle
güne	to the day
gökler	The skies
Yakubun	Jacob's
verilen	given
sandığı	chest
sahip	owner
insana	to human being
gücü	Power
evde	at home
düşman	enemy
bizden	from us
bildirdi	reported
azat	release
asla	never
İsrailde	In Israel
versin	Let it be given
uzunluğu	length
olmaz	Impossible
lânet	curse
kimsenin	nobody
kaçtı	escaped
karşılığını	in return
hâlâ	still
ağacından	from the tree
alır	takes
Levili	Leviticus
Filistîler	Philistines
önceden	previously
yapacak	will do
sünnet	circumcision
kurtuluş	liberation
kalabalık	busy
ederse	if it does
zarar	damage
verdin	You gave
musun	Are you
incir	fig
herkese	to everyone
halkım	My people
getirmek	to bring
genişliği	width
dünyayı	the world
denizin	of the sea
biliyorum	I know
alan	area
adında	in the name of
Nebukadnessar	Nebuchadnezzar
taşı	move
soyu	lineage
oruç	fast
kıralının	the king's
kurtaran	saving
kişiler	Persons
karı	wife
hangi	Which
gösterdi	showed
ediyorum	I do
diyara	to the land
değilim	I am not
açıkça	clearly
Şekem	Shechem
yüreğini	your heart
secde	prostration
reisleri	Chiefs
ortaya	emerge
olmayan	non-
obir	other
lanet	curse
kıldı	made
girdiler	They entered
geldiği	came
durup	stop
cenge	to the war
açtı	opened
atacağım	I will throw
akşama	hitch
akşam	evening
yazılmış	written
takdimesini	his presentation
oturanlar	sitting
olsunlar	Let them be
olduğunuz	you are
kaldırdı	lifted
işini	your job
haline	into
geçip	passing by
dır	is
bıraktı	left
beşinci	fifth
üzerindeki	on it
yapar	does
tayin	ration
sığır	cattle
suçsuz	innocent
mayasız	unleavened
kızlar	girls
güç	strength
ayakları	feet
arada	in between
anası	mother
Mısırdan	From Egypt
Eriha	Jericho
Azarya	Azariah
yi	good
yandan	from the side
verdiğin	you gave
vakti	time
kurbanı	victim
izzeti	dignity
getir	bring
düşmanlarının	your enemies
bilgi	information
adları	names
ölçüler	dimensions
yaşadı	lived
sadık	loyal
olacaksınız	You will be
kimdir	Who is
kendinizi	yourself
götürdüler	They took me
görmek	to see
duruyor	It is standing
bkz	see
beden	body
başkası	somebody else
ayni	same
Mordekay	Mordecai
şehirleri	cities
topladı	collected
tapınak	temple
oturdular	They sat down
olmayacak	It won't happen
kimin	who's?
inayeti	grace
hak	right
gitmek	to go
evlerine	to their homes
ettiğim	I did
elile	with hand
düzen	order
birbirine	each other
bakın	Look
Tartılar	Scales
Naftali	Naphtali
Kenân	Kenan
Filistîlerin	The Philistines
İşaya	Isaiah
öte	beyond
çıkarıp	take it out
zira	for
yüce	sublime
yanıma	next to me
takdimeleri	Presentations
sende	you too
olmadı	It didn't happen
kâhinlerin	the prophets
kulum	My servant
göndereceğim	I will send
gönderdiği	sent
geldim	I am here
geceleyin	at night
etme	Don't
cetveline	to the ruler
bakan	minister
attılar	They threw
alay	regiment
Yahudalılar	Judahites
üzerinize	upon you
sunular	offerings
sonunda	finally
sayesinde	thanks to
nereye	To where
neler	what
kör	blind
kendin	yourself
görür	sees
getirip	bring
getirecek	will bring
efa	Efafa
ediyordu	was doing
diyeceksin	You will say
ağzı	mouth
Nuh	Noah
Başan	Bashan
Ammonlular	Ammonites
şifa	healing
sürecek	will last
sonu	end
kapısına	to the door
gidecek	will go
ekmeği	bread
İnsanlar	People
çöle	to the desert
çadırının	your tent
yanındaki	next to you
kurdu	wolf
krallığı	kingdom
karşılığı	equivalent
işitti	heard
inayet	grace
haberi	news
edilecek	to be done
dökülen	spilled
diyen	who says
baba	father
şehirde	in the city
ölümden	from death
zengin	rich
vakte	in time
tarafında	on your side
saltanat	reign
ismini	your name
herkesin	everyone's
hepiniz	all of you
hayvanlar	Animals
görecek	will see
bal	honey
çık	get out
çabuk	quick
yerleri	places
yaptığın	what you did
söyledim	I told you
sayılanlar	those counted
sabahlayın	in the morning
putları	idols
payı	share
kıralına	to the king
korkunç	terrible
gümüşü	silver
geçtiler	They passed
diyorum	I say
bunlardan	of these
adalet	justice
yüreğinde	in your heart
yürek	heart
yaratan	creator
yabanıl	wild
tamamen	completely
suları	waters
sevgi	love
sanki	as if
hastalık	illness
dünyaya	to the world
dir	is
ayda	per month
yaparak	by doing
yakıp	burn
takdimeler	Presentations
sürgün	exile
sayısına	to the number of
kötülerin	the bad ones
kullarına	to your servants
kentte	in the city
etini	your flesh
durdular	They stopped
dehşet	horror
aşireti	Tribe
ülkesine	to his country
yarısı	half
yalancı	liar
verecektir	will give
toplandılar	They gathered
oğlun	your son
memleketi	Hometown
kişiydi	was a person
kimseyi	nobody
kendisinin	his own
karısını	his wife
kardeşlerim	My brothers
kapandı	closed
ismine	to your name
etmez	Doesn't
dön	frost
dağa	to the mountain
bende	Me too
anlattı	He told
Hirodes	Herod
Beytel	Bethel
şeyin	of thing
yılda	per year
taşlar	stones
mezbahın	the slaughterhouse
kitabında	in your book
istemedi	didn't want
gömüldü	buried
ertesi	next
dişi	female
diri	alive
aldım	I bought
Eyüp	Job
şaşılacak	It's amazing
çıplak	naked
olanın	the one that is
musunuz	Are you
kırallarının	their kings
kurdular	They founded
inkâr	denial
gelenler	Coming ones
evel	before
esvap	clothes
ederler	they do
Yuhanna	John
İsmail	Ishmael
şark	orient
yoluna	on your way
veya	or
verilecek	will be given
utanç	shame
tövbe	repentance
sandığını	your chest
midir	Is it?
gelenleri	those who came
diyorlardı	They were saying
arasındaki	between
Rahel	Rachel
Şeva	Sheva
yazılıdır	It is written
yaptığım	what i did
varınca	when you arrive
tutsak	prisoner
sunun	present
razı	willing
kızgın	angry
kullarının	Your servants
koku	smell
insanlara	to people
ilan	advert
getiren	Bringing
canımı	my life
bilmez	doesn't know
Sidkiya	Zedekiah
Amatsya	Amazia
üçte	in three
âdem	Adam
zevk	pleasure
uzanan	extending
tutan	holding
söyleyin	tell me
sonsuz	forever
oturanların	of the sitting
nasılsa	somehow
malı	financial
kıyısında	on the shore
kalk	get up
istedi	wanted
gökte	in the sky
göklerde	in the skies
fesat	sinister
duvar	wall
duruyordu	was standing
doğruluk	truth
değildi	It wasn't
büsbütün	downright
ağzını	your mouth
avlunun	the yard
Zekeriya	Zechariah
Yahudanın	Judah's
Sion	Zion
Mısıra	To Egypt
Hananya	Ananias
Elazar	Eleazar
ölçtü	measured
yürüdü	walked
yaptın	you did
reisi	Chief
onlarda	They have
misafir	guest
kıralları	kings
insanı	human
göklerden	from the skies
erken	early
der	he says
bunlardı	These were
bozguna	to defeat
babasıydı	was his father
babasına	to his father
akan	flowing
Yoaş	Yoash
Yeşaya	Isaiah
şeriati	Sharia
üzerime	on me
zeytin	olive
vermedi	didn't give
tatlı	sweet
tahir	Tahir
sunuları	offerings
sunak	altar
nereden	from where
millet	people
kırda	in the countryside
kralları	kings
hakkını	your right
gördüğü	what he saw
ettik	We did
düşecek	will fall
doğdu	was born
cezasını	punishment
canım	Darling
bıraktılar	They left
Yehoyada	Jehoiada
Avram	Abram
Ahazya	Ahaziah
şeylerin	of things
yaktı	lit
yaklaştı	approached
ulus	nation
suyu	water
sunacaksınız	You will present
nden	from
krallarının	their kings
korku	fear
kimi	who
edeyim	Let me
doğrusunu	the truth
deri	skin
canlı	live
boşa	in vain
beyaz	white
belki	maybe
Haruna	Aaron
Filist	Philistia
İssakar	Issachar
özgür	free
öküz	ox
çocuklarını	their children
yaz	Summer
yarım	half
onardı	repaired
olduğun	you are
miyim	Am I?
mirası	legacy
memleketin	your country
kılıcı	sword
kötülükten	from evil
kâhine	Oracle
kulunun	Your servant
kentler	cities
kaç	how much
gömdüler	They buried
gizli	hidden
gidelim	let's go
edenlerin	those who
dönün	return
babanın	your father
arabaları	cars
şunlardı	These were
üzüm	grape
önder	leader
öfkelendi	He got angry
ulusları	nations
salâh	righteousness
saat	hour
olmuş	dead
lûtuf	grace
kokulu	fragrant
kaçtılar	They ran away
işe	whereas
ihanet	betrayal
hikmet	wisdom
etmeye	to do
emirlerini	your orders
babam	my father
atalar	ancestors
ana	main
Harunun	Aaron
Aşer	Asher
şehirlerinde	in their cities
ümit	hope
öç	revenge
ölüme	to death
ölecek	will die
öfke	anger
sınır	border
seçme	select
sever	loves
peygamberlerin	Prophets
mezmuru	Psalm
kuvvet	force
koyacağım	I will put
kalktılar	They got up
herhangi	any
hepsinin	all of them
hasta	sick
dokuz	nine
ayaklarını	your feet
an	moment
Yşu	Joshua
ölümü	death
zamanda	in time
yeryüzü	earth
yerler	places
yarın	tomorrow
yakındır	It is near
tuttular	They kept
toprağa	to the ground
oğullar	sons
olduklarını	They are
kendimi	myself
kapısı	door
kalır	remains
insanları	people
geçecek	will pass
gelmiş	has come
firavunun	Pharaoh's
eşek	donkey
eksik	missing
edilen	said
düştüler	They fell
durumda	in case
buldular	They found
baktı	looked
Natan	Nathan
Mezmurudur	It is a psalm
Celile	Galilee
öğüt	advice
yüreğine	to your heart
yerini	its place
vurup	hit
toprağı	soil
sürgüne	into exile
kesti	cut
kendiniz	yourself
kenarında	on the edge of
iyice	thoroughly
duracak	will stop
dediği	he said
bilirim	I know
bağırdı	shouted
ağzına	in your mouth
Lübnan	Lebanon
Fırat	Euphrates
Şemaya	To the diagram
önderi	leader
ölüp	die
zamanı	time
yaptıklarını	what they did
vaktinde	on time
uluslara	to the nations
toprakları	lands
sizde	you too
selam	hi
sayılacaktır	will be counted
kâhinlere	to the priests
kadınla	with woman
işlerinin	their work
hile	cheat
göster	show
fazla	more
dinlemek	to listen
dediğini	what you said
cemaat	community
babamın	My father
Gidyon	Gideon
ölü	dead
öldürülecektir	will be killed
yaşayanlar	living ones
vergi	tax
umut	hope
sıra	order
selâm	hi
oğlunun	your son
hurma	date
gönderdiler	They sent
gelecekler	They will come
eti	meat
elleri	hands
diyordu	He was saying
bilgelik	wisdom
armağan	gift
akılsız	mindless
Avimelek	Abimelech
şarka	east
öldüren	killer
yıllık	annual
yapsın	Let him do it
tut	tutu
tapınma	worship
söylediğim	I said
parlak	shiny
muhafız	guard
kılacağım	I will make it
kâhinlik	soothsaying
kurtarmak	to save
korkmayın	Don't be afraid
komutanı	Commander
kocası	Her husband
karşın	despite
kapının	the door
ismile	with the name
göklere	to the sky
gider	expense
dökme	pouring
duydu	heard
birbirlerine	each other
asker	soldier
alâmet	omen
altını	gold
Yahudilerin	The Jews
üzerimize	upon us
yüzüstü	face down
yollarını	their ways
yerle	ground
yaşama	legislative
vurdular	They shot
vereceksin	You will give
teke	goat
sürü	herd
sürdü	It lasted
söylemiş	said
seçti	chose
sevgili	beloved
seven	loving
sayıda	in number
savaşa	to war
oyma	carving
ok	arrow
kavmını	His people
kardeş	brother
karanlıkta	in the dark
harman	blend
gör	see
girilecek	to be entered
diyorsunuz	You say
dağın	the mountain
dağlar	mountains
cesaret	bravery
belli	clear
ayrı	separate
artakalan	Remaining
Lut	Lot
Filipus	Philip
ötesinde	beyond
çocuğun	the child
yürüyen	walking
yiyeceksiniz	You will eat
yağını	oil
tuzak	trap
saygı	respect
ordular	Armies
ndaki	in the
kudretli	Mighty
koyacaksın	You will put
konuda	on the subject
kondular	They settled
kavmına	to his people
kavmlar	Peoples
karşılamak	to meet
kapıyı	the door
kapladı	covered
işit	hear
güvenlik	security
geçirdiler	They spent
erz	Cedar
egemenlik	sovereignty
ateşte	in the fire
Yeşua	Joshua
üstü	above
önderleri	leaders
yürekli	-hearted
yerlerde	in places
vereceği	will give
takımlarını	their teams
oymağının	tribe of
oluyor	It's happening
kızlarını	their daughters
kuşak	generation
kalsın	keep it
hepsinden	of all
hayvanların	animals
halkından	from the people
fidye	ransom
ettiğini	that you did
etmeğe	to do
edinmek	to acquire
düşüp	fall down
dinlemediler	They didn't listen
demek	means
bunlara	to these
birinde	in one
ayrıca	Moreover
ülkesinde	in your country
yılı	year
yiyecekler	Foods
yerinden	from its place
sert	hard
sekizinci	eighth
sağında	on the right
oturuyordu	was sitting
ordusunu	his army
odun	wood
kalanı	the rest
istiyorum	I want
istediği	he wants
görünüşü	appearance
gökleri	the skies
evleri	their homes
ettiniz	You did
ellerinin	your hands
elimden	from my hand
edeceksiniz	You will
diyarda	in the land
denizi	the sea
demişti	he said
bilmiyor	doesn't know
bilge	wise
bilerek	on purpose
belirti	symptom
açıldı	opened
Babile	Babylon
şeyden	from something
çıkarır	takes it out
çöl	desert
çul	sackcloth
çekti	pulled
zayıf	weak
yiyen	eater
yağla	oil
yaşadığı	lived in
yapıp	do it
toplayıp	Collecting
tahsis	allocation
soyunu	lineage
seksen	eighty
sayılır	sort of
sabaha	in the morning
ot	grass
olması	be
oldun	You became
mademki	Since
korkma	don't be afraid
kaya	rock
kardeşine	to your brother
kapıları	doors
huzuruna	in your presence
eni	width
ederken	while
edelim	Let's
din	religion
ağırlığında	in weight
