我	wǒ 
舒服(ㄈㄨ˙)	shūfu
眼鏡	yǎnjìng 
痛	tòng 
希望	xīwàng 
商店	shāngdiàn 
店	diàn 
重要	zhòngyào 
給 	gěi 
公斤	gōngjīn 
顏色	yánsè 
黃色	huángsè 
白色	báisè 
襪子	wàzi 
裙子	qúnzi 
短	duǎn 
小心	xiǎoxīn 
牛奶	niúnǎi 
蛋	dàn 
餃子	jiǎozi 
麵	miàn 
湯	tāng 
包子	bāozi 
蛋糕	dàngāo 
麵包	miànbāo 
水果	shuǐguǒ 
香蕉	xiāngjiāo 
食物	shíwù 
飲料	yǐnliào 
果汁	guǒzhī 
杯子	bēizi 
多 	duō 
甜	tián 
菜單	càidān 
巧克力	qiǎokèlì 
碗	wǎn 
盤子	pánzi 
片	piàn 
一半/一半兒	yībàn/yībànr
過 	guò 
一定	yīdìng 
出生	chūshēng 
國	guó 
不同	bùtóng 
地址	dìzhǐ
市	shì
傳真	chuánzhēn 
留言	liú​yán
日期	rìqí 
時間	shíjiān 
鐘頭	zhōngtóu 
晚	wǎn 
夜	yè 
禮拜	lǐbài 
禮拜天	lǐbàitiān 
前天	qiántiān 
後天	hòutiān 
從前	cóngqián 
夏	xià 
冬	dōng 
秋	qiū 
春	chūn 
一會兒	yīhuǐér 
不久	bùjiǔ 
剛剛	gānggāng 
剛才	gāngcái 
當然	dāngrán 
自己	zìjǐ 
別人	biérén 
年紀	niánjì 
男人	nánrén 
女人	nǚrén 
大人	dàrén 
老人	lǎorén 
習慣	xíguàn 
習慣 	xíguàn 
家庭	jiātíng 
父親	fùqīn 
母親	mǔqīn 
父母	fùmŭ 
爺爺	yéye
奶奶	nǎinai 
關係	guānxì 
教堂	jiàotáng 
好 	hǎo 
真 	zhēn 
最	zuì 
更	gèng 
愉快	yúkuài 
開心	kāixīn 
著急	zhāojí 
擔心	dānxīn 
生氣	shēngqì 
怕	pà 
哭	kū 
難過	nánguò 
傷心	shāngxīn 
美	měi 
美麗	měilì 
聰明	cōngmíng 
認真	rènzhēn 
勇敢	yŏnggăn 
禮貌	lĭmào 
害羞	hàixiū 
應該	yīnggāi 
相信	xiāngxìn 
經驗 	jīngyàn 
關心	guānxīn 
辛苦	xīnkǔ 
願意	yuànyì 
心情	xīnqíng 
幸福	xìngfú 
可憐	kělián 
差	chà 
職業	zhíyè 
教師	jiàoshī 
經理	jīnglǐ 
記者	jìzhě 
服務員/服務生	fú​wù​yuán/fúwùshēng 
顧客	gùkè 
教書	jiāoshū 
開會	kāihuì 
下班	xiàbān 
危險	wéixiǎn 
安全	ānquán 
安全 	ānquán 
成功	chénggōng 
報告	bàogào 
報告 	bàogào 
打算	dǎsuàn 
機會	jīhuì 
當	dāng 
如果	rúguǒ 
計畫/劃 	jìhuà
計畫	jìhuà 
努力	nǔlì 
管理	guănlǐ 
學院	xuéyuàn 
小學生	xiăoxuéshēng 
大學生	dàxuéshēng 
同學	tóngxué 
校長	xiàozhǎng 
放假	fàngjià
畢業	bìyè 
開學	kāixué 
成績	chéngjī 
學期	xuéqí 
學費	xuéfèi 
暑假	shŭjià 
寒假	hánjià 
服務	fúwù 
宿舍	sùshè
操場	cāochăng 
校園	xiàoyuán 
中文	zhōngwén 
文化	wénhuà 
語法	yǔfǎ 
漢語	hànyǔ 
書法	shūfă 
班	bān 
班 	bān 
書桌	shūzhuō 
課	kè 
字典	zìdiǎn 
漢字	hànzì 
鉛筆	qiānbǐ 
尺	chǐ 
毛筆	máobĭ 
教	jiào 
講	jiǎng 
講話	jiǎnghuà 
告訴	gàosù 
念/唸	niàn 
練習 	liànxí 
討論	tǎolùn 
認為	rènwéi 
解釋	jiěshì 
同意	tóngyì 
了解/瞭解	liǎojiě 
清楚	qīngchǔ 
無聊	wúliáo 
決定	juédìng 
遍	biàn 
交	jiāo 
借	jiè 
算	suàn 
對	duì 
錯	cuò 
辦法	bànfǎ 
方法	fāngfǎ 
有用	yǒuyòng 
進步	jìnbù 
忘	wàng 
記	jì 
公寓	gōngyù 
大樓	dàlóu 
臥室	wòshì 
花園	huāyuán 
門口	ménkǒu 
浴室	yùshì 
樓梯	lóutī 
牆	qiáng 
洗衣機	xǐyījī 
冰箱	bīngxiāng 
燈	dēng 
打開	dǎkāi 
盒子	hézi
鄰居	línjū 
熱鬧	rènào 
吵	chǎo 
滿意	mǎnyì 
乾淨	gānjìng 
房租	fángzū 
租	zū 
開水	kāishuǐ 
鄉下	xiāngxià 
森林	sēnlín 
地	dì 
草	cǎo 
枝	zhī 
隻	zhī 
動物	dòngwù 
牛	niú 
虎	hŭ 
羊	yáng 
豬	zhū 
月亮	yuèliàng 
星星	xīngxīng 
雲	yún 
地球	dìqiú 
世界	shìjiè 
環境	huánjìng 
火	huǒ 
晴天	qíngtiān 
暖和	nuǎnhuo 
涼快	liángkuài 
溫暖	wēnnuăn 
度	dù 
溫度	wēndù 
雨	yǔ 
雪	xuě 
空氣	kōngqì 
間	jiān 
睡	shuì 
發生	fāshēng 
發現	fāxiàn 
發現 	fāxiàn 
照顧	zhàogù 
打掃	dǎsǎo 
餐	cān 
起來	qǐlái 
搬	bān 
掛	guà 
有空/有空兒	yǒukòng/yǒukòngr
過年	guònián 
結束	jiéshù 
完	wán 
散步	sànbù 
爬	pá 
跳	tiào 
座位	zuòwèi 
博物館	bówùguăn 
節目	jiémù 
新聞	xīnwén 
政治	zhèngzhì 
體育	tǐyù 
網站	wǎngzhàn 
還	hái 
經常	jīngcháng 
平常	píngcháng 
總是	zǒngshì 
已經	yǐjīng 
各	gè 
雜誌	zázhì 
文章	wénzhāng 
故事	gùshì 
小說	xiǎoshuō 
美術	měishù 
藝術	yìshù 
興趣	xìngqù 
收	shōu 
談	tán 
聊天/聊天兒	liáotiān/liáotiānr
唱	chàng 
歌	gē
早	zǎo 
遲到	chídào 
後來	hòulái 
變	biàn 
跳舞	tiàowǔ 
樂器	yuèqì 
吉他	jítā 
鋼琴	gāngqín 
可怕	kěpà 
活動	huódòng 
就	jiù 
消息	xiāoxí 
才	cái 
又	yòu 
客人	kèrén 
不好意思	bùhǎoyìsi 
怎麼了	zěnmele 
怎麼辦	zěnmebàn 
客氣	kèqì 
舞會	wŭhuì 
最近	zuìjìn 
請客	qǐngkè 
慶祝	qìngzhù 
聽說	tīngshuō 
感謝	gǎnxiè 
見面	jiànmiàn 
約	yuē 
事	shì 
事情	shìqíng 
明信片	míngxìnpiàn 
卡片	kǎpiàn 
幫	bāng 
弄	nòng 
檢查	jiǎnchá 
通知	tōngzhī 
通知 	tōngzhī 
叫 	jiào 
麻煩	máfán 
偷	tōu 
錢包	qiánbāo 
拉	lā 
小偷	xiǎotōu 
滿	mǎn 
丟	diū 
啊	ā 
汽車	qìchē 
輛	liàng 
船/船兒	chuán/chuánr
停車場	tíngchēchăng 
搭	dā 
起飛	qĭfēi 
出	chū 
出來	chūlái 
進	jìn 
進去	jìnqù 
回去	huíqù 
路口	lùkǒu 
紅綠燈	hónglǜdēng 
橋	qiáo 
左	zuǒ
右	yòu
裡	lǐ 
下 	xià 
上 	shàng 
這邊	zhèbiān 
這些	zhèxiē 
那些	nàxiē 
那邊	nàbiān 
旅遊	lǚyóu 
動物園	dòngwùyuán 
出發	chūfā 
離開	líkāi 
向	xiàng 
南	nán
南部	nánbù 
南邊	nánbiān
西	xī
西部	xībù 
西邊	xībiān
北	běi
北部	běibù 
北邊	běibiān
東	dōng
東部	dōngbù
東邊	dōngbiān
經過	jīngguò 
轉	zhuǎn 
掉	diào 
一直	yīzhí 
過去	guòqù 
最後	zuìhòu 
動	dòng 
躺	tǎng 
起	qǐ 
停	tíng 
中心	zhōngxīn 
外國	wàiguó 
護照	hùzhào 
行李	xínglĭ
出口	chūkŏu 
油	yóu 
鑰匙	yàoshi 
袋子	dàizi 
公里	gōnglǐ 
方向	fāngxiàng 
出現	chūxiàn 
交通	jiāotōng 
臉	liǎn 
腿	tuǐ 
腳	jiǎo 
心	xīn 
鼻(子)	bí(zi)
背	bèi 
嘴巴	zuǐba
脖子	bózi 
健康 	jiànkāng 
感覺	gǎnjué 
感覺 	gǎnjué 
救護車	jiùhùchē
咳嗽	késòu 
發燒	fāshāo 
疼	téng 
保險	băoxiăn 
病	bìng 
看病	kànbìng 
病人	bìngrén 
掛號	guàhào 
牙刷	yáshuā 
剪	jiăn 
藥房	yàofáng 
恢復	huīfù 
救命	jiùmìng
影響 	yǐngxiǎng 
影響	yǐngxiǎng 
飽	bǎo 
吃飽	chībǎo 
簡單	jiǎndān 
書店	shūdiàn 
超級市場/超市	chāojíshìchǎng/chāoshì 
戴	dài 
試	shì 
輕	qīng 
重	zhòng 
流行	liúxíng 
藍色	lánsè 
綠色	lǜsè 
紅色	hóngsè 
黑色	hēisè 
手錶/錶	shǒubiǎo/biǎo
付	fù 
襯衫	chènshān 
毛衣	máoyī 
大衣	dàyī 
牛仔褲	niúzǎikù 
雨衣	yŭyī 
內衣	nèiyī 
帽子	màozi 
皮包	píbāo 
外套	wàitào 
乾	gān 
舊	jiù 
價格	jiàgé 
價錢	jiàqián 
排隊	páiduì  
信用卡	xìnyòngkǎ 
毛	máo 
比較	bǐjiào 
樣子	yàngzi
特別	tèbié 
一般	yībān 
圓	yuán 
光	guāng 
看見	kànjiàn 
其他	qítā
聲音	shēngyīn 
大聲	dàshēng 
好像	hǎoxiàng 
像	xiàng 
奇怪	qíguài 
死	sǐ 
髒	zāng 
差不多	chàbùduō 
一共	yīgòng 
需要	xūyào 
牛排	niúpái 
米	mǐ 
三明治	sānmíngzhì 
西瓜	xīguā 
啤酒	píjiǔ 
紅茶	hóngchá 
點菜	diǎncài 
包	bāo 
酸	suān 
苦	kǔ 
鹹	xián 
辣	là 
點心	diǎnxīn 
冰淇淋	bīngqílín 
餅乾	bǐnggān 
漢堡	hànbǎo 
青菜	qīngcài 
鹽	yán 
糖	táng 
煮	zhǔ 
碗 	wǎn 
盤	pán 
條	tiáo 
位	wèi 
種	zhǒng 
口	kǒu 
夠	gòu 
任何	rènhé 
味道	wèidào 
香	xiāng 
全部	quánbù 
所有	suǒyǒu 
許多	xǔduō 
新鮮	xīnxiān 
烤	kǎo 
嚐	cháng 
裝	zhuāng 
刀(子)	dāo(zi)
叉(子)	chā(zi)
湯匙	tāngchí 
筷子	kuàizi 
沒有	méi(yǒu) 
別	bié 
不用	bùyòng 
不但	bùdàn 
只好	zhǐhǎo 
正在	zhèngzài 
馬上	mǎshàng 
把	bǎ 
被	bèi 
讓	ràng 
或	huò 
或是	huòshì 
可能 	kěnéng 
然後	ránhòu 
但是	dànshì 
而且	érqiě 
雖然	suīrán 
原來	yuánlái 
也許	yěxǔ 
為了	wèile 
必須	bìxū 
永遠	yǒngyuǎn 
邊/邊兒	biān/biānr
那麼	nàme
這麼	zhème
本來	běnlái 
要是	yàoshì 
阿姨	āyí
哎	āi 
唉	āi 
愛	ài 
愛情	àiqíng 
愛惜	àixí 
愛心	àixīn 
安定	āndìng 
安排	ānpái 
安排	ānpái 
安心	ānxīn 
按	àn 
按照	ànzhào 
巴士	bāshì 
把	bǎ 
把握	băwò 
白	bái 
白	bái 
白(白)	bái(bái)
白菜	báicài 
白天	báitiān 
擺	băi 
百貨公司	băihuògōngsī
班機	bānjī 
搬家	bānjiā 
辦	bàn 
辦理	bànlĭ
半天	bàntiān 
半夜	bànyè 
幫助	bāngzhù 
榜樣	băngyàng 
棒	bàng
包	bāo 
包含	bāohán 
寶貝	băobèi
寶貴	băoguì 
保護	băohù 
保守	băoshǒu 
保養	băoyăng 
保證/証	băozhèng 
保證/証	băozhèng 
抱	bào
抱怨	bàoyuàn 
報名	bàomíng 
背包	bēibāo 
北方	běifāng 
被動	bèidòng 
背後	bèihòu 
背景	bèijĭng 
輩子	bèizi 
本	běn 
本人	běnrén 
本子	běnzi
笨	bèn 
逼	bī 
筆	bĭ
比	bǐ 
比如(說)	bǐrú(shuō)
畢竟	bìjìng 
避免	bìmiăn 
必要	bìyào 
鞭炮	biānpào 
變	biàn 
變成	biànchéng 
變更	biàngēng 
變化	biànhuà 
變化	biànhuà 
便條	biàntiáo 
標準	biāozhŭn 
標準	biāozhŭn 
表	biǎo 
表達	biăodá 
表面	biăomiàn 
表示	biăoshì 
表現	biǎoxiàn 
表現	biǎoxiàn 
表演	biǎoyǎn 
別的	biéde
冰	bīng 
冰塊/冰塊兒	bīngkuài/bīngkuàir
餅	bǐng 
病	bìng 
伯伯	bóbo 
博士	bóshì 
播	bò 
不必	búbì 
不斷	búduàn 
不斷	búduàn 
不過	búguò 
不過	búguò 
不見(了)	bújiàn(le)
不論	búlùn 
不幸	búxìng 
不用說	búyòngshuō 
不得不	bùdébù 
不得了	bùdéliăo 
不管	bùguǎn 
不滿	bùmăn 
不如	bùrú 
不少	bùshǎo 
不少	bùshǎo 
不足	bùzú 
部	bù 
部分/份	bùfèn
部分/份	bùfèn
部門	bùmén 
布	bù 
布/佈置	bùzhì 
擦	cā
猜	cāi
材料	cáiliào 
採用	căiyòng 
餐	cān
餐桌	cānzhuō
參考	cānkăo 
草地	cǎodì
草原	cǎoyuán 
層	céng 
曾	céng 
曾經	céngjīng 
差別	chābié 
差異	chāyì 
查	chá 
差(一)點/差(一)點兒	chà(yì)diăn/chà(yì)diănr
產品	chǎnpǐn 
產生	chănshēng 
常	cháng
嘗/嚐試	chángshì 
場	chǎng 
超過	chāoguò 
超級	chāojí 
炒	chăo 
吵	chăo
吵架	chăojià 
車禍	chēhuò 
趁	chèn 
成	chéng 
成果	chéngguǒ 
成就	chéngjiù 
成熟	chéngshú
成長	chéngzhăng 
程度	chéngdù 
承認	chéngrèn 
誠實	chéngshí 
吃喝玩樂	chīhēwánlè 
尺	chǐ 
充實	chōngshí 
重新	chóngxīn 
蟲(子)	chóng(zi)
抽	chōu 
醜	chŏu
臭	chòu 
初	chū 
出版	chūbăn 
出差	chūchāi 
出門	chūmén 
出租	chūzū 
除了	chúle 
除夕	chúxì 
廚師	chúshī 
處理	chŭlĭ
傳統	chuántŏng 
串	chuàn 
創造	chuàngzào 
吹	chuī
春節	chūnjié 
詞	cí 
此	cĭ
刺激	cìjī 
刺激	cìjī 
從不	cóngbù 
從來	cónglái 
從小	cóngxiăo 
醋	cù 
存	cún 
存在	cúnzài 
寸	cùn 
錯	cuò 
錯誤	cuòwù 
挫折	cuòzhé 
答應	dāyìng 
達成	dáchéng 
打工	dăgōng 
打架	dăjià 
打聽	dătīng 
打仗	dăzhàng 
打折	dăzhé 
大大	dàdà 
大多數	dàduōshù 
大方	dàfāng 
大概	dàgài 
大會	dàhuì 
大陸	dàlù 
大門	dàmén 
大小	dàxiăo 
大約	dàyuē 
袋	dài 
代表	dàibiǎo 
代表	dàibiǎo 
代替	dàitì 
帶來	dàilái 
帶領	dàilĭng 
單純	dānchún 
單身	dānshēn 
擔任	dānrèn 
但	dàn 
淡	dàn 
當	dāng 
當場	dāngchăng 
當地	dāngdì 
當面	dāngmiàn 
當年	dāngnián 
當天	dāngtiān 
當中	dāngzhōng 
當作	dāngzuò 
當做	dāngzuò 
倒	dǎo 
島	dăo 
導演	dăoyăn 
到	dào
到	dào
到處	dàochù 
到底	dàodĭ
到底	dàodǐ 
道德	dàodé 
道教	Dàojiào
道理	dàolǐ 
道歉	dàoqiàn 
倒	dào 
倒是	dàoshì 
得	dé 
得到	dédào 
得意	déyì 
得很	dehěn 
的話	dehuà 
得	děi
燈光	dēngguāng 
等	děng 
等/等等	děng/děngděng
等待	děngdài 
低	dī
敵人	dírén 
底	dǐ 
底下	dǐxià 
抵達	dĭdá 
地	dì 
地板	dìbăn 
地帶	dìdài 
地點	dìdiăn 
地理	dìlĭ 
地區	dìqū 
地攤	dìtān 
地位	dìwèi 
地下	dìxià 
地形	dìxíng 
點	diăn
點	diăn
點	diǎn 
點/點兒	diǎn/diǎnr
電	diàn 
電車	diànchē 
電池	diànchí 
電燈	diàndēng
店員	diànyuán 
調查	diàochá 
訂	dìng 
丟	diū 
東北	dōngběi 
東方	dōngfāng 
東南	dōngnán 
懂事	dǒngshì 
逗	dòu 
豆腐	dòufŭ 
豆漿	dòujiāng 
都市	dūshì 
毒品	dúpǐn 
獨特	dútè 
讀者	dúzhě 
段	duàn 
堆	duī 
對	duì 
對	duì 
對	duì 
對方	duìfāng 
對話	duìhuà 
對了	duìle
對象	duìxiàng 
多多少少	duōduōshăoshăo 
多麼	duóme 
朵	duǒ
頓	dùn 
嗯	ēn 
而	ér 
兒童	értóng 
發	fā
發表	fābiăo 
發財	fācái 
發出	fāchū 
發達	fādá 
發揮	fāhuī 
發覺	fājué 
發明	fāmíng 
發明	fāmíng 
發脾氣	fāpíqì 
發票	fāpiào 
法律	fălǜ
翻	fān 
翻譯	fānyì 
煩惱	fánnăo 
反而	fănér 
反應	fănyìng 
犯	fàn 
範圍	fànwéi 
方面	fāngmiàn 
方式	fāngshì 
房東	fángdōng 
房客	fángkè 
房屋	fángwū 
訪問	fǎngwèn 
放心	fàngxīn 
非	fēi 
非	fēi 
飛	fēi 
費用	fèiyòng 
分開	fēnkāi 
份	fèn 
封	fēng
豐富	fēngfù 
風格	fēnggé 
風俗	fēngsú 
佛教	Fójiào
否則	fŏuzé 
夫婦	fūfù 
符合	fúhé 
福利	fúlì 
服裝	fúzhuāng 
腐敗	fŭbài 
付出	fùchū 
負擔	fùdān 
負擔	fùdān 
負責	fùzé 
複習	fùxí 
該	gāi 
改	gǎi 
改變	gǎibiàn 
改變	gǎibiàn 
改進	găijìn 
改善	găishàn 
改天	găitiān 
蓋	gài 
概念	gàiniàn 
敢	gǎn 
趕	găn 
趕快	gǎnkuài 
趕上	gănshàng 
感動	găndòng 
感想	gănxiăng 
感興趣	gănxìngqù 
剛	gāng 
高速	gāosù 
高中	gāozhōng 
搞	găo 
歌曲	gēqŭ  
歌星	gēxīng 
隔壁	gébì 
革命	gémìng 
個人	gèrén 
個子	gèzi 
各式各樣	gèshìgèyàng 
各位	gèwèi 
個	ge
給	gěi
跟	gēn 
跟	gēn 
根	gēn 
根	gēn 
根據	gēnjù 
更加	gèngjiā 
公尺	gōngchǐ 
公分	gōngfēn 
公共	gōnggòng 
公克	gōngkè 
公路	gōnglù 
功夫	gōngfu 
功能	gōngnéng 
工具	gōngjù 
工業	gōngyè 
工作	gōngzuò
恭喜	gōngxǐ
共	gòng 
共同	gòngtóng 
貢獻	gòngxiàn 
貢獻	gòngxiàn 
溝通	gōutōng 
夠	gòu 
夠	gòu 
購買	gòumăi 
姑娘	gūniáng 
古	gŭ 
古代	gŭdài 
古蹟	gŭjī 
古老	gŭlăo 
顧	gù 
故意	gùyì 
刮	guā 
乖	guāi
怪	guài 
怪	guài 
關	guān 
