the	ðiː	t-h-ē	ㄘㄧ	該
please	pliːz	p-l-ē-z	ㄅㄌㄧㄗ	請
everyone	ˈɛvrɪwʌn	é-v-r-i-w-u-n	ㄜㄈㄖㄧㄨㄨㄋ	大家
she's	ʃiːz	sh-ē-z	ㄕㄧㄗ	她
could	kʊd	k-oo-d	ㄍㄡㄉ	可以
mac	mæk	m-a-k	ㄇㄚㄍ	蘋果電腦
bit	bɪt	b-i-t	ㄅㄧㄉ	位
holiday	ˈhɒlədeɪ	h-o-l-ə-d-ā	ㄏㄛㄌㄦㄉㄝㄧ	假日
let	lɛt	l-é-t	ㄌㄜㄉ	讓
make	meɪk	m-ā-k	ㄇㄝㄧㄍ	使
teach	tiːʧ	t-ē-ch	ㄉㄧㄓ	教
deal	diːl	d-ē-l	ㄉㄧㄌ	合同
doing	ˈdu(ː)ɪŋ	d-ū-i-ng	ㄉㄨㄧㄥ	幹
kiss	kɪs	k-i-s	ㄍㄧㄙ	吻
sorry	ˈsɒri	s-o-r-ē	ㄙㄛㄖㄧ	抱歉
aye	eɪ	ā	ㄝㄧ	贊成
flap	flæp	f-l-a-p	ㄈㄌㄚㄅ	拍打
little	ˈlɪtl	l-i-t-l	ㄌㄧㄉㄌ	小
side	saɪd	s-ī-d	ㄙㄚㄧㄉ	側
hold	həʊld	h-ə-oo-l-d	ㄏㄦㄡㄌㄉ	保持
kill	kɪl	k-i-l	ㄍㄧㄌ	殺
listen	ˈlɪsn	l-i-s-n	ㄌㄧㄙㄋ	聽
answer	ˈɑːnsə	ä-n-s-ə	ㄚㄋㄙㄦ	回答
um	əm	ə-m	ㄦㄇ	UM
exactly	ɪgˈzæktli	i-g-z-a-k-t-l-ē	ㄧㄍㄗㄚㄍㄉㄌㄧ	究竟
yank	jæŋk	y-a-ng-k	ㄡㄚㄥㄍ	猛拉
face	feɪs	f-ā-s	ㄈㄝㄧㄙ	面對
does	dʌz	d-u-z	ㄉㄨㄗ	不
who	huː	h-ū	ㄏㄨ	誰
problem	ˈprɒbləm	p-r-o-b-l-ə-m	ㄅㄖㄛㄅㄌㄦㄇ	問題
might	maɪt	m-ī-t	ㄇㄚㄧㄉ	威力
haven't	hævnt	h-a-v-n-t	ㄏㄚㄈㄋㄉ	沒有
real	rɪəl	r-ē-ə-l	ㄖㄧㄦㄌ	真實
three	θriː	th-r-ē	ㄊㄖㄧ	三
too	tuː	t-ū	ㄉㄨ	太
these	ðiːz	t-h-ē-z	ㄘㄧㄗ	這些
thank	θæŋk	th-a-ng-k	ㄊㄚㄥㄍ	謝謝
things	θɪŋz	th-i-ng-z	ㄊㄧㄥㄗ	事
hen	hɛn	h-é-n	ㄏㄜㄋ	母雞
crate	kreɪt	k-r-ā-t	ㄍㄖㄝㄧㄉ	箱
f	ɛf	é-f	ㄜㄈ	F
r	ɑː	ä	ㄚ	[R
left	lɛft	l-é-f-t	ㄌㄜㄈㄉ	剩下
along	əˈlɒŋ	ə-l-o-ng	ㄦㄌㄛㄥ	沿
comes	kʌmz	k-u-m-z	ㄍㄨㄇㄗ	來
bye-bye	ˈbaɪbaɪ	b-ī-b-ī	ㄅㄚㄧㄅㄚㄧ	再見
without	wɪˈðaʊt	w-i-t-h-o-w-t	ㄨㄧㄘㄚㄡㄉ	無
guys	gaɪz	g-ī-z	ㄍㄚㄧㄗ	人
other	ˈʌðə	u-t-h-ə	ㄨㄘㄦ	其他
fine	faɪn	f-ī-n	ㄈㄚㄧㄋ	精細
put	pʊt	p-oo-t	ㄅㄡㄉ	放
shall	ʃæl	sh-a-l	ㄕㄚㄌ	應
feeling	ˈfiːlɪŋ	f-ē-l-i-ng	ㄈㄧㄌㄧㄥ	感覺
everything	ˈɛvrɪθɪŋ	é-v-r-i-th-i-ng	ㄜㄈㄖㄧㄊㄧㄥ	一切
turn	tɜːn	t-û-n	ㄉㄦㄋ	轉
wanna	ˈwɒnə	w-o-n-ə	ㄨㄛㄋㄦ	想
roam	rəʊm	r-ə-oo-m	ㄖㄦㄡㄇ	漫遊
worry	ˈwʌri	w-u-r-ē	ㄨㄨㄖㄧ	擔心
doll	dɒl	d-o-l	ㄉㄛㄌ	娃娃
name	neɪm	n-ā-m	ㄋㄝㄧㄇ	名稱
lone	ləʊn	l-ə-oo-n	ㄌㄦㄡㄋ	孤單
fact	fækt	f-a-k-t	ㄈㄚㄍㄉ	事實
done	dʌn	d-u-n	ㄉㄨㄋ	DONE
dollface	dollface	d-o-l-l-f-ace	ㄉㄛㄌㄌㄈㄚㄕㄝ	娃娃臉
ain't	eɪnt	ā-n-t	ㄝㄧㄋㄉ	不
pops	pɒps	p-o-p-s	ㄅㄛㄅㄙ	持久性有機污染物
easy	ˈiːzi	ē-z-ē	ㄧㄗㄧ	簡單
together	təˈgɛðə	t-ə-g-é-t-h-ə	ㄉㄦㄍㄜㄘㄦ	一起
start	stɑːt	s-t-ä-t	ㄙㄉㄚㄉ	開始
ladies	ˈleɪdɪz	l-ā-d-i-z	ㄌㄝㄧㄉㄧㄗ	女士們
help	hɛlp	h-é-l-p	ㄏㄜㄌㄅ	幫幫我
am	æm	a-m	ㄚㄇ	上午
place	pleɪs	p-l-ā-s	ㄅㄌㄝㄧㄙ	地點
heads	hɛdz	h-é-d-z	ㄏㄜㄉㄗ	頭
round	raʊnd	r-o-w-n-d	ㄖㄚㄡㄋㄉ	回合
getting	ˈgɛtɪŋ	g-é-t-i-ng	ㄍㄜㄉㄧㄥ	得到
perhaps	pəˈhæps	p-ə-h-a-p-s	ㄅㄦㄏㄚㄅㄙ	也許
most	məʊst	m-ə-oo-s-t	ㄇㄦㄡㄙㄉ	最
stupid	ˈstjuːpɪd	s-t-yü-p-i-d	ㄙㄉㄡㄨㄅㄧㄉ	笨
same	seɪm	s-ā-m	ㄙㄝㄧㄇ	相同
making	ˈmeɪkɪŋ	m-ā-k-i-ng	ㄇㄝㄧㄍㄧㄥ	製造
or	ɔː	ô	ㄛ	要么
miss	mɪs	m-i-s	ㄇㄧㄙ	小姐
word	wɜːd	w-û-d	ㄨㄦㄉ	字
under	ˈʌndə	u-n-d-ə	ㄨㄋㄉㄦ	下
tried	traɪd	t-r-ī-d	ㄉㄖㄚㄧㄉ	試著
chocks	ʧɒks	ch-o-k-s	ㄓㄛㄍㄙ	軸承座
hop	hɒp	h-o-p	ㄏㄛㄅ	跳
officer	ˈɒfɪsə	o-f-i-s-ə	ㄛㄈㄧㄙㄦ	官
days	deɪz	d-ā-z	ㄉㄝㄧㄗ	天
order	ˈɔːdə	ô-d-ə	ㄛㄉㄦ	訂購
ya	jə	y-ə	ㄡㄦ	亞
fence	fɛns	f-é-n-s	ㄈㄜㄋㄙ	籬笆
rolling	ˈrəʊlɪŋ	r-ə-oo-l-i-ng	ㄖㄦㄡㄌㄧㄥ	壓延
blues	bluːz	b-l-ū-z	ㄅㄌㄨㄗ	藍調
force	fɔːs	f-ô-s	ㄈㄛㄙ	力
air	eə	ã	ㄝㄦ	空氣
royal	ˈrɔɪəl	r-ô-ē-ə-l	ㄖㄛㄧㄦㄌ	王室的
only	ˈəʊnli	ə-oo-n-l-ē	ㄦㄡㄋㄌㄧ	只要
told	təʊld	t-ə-oo-l-d	ㄉㄦㄡㄌㄉ	告訴
full	fʊl	f-oo-l	ㄈㄡㄌ	充分
actually	ˈækʧʊəli	a-k-ch-ü-ə-l-ē	ㄚㄍㄓㄡㄦㄌㄧ	其實
night	naɪt	n-ī-t	ㄋㄚㄧㄉ	晚
waiting	ˈweɪtɪŋ	w-ā-t-i-ng	ㄨㄝㄧㄉㄧㄥ	等候
pie	paɪ	p-ī	ㄅㄚㄧ	餡餅
glad	glæd	g-l-a-d	ㄍㄌㄚㄉ	高興
shut	ʃʌt	sh-u-t	ㄕㄨㄉ	關閉
feel	fiːl	f-ē-l	ㄈㄧㄌ	感覺
again	əˈgɛn	ə-g-é-n	ㄦㄍㄜㄋ	再次
supposed	səˈpəʊzd	s-ə-p-ə-oo-z-d	ㄙㄦㄅㄦㄡㄗㄉ	應該
happening	ˈhæpnɪŋ	h-a-p-n-i-ng	ㄏㄚㄅㄋㄧㄥ	事件
before	bɪˈfɔː	b-i-f-ô	ㄅㄧㄈㄛ	之前
whoa	wəʊ	w-ə-oo	ㄨㄦㄡ	哇
expect	ɪksˈpɛkt	i-k-s-p-é-k-t	ㄧㄍㄙㄅㄜㄍㄉ	期望
promised	ˈprɒmɪst	p-r-o-m-i-s-t	ㄅㄖㄛㄇㄧㄙㄉ	許諾
met	mɛt	m-é-t	ㄇㄜㄉ	會見
went	wɛnt	w-é-n-t	ㄨㄜㄋㄉ	去
trust	trʌst	t-r-u-s-t	ㄉㄖㄨㄙㄉ	相信
sir	sɜː	s-û	ㄙㄦ	先生
medal	ˈmɛdl	m-é-d-l	ㄇㄜㄉㄌ	勳章
ha	hɑː	h-ä	ㄏㄚ	哈
nothing	ˈnʌθɪŋ	n-u-th-i-ng	ㄋㄨㄊㄧㄥ	沒有
ground	graʊnd	g-r-o-w-n-d	ㄍㄖㄚㄡㄋㄉ	地面
feet	fiːt	f-ē-t	ㄈㄧㄉ	腳
ready	ˈrɛdi	r-é-d-ē	ㄖㄜㄉㄧ	準備
rock	rɒk	r-o-k	ㄖㄛㄍ	岩
much	mʌʧ	m-u-ch	ㄇㄨㄓ	許多
i'd	aɪd	ī-d	ㄚㄧㄉ	ID
mine	maɪn	m-ī-n	ㄇㄚㄧㄋ	礦
had	hæd	h-a-d	ㄏㄚㄉ	有
father	ˈfɑːðə	f-ä-t-h-ə	ㄈㄚㄘㄦ	父親
happen	ˈhæpən	h-a-p-ə-n	ㄏㄚㄅㄣ	發生
circus	ˈsɜːkəs	s-û-k-ə-s	ㄙㄦㄍㄦㄙ	馬戲團
even	ˈiːvən	ē-v-ə-n	ㄧㄈㄣ	甚至
watch	wɒʧ	w-o-ch	ㄨㄛㄓ	看
world	wɜːld	w-û-l-d	ㄨㄦㄌㄉ	世界
any	ˈɛni	é-n-ē	ㄜㄋㄧ	任何
knew	njuː	n-yü	ㄋㄡㄨ	知道
ranger	ˈreɪnʤə	r-ā-n-y-ə	ㄖㄝㄧㄋㄓㄦ	遊俠
by	baɪ	b-ī	ㄅㄚㄧ	通過
cause	kɔːz	k-ô-z	ㄍㄛㄗ	原因
america	əˈmɛrɪkə	ə-m-é-r-i-k-ə	ㄦㄇㄜㄖㄧㄍㄦ	美國
close	kləʊs	k-l-ə-oo-s	ㄍㄌㄦㄡㄙ	關
fixed	fɪkst	f-i-k-s-t	ㄈㄧㄍㄙㄉ	固定
ouch	aʊʧ	o-w-ch	ㄚㄡㄓ	哎喲
absolutely	ˈæbsəluːtli	a-b-s-ə-l-ū-t-l-ē	ㄚㄅㄙㄦㄌㄨㄉㄌㄧ	絕對
giving	ˈgɪvɪŋ	g-i-v-i-ng	ㄍㄧㄈㄧㄥ	給
taken	ˈteɪkən	t-ā-k-ə-n	ㄉㄝㄧㄍㄣ	採取
important	ɪmˈpɔːtənt	i-m-p-ô-t-ə-n-t	ㄧㄇㄅㄛㄉㄣㄉ	重要
must	mʌst	m-u-s-t	ㄇㄨㄙㄉ	必須
poster	ˈpəʊstə	p-ə-oo-s-t-ə	ㄅㄦㄡㄙㄉㄦ	海報
imagine	ɪˈmæʤɪn	i-m-a-y-i-n	ㄧㄇㄚㄓㄧㄋ	想像
open	ˈəʊpən	ə-oo-p-ə-n	ㄦㄡㄅㄣ	打開
hill	hɪl	h-i-l	ㄏㄧㄌ	爬坡道
aren't	ɑːnt	ä-n-t	ㄚㄋㄉ	不
less	lɛs	l-é-s	ㄌㄜㄙ	減
laying	ˈleɪɪŋ	l-ā-i-ng	ㄌㄝㄧㄧㄥ	鋪設
wouldn't	ˈwʊdnt	w-oo-d-n-t	ㄨㄡㄉㄋㄉ	不會
ooh	uː	ū	ㄨ	嚯
bought	bɔːt	b-ô-t	ㄅㄛㄉ	買
wind	wɪnd	w-i-n-d	ㄨㄧㄋㄉ	風
hear	hɪə	h-ē-ə	ㄏㄧㄦ	聽
escaping	ɪsˈkeɪpɪŋ	i-s-k-ā-p-i-ng	ㄧㄙㄍㄝㄧㄅㄧㄥ	逃逸
finally	ˈfaɪnəli	f-ī-n-ə-l-ē	ㄈㄚㄧㄋㄦㄌㄧ	最後
may	meɪ	m-ā	ㄇㄝㄧ	可能
their	ðeə	t-h-ã	ㄘㄝㄦ	其
said	sɛd	s-é-d	ㄙㄜㄉ	說過
organized	ˈɔːgənaɪzd	ô-g-ə-n-ī-z-d	ㄛㄍㄣㄚㄧㄗㄉ	有組織的
after	ˈɑːftə	ä-f-t-ə	ㄚㄈㄉㄦ	後
valuable	ˈvæljʊəbl	v-a-l-y-ü-ə-b-l	ㄈㄚㄌㄡㄡㄦㄅㄌ	有價值
feed	fiːd	f-ē-d	ㄈㄧㄉ	飼料
than	ðæn	t-h-a-n	ㄘㄚㄋ	比
makes	meɪks	m-ā-k-s	ㄇㄝㄧㄍㄙ	品牌
fetcher	ˈfɛʧə	f-é-ch-ə-	ㄈㄜㄓㄦ	提取程序
edwina	edwina	e-d-w-ē-n-a	ㄝㄉㄨㄧㄋㄚ	埃德溫娜
ah	ɑː	ä	ㄚ	啊
thought	θɔːt	th-ô-t	ㄊㄛㄉ	思想
new	njuː	n-yü	ㄋㄡㄨ	新
dare	deə	d-ã	ㄉㄝㄦ	敢
count	kaʊnt	k-o-w-n-t	ㄍㄚㄡㄋㄉ	計數
called	kɔːld	k-ô-l-d	ㄍㄛㄌㄉ	叫
discipline	ˈdɪsɪplɪn	d-i-s-i-p-l-i-n	ㄉㄧㄙㄧㄅㄌㄧㄋ	學科
quick	kwɪk	k-w-i-k	ㄍㄨㄧㄍ	快
you'll	juːl	yü-l	ㄡㄨㄌ	你會
roll	rəʊl	r-ə-oo-l	ㄖㄦㄡㄌ	滾
yourself	jɔːˈsɛlf	y-ô-s-é-l-f	ㄡㄛㄙㄜㄌㄈ	你自己
nice	naɪs	n-ī-s	ㄋㄚㄧㄙ	不錯
morning	ˈmɔːnɪŋ	m-ô-n-i-ng	ㄇㄛㄋㄧㄥ	早上
tweedy's	tweedy's	t-w-ee-d-y'-s	ㄉㄨㄝㄝㄉㄩ'ㄙ	特威迪的
fool	fuːl	f-ū-l	ㄈㄨㄌ	傻子
gets	gɛts	g-é-t-s	ㄍㄜㄗ	得到
where'd	weəd	w-ã-d	ㄨㄝㄦㄉ	哪兒
hatches	ˈhæʧɪz	h-a-ch-i-z	ㄏㄚㄓㄧㄗ	艙口
larry	ˈlæri	l-a-r-ē	ㄌㄚㄖㄧ	拉里
happy	ˈhæpi	h-a-p-ē	ㄏㄚㄅㄧ	快樂
tooth	tuːθ	t-ū-th	ㄉㄨㄊ	齒
gold	gəʊld	g-ə-oo-l-d	ㄍㄦㄡㄌㄉ	金
flashing	ˈflæʃɪŋ	f-l-a-sh-i-ng	ㄈㄌㄚㄕㄧㄥ	閃爍
chair	ʧeə	ch-ã	ㄓㄝㄦ	椅子
rocking	ˈrɒkɪŋ	r-o-k-i-ng	ㄖㄛㄍㄧㄥ	搖擺
gon'	gon'	g-o-n-'	ㄍㄛㄋ'	坤'
yeow	yeow	yeo-w	ㄩㄝㄛㄨ	耀
er	eə	ã	ㄝㄦ	呃
paradise	ˈpærədaɪs	p-a-r-ə-d-ī-s	ㄅㄚㄖㄦㄉㄚㄧㄙ	天堂
fire	ˈfaɪə	f-ī-ə	ㄈㄚㄧㄦ	火
pedal	ˈpɛdl	p-é-d-l	ㄅㄜㄉㄌ	踏板
lower	ˈləʊə	l-ə-ü-ə	ㄌㄦㄡㄦ	降低
ramp	ræmp	r-a-m-p-	ㄖㄚㄇㄅ	舷梯
cap'n	cap'n	ca-p-'-n	ㄕㄚㄅ'ㄋ	頭兒
throttle	ˈθrɒtl	th-r-o-t-l	ㄊㄖㄛㄉㄌ	風門
talking	ˈtɔːkɪŋ	t-ô-k-i-ng	ㄉㄛㄍㄧㄥ	說
