och	and
ville	wanted
voro	were
hennes	her
guld	gold
vrede	anger
bud	bid
heliga	saints
tala	speak
dit	there
hjärta	heart
uti	out
må	may
släkt	family
låt	song
mannen	the man
Jakob	Jacob
herre	Lord
ända	end
hålla	keep
öfver	over
svärd	sword
Petrus	Peter
tiden	the time
plats	place
annan	Other
fanns	existed
nåd	Grace
sände	sent
lever	liver
händer	hands
slog	struck
Davids	David's
eld	Fire
talar	speaking
bor	lives
död	death
hava	have
dö	die
alltid	always
varandra	each other
gett	given
leva	live
del	part
kläder	clothes
varje	each
drog	drug
satte	put
fäder	fathers
visa	show
bo	stay
kunna	be able to
tar	takes
lag	law
ropade	shouted
låter	sounds
kraft	force
länge	long
hem	Home
gott	good
lagen	the law
människa	person
skolen	the school
ansikte	face
synd	sin
veta	Know
makt	Power
medan	while
rike	kingdom
mellan	between
Salomo	Solomon
tron	throne
Jes 	Yes
rädda	save
håller	holding
satt	sat
bröd	bread
kallade	called
föll	fell
Jesu	Jesus
fader	Father
heller	either
fyra	four
stam	tribe
lade	laid
goda	good
israeliterna	the Israelites
ont	evil
mun	mouth
alltså	thus
fast	fixed
ibland	sometimes
konung	King
varda	be
ligger	lies
låg	low
härlighet	glory
prästen	the priest
dotter	daughter
sett	seen
Herrans	Lord's
ifrå	from
bad	bath
fiender	enemies
glädje	Joy
vem	who
hört	heard
vare	item
gärningar	deeds
bodde	lived
sidan	page
evigt	forever
berg	mountain
Aron	Aaron
vände	turned
fem	five
undan	away
ande	Spirit
kärlek	Love
ära	honor
förbund	covenant
vilja	will
döttrar	daughters
kropp	body
rättfärdighet	righteousness
havet	the sea
redan	already
synder	sins
öknen	the desert
Josua	Joshua
döden	death
templet	the temple
själ	Soul
gudar	gods
fötter	feet
längre	longer
altaret	the altar
kvinna	woman
hit	here
dricka	drink
tecken	sign
följde	followed
folken	the peoples
marken	the ground
talat	spoken
lika	equal
runt	around
tror	think
ena	one
började	began
steg	step
Jer 	Jer
Matt 	Matt
offra	sacrifice
äldste	elder
Josef	Joseph
tolv	Twelve
djur	animal
mor	mother
inget	nothing
alnar	cubits
vin	wine
älskar	love
lägga	lay
egen	own
annat	Other
ned	down
enda	only
slut	final
tio	ten
lärjungar	disciples
konungen	the king
befallt	commanded
vända	turn
kungens	the king's
hafva	have
judarna	the Jews
höll	held
bliva	become
frukt	fruit
högra	right
dock	however
offer	victims
edra	yours
kött	meat
liksom	as well as
intill	adjacent
ja	yes
natten	the night
tagit	taken
huvud	head
betyder	means
berget	the mountain
tredje	third
födde	gave birth
långt	far
församlingen	the congregation
bror	Brother
broder	Brother
tillhör	belongs to
låtit	let
dog	died
prästerna	the priests
kvinnor	women
uppå	up
mat	food
hjälp	Help
Sebaot	Sabaoth
grund	basic
ej	not
huset	the house
falla	fall
denne	he
bön	prayer
bröt	broke
innan	before
vers	verse
vishet	wisdom
vidare	further
jordens	of the earth
eget	own
bygga	build
hjärtan	hearts
lämnade	left
tjänst	service
vattnet	the water
översättning	translation
ber	begging
kungar	kings
nämligen	namely
jfr	cf
tusen	thousand
männen	the men
sänt	sent
lyssna	listen
kallas	is called
vardt	became
morgon	morning
hette	called
brännoffer	burnt offering
tills	until
levande	live
skam	shame
ordet	the word
Jeremia	Jeremiah
egna	own
frid	peace
helig	holy
vårt	ours
varder	each
högt	high
tal	speech
berättade	told
profeten	the prophet
sant	true
Luk 	Luke
livet	life
olja	oil
sons	son's
skickade	sent
därifrån	from there
leviterna	the Levites
byggde	built
tjäna	serve
säd	grain
äter	eats
verk	work
ljus	light
vilken	which
himmelen	the sky
befallning	command
sida	page
tänkte	thought
ängel	angel
strid	battle
ed	oath
säg	say
ske	be done
vägar	ways
taga	take
ingenting	nothing
helt	completely
Egyptens	Egypt's
sjunde	seventh
 Kung 	 King
skrivet	written
våld	violence
stort	large
ert	your
sönder	broken
god	good
farao	pharaoh
arbete	work
sak	Thing
läger	camp
rätta	correct
reste	traveled
släkte	genus
nytt	new
profeterna	the prophets
hvad	what
söker	looking for
stannade	stopped
oren	unclean
kommo	Come on
fall	CASE
döma	judge
handen	the hand
andre	second
huru	how
hundra	hundred
nästa	next
hopp	hope
bättre	better
fann	found
ropar	shouts
svara	respond
ställde	posed
hämta	fetch
lära	teach
ens	even
Joh 	Joh
kvinnan	the woman
rättfärdiga	justify
snart	soon
älskade	beloved
enligt	according to
natt	night
vänder	turns
visar	shows
fört	brought
Elia	Elijah
faller	falls
ättlingar	descendants
familj	family
skuld	debt
grekiska	Greek
befallde	commanded
Apg 	Apg
ledare	leader
judiska	Jewish
egendom	property
unga	young
levde	lived
Jerusalems	of Jerusalem
dom	judgment
floden	the river
dödade	killed
 Kor 	 Cows
kastade	threw
öde	Fate
namnet	the name
lämna	leave
varken	neither
öster	east
vars	whose
sista	last
resa	trip
Hiskia	Hezekiah
sända	send
bergen	the mountains
människorna	the people
finner	finds
ting	things
inne	inside
giva	give
styrka	strength
altare	altar
borta	away
Ords 	Ord
visade	showed
solen	the sun
Jakobs	Jacob's
be	ask
Rom 	Rome
ute	out
stadgar	statutes
lärjungarna	the disciples
Sion	Zion
Hes 	Hoarse
 Sam 	 Sam
sex	six
gammal	old
sanningen	the truth
porten	the gate
tjenare	servant
finna	find
morgonen	the morning
Manasse	Manasseh
boskap	cattle
sitter	sitting
träd	Tree
olycka	accident
lägret	the camp
vila	rest
dra	drag
syster	Sister
vilket	which
jord	soil
kunskap	knowledge
visste	knew
ligga	lie
hög	high
dör	dies
ren	clean
flydde	fled
norr	north
budskap	message
evig	eternal
förstånd	understanding
furstar	princes
alle	avenue
platsen	the place
trodde	thought
nya	new
gåvor	gifts
lamm	Lamb
fortsatte	continued
lovat	promised
nöd	need
himlens	of heaven
uppenbarelsetältet	the tabernacle
profeter	prophets
ark	sheet
vilka	which
hustrur	wives
rent	purely
arvedel	heritage
gingo	went
regerade	reigned
präster	clergy
invånare	residents
stammar	tribes
genast	immediately
ihop	Together
håll	hold
troende	believer
rättfärdig	righteous
hjerta	heart
fara	danger
Luk	Luke
siklar	drooling
judar	Jews
gamla	old
samt	and
lagt	laid
evighet	eternity
rena	clean
elden	the fire
hästar	horses
kroppen	the body
frukta	fear
drar	pulls
vän	Friend
senare	later
Sauls	Saul's
ondska	evil
tält	tent
sitta	sit
syn	view
slags	sort of
orätt	wrong
fruktan	fear
illa	badly
samlade	collected
kasta	throw
Pilatus	Pilate
gifva	give
boning	abode
människan	the human being
regeringsår	reign year
offrade	sacrificed
fars	farce
föda	food
olika	various
helige	holy
svar	response
Galileen	Galilee
lång	long
sanning	truth
begär	requests
starka	strong
vittnesbörd	testimony
samman	Together
pengar	money
fäders	father's
lön	salary
syndat	sinned
slavar	slaves
stenar	stones
not	note
nog	enough
stark	strong
rädd	afraid
hatar	hate
verkligen	really
undervisning	teaching
åstad	committed
rättfärdige	righteous
mörker	darkness
hebreiska	Hebrew
kände	felt
älska	love
slår	strikes
fattiga	poor
drabba	affect
släkter	relatives
gåva	gift
stanna	stay
ro	tranquility
löfte	promise
förstår	understand
 Krön 	 Crown
ofta	Often
lik	like
tunga	tongue
Herodes	Herod
lejon	lion
haven	the seas
fly	escape
Jonatan	Jonathan
koppar	copper
handlar	trades
arken	the sheets
Job 	Job
vagnar	carts
profet	Prophet
övriga	others
besittning	possession
inga	no
falska	fake
städerna	the cities
givit	given
domare	Judge
lida	suffer
godhet	goodness
portar	gates
prisa	praise
huvudet	the head
hjälpa	help
hvar	where
Arons	Aaron's
syndoffer	sin offering
länder	countries
igenom	through
svärdet	the sword
si	Si
rum	room
sätter	sets
ben	bone
orena	unclean
ljuset	the light
gud	God
frälsning	salvation
finnas	be
fyrtio	forty
tag	grab
utu	out
Upp 	Up
rikedom	wealth
blodet	the blood
inse	realize
handskrifter	manuscripts
sorg	sorrow
fasta	fasting
tankar	thoughts
förgöra	Destroy
mörkret	the darkness
förkunna	proclaim
draga	draw
barmhärtighet	mercy
lägger	puts
vänner	friends
sökte	sought
hedningarna	the heathens
haft	had
lott	lot
leder	leads
krig	war
graven	the grave
fri	free
filisteerna	the Philistines
faders	father's
brev	letter
vart	where
vandra	hike
förbi	past
kallar	calls
fruktar	fear
läppar	lips
inom	within
änglar	angels
avgudar	idolize
ny	new
ene	one
utvalt	selected
sänder	transmits
höga	high
byte	change
utom	except
skaffa	get
ropa	call
lyssnar	listening
inre	internal
ingången	the entrance
sabbaten	the Sabbath
femtio	fifty
församling	assembly
glada	happy
världens	of the world
Abrahams	Abraham's
lyssnade	listened
sjön	the lake
tidigare	previous
budskapet	the message
ären	the honor
uppstå	arise
förgås	perish
Efraims	Ephraim's
händerna	the hands
funnit	found
fred	peace
evangeliet	the gospel
noga	carefully
återvände	returned
straffa	punish
folkets	the people's
blifva	stay
Jesaja	Isaiah
rik	Rich
matoffer	food offering
bliver	becomes
kalla	call
Salomos	Solomon's
rökelse	Incense
berätta	tell
Assyrien	Assyria
Efraim	Ephraim
öga	eye
förstod	understood
välsignelse	blessing
synden	the sin
ängeln	the angel
strida	fight
ledde	led
samla	collect
Jes	Yes
orent	impure
dödas	be killed
anden	the spirit
välsignade	blessed
söder	south
kvällen	the evening
försoning	reconciliation
fåglar	birds
fint	fine
välsigna	bless
räddade	saved
barns	children's
ordning	order
bok	Book
frågar	asks
förut	before
helgedomen	the shrine
tionde	tenth
mark	ground
bryta	break
dömer	judges
stund	while
människors	people's
moder	mother
köttet	the meat
kanske	perhaps
smorde	greased
utaf	out of
rop	cry
Benjamins	Benjamin's
vore	were
hänt	happened
byggt	built
efterkommande	posterity
hoppas	hope
Septuaginta	Septuagint
syndare	sinner
heter	called
träda	fallow
vandrar	wanders
hvilken	which one
sång	singing
präst	priest
derföre	therefore
allenast	only
Mark 	Ground
Jerobeam	Jeroboam
Josefs	Joseph's
fjärde	fourth
straff	penalty
möta	meet
skräck	horror
förstfödde	first born
fångenskap	captivity
trä	wood
orden	the words
stycke	paragraph
Damaskus	Damascus
ung	young
ensam	alone
bröderna	the brothers
fängelse	prison
kring	around
varar	lasts
skedde	happened
lär	learn
efterföljare	follower
begav	gave
trettio	thirty
lyfte	took off
vis	way
stiga	rise
fortfarande	still
samlades	gathered
lyda	obey
likt	like
bestämt	Certainly
översteprästerna	the high priests
slav	slave
tillbe	worship
barnen	the children
betesmarker	pastures
hälften	half
skriftlärda	scribes
skada	damage
hjärtat	the heart
trots	despite
muren	the wall
klippa	cut
jordene	the soil
äst	eat
tänka	think
sker	happens
undervisade	taught
betala	pay
åker	goes
striden	the battle
skapat	created
hände	happened
alldeles	Right
Bileam	Balaam
Hebr 	Heb
visat	shown
Nebukadnessar	Nebuchadnezzar
precis	just
väster	west
leda	lead
trädde	entered
fåren	the sheep
vandrade	wandered
skrev	wrote
mjöl	flour
bränna	burn
Moabs	Moab's
öppnade	opened
född	born
undervisa	teach
tillhöra	belong
planer	plans
används	is used
stilla	still
fött	born
grep	grabbed
fullt	fully
delar	parts
tillbad	worshipped
mantel	jacket
tider	times
överallt	everywhere
byar	villages
tjugo	twenty
räddning	rescue
familjer	families
liten	small
kommen	come
 ty	 for
livets	of life
heligt	holy
bygger	builds
järn	iron
förlåtelse	forgiveness
fulla	full
vingar	wings
mod	Courage
dött	dead
bestå	consist
Jeriko	Jericho
rörde	touched
förgården	the front yard
evangelium	gospel
dragit	drawn
rika	rich
hafven	the sea
förste	First
översteprästen	the high priest
skyldig	obliged
judarnas	of the Jews
driva	drive
ätt	ate
lite	a little
fjärran	distance
äger	owns
slag	kind
lyder	reads
led	suffered
hemlighet	secret
brinnande	burning
drev	drive
dine	yours
tjänar	serves
 Petr 	 Peter
vittne	witness
tröst	comfort
tjugu	twenty
skatt	tax
redo	ready
tacka	thank
fot	Foot
bild	photo
fiende	enemy
lögn	lie
bra	Good
o	O
djup	depth
skriver	writes
Judeen	Judea
språk	language
förbundet	the union
ögonen	the eyes
räddar	saves
stav	rod
helga	sanctify
babyloniske	Babylonian
vred	angry
insikt	insight
tronen	the throne
ogudaktiga	ungodly
föras	is brought
drogo	drugged
uppdrag	mission
slagit	struck
räckte	handed
förkunnar	proclaims
tillflykt	refuge
dricker	drinks
dessutom	in addition
sidor	pages
fler	more
murar	walls
sändebud	envoy
dela	share
sluta	stop
helgedom	sanctuary
moln	cloud
riket	the kingdom
menigheten	the congregation
kommande	coming
glad	Happy
främlingar	strangers
fastän	although
sjuk	sick
regn	rain
lämnat	left
kallades	was called
väldiga	huge
f Kr	for SEK
innebörd	meaning
föddes	was born
tjurar	bulls
fria	free
bord	table
andar	spirits
samlas	gather
otukt	fornication
bryter	breaks
ätit	ate
utrota	eradicate
palats	palace
uppe	up
trofasthet	faithfulness
mätta	saturate
gifvit	given white
gaf	gave
dörren	the door
kroppar	bodies
konungens	the king's
barnet	the child
himmel	sky
förbannelse	curse
uppror	rebellion
grät	cried
gräns	limit
växa	grow
plåga	torment
missgärning	wrongdoing
mäktiga	powerful
seger	victory
munnen	the mouth
ihjäl	to death
synda	sin
lärare	teacher
yttre	outer
sjuka	sick
femte	fifth
Sidkia	Zedekiah
slutet	the end
domen	the judgment
Gudi	God
vinna	win
känt	known
flera	several
togo	took
församlade	assembled
bredvid	next
östra	east
huvuden	heads
exempel	example
Sions	Zion's
Rehabeam	Rehoboam
jubla	cheer
hår	hair
bevara	preserve
syndar	sins
lidande	suffering
hållit	held
hjord	flock
herde	Shepherd
akt	act
lovade	promised
brott	crime
vordo	became
arbeta	work
ansiktet	the face
slagna	beaten
Libanon	Lebanon
vittnar	testifying
tabernaklet	the tabernacle
pojken	the boy
lämnar	leaves
högg	hit
finnes	exists
bergsbygd	mountain village
högre	higher
honung	honey
dvs	i.e
Jos 	Jos
växer	growing
rest	residual
apostlarna	the apostles
främling	stranger
begått	committed
Moseboken	The Book of Moses
tas	taken
mätte	measured
israeliter	Israelites
ägde	owned
mindre	less
emellan	between
brände	burned
kvinnorna	the women
fångar	prisoners
brödet	the bread
Joshafat	Jehoshaphat
vittna	testify
vinden	the wind
litet	small
högtid	holiday
gripa	seize
gemenskapsoffer	community sacrifice
ond	evil
likaså	also
befästa	consolidate
vänt	turned
utvalda	selected
tänder	teeth
förkunnade	proclaimed
fel	wrong
befallningar	commands
Manasses	Manasseh
intog	took
höjden	the height
framtid	future
stenen	the stone
Kanaans	of Canaan
gifta	married
endast	only
dal	valley
återvända	return
tvätta	wash
tackar	thanks
klippan	the cliff
gudlösa	godless
fariseerna	the Pharisees
dödsriket	the realm of the dead
ansigte	face
slaktoffer	sacrifice
markens	of the ground
lagar	laws
förlåta	forgive
drack	drank
lust	desire
härskarornas	of the rulers
allting	everything
lärt	learned
havande	pregnant
framgång	success
botade	cured
växte	grew
tager	takes
sköld	shield
löften	promises
fattige	poor
hären	the army
gränsen	the border
dröm	dream
skatter	taxes
romerska	Roman
grav	grave
eviga	eternal
tillhörde	belonged to
stodo	stood
efa	ephah
svarar	answers
bakom	behind
öken	desert
ytterligare	further
oxar	oxen
slöt	closed
ok	okay
godt	good
offergåva	offering
kallat	called
vredes	was angry
furste	prince
annars	otherwise
syskon	sibling
sjunga	sing
sinne	mind
reda	ready
kärleken	the love
hednafolken	the heathen people
glädja	delight
förr	before
arbetet	the work
hårt	hard
hjälper	helps
flyr	flees
fattig	Poor
vinet	the wine
spetälska	Leprosy
samlar	collects
härskare	ruler
förra	last
Ef 	Eph
uppståndelse	stir
dagarna	the days
begynte	began
skyndade	hurried
ca	approx
blinda	blind
befaller	commands
skara	crowd
någonsin	ever
kungarna	the kings
åtta	eight
gläder	joys
bägare	cup
består	consists of
hemma	home
verkar	seems
spjut	spear
edor	oaths
blevo	stayed
svär	swear
skett	happened
rådet	the council
hämtade	picked up
gemenskap	community
båten	the boat
väntade	waited
ogudaktige	ungodly
mans	man's
kort	short
föräldrar	parents
Betlehem	Bethlehem
hafvet	the sea
havets	of the sea
dagliga	daily
Babylonien	Babylonia
vakt	guard
ondt	evil
landets	of the country
Gads	Damn
rev	reef
dödat	killed
Ismael	Ishmael
vittnen	witnesses
personer	people
gudsmannen	the man of God
arbetade	worked
åsna	Donkey
 Tim 	 Hours
syftar	aims
hufvud	head
gråta	cry
tjänares	servant's
halv	half
djuren	the animals
sabbat	sabbath
faraos	pharaoh
bringa	bring
överflöd	abundance
motståndare	opponents
mjölk	milk
öppet	open
änglarna	the angels
slakta	slaughter
därpå	thereon
Dan 	Dan
neder	down
drabbas	suffer
dins	yours
ammoniterna	the ammonites
sjuttio	seventy
fallit	fallen
Josia	Josiah
prisade	praised
förty	forbid
förföljde	persecuted
fördes	was brought
antal	number
Simson	Samson
vilse	astray
helgat	hallowed
handla	act
gråt	crying
fira	celebrate
djävulen	the devil
bred	wide
liknade	resembled
förfäder	ancestors
folkens	folks
blef	became
Efesos	Ephesus
skilja	distinguish
brännoffret	the burnt offering
skicka	send
riken	the realms
profetera	prophesy
längs	along
Nasaret	Nazareth
åttonde	eighth
utplåna	wipe out
uppstått	arose
någor	some
mur	wall
klart	clear
hämnd	revenge
rummet	the room
reser	travels
synagogan	the synagogue
sonen	the son
skörd	harvest
hafve	have
fruktade	feared
brutit	broken
bordet	the table
trygghet	security
furstarna	the princes
filistéerna	the Philistines
talenter	talents
svaga	weak
strax	just
edar	oaths
vapen	arms
måtte	measured
menar	means
knä	knee
förbarma	pity
frisk	fresh
skugga	shadow
räknas	is counted
blifver	will be
predika	preach
offrar	sacrifices
möda	toil
magt	power
lägg	put
lif	life
Mordokaj	Mordecai
Asarja	Azariah
utur	out
tältet	the tent
sålde	sold
jämte	together with
driver	drives
Sakarja	Zechariah
sprang	ran
skämmas	be ashamed
lyfta	lift
aln	cubit
Benaja	Benaiah
sist	last
liknelse	parable
filisteernas	of the Philistines
djupt	deep
brukade	used to
visdom	wisdom
svor	swore
körledaren	the conductor
andliga	spiritual
värd	host
välsignar	bless
sinom	since
dåre	fool
åsyn	sight
vingårdar	vineyards
dennes	his
alltsammans	all of it
rätter	dishes
föraktar	despise
frälsa	save
uppgift	task
härifrån	from here
troligen	probably
testamentet	the will
tabernakel	Tabernacle
stadens	of the city
frukten	the fruit
delade	shared
böner	prayers
bjudit	invited
ryttare	rider
höjderna	the heights
helgade	sanctified
dinom	dino
altaren	the altars
Kanaan	Canaan
sanna	true
råder	prevails
landena	the countries
klagan	complaint
herdar	shepherds
ganska	quite
förnimma	perceive
åsnor	donkeys
sprida	spread
når	reach
höger	Right
hälsar	greets
församlingarna	the congregations
därtill	thereto
tjänade	served
rycka	twitch
kejsaren	the emperor
förtära	consume
Jerobeams	Jeroboam's
 ja	 yes
tillhopa	accumulate
styggelse	abomination
straffas	be punished
lycka	happiness
klädd	dressed
hugga	chop
fötterna	the feet
frälst	saved
budit	bid
Presterna	The priests
Jojada	Cheers
sågo	saw
ledarna	the leaders
invånarna	the inhabitants
falskt	false
övergav	abandoned
tårar	tears
norra	northern
nionde	ninth
liknar	resembles
allena	alone
Hos 	In
likväl	nevertheless
gift	married
dårskap	folly
budbärare	messenger
rättvisa	justice
dalen	the valley
syner	views
saknar	missing
regera	reign
osyrade	unleavened
krossade	crushed
brunnen	the well
vilda	wild
spisoffer	stove offering
räddat	saved
kor	cows
händers	happens
skrivit	written
krossa	crush
gifver	gives
förklara	explain
fienden	the enemy
ende	end
ödemark	wasteland
tillfälle	opportunity
kära	dear
fingo	got
dödar	kills
dräpa	slay
Presten	The priest
utgjorde	constituted
svår	difficult
Gal 	Crazy
vika	fold
talet	the speech
plågor	torments
mötte	met
menighet	congregation
Samarien	Samaria
slägte	clan
bevarar	preserves
Dom 	Judgment
vägrar	refuses
tjänaren	the servant
svek	betrayal
däremot	on the contrary
tålamod	Patience
räcker	is enough
prisar	prices
hörer	hears
par	couple
kväll	Evening
vita	White
pris	price
pilar	arrows
orenhet	impurity
nät	web
dertill	in addition
Rakel	Rachel
upphöjd	elevated
makten	the power
kastas	thrown
herres	Lord's
herrar	gentlemen
vise	wise
slippa	avoid
råda	advise
mönstrade	patterned
fördärv	destruction
båge	arc
blandat	mixed
baggar	rams
Bibelns	of the Bible
ät	eat
vete	wheat
strömmar	currents
stolta	proud
lysa	shine
himmelska	heavenly
armar	arms
Esaus	Esau's
Amasja	Amaziah
portarna	the gates
beslut	decision
aftonen	the evening
söners	sons'
starkare	stronger
nuvarande	current
kär	in love
kunnat	could
kors	cross
ansikten	faces
Eufrat	Euphrates
skriva	write
hända	happen
himmelens	of heaven
delen	the part
sins	since
nådde	reached
närmaste	nearest
månen	the moon
kastar	throws
klädde	dressed
förskräckta	horrified
bota	cure
överstepräst	high priest
södra	southern
systrar	sisters
stoft	dust
fröjd	delight
blåste	blew
äktenskapsbrott	adultery
längtar	yearning
höjder	heights
vind	wind
stycken	pieces
själar	souls
sine	his
härliga	lovely
därmed	thus
arv	heritage
välde	Empire
säkert	for sure
bröst	breast
Esra	Ezra
Egypti	Egypt
utvalde	selected
sammanlagt	in total
oljan	the oil
mäktig	powerful
korset	the cross
främst	mainly
böjde	bent
bäcken	pelvis
bockar	ticks
befria	free
Uria	Uriah
Boas	Boaz
lovsång	praise song
gjordes	was done
drabbar	hits
brunn	well
Syrien	Syria
tidigt	early
ogudaktigas	desecrated
hårda	hard
himmelriket	kingdom of heaven
handlat	shopped
förfölja	pursue
frihet	freedom
brevet	the letter
Jisreel	Jezreel
ägodelar	belongings
väldig	vast
tillber	worship
provinsen	the province
helst	preferably
blicken	the gaze
assyriske	Assyrian
överlämna	submit
årsgamla	year old
yttersta	utmost
yngre	younger
tilldess	until then
oxe	ox
lov	permission
korn	grain
hövdingar	chiefs
greps	was arrested
förintelse	Holocaust
överlämnade	handed over
vagn	carriage
soldater	troops
mil	miles
hednafolk	heathen people
fienders	enemies
stjärnorna	the stars
Timoteus	Timothy
egypterna	the Egyptians
brett	wide
antalet	the number
Lot	Lots
värre	worse
trogen	faithful
orter	resorts
bosatte	resident
Jona	Jonah
tappra	bravely
stadsporten	the city gate
gärna	gladly
förtjänar	deserve
fånga	catch
borde	should
Kirjat	Written
tomma	empty
store	great
gyllene	golden
gräs	grass
fängelset	the prison
fursten	the prince
Konungenom	Through the King
trogna	faithful
sörja	mourn
förbanna	curse
behag	Grace
Sak 	Thing
träffade	met
strider	battles
stiger	rises
skapade	created
predikade	preached
närmade	approached
människobarn	human child
mins	min
arbetar	working
starkt	strong
släktingar	relatives
skona	spare
nytta	benefit
lukt	smell
profeterar	prophesies
orda	words
jordena	the soil
hata	hate
benen	the legs
änka	widow
välsignat	blessed
skörda	harvest
penningar	money
lämnas	be left
liknelser	parables
jude	jew
förkastat	rejected
egyptierna	the Egyptians
allra	very
äkta	genuine
vilar	resting
namns	name's
löftet	the promise
israeliternas	of the Israelites
uppenbarat	revealed
högtiden	the holiday
gören	the gourd
garn	yarn
Makedonien	Macedonia
övergett	abandoned
tillbehör	accessories
skördar	harvests
skydd	protection
nått	reached
jubel	cheers
boningen	the dwelling
bestämda	determined
berömma	praise
åkern	the field
utmarker	outfields
innersta	innermost
enlighet	compliance
behålla	retain
bagge	ram
Natan	Nathan
stånd	stand
sen	late
raka	straight
likasom	likewise
förföljer	pursues
därav	hence
beskriver	describes
åkrar	fields
svag	weak
lova	promise
hvilka	which
ges	given
förlåter	forgives
flytt	moved
feta	fat
dyrbara	precious
dryckesoffer	libation
behövde	needed
Edoms	Edom's
vägde	weighed
vilje	will
ve	alas
vanligt	usual
regerar	reigns
förtröstar	confides
föder	gives birth
vinner	wins
ordagrant	verbatim
medlidande	compassion
långa	long
lidanden	woes
andarna	the spirits
Amos 	Amos
hindra	hinder
förbundsark	covenant sheet
undervisar	teaches
trolösa	faithless
kameler	camels
hornen	the horns
fördärva	spoil
allahanda	all sorts
österut	east
tänk	think
skörden	the harvest
sinnet	the mind
prov	sample
hungersnöd	famine
guldet	the gold
övrigt	other
stolthet	pride
sigill	SEAL
rättfärdigt	righteously
rikedomar	riches
rakt	straight
nådig	gracious
lärde	scholar
lydde	obeyed
idag	today
gärning	act
glädjas	rejoice
bords	table
binda	bind
arameerna	the Arameans
änkor	widows
lyckas	succeed
göras	be done
fylla	fill
brist	lack
befälhavare	commander
öknene	the deserts
utlovade	promised
tänkt	thought
tillhörande	belonging
stoftet	the dust
slogo	hit
ruiner	ruins
apostel	Apostle
Babels	Babel's
snabbt	Quickly
profetia	prophecy
nej	No
hedningar	heathens
borg	castle
antagligen	probably
tredjedel	third
sättet	the way
svurit	sworn
moderlivet	motherhood
förråda	betray
fett	fat
botar	cures
barnas	children's
ax	ear
Ahas	Ahaz
vägrade	refused
trösta	comfort
trofast	faithful
skillnad	difference
rot	root
respekt	respect
profeterade	prophesied
naken	naked
leviter	Levites
förakt	contempt
fylldes	was filled
vågade	dared
uppfyllas	fulfilled
säden	the grain
lotten	the lottery
härska	rule
Tyrus	Tyre
Jojakim	Joachim
Abimelek	Abimelech
ärva	inherit
älskat	loved
varifrån	from whence
ryckte	twitched
läggas	be added
deraf	thereof
bränneoffer	burnt offering
allas	everyone's
Isaks	Isaac's
inbyggare	inhabitants
bjöd	invited
västra	Western
namnen	the names
husets	of the house
boskapen	the cattle
blick	look
överträdelser	violations
överge	abandon
väckte	woke up
svält	starvation
sträckte	stretched
skänker	bestows
onde	evil
höjd	height
hjälpte	helped
begår	commits
avskyvärda	despicable
apostlar	apostles
ögonblick	moment
undergång	downfall
rättfärdigas	be justified
pengarna	the money
hundrade	hundred
döds	of death
drottning	queen
burit	carried
Rebecka	Rebecca
nå	reach
klä	dress
Shekem	Shechem
Mika 	Mika
spred	spread
slaktade	butchered
sjukdomar	diseases
saker	things
hånar	taunts
förväg	in advance
förgäves	In vain
fyllde	filled
allom	general
Eleasar	Eleazar
unge	young
sjukdom	disease
lyssnat	listened
