از	From	z
تقسیم	Division	tqsym
است؟	Is it?	st?
بود	was	bwd
برای	For	bry
صلیب	Cross	Slyb
شد؟	became?	shd?
تعمید	Baptism	t`myd
گرفتید؟	Did you get it?	grftyd?
شکر	Sugar	shkhr
به‌جز	Except	bhjz
کْریسپوس	Crispus	khryspws
گایوس،	Gaius,	gyws,
ندادم،	I didn't give it,	nddm,
کسی	Someone	khsy
نتواند	cannot	ntwnd
بگوید	Say	bgwyd
یافتید	Found	yftyd
البته	Of course	lbth
خانوادۀ	Family	khnwdhy
اِستِفاناس	Stephanos	istifns
نیز	Also	nyz
دادم؛	I gave;	ddm;
ولی	But	wly
یاد	Remember	yd
ندارم	I don't have	ndrm
داده	Data	ddh
باشم	To be	bshm
مرا	Me	mr
نفرستاد	Did not send	nfrstd
دهم	Tenth	dhm
بشارت	Good News	bshrt
رسانم،	I will convey,	rsnm,
نه	No	nh
سخنوری،	Oratory,	skhnwry,
مبادا	Lest	mbd
قدرت	Power	qdrt
بی‌اثر	Ineffective	bythr
گردد	Become	grdd
پیام	Message	pym
دنیوی	Worldly	dnywy
هلاک	Perished	hlkh
جهالت	Ignorance	jhlt
امّا	But	mW
نجات	Rescue	njt
خداست	It is God.	khdst
نوشته	Written	nwshth
حکمتِ	Wisdom	Hkhmti
حکیمان	The wise	Hkhymn
نابود	Destroyed	nbwd
خواهم	I want	khwhm
ساخت	Construction	skht
فهم	Understanding	fhm
فهیمان	Fahiman	fhymn
باطل	Invalid	bTl
گردانید	Turn	grdnyd
اِشعیا	Isaiah	ish`y
براستی،	Indeed,	brsty,
حکیم	Wise	Hkhym
کجاست؟	Where is it?	khjst?
عالِمِ	Scientist	`limi
دین	Religion	dyn
مباحثه‌گرِ	Debator	mbHthhgri
این	This	yn
عصر	Evening	`Sr
مگر	Unless	mgr
دنیا	world	dny
نگردانیده	Not done	ngrdnydh
آنجا	There	anj
بنا	Building	bn
نتوانست	Could not	ntwnst
طریق	Way	Tryq
حکمتْ	Wisdom	Hkhmt
بشناسد،	To know,	bshnsd,
چنان	So	chnn
مصلحت	Expediency	mSlHt
دید	Vision	dyd
راه	Way	rh
جهالتِ	Ignorance	jhlti
موعظه،	Sermon,	mw`Zh,
کسانی	Those	khsny
ایمان	Faith	ymn
بخشد	Give	bkhshd
یهودیان	Jews	yhwdyn
خواستار	Demanding	khwstr
آیت‌اند	Ayand	aytnd
یونانیان	Greeks	ywnnyn
پی	Pi	py
حکمت،	Wisdom,	Hkhmt,
مصلوب	Crucified	mSlwb
وعظ	Sermon	w`Z
سنگ	Stone	sng
لغزش	Slip	lGzsh
غیریهودیان	Gentiles	Gyryhwdyn
جهالت،	Ignorance,	jhlt,
فراخواندگان	Callers	frkhwndgn
را،	particle for direct object,	r,
چه	What	chh
یهودی	Jew	yhwdy
یونانی،	Greek,	ywnny,
انسان	Human	nsn
حکیمانه‌تر	Wiser	Hkhymnhtr
ناتوانیِ	Disability	ntwnyi
قدرتِ	The power of	qdrti
تواناتر	More capable	twntr
ایمانداران	Believers	ymndrn
قُرِنتُس	Corinth	qurintus
وضع	Situation	wD`
هنگام	When	hngm
فرا خواند،	Called,	fr khwnd,
نظر	Opinion	nZr
آورید	Bring it.	awryd
بیشتر	More	byshtr
معیارهای	Criteria	m`yrhy
بشری،	Human,	bshry,
محسوب	Considered	mHswb
نمی‌شدید؛	You wouldn't be able to;	nmyshdyd;
قدرتمندان	The powerful	qdrtmndn
یا	Or	y
نبودید	You were not there.	nbwdyd
آنچه	What	anchh
می‌پندارد،	He thinks,	mypndrd,
برگزید	Choose	brgzyd
خجل	Shyness	khjl
سازد؛	Make;	szd;
ضعیف	Weak	D`yf
می‌شمارَد،	Counts,	myshmrad,
انتخاب	Choice	ntkhb
کرد	Kurdish	khrd
شرمنده	Ashamed	shrmndh
پَست	Post	past
حقیر	Humble	Hqyr
می‌انگارد،	He thinks,	myngrd,
نیستیها	Nothingness	nystyh
هستیها	Beings	hstyh
سازد،	Make,	szd,
بشری	Human	bshry
حضور	Presence	HDwr
فخر	Pride	fkhr
نکند	Don't do it.	nkhnd
اوست	He is	wst
هستید،	Are you,	hstyd,
جانب	Side	jnb
یعنی	That is,	y`ny
پارسایی،	Piety,	prsyy,
قدّوسیت	Holiness	qdWwsyt
رهایی	Liberation	rhyy
آمده	Came	amdh
کند	Slow	khnd
اِرمیا	Jeremiah	irmy
ضمیر	Pronoun	Dmyr
متن	Text	mtn
یونانی	Greek	ywnny
نیامده	Has not come	nymdh
واژۀ	Word	wjhy
مکاشفه	Revelation	mkhshfh
اینجا	Here	ynj
بازگشت	Return	bzgsht
اشاره	Hint	shrh
دارد	Yes	drd
اصل	Principle	Sl
واژه	Word	wjh
حاوی	Contains	Hwy
مفاهیم	Concepts	mfhym
مصاحبت	Interview	mSHbt
مشارکت	Participation	mshrkht
هست	There is	hst
منظور	Purpose	mnZwr
پطرس	Peter	pTrs
است؛	is;	st;
همچنین	Also	hmchnyn
بقیۀ	The rest	bqyhy
کتاب	Book	khtb
بدین	Give it.	bdyn
معنی	Meaning	m`ny
سهم	Share	shm
تنها	Alone	tnh
یک	One	ykh
گروه	Group	grwh
باشد	be	bshd
بسیاری	Many	bsyry
مواقع	Occasions	mwq`
مفهوم	Concept	mfhwm
رهانیدن	Release	rhnydn
بردگانِ	Slaves	brdgni
اسیر	Captive	syr
پرداخت	Payment	prdkht
بها	Price	bh
درس	Lesson	drs
عبرت	Lesson	`brt
اسرائیل	Israel	sry'yl
نمی‌خواهم	I don't want to.	nmykhwhm
موضوع	Subject	mwDw`
غافل	Heedless	Gfl
پدران	Fathers	pdrn
همه	All	hmh
زیر	Below	zyr
ابر	Cloud	br
بودند	were	bwdnd
دریا	Sea	dry
گذشتند	They passed.	gdhshtnd
پیوند	Link	pywnd
موسی	Moses	mwsy
یافتند،	They found,	yftnd,
خوراک	Feed	khwrkh
روحانی	Spiritual	rwHny
خوردند	They ate.	khwrdnd
آشامیدنی	Beverage	ashmydny
نوشیدند؛	They drank;	nwshydnd;
صخرۀ	Rock	Skhrhy
پِی	Pay	piy
صخره	Rock	Skhrh
همه،	Everyone,	hmh,
خرسند	Happy	khrsnd
نبود،	It wasn't,	nbwd,
پس	So	ps
اجسادشان	Their bodies	jsdshn
سرتاسر	All over	srtsr
بیابان	Desert	bybn
پراکنده	Scattered	prkhndh
شد	became	shd
حال،	Now,	Hl,
رویدادها	Events	rwyddh
وقوع	Occurrence	wqw`
پیوست	Attachment	pywst
نمونه‌هایی	Examples	nmwnhhyy
همچون	Like	hmchwn
بدی	Bad	bdy
نباشیم	Let's not be	nbshym
مشوید،	Don't be afraid.	mshwyd,
بعضی	Some	b`Dy
شدند؛	They became;	shdnd;
خوردن	Eating	khwrdn
نوشیدن	drink	nwshydn
نشستند	They sat down.	nshstnd
جهت	Direction	jht
لَهو	Lahu	lahw
لَعِب	Play	la`ib
پا	Foot	p
خاستند	They got up.	khstnd
خروج	Exit	khrwj
بی‌عفتی	Immorality	by`fty
دست‌یازیم،	Let's achieve,	dstyzym,
کردند،	They did,	khrdnd,
بیست	Twenty	byst
سه	Three	sh
هزار	Thousand	hzr
تن	Ton	tn
هلاکت	Doom	hlkht
رسیدند	They arrived.	rsydnd
بیازماییم،	Let's try,	byzmyym,
کردند	They did	khrdnd
وسیلۀ	Means	wsylhy
مارها	Snakes	mrh
کشته	Killed	khshth
شدند	They became	shdnd
شِکْوِه	Shekveh	shikhwih
شکایت	Complaint	shkhyt
کنید،	Do it,	khnyd,
هلاک‌کننده	Destroyer	hlkhkhnndh
هلاکشان	Their destruction	hlkhshn
امور	Affairs	mwr
چون	Because	chwn
نمونه	Sample	nmwnh
واقع	Actually	wq`
گردید	Became	grdyd
عبرتی	A lesson	`brty
زمانی	Time	zmny
می‌بریم	We will take	mybrym
غایتِ	The end	Gyti
اعصار	Ages	`Sr
تحقق	Fulfillment	tHqq
یافته	Finding	yfth
گمان	Guess	gmn
به‌هوش	Intelligent	bhhwsh
نیفتد	Don't fall.	nyftd
آزمایشی	Experimental	azmyshy
مناسب	Suitable	mnsb
بشر	Humanity	bshr
نباشد	Not to be	nbshd
اجازه	Permission	jzh
نمی‌دهد	It doesn't give.	nmydhd
بیش	More	bysh
توان	Power	twn
آزموده	Experienced	azmwdh
شوید،	Dill,	shwyd,
آزمایش	Test	azmysh
گریزی	Avoidance	gryzy
فراهم	Provide	frhm
تاب	Swing	tb
تحملش	Tolerate it	tHmlsh
ضیافت	Banquet	Dyft
بتها	Idols	bth
شام	Dinner	shm
عزیزان،	Dear ones,	`zyzn,
بگریزید	Run away.	bgryzyd
خردمندان	The wise	khrdmndn
سخن	Speech	skhn
می‌گویم؛	I say;	mygwym;
دربارۀ	About	drbrhy
قضاوت	Judgment	qDwt
کنید	Do	khnyd
جام	Cup	jm
برکت	Blessing	brkht
می‌گزاریم،	We will,	mygzrym,
شریک	Partner	shrykh
شدن	To become	shdn
خون	Blood	khwn
نیست؟	Isn't it?	nyst?
نانی	Nani	nny
پاره	Torn	prh
بدن	Body	bdn
نانْ	Bread	nn
بسیاریم،	We are many,	bsyrym,
هستیم،	We are,	hstym,
نان	Bread	nn
بهره	Interest	bhrh
بنگرید	Look.	bngryd
قربانیها	Victims	qrbnyh
مذبح	Altar	mdhbH
نمی‌شدند؟	Couldn't they?	nmyshdnd?
مقصودم	I mean	mqSwdm
خوراکِ	Food	khwrkhi
تقدیمی	Dedicated	tqdymy
بت	Idol	bt
چیزی	Something	chyzy
نه،	No,	nh,
قربانیهای	Sacrifices	qrbnyhy
تقدیم	Dedication	tqdym
دیوها	Demons	dywh
نمی‌توانید	You can't.	nmytwnyd
بنوشید	Drink.	bnwshyd
دیوها؛	Demons;	dywh;
سفرۀ	Table	sfrhy
یابید،	Find,	ybyd,
غیرت	Zeal	Gyrt
برانگیزیم؟	Are we provocative?	brngyzym?
تواناتریم؟	Are we more capable?	twntrym?
حدود	About	Hdwd
آزادی	Freedom	azdy
چیز	Thing	chyz
جایز	Permissible	jyz
مفید	Useful	mfyd
نیست	Not	nyst
رواست	It is true.	rwst
سازنده	Manufacturer	szndh
نفع	Benefit	nf`
دیگران	Others	dygrn
بجوید	Chew	bjwyd
گوشتی	Meaty	gwshty
قصابخانه	Butcher shop	qSbkhnh
بدون	Without	bdwn
وجدان	Conscience	wjdn
بخورید،	Eat,	bkhwryd,
زمین	Earth	zmyn
هرآنچه	Whatever	hranchh
مزمور	Psalm	mzmwr
اگر	If	gr
شخصی	Personal	shkhSy
صرف	Spend	Srf
غذا	Food	Gdh
دعوت	Invitation	d`wt
مایل	Mile	myl
رفتن	Going	rftn
برابرتان	Equal to you	brbrtn
گوشت	Meat	gwsht
صورت،	Face,	Swrt,
گفت	Said	gft
وجدان،	Conscience,	wjdn,
مخورید	Don't eat.	mkhwryd
شخص	Person	shkhS
چرا	Why?	chr
باید	Must	byd
حکم	Verdict	Hkhm
کند؟	Slow?	khnd?
خوراکی	Edible	khwrkhy
محکومم	I am condemned.	mHkhwmm
کنند؟	Do they?	khnnd?
خواه	Whether	khwh
خوردن،	Eating,	khwrdn,
کار	Work	khr
دیگر،	Other,	dygr,
جلال	Glory	jll
بکنید	Do it.	bkhnyd
آزرده‌خاطر	Offended	azrdhkhTr
مسازید،	Don't make it,	mszyd,
یهودیان،	Jews,	yhwdyn,
نحو	Syntax	nHw
خشنود	Pleased	khshnwd
سازم	My device	szm
نیستم،	I am not,	nystm,
یابند	Find	ybnd
،	,	,
صورت	Face	Swrt
روایتِ	Narration	rwyti
آب	Water	ab
تورات	Torah	twrt
روایت	Narration	rwyt
مَنّا	Manna	manW
زمان	Time	zmn
پایان	End	pyn
نزد	Near	nzd
عمومیت	Generality	`mwmyt
نداشته	Didn't have	ndshth
حسب	According to	Hsb
جسم	Body	jsm
پس،	So,	ps,
سرمشق	Example	srmshq
بگیرید،	Take it,	bgyryd,
دعا	Prayer	d`
نبوّت	Prophecy	nbwWt
زنان	Women	znn
کلیسا	Church	khlys
تحسین	Admiration	tHsyn
سنّتها	Traditions	snWth
شکل	Shape	shkhl
سپردم،	I handed it over,	sprdm,
حفظ	Preserve	HfZ
آگاه	Aware	agh
مرد،	Man,	mrd,
زن،	Woman,	zn,
مرد	Man	mrd
مردی	A man	mrdy
پوشیده	Covered	pwshydh
کند،	Slow,	khnd,
کرده	Done	khrdh
زنی	Woman	zny
نپوشیده	Not wearing	npwshydh
درست	Correct	drst
مانند	Like	mnnd
تراشیده	Shaved	trshydh
نمی‌پوشاند،	It doesn't cover,	nmypwshnd,
اصلاً	Not at all	Slan
موهای	Hair	mwhy
کوتاه	Short	khwth
کند؛	Slow;	khnd;
زن	Woman	zn
شرم‌آور	Shameful	shrmawr
موهایش	Her hair	mwhysh
بتراشد،	To shave,	btrshd,
بپوشاند	To cover	bpwshnd
نباید	Shouldn't	nbyd
بپوشاند،	To cover,	bpwshnd,
خداست؛	It is God;	khdst;
جلالِ	Glory	jlli
پدید	Appearance	pdyd
نیامده،	He has not come.	nymdh,
آفریده	Created	afrydh
نشده،	Not done,	nshdh,
همین	That's it.	hmyn
رو،	Look,	rw,
فرشتگان،	Angels,	frshtgn,
نشانی	Address	nshny
اقتدار	Authority	qtdr
وجود	Existence	wjwd
این،	This,	yn,
خداوند،	God,	khdwnd,
بی‌نیاز	Unnecessary	bynyz
آمد،	Came,	amd,
واسطۀ	Medium	wsThy
پدیدآورندۀ	Creator	pdydawrndhy
شایسته	Decent	shysth
درگاه	Gateway	drgh
طبیعتِ	Nature	Tby`ti
امور،	Affairs,	mwr,
نمی‌آموزد	Doesn't learn	nmyamwzd
موی	Hair	mwy
بلند	Tall	blnd
مایۀ	The subject	myhy
افتخار	Honor	ftkhr
اوست؟	Is that him?	wst?
عنوان	Title	`nwn
پوشش	Cover	pwshsh
بخواهد	wants	bkhwhd
آهنگی	A song	ahngy
ساز	Instrument	sz
بگویم	I will say	bgwym
کلیساهای	Churches	khlyshy
چنین	Such	chnyn
رسمی	Official	rsmy
شرکت	Company	shrkht
ناشایسته	Unworthy	nshysth
اینک	Now	ynkh
روی	On	rwy
تحسینتان	Your praise	tHsyntn
نمی‌کنم،	I won't,	nmykhnm,
وقتی	When	wqty
گرد	Round	grd
می‌آیید،	Are you coming?	myayyd,
فایده	benefit	fydh
باعث	Cause	b`th
ضرر	Loss	Drr
نخست	First	nkhst
آنگاه	Then	angh
جمع	Plural	jm`
جداییها	Separations	jdyyh
باور	Belief	bwr
شکی	Doubt	shkhy
آنانی	Anani	anny
اصالتشان	Their authenticity	Sltshn
ثبوت	Proof	thbwt
شناخته	Known	shnkhth
شوند	To become	shwnd
جا	Place	j
براستی	Indeed	brsty
غذا،	Food,	Gdh,
منتظر	Waiting	mntZr
خودش	Himself	khwdsh
گرسنه	Hungry	grsnh
حالی	Currently	Hly
مست	drunk	mst
ندارید؟	Don't you have one?	ndryd?
خوار	Eater	khwr
اشخاص	People	shkhS
بی‌چیز	Nothing	bychyz
شرمسار	Shameful	shrmsr
بگویم؟	Should I say?	bgwym?
کنم؟	Should I?	khnm?
نخواهم	I will not.	nkhwhm
یافتم	I found it.	yftm
عیسای	Jesus	`ysy
شبی	Night	shby
تسلیم	Surrender	tslym
دشمن	Enemy	dshmn
گرفت	Took	grft
نموده،	Did,	nmwdh,
فرمود	He said	frmwd
همین‌سان،	Likewise,	hmynsn,
شام،	Dinner,	shm,
جام،	Cup,	jm,
عهد	Covenant	`hd
جدید	New	jdyd
بار	Load	br
گاه	Sometimes	gh
بخورید	Eat.	bkhwryd
بنوشید،	Drink,	bnwshyd,
مرگ	Death	mrg
اعلام	Announcement	`lm
بازآید	Come back.	bzayd
شیوه‌ای	Method	shywhy
بخورد	Eat	bkhwrd
بنوشد،	Drink,	bnwshd,
مجرم	Criminal	mjrm
نسبت	Ratio	nsbt
کس	Who	khs
پیش	Before	pysh
آنکه	That	ankhh
بیازماید	Try it.	byzmyd
تشخیصِ	Diagnosis	tshkhySi
محکومیت	Conviction	mHkhwmyt
خورده	Eaten	khwrdh
نوشیده	Drunk	nwshydh
روست	Rust	rwst
بیمارند	They are sick.	bymrnd
شماری	Count	shmry
نمی‌شد	It couldn't be.	nmyshd
تأدیب	Discipline	t'dyb
محکوم	Convicted	mHkhwm
نگردیم	Let's not look.	ngrdym
برادران	Brothers	brdrn
یکدیگر	Each other	ykhdygr
آمدن	Coming	amdn
نینجامد	Ninjamd	nynjmd
خصوص	Special	khSwS
سایر	Other	syr
چیزها	Things	chyzh
نزدتان	Near you	nzdtn
آمدم،	I came,	amdm,
دستورات	Commands	dstwrt
لازم	Necessary	lzm
داد	Gad	dd
شوهر	Husband	shwhr
همسر	Wife	hmsr
متبوع	Subject	mtbw`
خفتن،	To sleep,	khftn,
مسئلۀ	The problem	msy'lhy
تعدد	Plurality	t`dd
عطایای	Gifts	`Tyy
روح	Soul	rwH
تجلیات	Manifestations	tjlyt
روح،	Soul,	rwH,
بودید،	You were,	bwdyd,
نحوی	Syntax	nHwy
اغوا	Seduction	Gw
شده،	Done,	shdh,
بتهای	Idols	bthy
گنگ	mute	gng
کشیده	Stretched	khshydh
روحِ	The soul	rwHi
گوید،	He says,	gwyd,
لعن	Curse	l`n
جز	Except	jz
باری،	Bari,	bry,
عطایا	Gifts	`Ty
گونا‌گونند،	They are diverse,	gwngwnnd,
روحْ	Soul	rwH
خدمتها	Services	khdmth
عملها	Actions	`mlh
عمل	Action	`ml
ظهور	Emergence	Zhwr
منفعتِ	The benefit of	mnf`ti
همگان	Everyone	hmgn
کلام	Word	khlm
باز	Open	bz
توسط	By	twsT
شفا	Healing	shf
دادن	Giving	ddn
انجام	Done	njm
معجزات	Miracles	m`jzt
نبوّت،	Prophecy,	nbwWt,
تشخیص	Diagnosis	tshkhyS
ارواح	Ghosts	rwH
گفتن	Saying	gftn
انواع	Types	nw`
زبانهای	Languages	zbnhy
غیر	Non	Gyr
ترجمۀ	Translation	trjmhy
اینها	These	ynh
آنها	They	anh
ارادۀ	Will	rdhy
کرده،	Done,	khrdh,
بدنِ	Body	bdni
واحد،	Unit,	wHd,
اعضای	Members	`Dy
متعدد	Multiple	mt`dd
هرچند	Although	hrchnd
بسیار	Very	bsyr
تشکیل	Formation	tshkhyl
شده؛	Has been;	shdh;
بدن،	Body,	bdn,
اگرچه	Although	grchh
بسیارند،	There are many,	bsyrnd,
مورد	Case	mwrd
یهود	Jew	yhwd
غلام	Slave	Glm
آزاد،	Free,	azd,
یافتیم	We found	yftym
دهیم؛	Let's give;	dhym;
نوشانیده	Drink	nwshnydh
شدیم	We became	shdym
عضو،	Member,	`Dw,
دست	Hand	dst
ندارم،	I don't have it,	ndrm,
سبب	Cause	sbb
نمی‌شود	It's not possible.	nmyshwd
عضوی	Member	`Dwy
گوش	Ear	gwsh
چشم	Eye	chshm
تمام	All	tmm
بود،	was,	bwd,
شنیدن	Hearing	shnydn
چگونه	How	chgwnh
میسّر	Easy	mysWr
بوییدن	Smell	bwyydn
امکان	Possibility	mkhn
داشت؟	Did you have it?	dsht?
حقیقت	Truth	Hqyqt
اعضا	Members	`D
آن‌گونه	That way	angwnh
قرار	Appointment	qrr
عضو	Member	`Dw
بودند،	were,	bwdnd,
کجا	Where	khj
می‌داشت؟	Did you have it?	mydsht?
بگوید،	Say,	bgwyd,
نیازی	Need	nyzy
تو	You	tw
پاها	Feet	ph
نیازمند	Needy	nyzmnd
نیستم	I am not.	nystm
برعکس،	On the contrary,	br`khs,
ضعیفتر	Weaker	D`yftr
ضروریترند	They are more necessary.	Drwrytrnd
می‌انگاریم،	We think,	myngrym,
حرمت	Sanctity	Hrmt
خاص	Special	khS
می‌پوشانیم،	We cover,	mypwshnym,
اعضایی	Members	`Dyy
زیبا	Beautiful	zyb
نیستند	They are not	nystnd
احترام	Respect	Htrm
رفتار	Behavior	rftr
می‌کنیم؛	We do;	mykhnym;
زیبای	Beautiful	zyby
احترامی	Respectful	Htrmy
نیاز	Need	nyz
ندارند	They don't have	ndrnd
مرتب	Tidy	mrtb
ساخته	Made	skhth
نصیب	Benefit	nSyb
شود	To be	shwd
فاقد	Lacking	fqd
آنند،	Anand,	annd,
جدایی	Separation	jdyy
اندازه	Size	ndzh
فکر	Thought	fkhr
باشند	be	bshnd
دردمند	Painful	drdmnd
گردد،	To be,	grdd,
همدرد	Sympathy	hmdrd
باشند؛	to be;	bshnd;
سرافراز	Proud	srfrz
شود،	To be,	shwd,
خوشی	Happiness	khwshy
گردند	to turn	grdnd
قرار،	Appointment,	qrr,
هستید	Are you	hstyd
آنید	Anid	anyd
کلیسا،	Church,	khlys,
اوّل	First	wWl
رسولان،	Apostles,	rswln,
دوّم	Second	dwWm
انبیا،	Prophets,	nby,
سوّم	Third	swWm
معلّمان؛	Teachers;	m`lWmn;
بعد	Next	b`d
معجزات،	Miracles,	m`jzt,
سپس	Then	sps
امداد	Relief	mdd
مدیریت	Management	mdyryt
رسولند؟	Are they messengers?	rswlnd?
نبی‌اند؟	Are they not prophets?	nbynd?
معلّمند؟	Teacher?	m`lWmnd?
دارای	Has	dry
معجزه‌اند؟	Are they miracles?	m`jzhnd?
برخوردارند؟	Do they have?	brkhwrdrnd?
ترجمه	Translation	trjmh
اشتیاق	Passion	shtyq
بزرگتر	Bigger	bzrgtr
عالیترین	The most excellent	`lytryn
نشان	Badge	nshn
باب	Bob	bb
بابهای	Chapters	bbhy
اصطلاح	Term	STlH
زبانی	Linguistic	zbny
زبان	Language	zbn
زبانهایی	Languages	zbnhyy
نیاموخته	Unlearned	nymwkhth
نمی‌داند	Doesn't know	nmydnd
اهمیّت	Importance	hmyWt
محبت	Affection	mHbt
آدمیان	Humans	admyn
فرشتگان	Angels	frshtgn
گویم،	I say,	gwym,
باشم،	To be,	bshm,
زنگی	Bell	zngy
پرصدا	Loud	prSd
سنجی	Measurement	snjy
پرهیاهو	Noisy	prhyhw
بتوانم	I can	btwnm
جملۀ	Sentence	jmlhy
اَسرار	Mysteries	asrr
معارف	Education	m`rf
درک	Understanding	drkh
کنم،	I will,	khnm,
ایمانی	Faith	ymny
کوهها	Mountains	khwhh
هیچم	Nothing.	hychm
دارایی	Asset	dryy
صدقه	Charity	Sdqh
خویش	Self	khwysh
شعله‌های	Flames	sh`lhhy
آتش	Fire	atsh
بسپارم،	I will leave it,	bsprm,
سود	Profit	swd
نمی‌برم	I won't take it.	nmybrm
بردبار	Tolerant	brdbr
مهربان	Kind	mhrbn
حسد	Jealousy	Hsd
نمی‌برد؛	It doesn't work;	nmybrd;
نمی‌فروشد	It doesn't sell.	nmyfrwshd
کبر	Bigger	khbr
غرور	Pride	Grwr
ندارد	No	ndrd
نمی‌جوید؛	It does not chew;	nmyjwyd;
آسانی	Ease	asny
خشمگین	Angry	khshmgyn
کینه	Hatred	khynh
دل	heart	dl
نمی‌گیرد؛	It doesn't work;	nmygyrd;
مسرور	Delighted	msrwr
نمی‌شود،	It's not possible.	nmyshwd,
شادی	Happiness	shdy
مدارا	Tolerance	mdr
دارد،	Yes,	drd,
همیشه	Always	hmyshh
امیدوار	Hopeful	mydwr
پایداری	Sustainability	pydry
هرگز	Never	hrgz
نمی‌پذیرد	Does not accept	nmypdhyrd
نبوّتها	Prophecies	nbwWth
رفت	He left.	rft
زبانها	Languages	zbnh
پذیرفت	Accepted	pdhyrft
معرفت	Knowledge	m`rft
زایل	Waste	zyl
جزئی	Minor	jzy'y
نبوّتمان	Our prophecy	nbwWtmn
جزئی؛	Minor;	jzy'y;
کامل	Perfect	khml
آید،	Come,	ayd,
کودکی	Childhood	khwdkhy
نبودم،	I wasn't there,	nbwdm,
کودکان	Children	khwdkhn
می‌اندیشیدم	I was thinking.	myndyshydm
استدلال	Argument	stdll
شدم،	I became,	shdm,
رفتارهای	Behaviors	rftrhy
کودکانه	Childish	khwdkhnh
ترک	Leave	trkh
گفتم	I said	gftm
اکنون	Now	khnwn
تصویری	Video	tSwyry
محو	Fading	mHw
آینه؛	Mirror;	aynh;
رسید	Receipt	rsyd
روبه‌رو	Opposite	rwbhrw
خواهیم	We will	khwhym
شناخت	Recognition	shnkht
فرا خواهد	Will come.	fr khwhd
کمال	Perfection	khml
شناخت،	Recognition,	shnkht,
باقی	Remaining	bqy
ایمان،	Faith,	ymn,
امید	Hope	myd
بزرگترینشان	The biggest of them	bzrgtrynshn
اعتماد	Trust	`tmd
فقط	Only	fqT
لزوم	Necessity	lzwm
استفاده	Use	stfdh
زبانِ	Language	zbni
قابل	Possible	qbl
عبادت	Worship	`bdt
جمعی	Collective	jm`y
پیروی	Follow	pyrwy
باشید،	Be,	bshyd,
