- 和所有	- and all
一柄	edged
一根乾草堆裡的針	a needle in a haystack
一根稻草在風中	a straw in the wind
一桶	over a barrel
一桶笑	a barrel of laughs
一條大魚	a big fish
一條沙子	a rope of sand
一條紅色的抹佈公牛	a red rag to a bull
一條細線	a fine line
一條通往無處的路	a road to nowhere
一條魚出水	a fish out of water
一棵樹	up a tree
一槍在手臂	a shot in the arm
一樣一樣	one and the same
一樣的	the very same
一次	at a time
一次	at one time
一次全部	all at once
一次又一次	again and again
一次和未來	once and future
一次或兩次	once or twice
一次會議	a meeting of minds
一步步	step by step
一毛錢	on a dime
一毛錢一打	a dime a dozen
一無是處	not for nothing
一生	of a lifetime
一生一片	a slice of life
一盒技巧	box of tricks
一直	all along
一直到今天	hither and yon
一直笑到銀行	be laughing all the way to the bank
一碗櫻桃	a bowl of cherries
一磚一瓦	brick by brick
一種	a kind of
一種	of a kind
一筆交易	a deal of
一經請求	on demand
一罐蠕蟲	a can of worms
一臂長	at arm's length
一臉。	a slap in the face
一致	in line
一致	with one accord
一致的看法	see eye to eye
一舉兩得	kill two birds with one stone
一般來說	in general
一艘沉沒的船	a sinking ship
一英里一分鐘	a mile a minute
一英里的俱樂部	the mile-high club
一袋土豆	a sack of potatoes
一袋技巧	a bag of tricks
一袋骨頭	a bag of bones
一觸即發	a touch
一起來	come along
一起來	in tandem
一起做一個人的行為	get one's act together
一起得到一個狗屎	get one's shit together
一起玩	play along
一路走來	all the way
一路走來	go one's way
一路走來	out of one's way
一輪	round about
一輪	round on
一遍又一遍	over and over
一開始就開始	a head start
一隻小鳥告訴我	a little bird told me
一隻狼在羊的衣服	a wolf in sheep's clothing
一隻猴子在背上	a monkey on one's back
一隻眼睛和一顆牙齒	an eye for an eye and a tooth for a tooth
一隻眼睛打開睡覺	sleep with one eye open
一隻自由的手	a free hand
一飲而盡！	bottoms up!
一首歌	for a song
一首歌和舞蹈	a song and dance
一馬鎮	one-horse town
一點一點地	little by little
一點也不	not at all
一點都沒事	a bit of all right
一點點	a bit
一點點地	bit by bit
七個致命的罪惡	the seven deadly sins
七海	the seven seas
三個歡呼聲	three cheers
三個臭皮匠頂個諸葛亮	two heads are better than one
三個部分	three parts
三思而後行	look before you leap
三思而後行	think twice
三盧比	the three Rs
三重	triplication
上	go up
上下	on and on
上下文	contextual
上下文	contextually
上了桿	up the pole
上來	come up
上來了	on the up and up
上來玫瑰	come up roses
上升到場合	rise to the occasion
上升和發光	rise and shine
上和下	up and down
上地殼	the upper crust
上市	go public
上帝保佑	God bless
上帝的兒子	God the Son
上帝的父親	God the Father
上帝的真理	God's truth
上帝的祈禱者	the Lord's Prayer
上帝的禮物	God's gift
上帝的英畝	God's acre
上帝的行為	act of God
上帝禁止	God forbid
上帝給予	God grant
上氣不接下氣	out of breath
上法庭	go to court
上身	chested
下一個世界	the next world
下一行	next in line
下中間	down the middle
下來	be down to
下來	come down on
下來	come down with
下來	get down
下來	get down to
下來	go down on
下來派克	come down the pike
下到地面	down to the ground
下去	go down
下去	go under
下台	step down
下巴	jawed
下廁所	go down the toilet
下擺和aw	hem and haw
下死了	drop dead
下沉	sink in
下沉	sinkage
下沉或游泳	sink or swim
下蓋	under cover
下車	get off
下車	get off on
下車	go off
下鎖和鑰匙	under lock and key
下鎮	down town
下降到	fall to
下降工具	down tools
下雨天	a rainy day
下雨檢查	take a rain check
不，你不要！	no you don't!
不一會兒太早了	not a moment too soon
不一致性	discordance
不入虎穴，焉得虎子	nothing ventured, nothing gained
不公平	no fair
不再	no longer
不再	no more
不出來	not out
不勝	winless
不可戰勝的	beatable
不可收拾	out of hand
不合格	out of gear
不合比例	out of proportion
不同	differently
不同的筆劃為不同的人	different strokes for different folks
不含蛋	eggless
不回報的點	the point of no return
不在你的生活	not on your life
不在你的肚皮上	not on your nelly
不在場	out of court
不夜城	nightless
不好意思	not take kindly to
不好的	a bad lot
不好的感覺	hard feelings
不好說	sad to say
不妨	might as well
不完全是	not exactly
不完全的	not quite
不尋常的	out of the ordinary
不少於	no fewer than
不少於	not least
不工作	out of work
不必要	needlessly
不必要	not necessarily
不忘記 - 	not forgetting - 
不怕	no fear
不惜一切代價	at any price
不想知道	not want to know
不掛斷	hang on
不採取沒有答案	not take no for an answer
不擇手段	by fair means or foul
不是Temptable	temptable
不是一件事	not a thing
不是一半	not half
不是一點	not a bit
不是一點點	not a little
不是完整的	not the full quid
不是幾個	not a few
不是很漂亮的景象	not a pretty sight
不是板球	not cricket
不是特別的	not very
不是補丁	not a patch on
不是那個	not that
不是香腸	not a sausage
不檢點	loiterer
不正確的頭腦	not right in the head
不求回報	for nothing
不用了	no thanks to
不用擔心	not to worry
不用說	go without saying
不用說	needless to say
不相干	have nothing to do with
不知所措	at a loss
不知道	not know that
不知道這個詞的意思	not know the meaning of the word
不確定性	uncertainly
不笑事	no laughing matter
不管	no matter
不給狗屎	not give a shit
不能做	no can do
不能忍受鬼魂的機會	not stand the ghost of a chance
不脛而走	spread like wildfire
不至於	not in the least
不舒服	ill at ease
不著邊際	neither here nor there
不要呼吸	don't hold your breath
不要少	no less
不要愚蠢的傻子	not suffer fools gladly
不要打電話給我們，我們會打電話給你	don't call us, we'll call you
不要把太好點了	not to put too fine a point on it
不要煩我	give me a break
不要聰明	be none the wiser
不要通知	take no notice
不要野餐	be no picnic
不認識亞當的人	not know someone from Adam
不說	not to say
不說話	not to speak of
不近	not nearly
不過，	none the less
不錯	pretty please
不開玩笑	no kidding
世界公民	citizen of the world
世界是你的牡蠣	the world is your oyster
世界末日	the end of the world
世界的人	man of the world
世界的屋頂	the roof of the world
世界的方式	the way of the world
世界的重量	the weight of the world
世界頂級	on top of the world
丟掉名字	drop names
丟掉鑰匙	throw away the key
丟臉	lose face
並排	side by side
並肩	shoulder to shoulder
並駕齊驅	neck and neck
中大獎	hit the jackpot
中間無處	the middle of nowhere
串出來	string out
串起來	be strung out
主席	in chief
主日	the Lord's Day
主樣	lord-like
主的晚餐	the Lord's Supper
之上	up above
之前	previous to
之前	prior to
之前	up before
之杖	waker
乍一看	at first glance
乍看上去	at a glance
乖乖	obediently
乘坐	ride on
乘船	take ship
乞丐不能選擇	beggars can't be choosers
也只是	only too
也可以	may as well
也就是說	that is to say
也沒有	none too
乾了	come up dry
乾了	dry out
乾涸	dry up
乾涸	run dry
乾淨利落	plain and simple
乾淨的健康賬單	clean bill of health
乾燥	dryness
亂七八糟	at sixes and sevens
事實上	as a matter of fact
事實上	in point of fact
事實上	in reality
事實上	in truth
事實與數據	facts and figures
事情的事實	the fact of the matter
事情的形狀來了	the shape of things to come
事情的方案	the scheme of things
五十步笑百步	the pot calling the kettle black
交出	hand over
交叉線	crossed line
交易	trade on
交易技巧	tricks of the trade
交貨	deliver the goods
交鋒	cross swords
亮度	brightness
亮度	lightness
人的時刻	man of the moment
人起來	man up
人跡罕至的地方	off the beaten track
人類仁慈的牛奶	milk of human kindness
人類最好的朋友	man's best friend
什麼	what of
什麼不喜歡？	what's not to like?
什麼不是	and what not
什麼也沒說	to say nothing of
什麼名字？	what's in a name?
什麼是新的	what's new
什麼樂趣！	what fun!
今天在這裡，明天走了	here today, gone tomorrow
今天就這樣吧	call it a day
介入;涉足	step in
他們說	they say
他和她的	his and hers
他媽的	fuck all
他媽的	fuck off
他媽的人	fuck someone up
他媽的人過了	fuck someone over
付出努力	effortful
付出寶貴的代價	pay dearly
付款人	payer
付清	pay off
付錢的人叫調	he who pays the piper calls the tune
代替	in place of
代替	inside of
代表	stand for
令人難以置信	beyond belief
以......為代價	at the expense of
以...的觀點	in view of
以一種說話的方式	in a manner of speaking
以上懷疑	above suspicion
以上的位	above the bit
以任何方式	by any means
以前一直在那裡	have been there before
以及	as well
以及	as well as
以名義	in the name of
以壞的方式	in a bad way
以外	other than
以小劑量	in small doses
以後再	ever again
以成本	at cost
以此為目的	with a view to
以武力	by force of
以溢價	at a premium
以神的名義	in God's name
以結的速度	at a rate of knots
以至於	so much so that
以英寸	by inches
以著名聞名	famous for being famous
以防萬一	just in case
仰望	look up to
任何一天	any day
任何人的猜測	anybody's guess
任何人的遊戲	anyone's game
任何地方附近	anywhere near
任何數量	any number of
任何數量的	any amount of
任何港口在風暴中	any port in a storm
任何狀況之下	in any case
任何老	any old
任何老怎麼樣	any old how
任性	willed
任期安全	security of tenure
伊利亞群島	the Elysian Fields
休息一下	give it a rest
休息一下	make a break for
休息營	break camp
休閒中	at leisure
估計	reckon with
伸出一英里	stick out a mile
伸出來	stick out
伸出來	stick out for
伸出來像一個痛苦的拇指	stick out like a sore thumb
伸展	stretchable
但對於	but for
但是	but that
但是之後	but then
但這是另一個故事	but that's another story
位在一邊	bit on the side
位於	lie in
住在一起	live together
住在過去	live in the past
作品	piece of work
作樂	make merry
作為一個人	as one man
作為一個整體	as a whole
作為一個開始	for a start
作為一個項目	be an item
作為交換	in exchange
作為回報	in return
作為基本規則	as a general rule
作為規則	as a rule
作為記錄	for the record
你不知道嗎	don't you know
你再去了	there you go again
你在做什麼？	what are you on?
你太無恥了	shame on you
你好嗎？	how do you do?
你會怎麼樣	what you will
你有什麼快樂？	what's your pleasure?
你有它	there you have it
你父親怎麼樣	how's your father
你的	up yours
你的屁股！	up your arse!
你離題了	out of context
佩戴者	wearer
使...能夠	to let
使它大	make it big
使它快樂	make it snappy
使成績進步	make the grade
使某人失望	let someone down
使者	bringer
使自己稀缺	make oneself scarce
使運行	make the running
來乾淨	come clean
來了	come round
來了	come under
來什麼可能	come what may
來休息	come to rest
來來去吧	come and go
來來回回	back and forth
來到	come to
來到之間	come between
來到地獄或高水	come hell or high water
來吧	bring it on
來吧	come about
來吧	come around
來吧	come at
來吧	come before
來吧	come for
來吧	come forward
來吧	come on
來吧	come on to
來吧	come one's way
來吧	come right
來吧	come upon
來吧	to come
來年齡	come of age
來年齡	coming of age
來強壯	come on strong
來得便當去得快	easy come, easy go
來想想吧	come to think of it
來打擊	come to blows
來源	at source
來的	come of
來短	come short
來自	as from
來自	come from
來自後面	come from behind
來自海外	from overseas
來茬	come a cropper
例如	for example
例如	for instance
供不應求	in short supply
供應	on supply
供應商	supplier
供需	supply and demand
依照	stick to
依稀	dimly
依靠	bank on
便利地	handily
便士下降了	the penny dropped
便宜又快樂	cheap and cheerful
便宜又討厭	cheap and nasty
係好安全帶	belt up
保存臉	save face
保守	conservatively
保守主義	conservatism
保持一些東西	keep something from
保持一些東西	keep something in
保持一個人	keep someone in
保持下來	keep down
保持人	keep someone up
保持你的啄食	keep your pecker up
保持你的襯衫	keep your shirt on
保持公司	keep company with
保持和平	keep the peace
保持外表	keep up appearances
保持媽媽	keep mum
保持房子	keep house
保持所有的ace	hold all the aces
保持時間	keep time
保持步伐	keep step
保持秩序	keep rank
保持自己	keep to oneself
保持自己的腳	keep one's feet
保持良好	stay well
保持觀察	keep watch
保持身體和靈魂在一起	keep body and soul together
保持頭腦	keep one's head
保釋後	post bail
保重	take care
保險槓到保險槓	bumper-to-bumper
信不信由你	believe it or not
信任投票	vote of confidence
信用到期的信用	credit where credit is due
信號燈	winker
信貸	on credit
信貸額度	line of credit
修理者	mender
俯仰	pitch up
俱樂部會員	clubber
倍增	doubler
倒orn	pour scorn on
倒在上面	pour it on
倒退	fall back
倒酒	pourer
倚	lean on
借款人	borrower
借用	loaner
借記方	the debit side
值得一提的	mentionable
值得信賴	trustable
值得懷疑	doubtable
值得獎牌	deserve a medal
假	falsely
假上身	dummy up
假死	play possum
假裝沒看見	turn a blind eye
偉大和好的	the great and the good
偏激	extremeness
做	do by
做whoopee	make whoopee
做一些事情	do something over
做一些事情	make something up
做一些好事	make something good
做一個	do one
做一個乾淨的掃	make a clean sweep
做一個人	do someone up
做一個傻瓜	make a fool of
做一個嘲弄	make a mockery of
做一個戲	make a play for
做一個數字	do a number on
做一個比賽	make a match
做一個直線	make a beeline for
做一個美德	make a virtue of
做一個誠實的女人	make an honest woman of
做一個跑步者	do a runner
做一個雙層床	do a bunk
做一個音調	make a pitch
做一個飛濺	make a splash
做一頓飯	make a meal of
做事情	do things to
做什麼的？	what for?
做伎倆	do the trick
做做	make do
做切割	make the cut
做午餐	do lunch
做和做	up and doing
做好後	make after
做好準備	make ready
做完了	done for
做得像	make like
做得好	do good
做得很多	make much of
做愛	make love
做或打破	make or break
做或死	do or die
做戰鬥	do battle
做更多的傷害比好	do more harm than good
做某事	do something in
做某事	do something out
做某事	make something of
做某人	do someone in
做某人的頭	do someone's head in
做正確的	do right by
做水	make water
做為	do for
做生意	do the business
做的	do with
做自己的展覽	make an exhibition of oneself
做藥物	do drugs
做記錄	take note
做論文	make the papers
做起來	do up
做這個工作	do the job
做運動	make sport of
做體面的事情	do the decent thing
做點事情	do something up
做點東西	make something over
停下來	put a stop to
停下來	stop out
停在附近	stick around
停止	stop short of
停止印刷	out of print
停止死亡	stop dead
停止演出	stop the show
停止短	stop short
健全	bodied
健康	wellness
健談	talker
側身	sideways on
偵察者	scouter
偶然的機會	an even chance
偷偷	on the sly
偷工減料	cut corners
偽稱	palmed
傑克離開	jack off
備份	back up
備查	for future reference
傲然	proudly
傳下去	pass off
傳出	pass out
傳遞	pass on
傳遞一些東西	pass something over
傳遞包裹	pass the parcel
債券	in bond
傻子急於天使害怕踩踏	fools rush in where angels fear to tread
傾盆大雨	rain cats and dogs
僅在名義上	in name only
僅有的一個	one and only
像cl子一樣	like the clappers
像一個惡魔	like a demon
像一個炸彈一樣	go like a bomb
像一個蝙蝠從地獄	like a bat out of hell
像一堆磚	like a ton of bricks
像一家中國店的公牛	like a bull in a china shop
像一槍	like a shot
像一連串	like a streak
像任何東西	like anything
像你一樣做	as you do
像做夢一樣	like a dream
像光一樣出去	go out like a light
像兔子一樣繁殖	breed like rabbits
像地獄一樣	like hell
像地球上沒什麼	like nothing on earth
像山一樣古老	as old as the hills
像房子一樣安全	as safe as houses
像水一樣	like water
像水蛭	like a leech
像沒人做生意	like nobody's business
像火炬的飛蛾一樣	like a moth to the flame
像無頭雞	like a headless chicken
像生氣	like mad
像發瘋的	like crazy
像石頭一樣	rock-like
像罪惡	like sin
像羔羊一樣宰殺	like a lamb to the slaughter
像蒼蠅一樣死亡	die like flies
像那樣	like that
像風一樣	like the wind
像魔術	like magic
像魔鬼一樣	like the devil
像魚一樣喝	drink like a fish
僵硬	stiffly
僵硬的板子	stiff as a board
價格多少	what price
儀式儀式	rite of passage
儘管	in spite of
儲庫	reserver
允許我	allow me
允許我	permit me
兄弟在懷裡	brothers in arms
充分	to the full
充分利用	make the best of
充分利用	make the most of
充實	fleshed
充滿了	full out
充滿了豆	full of beans
充滿了邊緣	full to the brim
充滿溢出	full to overflowing
充滿煙霧的房間	smoke-filled rooms
充滿自己	full of oneself
充耳不聞	turn a deaf ear
充電	rechargeable
充電器	recharger
兇猛	fierceness
光明正大	fair and square
光陰	light and shade
克服	get over
免費	for free
免費	free of charge
免費乘車	a free ride
兒子的名分	sonship
兜圈子	beat about the bush
內克爾	necker
內外	the ins and outs
內心安寧	at peace
內特	netter
內疚	guiltily
全力以赴	all out
全力以赴	with all one's might
全唱，全跳舞	all-singing, all-dancing
全有或全無	all-or-nothing
全流程	in full flow
全濕了	all wet
全站	all standing
全能和最終	the be-all and end-all
全裸	bare all
全視圖	in full view
全部一起	all together
全部出發	all get-out
全部告訴	all told
全部在	all in
全部發現	all found
全部都一樣	all the same
全都死了	damn all
全都為了	all for
全開	full on
全面地	across the board
兩個錯誤都沒有權利	two wrongs don't make a right
公元前	before Christ
公平	fairness
公平交易	a fair deal
公平和正直	fairly and squarely
公平的dinkum	fair dinkum
公平的去	fair go
公平的比賽	fair game
公平競賽	play fair
公正	justness
公眾的眼睛	the public eye
公開的;當眾	in public
公雞的步行	cock of the walk
六最好的	six of the best
六英尺以下	six feet under
共享資源	sharer
共同或花園	common or garden
共同的好	the common good
共同貨幣	common currency
共同點	common ground
共同點	common thread
共同點	in common
共性	commonness
兵臨城下	under siege
其中的一種	one of a kind
其他地方	everywhere else
其餘的是歷史	the rest is history
具體	concretely
具體性	concreteness
再來？	come again?
再來一次	here we go again
再想一想	think again
再見	by the bye
再造	reinvention
冒煙	go up in smoke
冒險	take the plunge
冬天的死人	the dead of winter
冰山一角	the tip of the iceberg
冷卻	cooled
冷卻！	cool it!
冷的肩膀	the cold shoulder
冷竣	chillingly
冷舒適	cold comfort
冷酷的	feelingless
冷鋼	cold steel
冷靜	calmness
冷靜	coolly
冷靜下來	take the chill off
凌駕於法律之上	above the law
凍結一個人	freeze someone out
出了佣金	out of commission
出了問題	out of the question
出了照片	out of the picture
出了路	out of the way
出來	come out
出來	come out in
出來	come out with
出來	cop out
出來	have it out
出來	out for
出來	out of it
出去	get out
出去	go out
出去做點什麼	out to do something
出去吃午餐	out to lunch
出去玩	hang out
出售	on sale
出席會議	in attendance
出於同樣的原因	by the same token
出於興趣	of interest
出汗了	sweat it out
出生和繁殖	born and bred
出發	set off
出發	set out
出租	for rent
出租人	leaser
出錯	go wrong
出門	out of doors
刀割樣	knife-like
刁難地	despiteful
分享一下	share a moment
分享和分享	share and share alike
分割	cut up
分心	to distraction
分手	break up
分揀機	sorter
分級機	sizer
分裂的頭髮	split hairs
分解	break down
分開但平等	separate but equal
分開差異	split the difference
分開的方式	parting of the ways
分隔器	separator
分離性	separateness
分頁	paged
分頁	tabbed
切丁	dicer
切了一個人	cut someone up
切入	cut in
切入某人	cut someone in
切入正題	cut to the chase
切出來	cut it out
切割一下	cut a dash
切割並運行	cut and run
切成	cut into
切斷東西	cut something off
切斷某人	cut someone off
切斷自己的鼻子，盡量避開臉	cut off one's nose to spite one's face
切松	cut loose
切段，曬乾	cut and dried
切片和骰子	slice and dice
切片機	slicer
切芥末	cut the mustard
初學者的運氣	beginner's luck
初步的	preliminary to
別客氣	be my guest
別想它了	think nothing of it
別提了	don't mention it
別擔心	no worries
別的東西	something else
別緊張	take it easy
別說了	say no more
利己	hoggish
利用	make use of
利用	take advantage of
到T	to a T
到了	on to
到了這一點	to the point
到今天	to the day
到今天	to this day
到位	in place
到位	to bits
到地獄	to hell with
到場	turn up
到壞的	to the bad
到大小	to size
到天空	to the skies
到底	in the end
到底部	get to the bottom of
到最後	to the finish
到某處	get somewhere
到核心	to the core
到歹徒	to the gunwales
到死亡	to the death
到王國來	to kingdom come
到現在為止還挺好	so far so good
到生命中	to the life
到痛苦的盡頭	to the bitter end
到目前為止	by far
到第n學位	to the nth degree
到第一個基地	get to first base
到腳下	to one's feet
到處走走	get around
到達	get to
到達	reachable
到骨頭	to the bone
到骨髓	to the marrow
到鰓	to the gills
制定	draw up
制定一個計劃	make a plan
制定法律	lay down the law
制衡	checks and balances
刺傷了一個人在後面	stab someone in the back
刺戳	prodder
刺激	spurred
刺輥	licker
剁碎	the chop
削減交易	cut a deal
前方的街道	streets ahead
前進	forward of
前進	go ahead
前進	go forward
前面	in front
剛性	stiffness
剝離	come off
剪下	cut out
剪切和粘貼	cut and paste
創造性思考	think outside the box
創造歷史	make history
劃傷表面	scratch the surface
劇情增厚	the plot thickens
劍狀	sword-like
力量的均衡	balance of power
功能文盲	functionally illiterate
加入俱樂部	join the club
加工	processable
加強板塊	step up to the plate
加快速度	up to speed
加油！	up the ante
加緊	gear up
加載為熊	loaded for bear
助力器	strengthener
助推器	tunneller
努力	make an effort
努力	with effort
勇敢	braveness
勇敢地	bravely
勇敢地	gamely
動子和搖床	mover and shaker
動手	hands-on
動脈硬化	hardening of the arteries
動起來	get moving
動輒	at every turn
勝算	winnable
勞登	louden
勻	evenly
勾選某人	tick someone off
包一記重拳	pack a punch
包機	plucker
包熱	pack heat
包糖	bagful
包裝像沙丁魚	packed like sardines
包裝出來	packed out
匆忙	in a hurry
化妝	make up
化為碎片	fall to pieces
匹配	match up to
匹配	to match
十分之九	nine tenths
十分之九	nine times out of ten
十分之十	ten out of ten
十字架的標誌	sign of the cross
十對一	ten to one
十幾個	by the dozen
千分之二	coverable
千鈞	supremely
升空	lift off
升級程序	upgrader
升降機	lifter
午餐的女士們	ladies who lunch
半生不熟	rawness
半豎起	half-cocked
卑賤	meanly
卡住	chuck up
卡特	carter
印象的	impressional
危險	at stake
即使	even if
即使	even though
即使如此	even as
即使是這樣	even so
卵石	pebbly
卷上	on a roll
厚厚	thickly
厚而快	thick and fast
原則上	in principle
原則上	on principle
厲害	strike it rich
去！	go to!
去pfft	go pfft
去ung	go bung
去一個更好	go one better
去世	pass away
去乞討	go begging
去做	go for
去備用	go spare
去加油	take a hike
去合法	go legit
去吧	get going
去吧	go about
去吧	go at
去吧	to go
去吸一個雞蛋	go suck an egg
去嚐嚐	to taste
去地方	go places
去地獄	to hell
去地球	go to earth
去地面	go to ground
去墊子	go to the mat
去彈道	go ballistic
去戰爭	go to war
去把事情弄得更糟	to make matters worse
去搞清楚！	go figure!
去放風箏	go fly a kite
去整個豬肉	go the whole hog
去本地人	go native
去梨形	go pear-shaped
去死吧	go to hell
去沒有	go without
去法律	go to law
去活	go live
去浪費	go to waste
去海邊	go to sea
去燒傷	go for the burn
去牆上	go to the wall
去狗	go to the dogs
去皮	skinless
去睡午覺	go nap
去睡覺	get to sleep
去睡覺	go to sleep
去短	go short
去碎片	go to pieces
去秋天	take the fall
去突擊隊	go commando
去粉碎	go to smash
去精神	go mental
去舷外	go overboard
去荷蘭語	go Dutch
去過也做過	been there, done that
去遠方	go the distance
去郵政	go postal
去鉑金	go platinum
去鍋	go to pot
去鎮上	go to town
去額外的一英里	go the extra mile
去飛行	go flying
去騙子	go crook
去黃金	go gold
參加進來	come into play
參照系	frame of reference
參與	take part
又一樣	same again
及時	in time
反	reverser
反之	contrarily
反對	as against
反對	come up against
反對	in opposition
反對	kick against
反對	over against
反對	run against
反對	run up against
反對	take against
反對	up against
反對太陽	against the sun
反對時間	against time
反對糧食	against the grain
反對者	objector
反對自己的願望	against one's wishes
反對自然	against nature
反彈	on the bounce
反彈	on the rebound
反轉費用	reverse the charges
反過來	in turn
反饋	feed back
取一些東西	take something off
取代	take the place of
取樣器	corer
取決於	depending on
取決於	up to
取笑	poke fun at
取自	take from
受其影響	under the influence
受害	victimhood
受審	stand trial
叢林	jungly
叢林的法律	the law of the jungle
口	mouthed
口哨迪克西	whistle Dixie
古人	the ancients
另一件事	the other thing
另一個	one another
另一半的生活如何	how the other half lives
另一方面	on the other hand
只是	only just
只是工作	just the job
只是靜靜地	just quietly
只有	nothing but
只有這麼多	only so much
只要	as long as
只要	in so far as
只要	so long as
只要有強大的意志，必有一條路為你開	where there's a will there's a way
叫停	call a halt
叫它退出	call it quits
叫鐵鍬	call a spade a spade
可下沉	sinkable
可以掌握的小東西，勝過沒有把握的大東西	a bird in the hand is worth two in the bush
可以解決	fixable
可供出售	sellable
可保持	holdable
可借鑒	referable
可儲存	storable
可兌換	exchangeable
可出租	leasable
可匹配	matchable
可升高	raisable
可命名	nameable
可回收	returnable
可容忍	sufferable
可怕的二人	terrible twos
可怕的很多	an awful lot
可愛	prettiness
可愛的jubbly	lovely jubbly
可折疊	foldable
可捲曲	rollable
可接受	acceptably
可控	controllably
可控制	controllable
可控性	controllability
可握	graspable
可撕裂	tearable
可操縱	steerable
可支配	spendable
可旋	screwable
可映射	mappable
可棄	droppable
可檢查	checkable
可治療	treatable
可清洗	cleanable
可測試	testable
可測試性	testability
可滿足	satisfiable
可熔	meltable
可牽引	towable
可獲取	acquirable
可玩	playable
可玩性	playability
可畏	terribleness
可知	knowable
可移動	shiftable
可簽名	signable
可編程	programmability
可編程的	programmable
可聽的	hearable
可能停止	stoppable
可能是對的	might is right
可複製	duplicable
可解釋	explainable
可觸摸	touchable
可訓練	trainable
可調光	dimmable
可證	provability
可證	provable
可證明	provably
可轉移	jumpable
可運行	runnable
可達性	reachability
可鎖定	lockable
可關閉	closable
可預期的	expectable
可點擊	tappable
司爐	stroker
吃東西	eat someone up
吃東西	eat something up
吃泥土	eat dirt
吃烏鴉	eat crow
吃進去	eat into
吃餃子	eat humble pie
各種	all sorts of
各種各樣的	all manner of
合意	acceptability
合理	make sense
吊索和箭頭	slings and arrows
同情地	pityingly
同樣在這裡	same here
同樣的差異	same difference
同樣的老，同樣的老	same old, same old
