you wouldn't read about it
full of one's own importance
frighten the life out of
free, gratis, and for nothing
for what it is worth
for the sake of argument
for the love of Mike
for the love of God
for the life of me
for the hell of it
for all someone is worth
fly in the face of
fit someone like a glove
fine words butter no parsnips
fine feathers make fine birds
fight like cat and dog
far from the madding crowd
fall flat on one's face
fall at the first hurdle
everything but the kitchen sink
every trick in the book
every man has his price
err on the side of
err on the right side
eat one's own dog food
drive someone up the wall
drink someone under the table
don't give it another thought
don't change horses in midstream
do the dirty on someone
do not adjust your set
do more harm than good
do a land-office business
different strokes for different folks
die with one's boots on
die on the Order Paper
dead from the neck up
cut something down to size
cut someone to the quick
cut someone down to size
cut from the same cloth
cross someone's palm with silver
credit where credit is due
conservative with a small c
come to think of it
come to a sticky end
come to a bad end
come out of the woodwork
come out in the wash
come hell or high water
come down to the line
chief cook and bottle-washer
catch someone in the act
cannot take one's eyes off
cannot choose but do something
call a spade a spade
by no manner of means
by hook or by crook
by fair means or foul
by appointment to the Queen
burn something to a crisp
bring something up to code
bring something to the table
bring something to the party
bring someone into the world
bring down the curtain on
bright-eyed and bushy-tailed
breathe a sigh of relief
blow up in one's face
blood is thicker than water
bind someone hand and foot
bestride something like a colossus
before you can say knife
beauty is only skin-deep
beat the bejesus out of
beat someone to the punch
be wise after the event
be up with the lark
be under the illusion that
be thick on the ground
be the making of someone
be the best of friends
be that as it may
be saved by the bell
be run off one's feet
be riding for a fall
be quick off the mark
be pushing up the daisies
be part and parcel of
be out on one's ear
be one's own worst enemy
be on one's best behaviour
be of the opinion that
be of the belief that
be nothing to do with
be no respecter of persons
be meat and drink to
be made of sterner stuff
be looking over one's shoulders
be living on borrowed time
be light on one's feet
be left at the post
be jumping up and down
be joined at the hip
be in the same boat
be in the market for
be in at the kill
be in at the death
be heading for a fall
be hanging over someone's head
be frightened of one's shadow
be for the high jump
be economical with the truth
be easier said than done
be downhill all the way
be cruel to be kind
be cracked up to be
be called within the Bar
be burned at the stake
be bumping along the bottom
be bouncing off the walls
be beaten at the post
be at the end of
be at the bottom of
be at one's wits' end
be at each other's throats
be as right as rain
be all the same to
be all fingers and thumbs
be about to do something
be a question of time
be a law unto oneself
be a far cry from
be a box of birds
back to the drawing board
back someone into a corner
at the best of times
at someone's beck and call
at a rate of knots
as the case may be
as old as the hills
as near as damn it
as luck would have it
as I live and breathe
as game as Ned Kelly
as cross as two sticks
as chance would have it
as American as apple pie
as a matter of fact
any port in a storm
an arrow in the quiver
an accident waiting to happen
all's well that ends well
all roads lead to Rome
all over bar the shouting
all in a day's work
actions speak louder than words
a year and a day
a word to the wise
a wolf in sheep's clothing
a watched pot never boils
a walk in the park
a voice in the wilderness
a turn of the screw
a tough nut to crack
a thing of the past
a tempest in a teapot
a tale of a tub
a straw in the wind
a storm in a teacup
a stab in the dark
a stab in the back
a slice of the action
a slap on the wrist
a slap on the back
a slap in the face
a sight for sore eyes
a shoulder to cry on
a shot in the dark
a shot in the arm
a shot across the bows
a safe pair of hands
a Roland for an Oliver
a rebel without a cause
a price on someone's head
a pound to a penny
a place in the sun
a pig in a poke
a piece of old tackie
a penny for your thoughts
a pat on the back
a notch on someone's bedpost
a new broom sweeps clean
a needle in a haystack
a name to conjure with
a mote in someone's eye
a monkey on one's back
a means to an end
a lump in the throat
a little bird told me
a lick and a promise
a leap in the dark
a kick in the teeth
a house divided cannot stand
a hard nut to crack
a gleam in someone's eye
a fly in the ointment
a flea in one's ear
a fish out of water
a feather in one's cap
a fate worse than death
a different kettle of fish
a clean bill of health
a chip on one's shoulder
a chink in someone's armour
a card up one's sleeve
a burr under someone's saddle
a bump in the road
a broth of a boy
a breath of fresh air
a blot on one's escutcheon
a blast from the past
a bite at the cherry
a bit of all right
a beam in one's eye
your mileage may vary
you and whose army?
year in, year out
work like a charm
wonders will never cease
woman of the world
woman of the streets
without let or hindrance
without fear or favour
within an inch of
within an ace of
within a whisker of
wither on the vine
with the exception of
with one's tail up
with one's eyes open
with one's bare hands
with one eye on
with might and main
with all one's might
with all guns blazing
with a view to
wipe the slate clean
wipe the floor with
wine, women, and song
win in a walk
wide of the mark
whistle in the wind
whistle in the dark
where someone is at
what's not to like?
what's in a name?
what makes someone tick
what brings you here?
what are you on?
wet the baby's head
wet behind the ears
week in, week out
weak at the knees
we'll see about that
water on the brain
waste not, want not
wash one's hands of
vote with one's feet
viper in one's bosom
upset the apple cart
up to the mark
up to one's armpits
up to no good
up to a point
up in the air
up a gum tree
under the open sky
under the impression that
under the heel of
under the baton of
under the banner of
under the auspices of
under one's own steam
under lock and key
twist in the wind
turn up one's toes
turn the other cheek
turn something inside out
turn someone over to
turn someone on to
turn one's hand to
turn one's back on
turn on the charm
turn on one's heel
turn in one's grave
turn and turn about
turn an honest penny
turn a deaf ear
turn a blind eye
try one's hand at
trip the light fantastic
tricks of the trade
treat someone like dirt
touch of the sun
top of the morning
too cool for school
too close for comfort
too clever by half
too big to fail
tomorrow is another day
to top it all
to the tune of
to the nth degree
to the exclusion of
to the effect that
to the bitter end
to say nothing of
to save one's life
to make matters worse
to crown it all
to coin a phrase
to cap it all
to call one's own
to beat the band
to a great extent
tip someone the wink
time out of mind
time of the month
thumb one's nose at
throw up one's hands
throw the book at
throw one's weight behind
throw one's hand in
throw of the dice
throw away the key
throw a lifeline to
through thick and thin
those were the days
this is the life
think the world of
think outside the box
think on one's feet
think nothing of it
thin on the ground
thereby hangs a tale
there's safety in numbers
there's honour among thieves
there you have it
there you go again
there is no telling
there is no saying
there is no knowing
the wrong way round
the worse for wear
the worse for drink
the wind of change
the Whore of Babylon
the whole shooting match
the whole nine yards
the wheel of Fortune
the water of life
the university of life
the thin blue line
the sword of justice
the straight and narrow
the staff of life
the sport of kings
the seven-year itch
the seven deadly sins
the scheme of things
the rest is history
the powers that be
the noes have it
the more the merrier
the mixture as before
the mile-high club
the middle of nowhere
the living image of
the light of day
the land of Nod
the jury is out
the jig is up
the ins and outs
the how and why
the half of it
the groves of Academe
the green-eyed monster
the gift of tongues
the garden of England
the game is up
the gaiety of nations
the fur will fly
the fountain of youth
the fortunes of war
the fog of war
the finer points of
the facts of life
the dogs of war
the die is cast
the devil to pay
the deuce to pay
the dead of winter
the dead of night
the damage is done
the course of nature
the corridors of power
the coast is clear
the call of nature
the breath of life
the bread of life
the bird has flown
the better part of
the best part of
the back of beyond
the ayes have it
the art of war
the Ancient of Days
that would be telling
that is to say
thank one's lucky stars
ten out of ten
tell t'other from which
tell me about it
tear one's hair out
teach someone a lesson
talk someone out of
talk of the devil
talk a blue streak
take up the running
take up the cudgels
take to one's heels
take to one's bed
take the shine off
take the place of
take the part of
take the long view
take the King's shilling
take the edge off
take the chill off
take the chequered flag
take something under advisement
take something to heart
take something out on
take something on board
take something lying down
take something in hand
take something by storm
take something as read
take someone's breath away
take someone up on
take someone to task
take someone to law
take someone in rear
take someone in hand
take one's cue from
take it out of
take it from me
take a shine to
take a running jump
take a rain check
take a fancy to
take a back seat
sweat the small stuff
sweat like a pig
swear like a trooper
survival of the fittest
suck it and see
strike a discordant note
strain at the leash
straight from the shoulder
sting in the tail
still waters run deep
stiff as a board
stick to one's ribs
stick to one's guns
stick out a mile
stick one's neck out
stick in one's craw
step out of line
step on someone's toes
step into the breach
step into someone's shoes
steer a middle course
steal a march on
state of the art
standing on one's head
stand out a mile
stand on one's dignity
spread oneself too thin
splice the main brace
speak the same language
spare a thought for
spanner in the works
sow one's wild oats
sooner rather than later
son of a gun
son of a bitch
something speaks for itself
something of the kind
someone's number is up
someone's name is mud
someone's ears are flapping
sock it to someone
so much so that
so far so good
snap someone's head off
smooth someone's ruffled feathers
smoke like a chimney
slip through the net
six of the best
sit on the fence
sit on someone's tail
sit on one's hands
sit on one's arse
sit below the salt
sit at someone's feet
sins of the flesh
sing the praises of
sing someone to sleep
sing for one's supper
silly as a wheel
sign of the times
sign of the cross
side of the fence
sick to one's stomach
sick to death of
sick and tired of
shut one's mind to
shut one's eyes to
show the white feather
show someone who's boss
show someone the door
show one's true colours
shoot one's mouth off
shoot from the hip
sharp as a tack
share and share alike
set the world alight
set the stage for
set something on foot
set something off against
set out one's stall
set oneself up as
set one's sights on
set one's face against
send someone to Coventry
sell someone a pup
sell someone a dummy
sell like hot cakes
see the back of
see someone damned first
see eye to eye
second cousin once removed
same old, same old
sail under false colours
run the rule over
run out of steam
run out of gas
run into the sand
run a tight ship
rule of the road
rough around the edges
rolling in the aisles
roll with the punches
roll up one's sleeves
rise to the occasion
rise to the bait
ring off the hook
right off the bat
rewrite the record books
rest on one's laurels
remain to be seen
reds under the bed
read someone out of
read between the lines
reach for the stars
rapture of the deep
rain on someone's parade
rain cats and dogs
quick on the trigger
quick on the draw
put up the shutters
put up a fight
put to the sword
put the squeeze on
put the skids under
put the screws on
put the mockers on
put the make on
put the frighteners on
put the finger on
put the bite on
put the arm on
put the acid on
put something to sleep
put something to bed
put something into words
put something down to
put something behind one
put someone's eyes out
put someone up to
put someone to sleep
put someone to shame
put someone to death
put someone to bed
put someone on to
put someone down for
put someone down as
put out to grass
put one's shirt on
put one's hands up
put one's hands together
put one's foot down
put one's feet up
put one's face on
put one's back into
put one over on
put on the ritz
put on the dog
put an end to
put a stop to
put a price on
put a period to
put a name to
put a match to
put a foot wrong
put a figure on
put a damper on
put a dampener on
put a crimp in
push the boat out
punch someone's lights out
punch above one's weight
pull one's socks up
pull one's head in
pull a fast one
prop up the bar
princess of the blood
prince of the blood
prick up one's ears
preach to the converted
practise what one preaches
power behind the throne
pour cold water on
poke one's nose into
point the bone at
poach on someone's territory
pleased to meet you
play to the gallery
play the giddy goat
play the devil with
play something for laughs
play something by ear
play one's cards right
play merry hell with
play into someone's hands
play hard to get
play fast and loose
play by the rules
play a lone hand
pit one's wits against
piss in the wind
pin one's ears back
pig in the python
pig in the middle
pie in the sky
pick up the threads
pick up the tab
pick up the pieces
pick one's feet up
People of the Book
pay through the nose
pay out of pocket
pay one's last respects
pay lip service to
pave the way for
pass one's eye over
parting of the ways
part of the furniture
par for the course
paint the town red
paint the Forth Bridge
paint a picture of
paddle one's own canoe
over the long haul
over my dead body
over and done with
out to do something
out on a limb
out of this world
out of the way
out of the question
out of the picture
out of the ordinary
out of the handicap
out of the common
out of the box
out of one's way
out of one's tree
out of one's skull
out of one's senses
out of one's mind
out of one's gourd
out of one's depth
out of one's box
out of harm's way
out of a job
out in the cold
open the door to
open one's mind to
one's star is rising
one's pride and joy
one's pound of flesh
one's nearest and dearest
one's name is mud
one's luck is in
one's line of country
one's ears prick up
one's ears are burning
one's blood is up
one's back is turned
one thing and another
one of those days
one of a kind
one for the road
one for his nob
one and the same
once upon a time
once bitten, twice shy
on the strength of
on the score of
on the same page
on the pig's back
on the other hand
on the order of
on the hook for
on the drawing board
on the credit side
on the chopping block
on the campaign trail
on the back burner
on security of something
on pins and needles
on one's own responsibility
on one's own initiative
on one's own hook
on one's own ground
on one's own account
on one's last legs
on one's hind legs
on one's high horse
on one's beam ends
on first-name terms
on an even keel
on an empty stomach
on a par with
on a level with
off the beaten track
off one's own bat
of the order of
of the first water
of the first magnitude
of one's own accord
of no fixed abode
nothing ventured, nothing gained
nothing succeeds like success
nothing of the sort
nothing of the kind
not want to know
not turn a hair
not to speak of
not the full shilling
not the full quid
not take kindly to
not suffer fools gladly
not someone's idea of
not quite the thing
not on your nelly
not on your life
not much in it
not move a muscle
not miss a trick
not know from nothing
not in the slightest
not in the least
not have the faintest
not have a prayer
not go any further
not give something houseroom
not give a stuff
not give a shit
not give a bugger
not for a minute
not breathe a word
not blink an eye
not bear thinking about
not be an option
not a pretty sight
not a patch on
not a dog's chance
not a dicky bird
none the worse for
no pain, no gain
nice to meet you
never darken someone's door
neither shit nor Shinola
neither here nor there
neither chick nor child
neck of the woods
my Right Honourable friend
mutton dressed as lamb
must needs do something
music to one's ears
music of the spheres
move with the times
move up a gear
move heaven and earth
morning, noon, and night
more often than not
more haste, less speed
more dead than alive
money for old rope
mind one's own business
milk of human kindness
mess with someone's head
men in white coats
melt in the mouth
meat and two veg
man of the world
man of the moment
man of the match
man of the house
man of the cloth
make up one's mind
make the welkin ring
make the most of
make the best of
make someone's toes curl
make someone's skin crawl
make someone's hair curl
make someone's hackles rise
make someone's blood curdle
make someone's blood boil
make short work of
make oneself master of
make one's presence felt
make no bones about
make light work of
make heavy weather of
make good one's escape
make eyes at someone
make capital out of
make an issue of
make an example of
make an enemy of
make an end of
make a virtue of
make a production of
make a present of
make a point of
make a play for
make a muck of
make a mockery of
make a meal of
make a joke of
make a Horlicks of
make a hole in
make a hash of
make a hames of
make a go of
make a fool of
make a conquest of
make a clean sweep
make a break for
make a bolt for
make a beeline for
lower the boom on
lose one's heart to
lord of the manor
look to the future
look to one's laurels
look the other way
look before you leap
long time no see
long in the tooth
lock, stock, and barrel
lock someone out of
live to regret something
live one's own life
live off the land
live like a lord
live in the past
live for the moment
live by one's wits
live and let live
live and breathe something
like watching paint dry
like nothing on earth
like it or not
like father, like son
like a scalded cat
like a headless chicken
like a drowned rat
light a fire under
lie through one's teeth
lie heavy on one
licence to print money
let the side down
let someone have it
let someone down gently
let sleeping dogs lie
let oneself in for
let one's hair down
let me tell you
let bygones be bygones
lend one's name to
leave the door open
leave no stone unturned
leave it at that
least said, soonest mended
leap to the eye
lead with one's chin
lead in one's pencil
lead from the front
lay someone open to
lay down the law
lay down one's life
laugh up one's sleeve
laugh something to scorn
laugh one's head off
laugh like a drain
laugh in someone's face
last but not least
know what one likes
know something inside out
know someone by sight
know one's own mind
knock the socks off
knock someone's socks off
knock someone's block off
knock someone for six
knock people's heads together
knight of the road
kiss and make up
kill the fatted calf
kick up one's heels
kick something into touch
kick over the traces
kick against the pricks
keep your shirt on
keep your pecker up
keep your hair on!
keep the pot boiling
keep the ball rolling
keep something to oneself
keep someone in countenance
keep one's powder dry
keep one's own counsel
keep one's nose clean
keep one's mouth shut
keep one's head down
keep one's hands clean
keep one's chin up
keep an eye on
keep an account of
keep a check on
jump on the bandwagon
jump into bed with
jump down someone's throat
jobs for the boys
jam on the brakes
ja well no fine
it's all right for
it's a long story
it's a free country
it's a fair cop
it stands to reason
it makes no odds
in with a shout
in the way of
in the wake of
in the train of
in the throes of
in the teeth of
in the shape of
in the second place
in the region of
in the pudding club
in the power of
in the person of
in the pay of
in the ordinary way
in the neighbourhood of
in the nature of
in the name of
in the middle of
in the melting pot
in the matter of
in the long run
in the last resort
in the grip of
in the gift of
in the first place
in the family way
in the event that
in the driver's seat
in the cause of
in the catbird seat
in the business of
in the box seat
in the belief that
in the act of
in spite of oneself
in someone's hip pocket
in someone's black books
in so many words
in so far as
in process of time
in point of fact
in one's wildest dreams
in one's own time
in one's own right
in one's own person
in one's mind's eye
in one's birthday suit
in no uncertain terms
in black and white
in and out of
in an interesting condition
in all one's puff
in all but name
in a small way
in a pig's eye
in a minor key
in a delicate condition
in a brown study
in a big way
in a bad way
if you ask me
if it kills one
if I were you
if and only if
I'm all right, Jack
I'll eat my hat
I'll drink to that
I wouldn't say no
I shudder to think
how the world wags
how the land lies
how do you do?
hot under the collar
hope for the best
hook, line, and sinker
hold the purse strings
hold the front page
hold something in fee
hold something against someone
hold someone to ransom
hold someone to bail
hold someone in contempt
hold no brief for
hold all the cards
hold all the aces
hold a brief for
hit the right note
hit the high spots
hit the ground running
hit someone for six
high, wide, and handsome
high days and holidays
hide or hair of
here we go again
here today, gone tomorrow
head and shoulders above
have what it takes
have two left feet
have to pinch oneself
have to one's name
have tickets on oneself
have the legs of
have the last laugh
have the hots for
have the drop on
have the better of
have the advantage of
have swallowed a dictionary
have something to offer
have something in common
have something against someone
have someone on toast
have shot one's bolt
have seen better days
have one's way with
have one's hands tied
have one's hands full
have one too many
have nothing to lose
have nothing on someone
have no use for
have no time for
have no concern with
have nerves of steel
have it both ways
have had one's chips
have eyes like saucers
have every confidence in
have been there before
have an eye for
have a way with
have a tin ear
have a thing about
have a thin time
have a thick skin
have a shy at
have a screw loose
have a problem with
have a nice day
have a lock on
have a go at
have a feel for
hatches, matches, and dispatches
harmony of the spheres
hardening of the arteries
hang out one's shingle
hang in the air
hang by a thread
Hamlet without the Prince
hair of the dog
had better do something
had best do something
grin and bear it
great minds think alike
grease the palm of
good cop, bad cop
go with the flow
go with a swing
go up the wall
go up in smoke
go up in flames
go to the wars
go to the wall
go to the pack
go to the mat
go to the dogs
go to the devil!
go to someone's head
go to one's reward
go through the roof
go through the motions
go the whole hog
go the extra mile
go suck an egg
go one's separate ways
go one's own way
go off the rails
go off on one
go like a bomb
go hot and cold
go for the jugular
go for the doctor
go for the burn
go fly a kite
go down the toilet
go down the plughole
go down the pan
go down the gurgler
go down the drain
go down in history
go down a storm
go down a bomb
go by the board
go and chase oneself
go according to plan
go a bundle on
give up the ghost
give the lie to
give something a whirl
give something a miss
give someone what for
give someone their head
give someone their due
give someone their cards
give someone the works
give someone the slip
give someone the shudders
give someone the shits
give someone the pip
give someone the needle
give someone the finger
give someone the eye
give someone the elbow
give someone the creeps
give someone the boot
give someone the bird
give someone credit for
give someone a shout
give someone a mouthful
give someone a fit
give someone a break
give someone a bell
give one's right arm
give one's name to
give one's life for
give me a break
give it to someone
give it a rest
get-up-and-go
get with the program
get up someone's nose
get under someone's skin
get to first base
get the start of
get the lead out
get the hang of
get the better of
get the best of
get something over with
get something out of
get someone with child
get one's wires crossed
get one's tongue round
get one's skates on
get one's shit together
get one's rocks off
get one's own back
get one's leg over
get one's kit off
get one's hooks into
get one's head down
get one's feet wet
get one's claws into
get one's act together
get on top of
get on someone's wick
get on someone's tits
get on someone's nerves
get off the mark
get off the dime
get off one's bike
get off one's arse
get it in one
get ahead of oneself
get a wiggle on
get a shift on
get a move on
get a load of
get a line on
get a fix on
garbage in, garbage out
game, set, and match
full to the brim
froth at the mouth
from top to toe
from top to bottom
from time to time
from the word go
from the horse's mouth
from the ground up
from the bottom up
from stem to stern
from soup to nuts
from side to side
from pillar to post
from hero to zero
from first to last
from cover to cover
from bad to worse
from A to Z
from A to B
friends in high places
fortune favours the brave
for the time being
for the most part
for the benefit of
for old times' sake
for crying out loud
for auld lang syne
for all someone knows
follow in someone's footsteps
foam at the mouth
fly on the wall
fly off the handle
flog a dead horse
flavour of the month
flash in the pan
fit to be tied
fit like a glove
fish or cut bait
First Point of Aries
first past the post
first cousin twice removed
first cousin once removed
first come, first served
firing on all cylinders
find in favour of
fight tooth and nail
fight fire with fire
fight a losing battle
fiddle while Rome burns
few and far between
feel the pulse of
feast one's eyes on
famous for fifteen minutes
famous for being famous
fall to someone's lot
fall on stony ground
fall on one's sword
fall on deaf ears
fall by the wayside
fall between two stools
fair play to someone
eyes out on stalks
every nook and cranny
enter into the spirit
eat one's heart out
easy come, easy go
dyed in the wool
dull the edge of
dry an animal off
drop someone a line
drive someone to drink
drive a wedge between
drive a hard bargain
drink with the flies
drink like a fish
draw the short straw
draw a veil over
draw a line under
draw a bead on
down to the wire
down to the ground
down on one's luck
down in the mouth
don't you believe it!
don't I know it!
don't hold your breath
dog-and-pony show
dog in the manger
do well out of
do well for oneself
do the decent thing
do something to death
do someone's head in
do someone to death
do someone out of
do someone no favours
do someone an injustice
do someone a solid
do someone a favour
do oneself an injury
do one's own thing
do one's level best
do a number on
do a line with
distinction without a difference
dispense with someone's services
dig's one's own grave
dig one's own grave
dig a pit for
die on the vine
die on one's feet
diamond in the rough
dialogue of the deaf
dead to the world
dead on one's feet
dead in the water
day in, day out
dance to someone's tune
cut to the chase
cut the Gordian knot
cut someone to pieces
cut someone some slack
cut one's own throat
cut a wide swath
cut a swathe through
curiosity killed the cat
cuckoo in the nest
cry from the heart
cry for the moon
cruising for a bruising
cruel and unusual punishment
crack of the whip
cover all the bases
corn on the cob
conspicuous by one's absence
compliments of the season
come to terms with
come to someone's knowledge
come to someone's assistance
come to no harm
come to a head
come off second best
come into the world
come home to someone
come home to roost
come down the pike
cock of the walk
close to the bone
close to one's heart
close one's mind to
close one's eyes to
close but no cigar
clip the wings of
clerk of the course
Clerk of the Closet
clear the name of
clean up one's act
clean bill of health
citizen of the world
chomp at the bit
charity begins at home
chafe at the bit
caviar to the general
cast pearls before swine
cast one's mind back
cast one's eyes over
cash in one's chips
carry all before one
carry a torch for
care in the community
call someone to account
call someone in evidence
call it a day
by the same token
by a long way
by a long chalk
but that's another story
burnt to a cinder
burn the midnight oil
burn someone in effigy
build one's hopes up
buck up one's ideas
broad in the beam
bring up the rear
bring the house down
bring something to pass
bring something to light
bring something to bear
bring something into question
bring something home to
bring someone to justice
bring someone to heel
bring someone to book
bring home the bacon
breathe down someone's neck
break the back of
breach of the peace
boys will be boys
bounce an idea off
boots on the ground
blow with the wind
blow the whistle on
blow the doors off
blow someone's brains out
blow someone a kiss
blow hot and cold
blow a hole in
blood, sweat, and tears
bite the big one
bite someone's head off
bit on the side
beyond one's wildest dreams
better safe than sorry
bent out of shape
believe it or not
behind the eight ball
