og	and
midt	middle
maa	must
hendes	hers
Jakob	Jacob
far	sheep
altid	always
een	one
kongen	the king
kaldte	called
blevet	become
dø	die
lige	just
føre	lead
gennem	through
spurgte	asked
fire	four
saaledes	thus
ihjel	to death
børn	children
hjem	home
Egypten	Egypt
hvo	who
lader	charger
Aron	Aaron
heller	rather
både	boats
ofre	sacrifice
tro	believe
ja	yes
æde	eat
slog	hit
ser	sees
gode	fertilize
ad	at
foran	in front
holdt	held
leve	live
vide	know
lov	law
hvem	who
ledere	leaders
talte	spoke
slægt	genus
står	stands
Davids	David's
bringe	bring
fem	five
bleve	became
hjælp	help
går	goes
aldrig	never
Kristus	Christ
følgende	following
unge	young
mens	while
lagde	laid
sådan	such
vore	our
derefter	then
taler	speaks
imellem	between
hørt	heard
død	death
bo	live
ske	happen
hvilke	which
lever	liver
ene	one
længe	long
langt	much
stamme	tribe
faldt	fell
hvilken	which
fast	fixed
boede	fine
drog	drug
ganske	quite
fremmede	strangers
Josva	Joshua
kommet	come
ondt	evil
bad	boat
magt	power
tager	takes
måde	manner
glæde	joy
andet	other
vende	turn
nemlig	namely
hær	army
hus	house
talede	spoke
dage	days
kunde	customer
drikke	drink
taget	foggy
gaar	goes
vej	way
begyndte	began
vise	show
spise	eat
byer	cities
ligger	lies
Josef	Joseph
navn	name
gang	walk
del	part
ti	ten
synd	sin
helt	quite
lægge	lay
ej	no
nok	enough
Christus	Christ
rige	rich
set	seen
tjene	serve
stedet	the place
rundt	around
grund	reason
hvordan	how
fjender	enemies
blandt	among
templet	the temple
vel	well
igennem	through
gamle	old
brød	bread
råbte	shouted
vrede	anger
øvrige	other
nær	near
tjener	servant
sætte	put
bor	drill
alene	alone
bare	just
god	good
synder	sinner
hinanden	each other
drage	dragon
kender	knows
bære	bear
falde	fall
egen	own
gammel	old
ære	honor
ret	right
verden	world
hvert	every
Ægypten	Egypt
menneske	human
levende	live
saae	sow
dyr	animal
guld	gold
forbi	past
snart	soon
mellem	between
stort	large
sende	send
efterkommere	descendants
finde	find
hjælpe	help
fare	danger
videre	further
saare	hurt
hvilket	which
egne	own
fortsatte	continued
tyve	twenty
siden	since
eget	own
bygge	build
beder	prays
skrevet	written
side	page
sendt	sent
bud	bid
befalet	commanded
fred	peace
ting	thing
folkeslag	people
fandt	found
budskab	message
fulgte	followed
betyder	means
oprør	rebellion
højre	right
følge	follow
Jerusalems	Jerusalem
vand	water
idet	as
Jesu	Jesus
slå	beat
hverken	neither
talt	spoken
længere	further
elsker	love
bragte	brought
bedre	better
arbejde	work
nåde	mercy
sat	set
rejste	traveled
først	first
fået	got
by	town
vejen	the road
seks	six
straf	punishment
bede	pray
Faders	Father's
øjne	eyes
love	lion
gjøre	do
sidste	last
ført	led
livet	life
begge	both
straffe	punish
lagt	laid
fortælle	tell
allerede	already
israelitterne	the Israelites
jødiske	Jewish
staa	stand
fører	driver
baade	both
evig	eternal
enhver	any
byggede	built
klar	clear
ønsker	wishes
kone	wife
gave	gift
født	born
herlighed	glory
udvalgte	selected
trindt	step
rejse	travel
eneste	only
vender	turns
engang	once
dømme	judge
nye	new
lære	learn
lå	lay
Salomon	Solomon
vilje	will
frelse	save
derpaa	then
Salomo	Solomon
øde	desolate
præsterne	the priests
morgen	morning
fødte	gave birth
deraf	hence
bange	afraid
visdom	wisdom
forfædre	ancestors
bøn	prayer
stille	quiet
stadig	still
mor	mother
kraft	force
bleven	remained
tilbede	worship
sætter	puts
redde	save
evindelig	forever
tredje	third
hundrede	hundred
Elias	Elijah
Babel	Babylon
senere	later
næste	next
sad	sat
Jakobs	Jacob's
himlen	the sky
skyld	guilt
kastede	threw
hed	hot
hjerte	heart
fortalte	told
venner	friends
inden	before
hvorfor	why
Leviterne	The Levites
syvende	seventh
ondskab	malice
kommen	cumin
fri	free
styrke	strength
ny	new
kærlighed	love
bør	should
avlede	bred
konger	kings
elskede	beloved
Benjamins	Benjamin's
kvinde	woman
kaldes	is called
gerne	like
søger	looking for
Messias	Messiah
væk	away
frygte	fear
Isak	Isaac
velsigne	bless
ugudelige	wicked
flere	more
førstefødte	firstborn
disciple	disciples
større	larger
straks	immediately
raabte	shouted
ladet	charged
evigt	forever
dør	door
tror	believe
dom	judgment
eet	one
forlade	leave
adlyde	obey
vandre	wander
hånd	hand
sølv	silver
kvinder	women
vred	angry
vorde	become
løfte	lift
betale	pay
slaver	slaves
måned	month
derfra	from there
stå	stand
samlede	total
mon	Monday
jordens	earth's
indbyggere	inhabitants
fuld	full
findes	exists
alteret	the altar
ødelægge	destroy
ydermere	furthermore
pagt	pact
fremmed	foreign
viste	showed
højt	high
hvorledes	how
guder	gods
Jeremias	Jeremiah
familie	family
ude	out
tøj	clothing
tag	roof
sang	song
rede	nest
mad	food
Manasse	Manasseh
uren	unclean
toge	trains
retfærdige	righteous
måtte	mat
falder	falls
evige	eternal
Maaned	Month
vin	wine
urene	unclean
udbrød	exclaimed
udrydde	exterminate
bjerg	mountain
sørge	grieve
dertil	there
præsten	the priest
ligge	lie
vist	shown
udvalgt	selected
slags	kind
sidder	sitting
nord	north
jord	land
vældige	huge
vidste	knew
ofrede	sacrificed
herre	master
døden	death
ansigt	face
Efraims	Ephraim
sten	stone
hvorefter	after which
atter	again
gjør	do
viser	shows
slaa	beat
regerede	ruled
møde	meeting
løb	run
hebraisk	Hebrew
leder	leader
Arons	Aaron's
udi	outside
søgte	searched
sandt	true
lang	long
brug	use
Sauls	Saul's
øst	east
vær	weather
troede	thought
præster	priests
giv	give
fulde	full
dræbt	killed
Jordanfloden	Jordan River
øje	eye
svar	answer
stærk	strong
samt	and
ild	fire
Elisa	Elisha
maatte	mat
elske	love
stammer	tribes
lovet	promised
ørkenen	the desert
tredive	thirty
lidt	little
disciplene	the disciples
bringer	brings
tusinde	thousand
stode	stood
finder	finds
enten	either
droge	drug
tjeneste	service
tiden	the time
stærke	strong
område	area
nyt	new
efterdi	after that
svare	respond
levede	lived
kongens	the king's
følger	follows
manden	the man
kalde	call
bror	brother
dræbte	killed
tilhører	belongs to
tempel	temple
sket	happened
lægger	puts
forladt	abandoned
datter	daughter
besked	message
varer	goods
tolv	twelve
sidst	last
samle	collect
kende	know
gange	times
Nebukadnezar	Nebuchadnezzar
afguder	idols
lovede	promised
befalede	commanded
nat	night
hebraiske	Hebrew
bød	bid
blevne	became
slået	beaten
levitterne	the Levites
hellig	holy
halvtredsindstyve	fifty
forlod	left
ei	no
borte	away
Efraim	Ephraim
virkelig	really
ung	young
tegn	sign
profeter	prophets
mægtige	mighty
høje	high
rette	correct
faa	get
angreb	attack
alligevel	yet
Aanden	The Spirit
fyrretyve	forty
blod	blood
altså	so
trofasthed	faithfulness
hør	listen
bygget	built
én	one
tilovers	left over
syd	south
hid	here
fundet	found
ende	end
Raad	Advice
tjenere	servants
gælder	applies
forstå	understand
nåede	reached
natten	the night
lide	suffer
forkynde	proclaim
bag	behind
Forsamlingens	The Assembly
fattige	poor
befalinger	commands
vendt	turned
tillige	also
sidde	sit
blot	just
bedste	best
Jordanen	Jordan
velsignede	blessed
lys	light
gak	go
vandrede	wandered
tanker	thoughts
korn	cereal
faste	fasting
bøjede	bent
sker	happens
krig	war
filistrene	the Philistines
falske	fake
stykke	piece
penge	money
døtre	daughters
derhen	there
brødre	brothers
Filisterne	The Philistines
Abrahams	Abraham's
udenfor	outside
skabt	created
byens	city's
Gjerninger	Deeds
undere	wonders
øverste	top
syndet	sinned
hente	fetch
gået	gone
ellers	otherwise
Maria	Mary
profeten	the prophet
profet	prophet
lejr	camp
inde	inside
brænde	burn
udføre	perform
planer	plans
kalder	calls
fornemme	distinguished
bruge	use
skjulte	hidden
hoved	main
endog	even
budskabet	the message
Assyrien	Assyria
krigere	warriors
komne	come
høj	high
fat	barrel
oven	above
hverandre	each other
jøder	Jews
hader	hate
gaver	gifts
skabte	created
menigheden	the congregation
lig	corpse
frygtede	feared
velsignelse	blessing
svarer	answers
sejr	victory
måske	perhaps
formedelst	due to
dagen	the day
synge	sing
hånden	the hand
gaae	go
føde	feed
fyldt	filled
mægtig	mighty
urent	unclean
kære	dear
kristne	Christians
hvile	rest
dér	there
dengang	then
trofast	faithful
skjult	hidden
Ezekias	Hezekiah
ødelagt	destroyed
samlet	overall
kaste	throw
jøderne	the Jews
havet	the sea
engel	angel
Abimelek	Abimelech
lavet	made
hænder	hands
flyede	flew
fjerde	fourth
Himmelens	Heaven's
sloge	beat
fuldt	full
befaling	command
alter	altar
Pilatus	Pilate
Faraos	Pharaoh's
venstre	left
Manasses	Manasseh
jf	see
handlinger	actions
vandet	the water
retfærdig	fair
laa	lay
glæder	joys
eje	own
bruges	used
Josefs	Joseph's
vest	west
udførte	performed
stillede	asked
plads	space
lave	make
indre	internal
frygt	fear
dele	share
bærer	wears
bryde	break
sværd	sword
helligt	sacred
øjnene	the eyes
uklar	unclear
græd	cry
ånd	spirit
ren	clean
megen	much
hjælper	helps
gudløse	godless
velsignet	blessed
tænkte	thought
slår	beats
resten	the rest
lille	small
græske	Greek
førend	before
fødder	feet
forskellige	various
træ	wood
spørge	ask
mørke	darkness
dyrke	cultivate
bragt	brought
almægtige	almighty
hovedet	the head
fjerne	remove
Zions	Zion's
vort	our
tænker	thinking
stykker	pieces
staar	stands
landets	the country's
kendte	known
kendt	known
sigende	telling
opleve	experience
mener	thinks
lede	lead
gud	God
bolig	housing
Bileam	Balaam
æder	eats
smaa	small
mærke	mark
hvi	why
derved	thereby
ydmyge	humble
talet	the number
strax	immediately
o	island
lam	lamb
hellere	rather
Jeriko	Jericho
Herodes	Herod
råber	shouts
regeringsår	year of government
området	the area
handler	acts
folkets	the people's
bestemt	specific
ærefrygt	awe
takke	thank
otte	eight
helligdommen	the sanctuary
Sikem	Shechem
ét	a
kaldet	called
helst	preferably
arken	the ark
tidspunkt	time
sandelig	indeed
opløftede	uplifted
olivenolie	olive oil
deri	therein
Moabs	Moab
ældste	eldest
tilhørende	belonging
råd	advice
rigdom	wealth
forkyndte	preached
sorg	grief
parat	ready
indgangen	the entrance
dermed	thus
Jonatan	Jonathan
Hizkija	Hezekiah
verdens	world
veed	see
slet	delete
nægter	refuses
handle	act
begravet	buried
Tyrus	Tyre
Josias	Josiah
troe	believe
tiende	tenth
tekst	text
skyldig	guilty
rig	rich
løfter	promises
kongelige	royal
aften	evening
adlyder	obeys
ødelagde	destroyed
sande	true
dømmer	judge
Helligånden	The Holy Spirit
stride	to struggle
ramme	frame
lover	promises
lejren	the camp
byerne	the cities
brugt	used
ansvar	responsibility
Filisternes	The Philistines
slaget	the battle
huset	the house
godhed	goodness
fortære	devour
drager	dragons
således	thus
stand	condition
skaffe	provide
nød	distress
hænderne	the hands
eksil	exile
derudi	out there
arbejdet	the work
Ørk	Desert
ulykke	accident
træde	step
sørgede	mourned
rum	room
lande	countries
håb	hope
heste	horses
frygter	fears
fange	capture
vidne	witness
skyndte	hurried
sag	case
rense	clean
rene	clean
overblevne	leftover
løs	loose
købe	buy
hjalp	helped
gaaer	goes
foruden	besides
Damaskus	Damascus
troen	faith
sandheden	the truth
rent	clean
prise	praise
offer	victim
ilden	the fire
gives	given
flygtede	fled
embedsmænd	officials
Egyptens	Egypt's
spørger	asks
seet	seen
regere	govern
opgave	task
lejrede	camped
haft	had
brændofre	burnt offerings
barn	child
Baal	Fire
synde	sin
skrev	wrote
røre	touch
forfulgte	persecuted
drak	drank
bevare	preserve
åbenbaringsteltet	the tabernacle
værd	worth
tjente	served
frugt	fruit
forlader	leaving
synes	seem
skjule	hide
hold	team
anklage	charge
vild	wild
stolte	proud
spiste	ate
redder	rescuer
mindre	less
magten	the power
knæ	knee
himmelske	heavenly
bygger	builds
bruger	user
aldeles	absolutely
afstand	distance
visselig	certainly
selvom	though
mændene	the men
liden	little
kød	meat
hin	that
halve	half
fyldte	filled
farer	dangers
Gibea	Gibeah
ydre	outer
vandrer	wanderer
spiser	eats
kastet	thrown
ansigtet	the face
Sela	Selah
Baʼal	Baal
syn	vision
skriftlærde	scribes
ringe	call
ordet	the word
håndskrifter	manuscripts
fest	party
dybt	deep
blodet	the blood
bestemte	certain
ankom	arrived
afgudsdyrkelse	idolatry
Salomons	Solomon's
Noa	Noah
pludselig	suddenly
langs	along
koner	wives
brændende	burning
blandet	mixed
bjergene	the mountains
Esajas	Isaiah
vidner	witnesses
trone	throne
rørte	touched
præst	priest
ilde	bad
hårdt	hard
hurtigt	quickly
brugte	used
tronen	the throne
sværger	swears
stemme	vote
slagte	slaughter
skyldige	guilty
lidet	little
lederne	the leaders
glemt	forgotten
femte	fifth
ca	about
aade	dear
røgelse	incense
pige	girl
palads	palace
ofte	often
glade	happy
gaaet	gone
dræbe	kill
bryder	breaks
bade	bathe
venter	waiting
ven	friend
sørger	grieve
syg	ill
rører	touches
reddet	saved
nægtede	refused
indviet	inaugurated
folks	people's
fars	father's
besluttet	decided
barmhjertighed	mercy
vers	verse
ugudeliges	wicked
templets	temple
stærkt	strong
soldater	soldiers
prøve	sample
herske	rule
fattig	poor
begynder	begins
adlød	obeyed
Rakel	Rachel
solen	the sun
red	ride
problemer	problems
løse	solve
huse	houses
føres	is carried
engle	angels
egypterne	the Egyptians
bøje	bend
brændte	burned
Sodoma	Sodom
Edoms	Edom
Benaja	Benaiah
Babylonien	Babylonia
værre	worse
vend	turn
tæt	close
tænke	think
syndede	sinned
opfyldt	fulfilled
nationer	nations
løbe	run
lid	trust
kamp	match
indtog	entry
greb	grip
frelste	saved
bortførte	abducted
Menneskesønnen	The Son of Man
uskyldige	innocent
trak	pulled
slette	delete
samles	gather
munden	the mouth
menneskers	human
lytte	listen
kampen	the fight
ihjelslagne	killed
igjen	again
høres	heard
hæren	the army
helligdom	shrine
fryde	rejoice
fly	airplane
fald	fall
ventede	waited
trofaste	faithful
skæbne	fate
sikkert	certainly
samler	collector
plan	level
muren	the wall
kort	short
falsk	False
englen	the angel
derover	over there
bjerget	the mountain
besluttede	decided
udsendte	sent
udryddes	eradicated
slaar	beats
rejser	travel
profeterne	the prophets
muligt	possible
miste	lose
marken	the field
løftet	promised
kvinden	the woman
israelitiske	Israelite
fremtiden	the future
drikker	drinks
burde	should
blinde	blind
beskikkede	appointed
barmhjertig	merciful
afguderne	the idols
Djævelen	The Devil
omvende	repent
navnet	the name
lærte	learned
led	joint
kundgøre	announce
knust	crushed
hvorfra	from where
færdig	finished
ejendom	property
dødes	died
bjerge	mountains
Sara	Sarah
Joshafat	Jehoshaphat
Jeroboams	Jeroboam
straffet	punished
straffer	punishes
spørgsmål	question
salvede	anointed
retskafne	righteous
opkaldt	named
opholdt	stayed
omkomme	perish
officerer	officers
kaldt	cold
hersker	ruler
helbredt	healed
halvfjerdsindstyve	seventy
græde	weep
gifte	married
gift	married
babyloniske	Babylonian
Stæderne	The cities
Kristi	Christ
Josafat	Jehoshaphat
Øksne	Bulls
traadte	stepped
sæt	set
sider	pages
lyde	sounds
indtage	take
hjerter	hearts
frelst	saved
fjenderne	the enemies
derimod	on the contrary
brev	letter
behov	need
yngste	youngest
yderste	outermost
vige	give way
tørre	dry
stige	ladder
steg	rose
steder	places
skræk	horror
sikkerhed	security
ses	see you
række	row
ruiner	ruins
pagtens	of the covenant
lydighed	obedience
legeme	body
fylde	fill
frit	free
forfølge	pursue
ørken	desert
vældig	mighty
slægten	the genus
retfærdighed	justice
respekt	respect
nærheden	nearby
lød	sounded
forstår	understands
Judæa	Judea
voksede	grew
vinde	win
velsigner	blesses
udryddet	extinct
tværs	across
troende	believer
sønnerne	the sons
slægter	genera
regn	rain
overfor	opposite
ordre	order
mætte	satiate
kjende	familiar
indse	realize
høst	harvest
faae	get
viis	wise
trætte	tired
svage	weak
solgte	sold
råbe	shout
rest	remainder
overholde	comply
ni	nine
netop	just
mel	flour
loven	the law
hvidt	white
helbrede	cure
forkastet	rejected
floden	the river
drengen	the boy
arbejder	working
aad	oh
Toraen	The Torah
Libanon	Lebanon
Kanaans	Canaanite
øjeblik	moment
ånder	spirits
vokse	grow
tresindstyve	sixty
sjette	sixth
løgn	lie
levitter	Levites
landsbyer	villages
jage	hunt
hvide	white
fængsel	prison
fremgang	progress
befolkning	population
Betlehem	Bethlehem
undervise	teach
udført	done
ryggen	the back
regne	to count
rakte	reached
medens	while
lykkes	succeed
kloge	wise
hade	hate
fortæller	tells
faaet	got
budet	the bid
brændoffer	burnt offering
befæstede	fortified
Joas	Joash
ønske	wish
værer	rams
vold	violence
vis	wise
vantro	disbelief
trods	despite
tilhøre	belong
straffen	the punishment
rive	tear
ramt	hit
ofrer	sacrifices
mørket	the darkness
mund	mouth
marker	fields
kæmpe	fight
hvormed	with which
forklarede	explained
forgård	front yard
fjenden	the enemy
enkelt	single
bredt	wide
billede	picture
ødelæggelse	destruction
åndelige	spiritual
træer	trees
tilgive	forgive
sygdom	disease
slagtede	slaughtered
skrevne	written
opfylde	fulfill
mest	most
løn	pay
let	easy
især	especially
indbyggerne	the inhabitants
forud	before
fint	fine
eksempel	example
ejer	owner
dømt	convicted
bog	book
arve	inherit
Vederstyggeligheder	Abominations
Esaus	Esau's
vente	wait
vegne	on behalf of
tal	number
søster	sister
prøver	samples
nødt	need
lærer	teacher
læg	lay
ledte	led
hjemme	at home
griber	grabs
gribe	grab
gerninger	deeds
folkeslagene	the peoples
ender	ends
vidt	wide
tør	dry
syge	sick
spaa	spa
seer	viewer
samledes	gathered
raabe	shout
lært	learned
lange	long
klart	clear
helliget	consecrated
handlede	acted
forstod	understood
fattes	understood
dyb	deep
daglige	daily
bliv	stay
Babels	Babel
tomme	empty
sværge	swear
skee	spoon
rædsel	horror
rev	reef
pris	price
overalt	everywhere
ond	evil
nyde	enjoy
mødte	met
kæmper	fighting
kommende	upcoming
klædt	dressed
huggede	chopped
herredømme	domination
hedder	is called
farisæerne	the Pharisees
døren	the door
dennes	his/her
angribe	attack
Levis	Levi's
Jojada	Jehoiada
vagt	guard
skriver	writes
sjæl	soul
råb	cry
regnes	is counted
opfyldelse	fulfillment
lavede	made
hære	armies
hænge	hang
hår	hair
himlens	heaven's
gruppe	group
forældre	parents
flygte	escape
egentlig	really
drejer	turns
bred	wide
ark	sheet
Simeons	Simeon's
Salomos	Solomon's
Kaleb	Caleb
Helligåndens	The Holy Spirit
udslette	wipe out
tilbad	worshipped
sælge	sell
lukke	close
lidelser	suffering
knuste	crushed
klippe	cut
indsigt	insight
henviser	refers
glemme	forget
geder	goats
fremdeles	still
forskrifter	regulations
forkert	wrong
begyndelsen	the beginning
aramæiske	Aramaic
Libanons	Lebanon
teltet	the tent
svor	swore
stoler	chairs
skrive	write
sandsynligvis	probably
ryster	shaking
raaber	shouts
ordret	verbatim
mættes	to be saturated
mangler	missing
længes	longing
lykkedes	succeeded
hugge	chop
herfra	from here
forgæves	vain
byder	bids
brudt	broken
blæste	blew
betyde	mean
begav	gifted
afskyelige	abominable
Psalme	Psalms
Maaneden	The month
uskyldig	innocent
tåbe	fool
tilsammen	together
tillid	confidence
syndoffer	sin offering
sluttede	ended
skam	shame
rigtigt	right
renset	cleaned
ottende	eighth
lyst	bright
lyset	the light
lyder	sounds
kendes	known
grunde	reasons
grene	branches
fælde	trap
fremfor	rather than
forbande	curse
begået	committed
anklager	prosecutor
Syrerne	The Syrians
ypperstepræsterne	the high priests
udtryk	expression
tilmed	moreover
tilbeder	worships
staaende	standing
skaber	creator
rystede	shook
nået	reached
kødet	the meat
krop	body
israelitter	Israelites
høste	harvest
herlige	glorious
graven	the grave
genstridige	stubborn
fortalt	told
eftersom	since
drøm	dream
autoritet	authority
allerhelligste	most holy
Zedekias	Zedekiah
Stadens	The city's
Kanaʼans	Canaanites
ønskede	wanted
ærer	honors
vanhellige	unholy
underfulde	wonderful
tilgivet	forgiven
storhed	greatness
slægtninge	relatives
skjuler	hides
retten	the court
reddede	saved
naadig	gracious
løber	running
ledelse	management
korlederen	the choirmaster
klare	clear
imidlertid	however
honning	honey
fortvivlelse	despair
forkynder	preacher
fod	foot
fjendens	enemy's
bytte	exchange
brændt	burnt
binde	bind
afgudsbilleder	idols
Pauluns	Paulun's
Jojakim	Jehoiakim
Forgaard	Front yard
Asaf	Asaph
æsler	donkeys
åbne	open
trøste	comfort
troer	believes
største	largest
spyd	spear
skønt	although
sabbat	Sabbath
nådig	gracious
husdyr	livestock
hungersnød	famine
forsvare	defend
fanger	prisoners
fandtes	existed
faldne	fallen
beskytter	protector
beredt	prepared
Zidkija	Zedekiah
Rebekka	Rebecca
Handeler	Trades
Akab	Ahab
vinger	wings
usyrede	unleavened
udvælge	select
tyr	bull
tjenesten	the service
slutte	end
ro	calm
plante	plant
piger	girls
niende	ninth
mister	lose
mellemtiden	meanwhile
løftede	lifted
forsøgte	tried
dejlig	lovely
bestod	passed
begynde	start
begrave	bury
ansvaret	responsibility
Pharisæerne	The Pharisees
Kjød	Meat
Haanden	The hand
Broders	Brothers
vaske	wash
utro	unfaithful
underviste	taught
trådte	stepped
telt	tent
sår	wound
stridsvogne	chariots
smerte	pain
skarpe	sharp
retning	direction
porte	gates
mål	goal
kvæg	cattle
højeste	highest
flugt	escape
filistrenes	the Philistines
faar	sheep
brænder	burner
borttage	remove
befaler	commander
bandt	tied
bagefter	afterwards
accepteret	accepted
Sangmesteren	The Songmaster
Landemærket	The landmark
Eufratfloden	Euphrates River
øre	ear
udsendt	broadcast
tvende	second
trænge	to penetrate
tredie	third
sæk	sack
sværdet	the sword
svoret	sworn
stærkere	stronger
stedse	always
sprang	jumped
selve	itself
sabbatten	the Sabbath
nøje	carefully
nøjagtig	accurate
mark	field
lider	suffers
ledende	leading
fortsætte	continue
fortjener	deserves
forstaa	understand
flyder	floating
flok	flock
faldet	the fall
dømmes	be sentenced
dobbelt	double
dal	valley
beskæmmes	to be ashamed
bedrøvet	sad
ammonitterne	the Ammonites
Rehabeam	Rehoboam
Mardokaj	Mordecai
Lænder	Lower back
Lea	Leah
Isaks	Isaac
Eleasar	Eleazar
ulydige	disobedient
udgik	expired
tilforn	to the past
sult	hunger
sagen	the case
røde	red
revet	torn
oprørske	rebellious
oprejst	upright
ofret	sacrificed
mindste	smallest
lyver	lying
indgang	entry
høire	right
hyrde	shepherd
hensyn	consideration
helbredte	healed
føder	gives birth
fyldes	fill
fuldkommen	perfect
frelser	savior
forvejen	in advance
familier	families
did	there
brede	wide
bordet	the table
beskikket	appointed
aarle	earl
Mordokaj	Mordecai
ødelægger	destroys
vellugtende	fragrant
tilflugt	refuge
skamme	ashamed
saadant	like that
rigeligt	abundant
religiøse	religious
rasende	furious
minde	memory
kostbare	expensive
jern	iron
igjennem	through
hine	her
hav	sea
halv	half
grænser	borders
frihed	freedom
forundrede	wondered
forlode	to leave
forfærdede	horrified
fore	lead
fejl	error
fede	fat
bord	table
besejre	defeat
beholde	retain
acceptere	accept
Nordriget	The Northern Kingdom
åbenbaret	revealed
ypperstepræsten	the high priest
vædder	ram
vokser	growing
umuligt	impossible
stødte	bumped
stænke	sprinkle
standsede	stopped
sprog	language
sove	sleep
soning	atonement
små	small
rammer	frames
påstår	claims
passe	fit
olie	oil
nå	reach
mur	wall
modet	courage
mente	thought
løve	lion
lyt	listen
lukkede	closed
lovsang	hymn
kongers	kings
håner	mocks
fortærede	devoured
forbøn	intercession
elendige	miserable
dreng	boy
brændes	burned
betydning	importance
Veien	The road
Pinehas	Phinehas
Moabiternes	The Moabites
Baruk	Baruch
tælle	count
troløse	faithless
tilgivelse	forgiveness
tanke	thought
synden	the sin
rådgivere	advisors
oversættelse	translation
ophøjet	exalted
ofres	sacrificed
nærmede	approached
nr	no
mure	walls
mirakler	miracles
masser	lots
læst	read
lovprise	praise
linned	linen
klæder	clothes
kjender	knows
inderste	innermost
hjertet	the heart
hjemsøge	haunt
hentede	picked up
handlet	traded
gudfrygtige	godly
frels	save
forfølger	pursuer
fangne	captive
fanget	caught
døbt	baptized
bundet	tied
Samarias	Samaria
Ihukommelse	In memory
ydmyget	humiliated
utroskab	infidelity
stillet	asked
skille	separate
sinde	mind
rykkede	jerked
romerske	Roman
retfærdigt	fairly
regler	rules
profetere	prophesy
planter	plants
overgive	surrender
ophøje	exalt
menneskene	the people
lignede	resembled
ligesaa	likewise
indvendte	objected
herefter	thereafter
hastelig	urgent
gører	does
grænse	limit
gravid	pregnant
forhold	relationship
dybe	deep
bevarer	preserves
aabenbaret	revealed
Basan	Bashan
våbenføre	armed
vinden	the wind
udryddede	extinct
træt	tired
tildelt	assigned
takker	thanks
særlig	particular
straffes	punished
staae	stand
sendebud	messenger
ryste	shake
rask	healthy
paladset	the palace
oplever	experiencing
navne	names
landsmænd	compatriots
krønikebog	chronicle
højere	higher
grønne	green
frygtelige	terrible
forfærdes	be horrified
ethvert	any
dyrker	cultivates
desuden	moreover
byporten	city ​​gate
boende	resident
besøge	visit
beskytte	protect
Zebaoths	Zebaoth
Roboam	Rehoboam
Joabs	Joab's
Davidsbyen	City of David
vogte	guard
veje	roads
veg	road
udøse	pour out
udbredte	widespread
trække	pull
tilhørte	belonged
tie	silent
tidligt	early
støvet	dusty
standse	stop
slippe	let go
salve	ointment
ryttere	riders
retfærdiges	righteous
plager	troubles
oprejste	erect
oplod	recharge
opholder	staying
mangfoldige	diverse
lukket	closed
ligner	similar
købte	bought
kanaʼanæerne	the Canaanites
jødisk	Jewish
hvorhen	where to
hovmodige	arrogant
gøres	done
glædede	rejoiced
forsvinde	disappear
forklare	explain
dække	cover
dyret	the animal
dalen	the valley
bymuren	the city wall
bestaa	pass
besiddelse	possession
behøver	need
advarsel	warning
Gileads	Gilead
våben	arms
villig	willing
søen	the lake
stjæle	steal
skat	tax
