㑫	nộm
値	trị
倦	quyện
倩	thiến
倪	nghê
倫	luân
倬	xấc
倭	oải
偃	ễnh
偅	chổng
偈	kệ
偉	vĩ
偏	thiên
停	đình
健	kiện
偨	thày
偪	bức
側	trắc
偵	trinh
偶	ngẫu
偽	nguỵ
傅	phó
傌	má
傍	bàng
傑	kiệt
傘	tàn
備	bị
傦	cốt
催	thòi
傱	tuồng
傲	ngạo
傳	truyền
債	trái
傷	thương
傾	khuynh
僂	lũ
僄	xỉu
像	tượng
僑	quều
僕	bộc
僚	liêu
僤	dạn
僥	nghẹo
僧	tăng
僭	tiếm
僮	đồng
價	giá
儀	nghi
儂	nùng
億	ức
儈	cúi
儉	kiệm
儒	nho
儳	sàm
儼	nghiễm
兀	ngột
元	nguyên
兄	huynh
充	sung
兆	triệu
兇	hung
先	tiên
光	quang
克	khắc
免	miễn
兑	đoài
兔	thỏ
兜	đâu
兢	cạnh
入	nhập
全	toàn
兩	lưỡng
八	bát
公	công
六	lục
兮	hề
共	cộng
兵	binh
其	kì
具	cụ
典	điển
兼	kiêm
内	nội
冉	nhiễm
册	sách
再	tái
冒	mạo
冕	miện
冗	nhũng
冘	đem
冠	quán
冡	trũng
冤	oan
冥	minh
冬	đông
冰	băng
况	huống
冶	dã
冷	lạnh
冽	rét
准	chốn
凌	lăng
凍	đông
凜	lẫm
凝	ngưng
几	kỉ
凡	phàm
凭	bằng
凱	khải
凶	hung
出	xuất
函	hòm
刀	đao
刁	điêu
刃	nhẫn
分	phân
切	thiết
刊	san
刌	thổn
刎	vẫn
刑	hình
列	liệt
初	sơ
刟	xẻo
删	san
判	phán
別	biết
刧	kiếp
刨	bào
利	lợi
到	đáo
制	chế
刷	loát
刺	thích
刻	khắc
則	tắc
削	tước
前	tiền
剖	bo
剝	bóc
剧	cưa
剪	tiện
副	phó
割	cắt
創	sáng
剷	xẻng
剿	tiễu
劂	khoét
劃	vạch
劄	chép
劇	kịch
劍	kiếm
劑	tễ
劕	chặt
力	lực
功	công
加	gia
助	trợ
劬	cù
効	hiệu
劾	hạch
勁	cứng
勃	bột
勇	dũng
勉	miễn
勑	sắc
勒	lắc
動	động
勖	húc
勘	khám
務	vụ
勛	huân
勝	thắng
勞	lao
勢	thế
勤	cần
勦	tẹo
勵	lệ
勸	khuyến
勺	chước
勿	vật
包	bao
匈	hung
匍	bò
匏	bầu
匐	bặc
化	hoá
匝	táp
匡	khuôn
匣	hộp
匪	phỉ
匬	tủ
匱	quĩ
匹	thất
匼	hộp
匿	nặc
區	khu
十	thập
千	thiên
卅	tạp
升	thăng
午	ngọ
半	bán
卌	tấp
卒	tốt
卓	trác
協	hiếp
南	nam
博	bác
卜	bốc
卞	biện
占	chiêm
卦	quái
卬	ngang
卯	mão
印	ấn
危	nguy
卲	ngoẹo
即	tức
卷	quyển
卻	khước
卿	khanh
厄	ách
厓	day
厔	chái
厘	li
厛	sảnh
厝	xó
原	nguyên
厭	ướm
厲	lẹ
去	khứ
參	tham
又	lại
及	cập
友	hữu
双	song
反	phản
叔	thúc
取	thủ
受	thụ
叛	bạn
叠	điệp
口	khẩu
古	cổ
句	câu
另	lánh
叩	khấu
只	chỉ
叫	khiếu
召	chịu
叭	bớt
叮	đinh
可	khả
台	thai
叱	sứt
史	sử
右	hữu
号	hiệu
司	ti
叻	sựt
吀	xiên
吁	hu
吃	khật
各	các
合	hợp
吉	cát
同	đồng
名	danh
后	hậu
吏	lại
吐	thổ
向	hướng
吒	cha
吓	hách
吔	dã
吘	ngỏ
君	quân
吝	lận
吟	ngâm
吣	tăm
否	bĩ
吧	và
吨	đồn
吩	phàn
吪	hoé
含	hàm
听	thính
吱	chê
吲	dặn
吳	ngô
吵	sảo
吸	cộp
吹	xuy
吻	vẫn
吼	hống
吾	ngo
吿	cáo
呀	nhá
呂	lã
呃	nhách
呆	ngốc
呈	trình
呌	khiếu
呎	xếch
呐	nói
呞	te
呠	bỏm
呡	răn
呢	nài
呤	gầm
呥	nhẻm
呦	ạo
周	chu
呫	chím
呭	thé
呱	oa
味	vị
呴	gâu
呵	ha
呶	nao
呸	bậy
呼	hô
命	mệnh
呿	khứa
咀	thở
咁	căm
咂	táp
咄	xót
咆	bàu
咈	phớt
咋	chạ
和	hoà
咍	hay
咏	vẳng
咐	phó
咒	chú
咘	bú
咚	giọng
咠	nghiện
咢	ngạc
咣	quàng
咥	chối
咧	lác
咬	rao
咭	gắt
咮	chau
咯	khạc
咳	cay
咷	trệu
咹	ăn
咻	hiu
咼	oà
咽	nhằn
咾	láo
哀	ai
品	phẩm
哃	đùng
哄	họng
哆	đớ
哇	oà
哈	hóp
哉	tai
响	hưởng
哏	gắn
員	viên
哢	trộng
哣	nhạu
哥	ca
哦	nga
哪	ná
哬	hà
哭	khóc
哮	hao
哰	rao
哱	buột
哲	triết
哳	chít
哺	phô
哽	ngạnh
哿	cả
唁	ngon
唅	hầm
唇	thần
唈	oạp
唉	hãy
唋	dứ
唎	lời
唏	hơi
唐	đường
唑	doạ
唒	dẫu
唩	uẩy
唫	câm
唭	cười
唯	dõi
唱	xướng
唲	nhè
唶	tuếch
唷	dóc
唸	nếm
唹	ớ
唻	lải
唼	thép
唾	thoá
唿	hót
啀	nhai
啂	nhổ
啄	trốc
啅	chạc
商	thương
啉	lăm
啊	à
啌	hòng
啐	chót
啒	quắt
啛	xê
啜	xuýt
啣	hàm
啨	xênh
啩	quấy
啫	gia
啱	nhàm
啷	lắng
啺	dể
啿	thầm
喁	ngụm
喂	ỏi
喃	nôm
善	thiện
喇	lạt
喉	hầu
喋	nhịp
喍	rầy
喎	oa
喑	ầm
喓	eo
喔	ộc
喘	suyễn
喚	hoán
喜	hỉ
喝	hát
喟	vị
喠	gióng
喡	vầy
喥	dạc
喦	nham
喧	huyên
喪	tang
喫	khịt
喭	ngán
單	đơn
喯	buông
喵	mếu
喻	dụ
嗃	gào
嗉	nhố
嗎	mửa
嗔	xin
嗕	nhóc
嗗	cút
嗙	bàng
嗚	ô
嗛	khem
嗡	óng
嗢	ồn
嗣	tự
嗷	ngao
嗹	liến
嘆	han
嘇	thấm
嘈	tào
嘍	làu
嘫	nhoẻn
嘬	chối
嘮	lao
嘲	trào
嘵	nghêu
嘶	tê
嘹	rêu
嘺	ghẹo
嘻	hi
噀	sún
噁	ạc
噂	ton
噅	vay
噋	xôn
噎	ế
噏	hấp
噒	rên
噓	hờ
噔	đằng
噙	gầm
噞	thèm
噠	đặt
噡	thèm
噤	gặm
噥	nũng
噦	oẹ
器	khí
噪	tháo
噬	phè
噯	áy
噲	gọi
噴	phún
噶	gắt
噷	hăm
嚂	giạm
嚄	quác
嚅	nheo
嚈	ướm
嚉	dối
嚋	trù
嚎	hào
嚓	xát
嚕	rủa
嚛	nháo
嚜	mút
嚦	rích
嚧	lơ
嚨	lùng
嚯	oác
嚴	nghiêm
嚶	inh
囂	hiu
囄	le
囉	la
囑	chúc
囒	rợn
囕	trộm
囚	tù
四	tứ
回	hồi
因	nhân
园	vườn
困	khốn
囱	song
囷	khuân
固	cố
囻	quốc
圃	bo
圈	khuyên
國	quốc
圍	vè
園	viên
圓	viên
圖	đồ
團	đoàn
土	thổ
圣	thánh
在	tại
圩	vò
圬	hũ
圭	quê
圮	dãy
圯	dãy
地	địa
址	xởi
坂	phẳng
均	quân
坊	phường
坋	phân
坎	khảm
坏	hoại
坑	ganh
坟	vun
坡	pha
坤	khôn
坦	đất
坧	gạch
坭	nơi
坵	gò
垂	thùy
垃	lắp
垆	lò
垉	bàu
垌	đồng
垓	gay
垠	hằn
垢	cáu
垮	khoai
垵	ang
垹	bựng
埁	gậm
埂	ghềnh
埃	ai
埇	thõng
埈	thoạ
埋	mai
城	thành
埕	chĩnh
埝	nấm
域	vực
埣	giót
埩	chĩnh
埬	đống
埮	vịm
埶	đệm
執	chấp
培	bồi
基	cơ
堂	đường
堅	kiên
堆	đôi
堤	đê
堪	kham
堯	nghiêu
報	báo
場	trường
堷	om
塊	khối
塗	đồ
塘	đường
塞	tắc
塤	ven
填	điền
塳	vùng
塵	trần
塾	thục
境	cảnh
墅	thự
墆	đai
墓	mộ
墜	truỵ
增	tăng
墩	đôn
墫	chôn
墮	đoạ
墳	phần
墻	tường
墾	khẩn
壁	bích
壇	đàn
壈	bậm
壑	hác
壓	áp
壕	hào
壘	luỹ
壙	khoảng
壞	hoại
壟	lũng
壢	gạch
壤	nhưỡng
士	sĩ
壬	nhăm
壯	tráng
壹	nhất
壻	tế
壼	hồ
壽	thọ
复	hạ
夕	tịch
外	ngoại
夙	túc
多	đa
夜	dạ
大	đại
天	thiên
太	thái
夫	phu
夭	yểu
央	ương
失	thất
夷	dì
夸	khoa
夾	giáp
奄	ăm
奇	kỳ
奈	nại
奉	phụng
奏	tấu
契	khế
奢	xa
奧	áo
奪	đoạt
奬	tưởng
奮	phấn
女	nữa
奴	nô
奶	nái
奸	gian
好	háo
如	như
妃	phi
妍	ngơn
妒	đố
妓	kĩ
妖	yêu
妙	diệu
妝	trang
妥	thoả
妮	ni
妯	dâu
妲	dát
妸	ả
妹	muội
妻	thê
妾	thiếp
姂	bợm
姅	nửa
姈	lanh
姉	chị
姊	chị
始	thuỷ
姐	thư
姑	cô
姓	tính
委	uỷ
姚	diêu
姤	cạu
姥	mụ
姦	gian
姨	dì
姪	đẹt
姻	nhân
姿	tư
威	uy
娓	vãi
娘	nương
娜	na
娥	nga
娶	thú
婁	lâu
婆	bà
婉	uyển
婍	gả
婢	tì
婦	phụ
婪	lam
婬	dâm
婭	ả
媄	mẹ
媎	chửa
媒	mối
媧	oa
媽	má
嫁	giá
嫂	dâu
嫌	hiềm
嫖	phếu
嫗	ẩu
嫡	đích
嫦	thường
嫩	non
嬌	kiều
嬖	bế
嬰	anh
嬸	thím
子	tí
孔	khổng
孕	dựng
字	tự
存	tồn
孛	bụt
孝	hiếu
孟	mạnh
季	quí
孤	cô
孥	nua
孩	hài
孫	tôn
學	học
孺	nhọ
孽	nghiệt
宁	trữ
宇	vũ
守	thú
安	an
宋	tống
完	hoàn
宗	tông
官	quan
宙	trụ
定	định
宛	uyển
宜	nghi
宝	bảo
客	khách
宣	tuyên
室	thất
宫	cung
宰	tể
害	hại
宴	yến
家	gia
容	dung
宿	túc
寂	tịch
寄	gửi
寅	dần
密	mật
寇	khấu
富	phú
寐	mị
寒	hàn
寓	ngụ
寔	thực
寞	mịch
察	sát
寠	lũ
寡	quả
實	thực
寨	trại
審	thẩm
寫	tả
寬	khoan
寵	sủng
寶	bảo
寸	thốn
对	đối
寿	thọ
封	phong
射	xạ
將	tướng
專	chuyên
尊	tôn
尋	tầm
對	đỗi
導	đạo
小	tiểu
少	thiểu
尔	nể
尖	tiêm
尙	thượng
尚	chuộng
尸	thây
尹	doãn
尺	xích
尼	ni
尽	tận
尾	vĩ
局	cục
居	cư
屈	khuất
屋	ốc
屍	thi
屏	bình
展	triển
屠	đồ
屢	lũ
層	tầng
屬	thuộc
屯	truân
山	sơn
屹	ngật
岌	ngập
岑	sầm
岧	đèo
岩	nham
岱	đồi
岵	hô
岸	ngàn
島	đảo
峽	giáp
崇	sùng
崊	lờm
崑	côn
崒	chót
崔	thôi
崖	day
崙	son
嵁	kham
嵋	mi
嵎	giủng
嵩	tung
嵬	ngôi
嶄	chởm
嶗	lao
嶢	nghèo
巍	nguy
巖	nham
川	xuyên
州	châu
巡	tuần
巢	sào
工	công
左	tả
巧	xảo
差	sai
己	kỉ
已	dĩ
巳	tị
巴	ba
巽	rốn
巾	cân
帀	táp
市	thị
布	bố
希	hơi
帑	nô
帒	đẫy
帖	thiếp
帝	đấy
帥	soái
師	sư
帳	trướng
帶	đai
常	thường
帽	mão
幀	tranh
幅	bức
幍	thao
幔	màn
幛	trướng
幟	xí
幡	phan
幢	choàng
幣	giẻ
干	can
平	bình
年	nên
幻	ảo
幼	ấu
庄	chăng
床	sàng
序	tựa
底	để
店	điếm
庙	miếu
庚	canh
府	phủ
度	độ
座	toà
庫	kho
庭	đình
庵	am
庶	thứ
康	khang
廁	xí
廂	rương
廈	hè
廉	liêm
廊	lang
廓	quách
廕	ấm
廚	chù
廛	chờn
廟	miếu
廠	xưởng
廡	vu
廢	phế
廣	quảng
廩	lẫm
延	dang
廷	đình
建	kiến
廾	trấp
弄	lộng
弊	tệ
弋	dặc
弍	nhị
式	thức
弑	thí
弓	cung
弔	điếu
引	dẫn
弗	phất
弟	đệ
弩	nỏ
弱	nhược
張	trương
強	càng
弼	bặt
彈	đàn
彊	cương
彐	kệ
形	hình
彩	thái
彫	điêu
彬	băn
彭	bành
影	ảnh
彷	phảng
役	dịch
彼	bỉ
彾	lĩnh
彿	phớt
往	vãng
征	chinh
徂	tò
待	đãi
徊	hồi
律	luật
後	hậu
徐	chờ
徒	đồ
得	đắc
徘	bồi
從	tòng
徠	lại
御	ngự
徬	bàng
微	vi
徵	trưng
德	đức
徹	triệt
心	tâm
必	tất
忆	hắt
忇	sực
忉	đau
忌	kị
忍	nhẫn
忏	thin
忑	thắc
忒	thắc
忖	thổn
志	chí
忘	vong
忙	mang
忝	thỏm
忠	trung
忤	ngỗ
快	khoái
忱	thầm
念	niệm
忽	hốt
忿	phẫn
怍	tạc
怎	chẩn
怑	bẳn
怒	nộ
怖	bố
怛	đắn
怜	lanh
思	tư
急	cấp
怦	bừng
性	tính
怨	oán
怩	náy
怫	phật
怯	khiếp
怲	biếng
怳	hoảng
怵	truột
恄	ghét
恅	làu
恋	luyến
恍	hoảng
恐	khủng
恑	nguây
恕	thứ
恜	thức
恟	hung
恨	hận
恩	ân
恪	khác
恬	điềm
恭	cung
息	tức
悁	quyên
悅	dột
悇	dơ
悉	tạt
悋	lẫn
悌	đễ
悍	hãn
悑	bỏ
悔	hối
悗	mến
悛	thoăn
悜	chường
患	hoạn
悧	rượi
悲	bi
悴	xót
悶	muốn
悼	điệu
悽	thê
惀	luẩn
情	tình
惇	run
惊	kinh
惍	căm
惏	lầm
惑	hoặc
惕	thích
惚	hốt
惛	hôn
惜	tiếc
惝	sượng
惠	huệ
惡	ác
惦	điếm
惱	não
想	tưởng
惴	nhoai
惶	hoàng
惷	xuẩn
惼	bẽn
愀	xỉu
愁	sầu
愆	khiền
愈	rủ
愊	bực
愍	mẫn
意	ý
愐	giợn
愕	ngạc
愚	ngu
感	cảm
愿	nguyện
慃	õng
慄	lật
慇	ân
慈	từ
態	thái
慌	hoảng
慎	thận
慕	mộ
慘	thảm
慚	tuồm
慛	thôi
慟	đỏng
慢	mạn
慣	quen
慤	xác
慨	khái
慫	túng
慬	cỡn
慮	lự
慰	uý
慳	ghen
慴	tiệp điệp
慵	thuồng
慶	khánh
慷	khảng
慼	thích
慾	dục
憂	ưu
憑	bằng
憔	tiều
憚	dạn
憤	phẫn
憨	hám
憫	mẫn
憭	trêu
憲	hiến
憶	ức
憾	hám
懃	cần
懇	khấn
應	ứng
懊	ảo
懓	áy
懞	mong
懢	nhàm
懦	nhụa
懧	nạnh
懲	trừng
懷	hoài
懺	sám
戀	luyến
戈	qua
戊	mậu
戌	tuất
戍	thú
戎	nhung
成	thành
我	ngã
戒	giới
或	hoặc
戚	thích
戛	giát
戟	kích
截	tiệt
戰	chiến
戲	hí
户	hộ
戾	lệ
房	phòng
所	sỡ
扁	biển
扇	phiến
手	thủ
才	tài
扎	trát
扑	bốc
扒	bắt
打	đả
扔	nẫy
払	chàng
扗	nhổ
托	thác thách thốc thước thướt
扙	rượn
扛	giăng
扜	vo
扠	xoa
扢	ngắt
扣	khấu
扦	xiên
扨	nhấn
扯	chải
扱	gắp
扲	cầm
扳	bẳn
扶	phù
批	phê
扺	chỉ
扼	ách
扽	đùn
找	quơ
承	thừa
技	kĩ
抃	bện
抄	sao
抆	vặn
抇	nhặt
抈	ngoắt
抉	khoét
把	bã
抑	ức
抒	trữ
抓	co
抔	bồi
投	đầu
抗	kháng
折	chiết
抛	phao
抨	banh
抩	nhóm
抪	bó
披	phơ
抯	vả
抱	bão
抳	nai
抶	thắt
抷	phơ
抸	bẹp
抺	vầy
押	áp
抽	trừu
抾	khứa
拁	giơ
拂	phất
拄	chủ
担	đam đảm đẵn đắn đẵm tạ
拆	sách
拈	chêm
拉	lấp
拌	bắn
拍	phếch
拐	quảy quái quải quầy
拑	kiềm cùm
拒	cự
拔	bạt
拖	đà
拗	húc
拘	câu
拙	chút
招	chiêu
拜	bái
拞	khêu khua
拥	dùng
拪	tay
拫	gắn
括	quát
拭	rị
拮	cất
拯	chửng
拰	nhúm
拱	cõng
拳	quyền
拵	dồn
拷	khỉu
拼	phanh
拽	dìa
拾	thập
拿	nã
持	trì
挂	quẩy
挃	chọi
挄	quăng
挅	xoá
指	chỉ
按	án
挌	cách rắc gác
挍	gieo
挏	rùng
挑	vẹo
挒	trét
挕	nhẹ
挗	dí
挪	ná
挫	doạ
挬	vọt
挭	gánh
振	chấn
挰	dềnh
挴	mói
挵	lỏng
挷	văng
挸	kén
挹	úp
挼	noa nỗi
挾	xáp
挿	thọc
捁	kéo
捃	khuân
捅	thòng
捇	xách
捈	giơ
捉	tróc
捌	bịt
捍	cản
捐	quyên quen quên
捕	bõ
捘	thoa
捛	trã
捠	banh
捤	vãi
捥	uốn
捧	bổng
捨	xả
据	cứ
捱	nhay
捲	cuốn
捷	tiệp
捺	nài
捻	nạm
捽	lót
掂	giếm
掃	tảo
掇	suốt
授	thụ
掉	trao
掏	đào
掑	cài
排	bài
掘	quật
掙	tránh
掛	quẩy
掠	lướt
採	thái
探	thám
掣	xiết
接	tiếp
控	khống
推	suy
掩	ém
措	thố
掬	cúc
掮	khiêng
掿	nhắc
揀	gióng
揁	rinh
揂	dùa
揆	quẫy
描	miêu
提	đề
插	chắp
揕	chạm
揖	ập
揚	dương
揞	ẵm
揬	dụt
揭	yết
揮	huy
揳	khế
援	viện
揾	ùn
搆	cấu
搈	dong
搊	so
損	tốn
搎	dun
搏	vác
搓	sai
搔	trao
搖	gieo
搗	đẽo
搛	gom
搜	sưu
搝	xỏ
搞	cào
搬	bưng
搭	đắp
搮	lắt
摓	bồng
摘	trích
摙	lèn
摟	lùa
摪	rướn
摱	mần
摳	khua
摸	mò
摹	mò
摺	dập
摼	ken
撅	quét
撈	lau
撌	quấy
撎	nhắt
撑	xênh
撒	tát
撓	nhéo
撔	ngảnh
撝	vày
撞	chàng
撟	kéo
撢	đùm
撤	triệt
撩	lêu
撫	vỗ
播	vá
撮	toát
撰	soạn
撲	vục
撴	đun
擃	nống
擅	chen
擇	trạch
擉	thọc
據	cớ
擛	dẹp
擦	xát
擬	nghĩ
擱	gác
擲	trịch
擴	quẳng
擸	xợp
擺	bẫy
擼	trỏ
擾	nhiễu
攄	lựa
攏	long
攑	gỡ
攔	dan
攘	nhường
攙	sọm
攜	huề
攝	nhép
攞	rà
攤	nặn
攬	lãm
攮	nện
支	chi
收	thu
攷	khảo
攻	công
放	phóng
政	chính
故	cố
效	hiệu
敏	mẫn
救	cứu
敕	sắc
敖	ngào
敗	bại
敘	tự
教	giáo
敝	tệ
敢	cám
散	tản
敦	đôn
敬	kính
敲	xao
整	chỉnh
敵	địch
數	số
文	văn
斎	trai
斐	phỉ
斗	đấu
料	liệu
斜	tà
斟	châm
斤	cân
斥	xịch
斧	búa
斬	trảm
断	đoạn
新	tân
方	phương
於	ư
施	thi
旁	bàng
旅	lữ
旋	toàn
旌	tinh
族	tộc
旗	cờ
旛	phướn
日	nhật
旦	đán
旨	chỉ
早	tảo
旭	hóc
旱	hạn
旴	hù
旺	vượng
昂	ngang
昆	con
昇	thăng
明	minh
昏	hôn
易	dịch
昔	tích
昛	cữ
星	tinh
映	ánh
昧	muội
是	thị
時	thì
晃	quáng
晄	hoáng
晚	vãn
晤	cữ
晦	hổi
晨	thần
普	phổ
景	cảnh
晴	tạnh
晶	tinh
智	trí
暄	huyên
暇	hạ
暈	vừng
暗	ám
暢	sướng
暫	tạm
暮	mộ
暴	bạo
暹	xiêm
曀	ế
曆	lịch
曉	hẻo
曖	áy
曚	mồng
曠	khoảng
曥	trưa
曩	nán
曰	viết
曲	khúc
曳	dấy
更	xâu canh
曷	hạt
書	thư
曹	tào
曼	man
曾	tằng
替	thế
最	tối
會	hội
月	nguyệt
有	hữu
朋	bằng
服	phục
朏	xoét
朔	sóc
朕	trẫm
朗	lãng
望	vọng
朝	triều
期	kì
朦	mông
木	mộc
未	mùi
末	mạt
本	bản
札	trát
朱	cho
朴	phắc
朵	đoá
机	cơ
朽	hủ
杄	then
杅	vu
杆	cơn
杇	ô
李	lí
杏	hạnh
村	thôn
杕	đại
杖	trượng
杜	đỗ
束	thút
杠	gông
杣	sơn
杯	bôi
杰	kiệt
東	hốc đông
杵	ngỏ
杶	đòn
杺	tăm
松	tùng
板	ván
枉	uổng
枓	rẫu
枕	chẳm
林	lâm
枚	mai
枛	trảu
果	quả
枝	chi
枮	sim
枯	khô
枵	hèo
架	giá
枷	da
枸	cú
柁	xà
柃	rành
柄	bính
柆	cũi sập
柉	mướp
柊	dông
柏	bách
某	mỗ
柑	đàn cam
染	nhuộm
柔	nhu
柚	dâu
查	tra
柩	cữu
柪	ấu
柱	trụ
柳	liễu
柴	sài
柿	niêu thị
栍	sanh
栐	vành
栓	thoen
栖	thê
栗	niêu lật
栘	đa
校	đắng hiệu
栢	bứa
株	chò
核	hạch
根	căn
格	cách
桀	kiệt
桁	hành
桂	quế
桃	đào
桄	quang
案	duyên án
桎	chuối
桑	tang
桮	bễ
桲	vụt
桶	thùng
桷	dác
梁	lương
梂	cầu
梅	mai
梆	bương
梇	róng
梌	dừa
梏	gáo
梐	bẹ
梒	hòm
梖	vối
梛	nứa
條	điều
梞	cậy
梣	rầm
梨	lê
梩	lái
梬	sến
梭	thoi
梮	cọc
械	giới
梳	sơ
梶	vả
梹	biêng
棂	ranh
棆	suôn
棋	cời
棍	điềm côn
棒	vổng
棖	trường
棗	táo
棘	gấc
棟	nhắm đống
棦	ranh
棧	suông sàn
森	chùm
棯	nạm
棱	săng
棵	quả
棹	chèo
棺	quan
棿	nghê
椇	gụ
椊	chốt
植	thực
椎	chòi
椒	tiêu
椚	mun
椥	tre
椰	da
椳	ổi
楊	dương
楓	phong
楚	sở
楛	gỗ
楠	nêm
楢	giùa
楣	me
楨	trính
業	nghiệp
楮	dó
楱	táu
楳	mõ
楴	ghế
極	cực
榔	tóm lang
榖	kéo cốc
榜	xách bàng
榡	tó
榩	kiền
榮	vinh
榱	suôi
榴	lựu
榾	cột
槁	cau
槃	bàn
槈	nọc
槊	giáo
槌	dùi
槍	thương
槎	xay
槐	hoè
槒	súc
槓	cổng
槔	cau
槞	trồng
槣	ghế
槨	quạch
槯	chuôi
槶	guốc
槽	tàu
槾	mận
樁	thung
樂	lạc
樊	phàn
樋	thông
樑	rường
樓	lầu
樔	sào
樗	vụ
標	bêu
樞	xu
模	mô
樣	dạng
横	hoạnh
樳	đẽo giầm
樶	chuối
樸	phác
樹	thụ
樾	vẹt
橅	vồ
橉	săng
橊	lựu
橋	kiều
橘	quất
橙	chanh
橛	cột
機	cơ
橤	nhuỵ
橬	trắm
橯	rào
橷	dâu
橺	giàn
橽	thớt
檀	đàn
檁	day lẫm
檂	nòng
檄	hịch
檊	gán
檑	rui
檜	cối
檢	ghém
檬	quạt muồng
檺	cào
櫂	trạc
櫃	cũi
櫈	đắng
櫊	hàn gác
櫗	mít
櫟	lác
櫳	trồng
欄	đan lan
權	quyền
欗	lườn
欠	khiếm
次	thứ
欣	hân
欲	dục
欺	khi
欽	khâm
款	khoản
歆	cắn hâm
歇	hết
歌	ca
歎	thán
歛	liễm
歟	ru
歡	hoan
止	chỉ
正	chính
此	thử
步	bộ
武	vũ
歪	quay
歳	tuế
歷	lịch
歹	ngạt
