Chinese	Taiwanese	Sort	English
偏袒	::a5* kui pe5ng	a* 04c	be partial, show partiality, favor one party more than another, partiality
餡	a7*	a* 05a	stuffing or contents of pies, tarts or cakes
這塊沒包餡。	::Chit te3 bo5 pau a7*.	a* 05b	This piece has no filling.
這個包子包什麼餡?	::Chit lia8p pau-a2 pau si2m-mih a7*?	a* 05c	What kind of filling does this dumpling have?
鹹餡	::kia5m-a7*	a* 05d	salty stuffing
甜餡	::ti*-a7*	a* 05e	sweet stuffing
攔阻	a5*-cha8h	a* chah	obstruct, impede
彎腰	a3*-io	a* io	bow, to bend one's back
朝南 (東 ,西 ,北 )	a3*-la5m (-tang, -sai, -pak)	a* lam 01a	structure facing south (east, west, north)
朝南的房子較涼快。	::A3*-la5m e5 chhu3 khah chhiu-chhi3n.	a* lam 01b	A building facing south is cooler.
俯下去 ,彎腰	a3*-lo8h-khi3	a* loh khi 01a	turn one's face downward, stoop down
羞得彎下去。	::Kia3n-sia3u kah a3*-lo8h-khi3.	a* loh khi 01b	hide one's head in embarrassment
彎下去繫鞋帶。	::A3*-lo8h-khi3 pa8k e5-to3a.	a* loh khi 01c	bend down to tie one's shoe
低頭	a3*-tha5u	a* thau	lower, bow or hang one's head, yield, submit
鴨子	ah	ah 01a	duck, drake
危在旦夕 ,還不知。	::Chhit-goe8h-po3a*-ah-a2 m7 chai si2 (si2-oa8h).	ah 01b	unaware of impending calamity (Refers to a duck in the middle of the seventh month, when ducks are usually offered to the spirits of the dead, yet do not know enough to fear death. -- Similar to a turkey just before Thanksgiving), used to scold someone wh
姑妄要求	::ah-a2-chhu3i bo2ng lo	ah 01c	make an attempt or ask a favor with very small hope of success but may just as well make the attempt (like a duck's bill dabbling about in the air while eating)
鴨子聽打雷 ,聽不懂	::ah-a2 thia* lu5i	ah 01d	hear what someone says but cannot understand (like a duck hearing thunder not knowing what all the noise is about)
平板腳	::ah-bo2-te5	ah 01e	flat footed clumsily gaited person (Lit. sole of a duck's foot), a man whose foot is very broad and flat at the instep instead of having the usual concave)
押	ah	ah 02	guard, escort, detain, arrest, to press, compel, force, to pawn
啊	ah	ah 03a	exclamation of regret or disgust (interjection)
唉啊 !真可憐 !	::Ai-ah, chin kho2+-lia5n.	ah 03b	Oh! How pitiful!
百	ah (pah)	ah 04a	one hundred (used as a substitute some times for pah but never used for any sum less than two hundred)
兩百玖 (肆百捌 )	::nn7g-ah-ka2u (sa*-ah-peh)	ah 04b	very rough cloth or hands
四百柒 (伍百肆拾陸 )	::si3-ah-chhit (go7+-ah-siap-la8k)	ah 04c	good fortune which one doesn't deserve, illegal gains
盒子	a8h (a8h-a2, a8p-a2)	ah 05	box, a box with a cover or lid, capsules, a case
小鴨	ah-a2-ki2a*	ah a kia*	duckling
延後	ah-au7	ah au 01	defer, to delay
壓後	ah-au7	ah au 02	last one in a group
鴨肉	ah-bah	ah bah	duck meat
壓味	ah-bi7	ah bi	add flavoring
母鴨	ah-bo2 (ah-bu2)	ah bo (ah bu)	female duck
鴨母草	ah-bo2-chha2u	ah bo chhau	kind of motherwort, Leonurus sibiricus, Lindernia ciliata
鴨嘴獸	ah-chhu3i-si3u	ah chhui siu	duckbill, platypus
鴨舌黃	ah-chi8h-ho5ng	ah chih hong	kind of motherwort, Lindernia ciliata, Borreria hispida, Lippia nodiflora
鴨掌	ah-chi2u*	ah chiu*	duck's web-foot
押犯	ah-ho7an	ah hoan	escort a criminal
押貨	ah-ho3e	ah hoe	escort merchandise
訂日子	ah-ji8t-chi2	ah jit chi	date, be dated
押解	ah-ka2i	ah kai	send away under guard
公鴨	ah-kak (ah-kang)	ah kak (ah kang)	male duck
押金	ah-kim	ah kim	deposit, security money
鴨籠子	ah-lam	ah lam	basket for ducks
鴨蛋	ah-nn7g	ah nng 01a	duck egg
鹹鴨蛋	::kia5m ah-nn7g	ah nng 01b	salted duck egg
板鴨	ah-pa	ah pa	dried duck
押標	ah-pio	ah pio	bond for a bid
押送	ah-sa3ng	ah sang	escort and guard, send goods or criminals to another place under escort or guard
短路	ah-suh	ah suh 01a	short in the wiring system
接地線	::ah-suh-so3a*	ah suh 01b	ground wire
壓陣	ah-ti7n	ah tin	stabilize battle formation
控制成習慣	ah-to2-su5n	ah to sun	oppress someone to obey all the time
壓得死死	ah-to2-tha5u	ah to thau 01a	crush
他被人壓得死死 ,沒辦法反抗了。	::I ho7+ la5ng ah-to2-tha5u a, bo5 hoat-to7+ thang ho2an-kho3ng a.	ah to thau 01b	He was crushed to death, there is no way to revive him.
壓隊	ah-tu7i	ah tui	bring up the rear and supervise
押韻	ah-u7n	ah un	rhyme
哀	ai	ai 01	grieve, mourn, lament, to pity, sad, sorrowful, lamentable, pitiful
挨	ai	ai 02	suffer hunger or a beating
愛 ,要 ,喜歡	a3i	ai 03	love, to wish, desire, want, need, should, will, like, affection, kindness, benevolence
曖	a3i	ai 04	dim, indistinct, ambiguous, vague
健忘 ,容易忘記	a3i be7-ki3-tit	ai be ki tit	forgetful, have a poor or a short memory, tend to forget
愛民如子	a3i bi5n ju5 chu2	ai bin ju chu	love the subjects as if they were his own children (said of a ruler or official)
愛慕	a3i-bo+7	ai bo+	love ardently, adore
愛財若 (如 )命	a3i cha5i jio8k (ju5) be7ng	ai chai jiok (ju) beng	love wealth as much as life, very stingy
愛情	a3i-che5ng	ai cheng 01a	love, affection
父母的愛情比山還高 ,比海還深。	::Pe7-bo2 e5 a3i-che5ng pi2 soa* khah ko5an, pi2 ha2i khah chhim.	ai cheng 01b	A parent's love is higher than a mountain and deeper than the sea.
愛情專一	a3i-che5ng choan-it	ai cheng choan it	steadfast in love, constant in love
愛情不專	a3i-che5ng put-choan	ai cheng put choan	changeable or unstable in love, fickle
愛妾	a3i-chhiap	ai chhiap	beloved concubine
好吃	a3i chia8h	ai chiah	hungry, greedy
哀子	ai-chu2	ai chu 01	male bereaved of his father
愛子	a3i-chu2	ai chu 02	beloved son, favorite son
愛滋病	ai3-chu-pe7*	ai chu pe*	acquired immune deficiently syndrome, AIDS
愛的結晶	a3i e5 kiat-cheng	ai e kiat cheng	crystallization of love
哀樂	ai-ga8k	ai gak	music of lament, funeral music
愛玉	a3i-gio8k-a2 (chha2u-chi2-a2)	ai giok a (chhau chi a)	kind of vine whose seeds can make a jelly
愛虛榮	a3i hi-e5ng	ai hi eng	vainglorious
哀號	ai-ho7	ai ho 01	wail
愛河	a3i-ho5	ai ho 02a	river of love
愛河永浴	::a3i-ho5 e2ng-io8k	ai ho 02b	bathe forever in the river of love (a conventional phrase in wedding congratulations)
愛護	a3i-ho+7	ai ho+	give kind protection to, take kind care of
愛好	a3i-ho3+*	ai ho+*	be interested in, love, sports or art
愛火	a3i-ho2e	ai hoe	passion
愛因斯坦	Ai3-in-su-tha2n	Ai in su than	Albert Einstein (1879-1955), physicist and mathematician, noted for his Theory of Relativity
哎喲	ai-ioh	ai ioh 01a	exclamation of astonishment or pain
哎喲 ,怎麼這麼痛?	::Ai-ioh, Na2 chiah thi3a*?	ai ioh 01b	Oh! Why does it hurt so much?
哎喲 ,你怎麼這麼會講?	::Ai-ioh, Li2 na2 hiah ga5u ko2ng?	ai ioh 01c	Gosh! How come you talk so much? (How come you are so clever with your mouth?)
愛用	a3i-io7ng	ai iong	love to use, prefer to use
愛人	a3i-ji5n	ai jin	sweetheart
愛人如己	a3i ji5n ju5 ki2	ai jin ju ki	love one's neighbor as oneself
自私的	a3i ka-ti7 ho2	ai ka ti ho	egotistical, selfish, self love
哀矜	ai-keng	ai keng	alms (Catholic)
好哭	a3i-kha3u	ai khau 01	cranky child, given to crying
隘口	a3i-kha2u	ai khau 02	entrance to gully
好哭臉	a3i-kha3u-bi7n	ai khau bin	cry baby face
欲哭無淚 ,有口難言	ai3-kha3u bo5 ba8k-sa2i	ai khau bo bak sai	find it hard to bring up a matter
愛犬	a3i-khia2n	ai khian	beloved dog
哀泣	ai-khip	ai khip	weep with sorrow
愛睏 ,想睡	a3i-khu3n	ai khun 01a	be sleepy, want to sleep
你愛睏嗎?	::Li2 e7 a3i khu3n be7?	ai khun 01b	Are you sleepy?
愛嬌	a3i-kiau	ai kiau	charm, attractive, amiable
哀叫	ai-ki3o	ai kio	groan
埃及	Ai-ki8p	Ai kip	Egypt
哀求	ai-ki5u	ai kiu	entreat, implore, beg, appeal pathetically
愛仇敵	a3i ki5u-si5u	ai kiu siu	love one's enemies (Catholic)
哀歌	ai-ko (ai-koa)	ai ko 01	song of lament, elegy, a funeral song
哀告	ai-ko3	ai ko 02	announce, obituary notice
愛顧	a3i-ko3+	ai ko+	take loving care of, customers' kind patronization of a store
哀歌	ai-koa	ai koa	mournful song, dirge, elegy
愛國	a3i-kok	ai kok	patriotic
愛國主義	ai3-kok-chu2-gi7	ai kok chu gi	patriotism
愛國公債	a3i-kok-kong-che3	ai kok kong che	government bonds
愛國心	ai3-kok-sim	ai kok sim	love of country, patriotism
愛國運動	ai3-kok u7n-to7ng	ai kok un tong	patriotic movement
愛女	a3i-li2	ai li	beloved daughter, favorite daughter
哀樂	ai-lo8k	ai lok	grief and joy
曖昧	a3i-ma7i, (a3i-mu7i)	ai mai 01a	underhanded, deceitful, obscure
對金錢不要有曖昧。	::Tu3i kim-chi5* m7-thang u7 a3i-ma7i.	ai mai 01b	Don't be dishonest with money.
說清楚點 ,不要那麼曖昧。	::Ko2ng khah chheng-chho2 le3, ma3i hiah a3i-ma7i.	ai mai 01c	Speak more clearly, don't be so obscure.
曖昧行為	a3i-ma7i he5ng-u5i	ai mai heng ui	scandal (especially an illicit affair)
曖昧	a3i-mu7i, (a3i-ma7i)	ai mui; (ai mai)	underhanded, deceitful, obscure
愛爾蘭	Ai3-ni2-la5n	Ai ni lan	Ireland
混血兒	ai-no2-kho+h (ji8t-gi2)	ai no kho+h (jit gi)	mixed-blood
哀怨	ai-oa3n	ai oan 01a	sigh and moan
哀怨沒錢求學。	::Ai-oa3n bo5 chi5* thang tha8k-chheh.	ai oan 01b	He is sad about not having enough money to finish his education.
愛神	Ai3-si5n	Ai sin	Cupid
愛惜	a3i-sioh	ai sioh	love with great affection, love with compassion, to spare, pity
愛惜生命	a3i-sioh se3*-mi7a	ai sioh se* mia	cling tenaciously to life
哀傷	ai-siong	ai siong	feel sorrow or grief, grieve, mourn, be sad
哀訴	ai-so3+	ai so+	express heart feelings
哀史	ai-su2	ai su	sad history
愛斯基摩	Ai3-su-ki-mo5+	Ai su ki mo+	Eskimos
愛美	a3i-su2i	ai sui 01a	want to be beautiful, desire for beauty, love of excellence
她真愛美 ,常常在照鏡子。	::I chin a3i-su2i, sio5ng-sio5ng teh chi3o-ki3a*.	ai sui 01b	She likes to be pretty. She is always looking in a mirror.
愛戴	a3i-ta3i	ai tai	love and support a political leader
愛德	a3i-tek	ai tek	virtue of charity
愛他主義	a3i-tha-chu2-gi7	ai tha chu gi	altruism
哀嘆	ai-tha3n	ai than	lament, bewail
哀悼	ai-to7	ai to	mourn, grieve over or lament someone's death
愛徒	ai3-to5+	ai to+	beloved disciple
背負	a7i* (ia7ng)	ai* (iang)	carry a person on the back
背上背下	ai7*-chi7u*-a7i*-lo8h	ai* chiu* ai* loh	take care of, tend (Lit. carry up and down)
背孩子	a7i*-gi2n-a2	ai* gin a	carry a child on the back
背巾	a7i*-kin (ia7ng-kin)	ai* kin (iang kin)	cloth for carrying a child slung on the back
背病人	a7i* pe7*-la5ng	ai* pe* lang	carry a sick person piggy-back
握	ak	ak 01a	hold fast, grasp, grip
掌握	::chi2ang-ak	ak 01b	in one's grasp, within one's power, at the mercy of
澆 ,淋	ak	ak 02	water, drench
齷	ak	ak 03	narrow, small, dirty
狹窄 ,煩躁	ak-chak	ak chak 01a	disorderly and inconveniently crowded with articles, narrow, small and dirty
今天流很多汗 ,身體覺得很不舒服	::Kin-a2-ji8t la5u chin-che7 ko7a*, seng-khu chin ak-chak.	ak chak 01b	I perspired very much today. I'm all smelly and dirty.
握手	ak-chhi2u	ak chhiu	shake hands, a hand shake
握手言歡	ak-chhi2u gia5n-hoan	ak chhiu gian hoan	shake hands and converse cheerfully
澆水	ak-chu2i	ak chui	water things like flowers
淋雨	ak-ho7+	ak ho+ 01a	be caught in the rain
不要出去外面淋雨。	::M7-thang chhut-khi3 go7a-bi7n ak-ho7+.	ak ho+ 01b	Don't go out and get wet in the rain.
澆花	ak-hoe	ak hoe	water flowers
握權	ak-ko5an	ak koan	be in the power or authority, be in command, hold the reins
握力計	ak-le8k-ke3	ak lek ke	hand dynamometer
握別	ak-pia8t	ak piat	shake hands in parting, say goodbye
澆肥	ak-pu5i	ak pui	water plants with liquidized night soil
淋濕	ak-ta5m	ak tam	drench
掩	am	am 01	cover, conceal
庵	am	am 02a	Buddhist convent, nunnery
尼姑庵	::ni5-ko+-am	am 02b	Buddhist convent, nunnery
米湯 ,稀薄	a2m	am 03	rice water, watery
暗	a3m	am 04	dark, obscure, stupid, ignorant, secret, clandestine, stealthy, hidden drainage system or rocks, late at night
暗溝 ,涵洞	a5m (chu2i-a5m)	am 05	small covered drain or run for water
茂盛	a7m	am 06	dense and luxuriant grass, shrubs or foliage
衣領	a7m-a2-ni2a (a7m-ni2a)	am a nia (am nia)	collar
稀薄	a2m-a2m	am am	thin and watery, like thin rice-water, flabby, as skin and flesh
隱密	a3m-ba8t	am bat	secret, secretly
暗碼	a3m-be2	am be 01	secret code, secret signs used by a store to indicate the actual value of a commodity which is not known to outsiders
稀飯 ,粥	a2m-be5 (a2m-mo5e)	am be 02	congee, rice boiled very soft and watery
掩不住	am be7-tia5u	am be tiau	unable to cover or hide
漆黑的	a3m-bi5n-bong (a3m-bong-bong)	am bin bong 01a	very dark, deep black, pitch-black
那間黑漆漆的 ,看得見能寫字嗎?	::Hit keng a3m-bi5n-bong ka2m u7 kho3a*-ki3* thang si2a-ji7?	am bin bong 01b	That room is very dark, can you see well enough to write characters?
暗謀	a3m-bo5+	am bo+	conspire, conspiracy
暗無天日	a3m bu5 thian-ji8t	am bu thian jit	very dark, a nation or locality where jungle law reigns, lawlessness
骯髒	am-cham	am cham	dirty
暗操賤業	a3m-chhau chia7n-gia8p	am chhau chian giap	engage in unlicensed prostitution
晚班車	a3m-chhia	am chhia	evening train or bus
暗娼	a3m-chhiang	am chhiang	private prostitute
暗笑	a3m-chhi3o	am chhio	laugh in one's heart, laugh behind another's back
暗處	a3m-chhu3	am chhu	dark place, a secret place
掩口	am-chhu3i	am chhui	cover one's mouth with the hand
暗箭	a3m-chi3*	am chi*	secret arrow, secret activities designed to hurt somebody
暗礁	a3m-chiau	am chiau	unseen obstruction beneath the water's surface like a shelf of rock or reef, unseen obstacle
暗石	a3m-chio8h	am chioh	hidden stone
掩藏	am-cho5ng	am chong 01	hide, conceal
暗藏	a3m-cho5ng	am chong 02	hide, conceal
無可奈何	a7m-e7 se*-li5u	am e se* liu	having no alternative, to have to, powerless. (Lit. to produce a tumor under the neck)
暗語	a3m-gi2	am gi	secret language, code, password
暗害	a3m-ha7i	am hai	injure another secretly, assassinate or murder
內心陰險	a3m-he7ng	am heng	cunning, crafty, deceitful
暗恨	a3m-hi7n	am hin	secretly hate
暗號	a3m-ho7	am ho	secret mark, sign, signal or password
掩護	am-ho7+	am ho+ 01	cover friendly troops on a special assignment, camouflage, to camouflage
入夜之雨	a3m-ho7+	am ho+ 02	rain in the dead of night
晚會	a3m-ho7e	am hoe	evening gathering, meeting, party
暗訪	a3m-ho2ng	am hong	make secret inquiries, investigate in secret
暗溝	a3m-kau	am kau	sewer, underground or covered drain
暗計	a3m-ke3	am ke	calculate or reckon in one's heart, secret design or trick, conspiracy
私娼寮	a3m-keng-a2	am keng a	unlicensed brothel
掩蓋	am-kha3m	am kham	cover up, conceal some secret
涵洞	a5m-khang	am khang	underground sewer, subterranean drain
暗器	a3m-khi3	am khi	hidden weapons usually projectiles like those used in old Chinese fighting arts
晚課	a3m-kho3	am kho	night class, night prayers (Catholic)
晚睡	a3m-khu3n	am khun	stay up late at night
暗記 ,背念	a3m-ki3	am ki	memorizing, memorize
水缸	am-kng	am kng	crock, water jar
蟬	a3m-ko+-che5 (a3m-po+-che5)	am ko+ che (am po+ che)	cicada, a large insect that makes a shrill sound
花瓜	am-koe	am koe	large and long sort of cucumber much used salted
梟 ,夜貓子	a3m-kong-chi2au	am kong chiau	owl, person who sits up late at night, night owl
前頸	a7m-kui	am kui	front part of the neck
頸 ,脖子	a7m-ku2n (a7m)	am kun (am)	neck
頸筋	a7m-ku2n-kin	am kun kin	muscles and blood vessels of the neck
好壞參半	am-la5i-am-khi3	am lai am khi	half good half bad
深藍色	a3m-la5m-sek	am lam sek	dark blue
侵佔他人的錢	a33m la5ng e5 chi5*	am lang e chi*	make secret unfair gains from another's money
掩人耳目	am-la5ng ni2-ba8k	am lang ni bak	deceive others
背誦 ,背念	a3m-lia7m	am liam	recite from memory, recitation
暗流	a3m-li5u	am liu	subterranean flow, a hidden drift or tendency
夜路	a3m-lo7+	am lo+ 01a	do something bad
夜路如果敢走 ,早晚會碰到鬼。	::A3m-lo7+ na7 ka2* ki5a*, ki2n-ba7n e7 khi3 tu2-tio8h ku2i.	am lo+ 01b	Even if you are not afraid to walk on a dark road, sooner or later you'll bump into a ghost.
夜晚	a3m-me5	am me	night
暗門	a3m-mn5g	am mng	secret house of prostitution
稀飯 ,粥	a2m-mo5e (a2m-be5)	am moe (am be)	congee, rice boiled very soft and watery
濃蔭	a7m-n2g	am ng	dark shadow
衣領	a7m-ni2a (a7m-a2-ni2a)	am nia (am a nia)	collar
薄暮	a3m-o+	am o+	dusk
夜校	a3m-o8h-a2	am oh a	night school
暗房	a3m-pa5ng	am pang	dark room
夜班車	a3m-pang-chhia	am pang chhia	last train or bus on the schedule for the day
暗疾 (性病 ,花柳病 )	a3m-pe7* (se3ng-pe7*, hoa-li2u-pe7*)	am pe* (seng pe*; hoa liu pe*)	secret disease, venereal disease, undiscovered illness
密封的信	a3m-phe	am phe	letter in closed envelope
掩鼻	am-phi7*	am phi*	cover the nose
米湯膜	a2m-phoe8h	am phoeh	bubbles of the rice gruel
晚餐	a3m-pn7g (a3m-chhan)	am png (am chhan)	evening meal
晚報	a3m-po3	am po	evening paper
陰謀 ,暗計	a3m-po7+	am po+ 01a	conspiracy, a plot
使陰謀	::sa2i a3m-po7+	am po+ 01b	conspire to injure someone, to plot
暗盤	a3m-po5a*	am poa*	price or quotation which is kept from public knowledge but made known to a selected few
陰穢 ,陰森	a3m-sa3m	am sam	dark and dirty, gloomy
陰森路	a3m-sa3m-lo7+	am sam lo+	depraved course or way of life, dark, dirty and lonely path
暗疾 ,性病	a3m-sa3m-pe7*	am sam pe*	venereal disease, secret or undiscovered disease
陰穢之地 ,陰森之地	a3m-sa3m so2+-cha7i	am sam so+ chai	secret place where crimes can be committed in the dark, a man's private parts
暗殺	a3m-sat	am sat	assassinate, assassination
暗殺黨	a3m-sat-to2ng	am sat tong	gang of assassins
圍兜	a7m-se5	am se	baby's napkin or bib
掩飾	am-sek	am sek	cover up a lie or error, to conceal the truth
暗室	a3m-sek	am sek	darkroom for developing photographs
晚上	a3m-si5	am si 01	at night, night time, during the night
暗示	a3m-si7	am si 02	hint, to suggest
默寫	a3m-si2a	am sia	write from memory
暗傷 ,內傷	a3m-siong	am siong	internal, invisible injury, damage
偷襲	a3m-si8p	am sip	attack in the dark
暗想	a3m-si7u*	am siu*	muse, ponder, turn over in one's mind
默算 ,心算	a3m-sn3g (sim-so3an)	am sng (sim soan)	mental arithmetic, calculate mentally
暗鎖	a3m-so2	am so	mortise lock, combination padlock
黑漆漆	a3m-so-so (a3m-so5-so5)	am so so (am so so)	very dark
暗算	a3m-so3an	am soan	secret plot, to plot secretly, plot against
暗地高興	a3m-so2ng	am song	internally very happy about something but don't want to show it externally
暗淡	a3m-ta7m	am tam	faded, dull and stale colors, dim business or future prospects
暗地	a3m-te7	am te	secretly behind one's back
暗袋子	a3m-te7-a2	am te a	inside pocket
剛入夜 ,初更	a3m-tha5u-a2	am thau a	in the early hours of the evening, early in the evening
秘密抽屜	a3m-thoah	am thoah	secret drawer
定婚	a3m-ti7a* (chhi2u-chi2-a2-ti7a*)	am tia* (chhiu chi a tia*)	get engaged to someone
暗潮	a3m-tia5u	am tiau	undercurrent
暗中	a3m-tiong	am tiong	secretly, stealthily, clandestinely, privately, do something in the dark or without light
暗中摸索	a3m-tiong mo+-soh	am tiong mo+ soh	grope in the dark
暗中提醒	a3m-tiong the5-chhe2*	am tiong the chhe* 01a	quietly or secretly alert someone like with a tug on the sleeve or a wink of the eye
他暗中提醒我 ,我才想到。	::I a3m-tiong the5-chhe2* go2a, go2a chiah si7u*-tio8h.	am tiong the chhe* 01b	He tugged on my sleeve so I remembered.
夜場	a3m-ti5u*	am tiu*	last act in play or movie
晚餐	a3m-tn3g	am tng	supper
暗鬥	a3m-to3+	am to+	secret struggle, jockeying for power, favor, etc.
暗渡陳倉	a3m-to7+ ti5n-chhong	am to+ tin chhong	do something under cover of doing something else, rendezvous secretly
安	an	an 01a	still, quiet, calm, peaceful, silent, comfortable, safe, easy in mind, set at rest, make orderly arrangement
請安	::chhe2ng-an	an 01b	pay respects, inquire after an elder
平安	::pe5ng-an	an 01c	peace, without any accident
不安	::put-an	an 01d	uneasy, disturbed, not feeling at peace
安如泰山	::an ju5 Tha3i-san	an 01e	not in the slightest danger, secure as Mt. Tai
案	a3n	an 02	legal case, legal records, a legal offense
按	a3n	an 03	place the hand on, press down, according to, in accordance with, follow a map or river
緊	a5n	an 04	firm, fixed, tight, lack of money
緊	a5n	an 05a	tight
沒綁緊	::Pa8k bo5 a5n	an 05b	tied but not tight, not tied tight
手頭很緊	::Chhi2u-tha5u chin a5n.	an 05c	lacking money
綁緊	::Pa8k ho7+ a5n	an 05d	to tie tight, tied tight
