請用	27/05/2017 11:23:48
說預	27/05/2017 12:20:22
到吉	27/05/2017 12:22:37
驢去了	27/05/2017 12:33:52
願王萬歲	27/05/2017 12:46:56
救我	27/05/2017 12:49:53
到非利	27/05/2017 12:57:43
兄弟亞	27/05/2017 13:00:49
爬上去	27/05/2017 13:18:17
祭司說	27/05/2017 13:42:34
叫耶	28/05/2017 19:44:21
肯定是	28/05/2017 19:53:54
喚來	28/05/2017 19:58:22
對耶	28/05/2017 19:58:52
派人	28/05/2017 20:00:30
找回來	28/05/2017 20:01:07
人去	28/05/2017 20:02:37
油膏	28/05/2017 20:04:01
上相	31/05/2017 10:32:53
機軸	31/05/2017 10:41:36
嘲笑	31/05/2017 10:44:05
是非	31/05/2017 10:44:44
一個人	31/05/2017 10:45:18
人來	31/05/2017 10:46:38
大兒	31/05/2017 10:47:54
與非利	31/05/2017 10:48:29
送去	31/05/2017 10:53:09
送給	31/05/2017 10:53:12
一看	31/05/2017 10:58:36
罷了	31/05/2017 11:18:26
之所以	31/05/2017 14:18:26
也是	31/05/2017 14:30:59
談情	31/05/2017 14:51:28
如果有	31/05/2017 15:09:04
吞下去	31/05/2017 15:47:16
打你	31/05/2017 16:07:30
吃肉	31/05/2017 16:07:44
說什	01/06/2017 9:57:25
也沒	01/06/2017 10:03:28
想出	01/06/2017 10:23:36
叫什	01/06/2017 12:05:01
太奇	01/06/2017 12:15:04
講到	01/06/2017 13:50:58
出海	01/06/2017 14:14:15
幾千塊	01/06/2017 15:10:56
的日子	01/06/2017 15:20:26
台車	01/06/2017 15:45:55
大冒險	01/06/2017 16:04:10
子耶	01/06/2017 16:08:29
不到	01/06/2017 16:28:22
主恩	03/06/2017 11:08:24
也不錯	03/06/2017 11:51:17
上相	05/06/2017 15:10:08
嘲笑	05/06/2017 15:16:05
是非	05/06/2017 15:16:15
人來	05/06/2017 15:40:53
大兒	05/06/2017 15:42:21
與非利	05/06/2017 15:42:25
罷了	05/06/2017 16:21:16
救回來	05/06/2017 16:26:37
從小	05/06/2017 16:47:59
拿盾	05/06/2017 16:54:59
奉天	05/06/2017 17:01:47
名來	05/06/2017 17:01:57
支軍隊	05/06/2017 17:02:33
場戰爭	05/06/2017 17:04:59
到迦	05/06/2017 17:18:59
愛大	07/06/2017 11:28:00
凱旋歸來	07/06/2017 11:38:29
兒米	07/06/2017 12:15:11
親自動手	07/06/2017 12:16:53
女兒米	07/06/2017 12:18:31
欣然接受	07/06/2017 16:27:06
為敵	07/06/2017 16:29:33
抗敵	07/06/2017 16:29:59
掃	07/06/2017 16:30:07
比掃	07/06/2017 16:30:26
在上	08/06/2017 22:33:56
會想	08/06/2017 23:15:30
害你	11/06/2017 0:17:41
王要	11/06/2017 0:45:47
人嗎	11/06/2017 0:46:50
那一	11/06/2017 0:47:22
以德報怨	11/06/2017 0:48:32
待我	11/06/2017 0:52:11
隻山羊	12/06/2017 15:25:51
問你	12/06/2017 15:32:47
逃出來	12/06/2017 15:37:44
邊說	12/06/2017 15:40:29
大難臨頭	12/06/2017 15:46:59
對僕人說	12/06/2017 15:51:23
騎驢	12/06/2017 15:53:57
或是	12/06/2017 15:55:53
活到	12/06/2017 15:59:32
一看	12/06/2017 16:00:10
主啊	12/06/2017 16:34:08
要說	12/06/2017 16:34:51
人如其名	12/06/2017 16:35:40
行凶	12/06/2017 16:41:27
萬代	12/06/2017 16:43:46
必看	12/06/2017 17:04:39
卓見	12/06/2017 17:15:32
願你	12/06/2017 17:22:31
大擺	12/06/2017 17:26:16
罪有應得	12/06/2017 17:39:22
也願	12/06/2017 17:41:52
人拉	12/06/2017 17:45:18
方寸大亂	13/06/2017 10:03:33
問掃	13/06/2017 10:16:44
招你	13/06/2017 10:18:13
驚惶失措	13/06/2017 10:23:57
又拿	13/06/2017 10:27:18
到耶	13/06/2017 10:37:50
俗語說	13/06/2017 10:42:56
人曾	13/06/2017 14:56:22
以上	13/06/2017 14:57:48
待你	13/06/2017 15:01:25
同席	13/06/2017 15:04:06
個兒	13/06/2017 15:04:33
她來	13/06/2017 16:50:11
中的	13/06/2017 21:19:57
憐憫之心	13/06/2017 21:23:32
窮人	13/06/2017 21:24:53
還可以	13/06/2017 21:26:49
尚且	13/06/2017 21:34:45
吃起飯來	13/06/2017 21:37:37
愛這	13/06/2017 21:44:32
愛吃	13/06/2017 23:35:19
見人	13/06/2017 23:58:36
對王	13/06/2017 23:59:55
娶我	14/06/2017 0:00:08
王聽	14/06/2017 7:42:15
赴宴	14/06/2017 7:44:35
們來	14/06/2017 7:56:50
述王	14/06/2017 7:58:18
到城	14/06/2017 14:51:56
讓人	14/06/2017 14:57:47
向上	14/06/2017 15:02:35
人起	14/06/2017 15:48:19
走到	14/06/2017 16:05:32
會跟	14/06/2017 16:05:52
蒙頭	14/06/2017 16:13:29
亞基人	14/06/2017 16:15:05
王命	15/06/2017 14:58:30
王必	15/06/2017 15:08:30
少說廢話	15/06/2017 15:12:31
王谷	15/06/2017 15:14:23
還想	15/06/2017 16:22:37
作王	15/06/2017 20:08:12
救自	15/06/2017 20:57:47
稱王	15/06/2017 21:02:07
王面	15/06/2017 21:21:20
所羅門王	15/06/2017 21:24:49
使所羅	15/06/2017 21:26:58
去大	15/06/2017 22:07:58
必死無疑	15/06/2017 22:12:43
便打	15/06/2017 22:13:35
