orang	person
ketua	chairman
kerajaan	kingdom
anggur	wine
sia	who
dibuat	made
bekerja	Work
mŭlainkan	but rather
lima	five
melawan	oppose
gerbang	gate
dipersembahkan	presented
memberkati	bless
kalangan	circles
mengutus	send
membiarkan	let
membakar	burn
cara	method
kira	think
membinasakan	destroy
Kej	Gen.
sebelum	before
demi	for the sake of
dirinya	himself
bercakap	to talk
lari	run
sungai	river
biarlah	let it be
adanya	existence
Im	Im
kawasan	area
siapa	Who
ramai	crowded
duduk	Sit down
bersalah	guilty
begitu	so
mengenal	know
kain	cloth
Taw	Taw
mŭnjadi	to become
menunjukkan	show
jatuh	fall
dihukum	punished
segera	quick
minta	ask for
angin	wind
putera	son
murka	wrath
hukuman	punishment
berkumpul	gather
Moab	Moab
mengalahkan	defeat
Yohanes	John
mendatangkan	bring in
mentaati	obey
berperang	to war
Yordan	Jordan
tua	old
turun	down
berkat	blessing
tiang	pole
Mzm	Psalm
muda	young
surat	letter
seseorang	somebody
bulih	bubble
penguasa	ruler
memuji	to praise
sebagaimana	as
sebabnya	the reason
dibunuh	killed
miskin	poor
berjalan	walk
utara	north
patung	statue
bodoh	stupid
menyerahkan	deliver
janji	promise
peraturan	regulation
meter	meters
menyampaikan	convey
kematian	death
berada	is at
menggunakan	use
kanak	child
rasul	apostle
menghormati	honor
kemurkaan	wrath
bapanya	his father
tinggi	tall
memimpin	lead
adil	fair
pekan	week
ingin	want to
bijak	wise
berita	news
Asyur	Assyria
mengirim	send
kekal	eternal
bukannya	instead of
selatan	south
meminta	request
kapadanya	when it comes
kaya	rich
tertulis	written
berkahwin	get married
kambing	goat
memohon	begging
benda	object
katakan	say
inilah	this is it
Benyamin	Benjamin
segenap	all
sebab	because
mahupun	whether or not
kiranya	hopefully
dibawa	brought
Edom	Edom
zaman	era
Kanaan	Canaan
Kis	Story
tiadalah	there is nothing
bilik	room
Siria	Syria
kitab	book
guru	Teacher
ibadat	worship
ternakan	livestock
suara	voice
hujan	Rain
mengumpulkan	gather
mengajar	teach
bagie	share
memusnahkan	to destroy
makhluk	creature
berhenti	stop
selalu	always
najis	unclean
Yoh	Yeah
kaum	race
kesusahan	trouble
berangkat	leave
pemerintahan	government
harta	treasure
walaupun	although
matahari	sun
pŭrampuan	woman
Elisa	Elisha
apakah	whether
daerah	area
jawab	answer
utusan	envoy
Manasye	Manasseh
pedang	sword
paling	most
dikatakan	it is said
datanglah	come on
mungkin	Possible
keldai	donkey
daging	meat
Samuel	Samuel
zaitun	olive
sedar	conscious
pŭrkataan	sayings
jemaah	congregation
pasukan	troops
Yoab	Yoab
tanda	sign
digunakan	used
termasuk	including
memilih	choose
bŭsar	arc
berkuasa	in power
awan	cloud
perkhemahan	camping
kereta	train
hasil	results
tubuh	body
iman	faith
berikut	following
berikan	give
Alkitab	Bible
bersumpah	swear
melindungi	protect
cahaya	light
peperangan	war
anggota	member
menyertai	accompany
membenci	hate
Amon	Amon
hampir	almost
terdapat	there is
membenarkan	justify
sahabat	friend
perjalanan	journey
naik	go on
gangsa	bronze
Sam	Sam
bintang	star
sepanjang	throughout
kecil	small
mengusir	chase away
depan	front
bermakna	meaningful
Hizkia	Hezekiah
menghina	insulting
meletakkan	put
kemenangan	victory
kasihan	pity
Samaria	Samaritan
sulung	eldest
disebut	called
Ishak	Isaac
selamat	Happy
penderitaan	suffering
patut	worthy
menangkap	catch
terlalu	too
murid	student
Yer	Yer
sŭndiri	alone
mŭmbri	mŭmbri
Ahab	Ahab
padanya	to him
Sabat	Sabbath
saksi	witness
lihat	Look
saudaranya	his brother
upacara	ceremony
tugas	task
mukjizat	miracle
menangis	cry
fikiran	mind
beribadat	worship
Elia	Elijah
doa	prayer
ribu	thousand
dŭmkian	thus
ka	you
menuju	going to
buahnya	the fruit
berumur	aged
arah	direction
Sion	Zion
singa	lion
nŭgri	country
perayaan	celebration
ketiga	third
sempadan	border
menderita	suffer
kapal	boat
diperintahkan	ordered
kulit	skin
barat	west
sejak	since
mengatakan	say
membayar	pay
tŭtkala	when
terbaik	best
manakah	which one
lemah	weak
isterinya	his wife
kesalahan	error
bersukacita	rejoice
Babel	Babel
mengampunkan	forgive
membebaskan	to free
saudaraku	my brother
rumput	grass
pŭrgi	go away
pengawal	bodyguard
mendengarkan	listen
bŭbrapa	some
skalian	all at once
pasti	Certain
melantik	inaugurate
diam	silent
tukang	craftsman
sepuluh	ten
membuang	throw away
berjaya	successful
setelah	after
marah	angry
berjanji	promise
siapakah	who is
pelita	lamp
melahirkan	give birth to
kemuliaan	glory
kapadamu	to you
enam	six
berani	brave
sampie	until
mayat	corpse
bahkan	even
biasa	normal
Efraim	Ephraim
penyakit	disease
gadis	girl
balik	come back
syukur	I'm grateful
gembira	happy
bŭrsama	together
berat	heavy
Simon	Simon
skarang	now
masanya	its time
FATSAL	FATSAL
Baal	Baal
kecuali	except
bagaimana	How
bagaikan	like
sombong	proud
nasihat	advice
keputusan	decision
abdi	servant
sesama	fellow
semakin	the more
sebanyak	as much as
pekerjaan	work
memandang	look at
hendaklah	should
Yonatan	Jonathan
khemah	tent
ikut	follow
melarikan	run
kubur	tomb
ketakutan	afraid
rumahnya	his house
mŭlihat	see
pertolongan	help
keempat	fourth
halaman	page
dijadikan	made into
Yeh	Yeah
kanan	right
bŭrbuat	do
anakku	my child
saling	each other
muka	advance
kemenyan	incense
dirimu	yourself
mengucap	to say
menentang	against
kering	dry
kekuatan	strength
jujur	Honest
sisi	side
keras	hard
buta	blind
Yerobeam	Jeroboam
menyambut	welcome
menolak	reject
menjaga	guard
bersatu	united
bangun	get up
tumbuh	grow
mengejar	chase
memberontak	rebel
jubah	robe
Gilead	Gilead
Esau	Esau
olah	exercise
merampas	to seize
menguasai	control
berusaha	try
takhta	throne
sŭtlah	after that
mendapati	find
hadirat	presence
habis	finished
bencana	disaster
Nebukadnezar	Nebuchadnezzar
Absalom	Absalom
tangannya	his hand
lagu	song
kebenaran	truth
dibuang	thrown away
Pilatus	Pilate
adapun	as for
pŭrchaya	believe
musim	season
masok	come on
fana	mortal
cuba	try
berasa	taste
Farisi	Pharisees
maut	death
tentu	Of course
ketujuh	seventh
kerub	cherub
berharap	hope
bererti	means
mŭndapat	get
Ayub	Job
tanaman	plant
panjang	long
bŭrkatalah	say it
menikmati	enjoy
memperlakukan	treat
kegelapan	darkness
hilang	is lost
dipilih	chosen
dilahirkan	born
dengarlah	listen to me
dahsyat	awesome
bertugas	on duty
balu	widow
semasa	during
sekeliling	around
rancangan	design
tŭmpat	place
malu	Embarrassed
membalas	repay
betapa	how
besi	iron
Yosia	Josiah
trompet	trumpet
lembah	valley
agar	so that
mŭnŭngar	listen
layak	worthy
dimakan	eaten
tepi	edge
dijanjikan	promised
cucu	grandchild
tulang	bone
padamu	to you
menipu	cheat
menggantikan	replace
menanggung	bear
kelak	later
kekuasaan	power
jadi	So
Herodes	Herod
dibakar	burned
berfikir	think
Simson	Samson
sebahagian	some
memakai	use
berguna	useful
batang	stem
siang	Afternoon
perigi	well
kilogram	kilogram
kebaikan	kindness
keadilan	justice
isi	Contents
diutus	sent
keadaan	condition
dilihat	seen
amaran	warning
panglima	commander
hikmat	wisdom
handaklah	let it be
mengabdi	serve
memegang	hold
membeli	buy
melakukannya	do it
lenyap	disappeared
tŭrlebih	moreover
sembuh	healed
dianggap	considered
belakang	behind
Paska	Easter
perlu	need
merah	red
mengalami	experience
melepaskan	release
khas	typical
Amori	Amori
kwasa	power
saja	just
harapan	hope
diselamatkan	saved
binasa	perish
berjumpa	meet
sedangkan	whereas
muridnya	his student
menyediakan	provide
mengisytiharkan	to declare
kelihatan	looks
gembala	shepherd
Galilea	Galilee
diantara	between
sejati	true
kawanan	flock
ikan	fish
hidop	live
disembah	worshipped
dibina	fostered
ratus	hundred
mŭnurot	mŭnurot
terang	bright
tenteranya	his army
sementara	temporary
penglihatan	vision
melanggar	violate
mangkat	died
bunga	flower
Ibr	Ibr
akhir	end
tali	rope
memahami	understand
kŭdalam	deep
kehilangan	lost
Yosafat	Jehoshaphat
Yeremia	Jeremiah
diatas	on
yakin	Certain
memukul	hit
ditetapkan	set
bŭnar	true
Yehu	Jehu
Bileam	Balaam
terletak	located
perbukitan	hills
menimpa	overwrite
membela	defend
kebijaksanaan	wisdom
ibunya	his mother
bersyukur	give thanks
Rm	Rm
Gideon	Gideon
hatinya	his heart
musuhku	my enemy
menunggu	wait
mengasihani	pity
Betel	Betel
dikalahkan	defeated
perkataan	words
menyatakan	state
menyangka	to think
menerus	continuously
memenuhi	fulfil
memasang	install
mangkuk	bowl
hambanya	his servant
bersujud	prostrate
Maria	Maria
kumdian	then
hakim	judge
aman	safe
subur	fertile
pelacur	prostitute
minuman	drink
mimpi	dream
menjumpai	meet
kubu	stronghold
keping	piece
kekayaan	riches
berkenan	please
ayat	paragraph
pujian	praise
laki	man
kadalam	in
putih	white
hadiah	present
benih	seed
Allahku	My God
pertempuran	battle
penjara	prison
menulis	write
meneruskan	continue
linen	linen
diterima	accepted
dinyatakan	stated
dalamnya	inside
berkhemah	camping
mŭliekat	stick together
meja	table
harinya	the day
susah	difficult
merebut	seize
menemui	meet
membuka	open
hutan	forest
biarkan	let
bertanggungjawab	responsible
Zedekia	Zedekiah
Ruben	Ruben
menyembuhkan	cure
mengangkat	lift
keluarganya	his family
gelap	dark
ganti	change
dimusnahkan	destroyed
alat	tool
ara	fig
Petros	Petros
selepas	after
perkasa	mighty
pemuda	youth
jenis	type
cepat	fast
padaku	to me
unta	camel
sahja	just
mulia	glorious
mengeluarkan	emit
membangkitkan	to awaken
jenazah	corpse
hujung	end
derihal	about
buat	for
ular	snake
tolong	Help
rahmat	grace
perisai	shield
nyawa	life
menyentuh	touch
ingat	remember
bertambah	increase
berdusta	lie
berasal	originate
sujud	prostrate
hatiku	my heart
Daniel	Daniel
sedih	sad
saat	moment
mengakui	confess
mengabulkan	grant
menentukan	determine
menceritakan	tell
bertindak	act
agung	great
Hebron	Hebron
panah	arrow
seolah	as if
petang	evening
merayakan	celebrate
mengubah	change
makmur	prosperous
kluar	out
hak	right
bulu	hair
bersedia	willing
Abimelekh	Abimelech
tirai	curtain
menghakimi	to judge
liar	wild
kesaksian	testimony
barulah	then
Mikha	Micah
Eleazar	Eleazar
ayer	water
agama	religion
selesai	finished
sekitar	around
menurunkan	lower
menghancurkan	destroy
mengalir	flow
menepati	keep
lelakinya	his man
kejam	cruel
gabenor	governor
dihina	insulted
cawan	cup
Mordekhai	Mordecai
Etiopia	Ethiopia
Abram	Abraham
tongkat	stick
skali	once
sekelilingnya	around him
rendah	low
palsu	false
namun	However
menindas	oppressive
kediaman	residence
kalau	if
dŭmkianlah	that's it
ditentukan	determined
ajaib	magical
Yoas	Yoshua
raya	raya
lapar	hungry
slamat	congratulations
perlindungan	protection
pekerja	worker
Midian	Midian
suaminya	her husband
itupun	even then
terbunuh	killed
penduduknya	its population
mŭngajar	to teach
mengadakan	stage
mengabdikan	to devote
menajiskan	to defile
dihormati	respected
Yesaya	Isaiah
tawanan	prisoner
rahsia	secret
luka	wound
dudok	sit down
nafsu	lust
ditimpa	overwritten
Zakharia	Zacharias
Yudas	Judas
Lebanon	Lebanon
pŭrgilah	go away
halus	fine
dibinasakan	destroyed
menyimpan	keep
dikau	you
dibangkitkan	resurrected
bijaksana	wise
betul	That's right
abadi	eternal
bangkit	rise
permintaan	request
penutup	closing 
pantai	beach
mulut	mouth
menganggap	consider
menamakan	to name
memperhatikan	notice
jamuan	banquet
hingga	until
esok	tomorrow
dipermalukan	humiliated
bunyi	sound
berbaik	be kind
Sikhem	Shechem
memang	of course
menuai	reap
mengaku	confess
krajaan	kingdom
diriku	myself
difirmankan	it was confirmed
debu	dust
bersembunyi	hiding
indah	beautiful
bakar	burn
seberang	across
puncak	peak
pilihan	choice
pembunuhan	murder
mŭminta	ask for
kehidupan	life
jelas	clear
berteriak	shout
adakah	is there any
Yerikho	Jericho
Yahya	Yahya
suami	husband
puteri	daughter
puteranya	his son
mengurniai	to grant
menghampiri	come closer
jawapan	answer
gementar	trembling
dinamakan	named
dikuasai	mastered
diambil	taken
berharga	valuable
Laban	Laban
sanak	relatives
mulai	start
iyalah	of course
anakmu	your child
pegawainya	his staff
mengkhabarkan	to report
menduduki	occupy
kumpulan	gathering
hairan	wonder
bertaubat	repent
Abner	Abner
bawalah	bring it
pemberian	giving
musnah	destroyed
merobohkan	to knock down
menyembelih	slaughter
menutup	close
menjatuhkan	to drop
membuktikan	prove
meliputi	covering
lubang	hole
bermula	started
adik	younger brother
putus	separated
tepung	flour
petunjuk	instruction
perahu	boat
nyala	on
memelihara	look after
masyarakat	public
kelaparan	hunger
kecapi	lute
kebuluran	fever
dusta	lie
berdua	together
bandar	city
Sinai	Sinai
Rehabeam	Rehoboam
Ahazia	Ahaziah
pŭnghulu	chief
dilakukannya	he did
daku	me
asal	origin
tauret	tauret
selamatkanlah	save it
pembuangan	disposal
meskipun	although
mengutuk	curse
mendirikan	to establish
melainkan	but
hancur	destroyed
gua	cave
bayi	baby
Yos	Yos
Efrat	Euphrates
tuduhan	accusation
tercatat	recorded
siap	Ready
pergunungan	mountains
pemerintah	government
menyeberangi	cross over
melaksanakan	carry out
belalang	grasshopper
sidang	hearing
rambut	hair
ingatlah	remember
hatimu	your heart
bŭrulih	turn around
terjadi	happen
sŭsungguhnya	indeed
perang	war
pakaiannya	her clothes
menyucikan	to purify
mengerikan	terrifying
menampakkan	show
mabuk	drunk
cukai	excise
berzina	commit adultery
alam	natural
Nuh	Noah
Ismael	Ishmael
sŭsat	lost
halnya	as it is
biji	seed
alas	base
wabak	epidemic
seratus	one hundred
secara	in a way
menciptakan	create
mematuhi	comply
lupa	forget
ditinggalkan	abandoned
disuruh	ordered
dibenarkan	justified
berakhir	end
Rahel	Rachel
Injil	The Gospel
khatib	preacher
terbenam	sunk
terakhir	final
sayap	wing
satunya	the only one
salam	regards
pengetahuan	knowledge
menguatkan	strengthen
menghasilkan	produce
melarang	forbid
maju	proceed
kasihi	love
diserahkan	handed over
berpuasa	fast
Haman	Haman
Ahas	Ahaz
suchi	suchi
perumpamaan	parable
pergilah	Go
pemilik	owner
menyanyikan	sing
menjalankan	operate
menghantar	to deliver
mengawal	escort
memiliki	own
lapan	eight
kluarlah	come out
khabar	news
keturunannya	his descendants
kepunyaan	belonging
gelang	bracelet
bersorak	cheer
bersinar	shine
beraikan	scatter
baju	dress
Barnabas	Barnabas
shorga	heaven
dihadapan	in front of
abah	father
tepat	appropriate
senjata	weapon
sekalian	all
sabar	Be patient
panas	hot
mŭngasihi	to love
menjual	sell
memerlukan	need
kuil	temple
hidupnya	his life
diraja	king
Sodom	Sodom
Amazia	Amazia
tuannya	his master
ribut	noisy
bapamu	your father
bangunan	building
Filipus	Philip
usaha	business
menyembunyikan	hide
mengurus	look after
menghapuskan	to abolish
kŭpala	head
keinginan	desire
bergantung	depends
beban	burden
barli	barley
baiknya	the good thing is
atasnya	above it
amat	very
Amalek	Amalek
tasik	lake
pinggang	waist
kawan	friend
tulis	write
penyembahan	worship
muncul	appear
mengepung	surround
melupakan	forget
kini	now
kena	hit
dilihatnya	he saw
dikurniakan	bestowed
bersetuju	agree
begini	like this
Yoyada	Jehoiada
Damsyik	Damascus
sepenuh	full
perbuatannya	his actions
menetap	settle down
liter	liter
kepercayaan	trust
dikehendaki	wanted
bumbung	roof
berkabung	mourning
namanya	his name
lahir	born
jŭmaah	congregation
hormat	respect
dada	chest
akhirnya	Finally
Simeon	Simeon
terpaksa	forced
seharusnya	should
permata	gemstone
mŭlawan	against
mengikat	tie
memerintahkan	to order
diberitahu	was informed
dendam	feud
bebas	free
Yudea	Judea
Persia	Persian
Eli	Eli
tombak	spear
mari	let
asa	hope
ungu	purple
sebatang	a
mŭnŭrima	accept
memberitakan	to report
keagungan	majesty
hie	hey
harga	price
cabul	obscene
bŭrjalan	walking
bertempur	fight
berpakaian	get dressed
berbaring	lie down
ayahanda	father
asas	principle
sampielah	come on
mŭmbawa	bring
anugrah	grace
upah	wages
tulen	genuine
setengah	half
sanggup	able to
periuk	pot
perangkap	trap
menyanyi	sing
menyala	light up
menjemput	pick up
mengadili	to judge
menara	tower
membawanya	bring it
melambangkan	symbolizes
malapetaka	disaster
lemak	fat
koir	choir
kepentingan	interest
kegembiraan	excitement
doaku	my prayer
ditawan	taken prisoner
buas	wild
berdaya	empowered
belayar	sailing
ayahandanya	his father
Sidon	Sidon
Gibea	Gibea
mŭnyurohkan	to convey
kurnia	gift
bŭrkat	blessing
tŭngah	middle
terlebih	moreover
sengaja	on purpose
pedati	cart
mengucapkan	to pronounce
menang	win
memeriksa	inspect
dikhaskan	dedicated
adat	custom
Uzia	Uzziah
Rut	Ruth
Het	Het
saudaramu	your brother
marilah	come on
dosanya	his sin
daun	leaf
bunyinya	the sound
terbuka	open
taman	park
penting	important
pengertian	understanding
kesetiaan	faithfulness
kelima	fifth
janjikan	promise
galanya	everything
berlari	run
ahli	expert
Basan	Basan
mŭndatangkan	bring in
kurang	not enough
bilangan	number
terlepas	let go
sudut	corner
sesuai	in accordance
seribu	one thousand
sepatutnya	duly
seiman	fellow believers
rangka	frame
mŭngatakan	to say
menjijikkan	disgusting
menguji	test
mencerai	divorce
keturunanmu	your descendants
hina	despicable
gulungan	roll
dengar	hear
bersetubuh	have sex
Zadok	Zadok
Gibeon	Gibeon
Betlehem	Bethlehem
layu	withered
terdengar	heard
sebaik	as good as
permulaan	the beginning
penyucian	purification
mengandung	contain
menempatkan	put
menantikan	looking forward to
mempedulikan	care about
memberitahukan	to inform
lihatlah	look at it
khuatir	worry
kesejahteraan	welfare
dipuji	praised
dara	virgin
bŭrnama	named
bersungut	grumbling
berpaling	turn away
berdasarkan	based on
bagiku	for me
Za	Za
Ptr	Ptr
Naftali	Naphtali
Farisia	Pharisee
salib	cross
kabŭnaran	truth
didapati	found
tanduk	horn
semoga	Hopefully
selanjutnya	furthermore
perempuannya	his woman
mŭngatahui	to know
menahan	withhold
madu	honey
kilat	lightning
haram	forbidden
cabang	branch
bŭrdiri	stand up
bersiap	get ready
berjumlah	amount to
bahaya	danger
Boas	Boaz
puloh	ten
kosong	empty
disana	there
Yoram	Yoram
undang	law
terbang	fly
telinga	ear
teguh	firm
tanya	ask
salih	righteous
pinggir	edge
nyata	real
mengumumkan	to announce
menghadapi	face
menganiaya	persecute
memikirkan	think about
memaksa	force
ertinya	meaning
efod	ephod
duanya	both of them
dipercayai	trusted
diletakkan	placed
beritahulah	tell me
Simei	Shimei
Saulus	Saul
Natan	Nathan
Kaleb	Caleb
Adonia	Adonia
tangga	ladder
anjing	dog
alasan	reason
tipu	cheat
timbunan	pile
sesat	astray
serangan	attack
sentimeter	centimeters
puan	Madam
pasir	sand
menyelesaikan	finish
mengelilingi	surround
lebarnya	width
lautan	ocean
lambang	symbol
kedamaian	peace
diusir	expelled
demikianlah	that's it
asap	smoke
Yoyakim	Jehoiakim
Yakobus	James
Gat	Gat
Benhadad	Benhadad
waktunya	it's time
mŭnjadikan	make
mahkota	crown
harap	please
hantu	ghost
terselamat	saved
terima	accept
tenang	calm
sumber	source
seumur	lifelong
sempurna	perfect
sangka	think
rakan	friend
menyebut	to mention
mengampuni	forgive
kutuk	curse
kampung	village
gunanya	its use
faham	understand
disampaikan	delivered
dipimpin	led
dibiarkan	left alone
buruk	bad
bergembira	be happy
bahan	material
Korah	Spherical
Kehat	Health
mŭnaroh	to lie down
undi	draw
umur	age
tujoh	the goal
tanahnya	the land
tambahan	addition
tahan	stand
pandai	clever
meniup	blow
mencuri	steal
membolehkan	allow
memakannya	eat it
kŭkal	eternal
kepalanya	his head
keji	cruel
berubah	changed
bertemu	meet
ampat	four
Yoyakhin	Jehoiachin
Yizreel	Jezreel
Ribka	Rebekah
kiri	left
hawa	air
biru	blue
badan	body
turut	participate
sihir	magic
sembilan	nine
roda	wheel
pulau	island
perut	stomach
mŭnchari	to see
merpati	dove
menuduh	accuse
menimbulkan	cause
mengkhianati	betray
kejadian	incident
jumlah	amount
jiran	neighbor
hadir	present
dipenjarakan	imprisoned
dengarkanlah	listen to me
cerai	divorced
bila	when
berlimpah	abundant
Mizpa	Mizpah
Gilgal	Gilgal
puas	satisfied
naga	dragon
maksud	Meaning
kala	when
kadua	second
ditangkap	arrested
bukankah	Is not that
tuaian	harvest
ta	yes
sumpah	oath
semangat	Spirit
rempah	spice
pesan	message
peristiwa	incident
negerinya	his country
mengikuti	follow
mencuci	wash
menarik	interesting
menakutkan	scary
memberikannya	give it to him
membantu	help
membahagikan	share
melawat	visit
manis	sweet
lumpuh	paralysed
kudanya	his horse
kehormatan	honor
ditiup	blown
dipanggil	called
diketahui	known
bernubuat	prophesy
berkuda	horse riding
berehat	take a break
Shahadan	Shahada
Ayb	Job
nŭschaya	untouched
mudah	easy
matanya	his eyes
kakinya	his legs
bŭrdosa	sinner
Ibrahim	Abraham
tumbuhan	plant
tandus	barren
tahir	clean
sukacita	joy
rugi	make a loss
rela	willing
pŭkŭrjaan	work
pembinaan	coaching
merendahkan	to humble
meratap	wailing
menyalahkan	blame
mengukur	measure
membahagi	to share
mematahkan	break
melayani	serve
gagah	strong
firmankan	declare
dimakamkan	buried
dibebaskan	released
daripadanya	thereof
cacat	disabled
buatlah	make it
berkubu	fortified
bekas	used
banjir	flood
bakul	basket
babi	pig
Syeba	Sheba
Sihon	Sihon
Semaya	The Great
Benaya	Benaya
Asyer	Asher
patik	my love
mŭmliharakan	maintain
dahan	branch
banyaknya	the amount
Silas	Silas
merupakan	is
menyesatkan	misleading
mengenakan	wearing
mengawasi	supervise
memakan	eat
kedudukan	position
jawabnya	the answer
istimewa	special
ditahbiskan	ordained
didŭngar	heard
diampunkan	forgiven
bijirin	grain
berwarna	colored
berbelas	compassionate
bahru	new
abu	ash
abang	brother
Zebulon	Zebulun
Yunus	Jonah
Yebusi	Yebusi
Isai	Jesse
Ezra	Ezra
Ef	Ef
Allahmu	Your God
takot	scared
susu	milk
lorong	hallway
fajar	dawn
budak	slave
bapaku	my father
yatim	orphan
wangi	fragrant
tenaga	power
sekitarnya	surrounding area
sejahtera	prosperous
sehari	a day
rantai	chain
persembahkan	dedicate
perkakas	tools
pembunuh	murderer
peluang	opportunity
pahlawan	hero
padahal	whereas
mŭngikot	to obey
mukanya	his face
miliknya	his
menari	dance
menanam	plant
membasuh	wash
mahir	proficient
laporan	report
kebesaran	greatness
disembelih	slaughtered
dijual	for sale
dibaptis	baptized
diampuni	forgiven
bŭlom	not yet
bukanlah	is not
berusia	aged
bertengkar	quarrel
bersih	clean
berhak	entitled
bergerak	move
berbuah	bear fruit
Uria	Uriah
Lea	Leah
