flds,sfld
"現在做什麽生意比較好？<br><br>现在做什么生意比较好？xiàn zài zuò shén me shēng yì bǐ jiào hǎo<br><br>What's a good buisiness to be in now?","現在做什麽生意比較好？现在做什么生意比较好？"
"現在賣車，賣電腦都不錯。<br><br>现在卖车，卖电脑都不错。xiàn zài mài chē mài diàn nǎo dōu bù cuò<br><br>These days, selling cars or computers are both not bad (jobs).<br><br>(現在/现在 means 'now')","現在賣車，賣電腦都不錯。现在卖车，卖电脑都不错。"
"大家都喜歡這個牌子的車。<br><br>大家都喜欢这个牌子的车。dà jiā dōu xǐ huan zhè ge pái zi de chē<br><br>Everybody likes this brand of car.","大家都喜歡這個牌子的車。大家都喜欢这个牌子的车。"
"你用什麽牌子的電腦？<br><br>你用什么牌子的电脑？nǐ yòng shén me pái zi de diàn nǎo<br><br>What brand of computer do you use?","你用什麽牌子的電腦？你用什么牌子的电脑？"
"他們公司不大，可是生意很好。<br><br>他们公司不大，可是生意很好。tā men gōng sī bù dà kě shì shēng yì hěn hǎo<br><br>Their company isn't big, but it's good.","他們公司不大，可是生意很好。他们公司不大，可是生意很好。"
"這些蘋果比較大，那些比較小。<br><br>这些苹果比较大，那些比较小。zhè xiē píng guǒ bǐ jiào dà nà xiē bǐ jiào xiǎo<br><br>These apples are bigger, those are smaller.","這些蘋果比較大，那些比較小。这些苹果比较大，那些比较小。"
"這台電腦要四萬多塊錢。<br><br>这台电脑要四万多块钱。zhè tái diàn nǎo yào sì wàn duō kuài qián<br><br>This computer costs over forty thousand dollars.","這台電腦要四萬多塊錢。这台电脑要四万多块钱。"
"這台電腦非常好，可是太貴了！<br><br>这台电脑非常好，可是太贵了！zhè tái diàn nǎo fēi cháng hǎo kě shì tài guì le<br><br>This computer is great, but it's too expensive!","這台電腦非常好，可是太貴了！这台电脑非常好，可是太贵了！"
"這張地圖太舊了，我想買張新的。<br><br>这张地图太旧了，我想买张新的。zhè zhāng dì tú tài jiù le wǒ xiǎng mǎi zhāng xīn de<br><br>This map is too old, I want to buy a new one.","這張地圖太舊了，我想買張新的。这张地图太旧了，我想买张新的。"
"我想看一下那支手機。<br><br>我想看一下那支手机。wǒ xiǎng kàn yī xià nà zhī shǒu jī<br><br>I would like to take a look at that cell phone.","我想看一下那支手機。我想看一下那支手机。"
"這支手機的款式不錯，我很喜歡。<br><br>这支手机的款式不错，我很喜欢。zhè zhī shǒu jī de kuǎn shì bù cuò wǒ hěn xǐ huan<br><br>This style of cell phone isn't bad, I like it a lot.<br><br>","這支手機的款式不錯，我很喜歡。这支手机的款式不错，我很喜欢。"
"大部分的客人喜歡新式的，不喜歡舊式的。<br><br>大部分的客人喜欢新式的，不喜欢旧式的。dà bù fèn de kè rén xǐ huan xīn shì de bù xǐ huan jiù shì de<br><br>Most customers like the new styles, they don't like the old styles.","大部分的客人喜歡新式的，不喜歡舊式的。大部分的客人喜欢新式的，不喜欢旧式的。"
"這個黑的和那個白的，哪個好看？<br><br>这个黑的和那个白的，哪个好看？zhè ge hēi de hé nà ge bái de nǎ ge hǎo kàn<br><br>Which is prettier, this black one or that white one?","這個黑的和那個白的，哪個好看？这个黑的和那个白的，哪个好看？"
"這本書很好看，你要不要看？<br><br>这本书很好看，你要不要看？zhè běn shū hěn hǎo kàn nǐ yào bù yào kàn<br><br>This book is very good, do you want to read it?","這本書很好看，你要不要看？这本书很好看，你要不要看？"
"年輕人都喜歡買新式的東西。<br><br>年轻人都喜欢买新式的东西。nián qīng rén dōu xǐ huan mǎi xīn shì de dōng xi<br><br>Young people all like to buy the latest styles.","年輕人都喜歡買新式的東西。年轻人都喜欢买新式的东西。"
"大家都很喜歡這首老歌。<br><br>大家都很喜欢这首老歌。dà jiā dōu hěn xǐ huan zhè shǒu lǎo gē<br><br>Everyone likes this old song.","大家都很喜歡這首老歌。大家都很喜欢这首老歌。"
"這台筆記型電腦是最新的款式。<br><br>这台笔记型电脑是最新的款式。zhè tái bǐ jì xíng diàn nǎo shì zuì xīn de kuǎn shì<br><br>This laptop is currently the latest style.","這台筆記型電腦是最新的款式。这台笔记型电脑是最新的款式。"
"新的太貴了，我們買這輛舊的，好不好?<br><br>新的太贵了，我们买这辆旧的，好不好？xīn de tài guì le wǒ men mǎi zhè liàng jiù de hǎo bù hǎo<br><br>The new one is too expensive, let's buy this old one (car) instead, O.K.?","新的太貴了，我們買這輛舊的，好不好?新的太贵了，我们买这辆旧的，好不好？"
"這本書真便宜，只要五塊多。<br><br>这本书真便宜，只要五块多。zhè běn shū zhēn pián yi zhǐ yào wǔ kuài duō<br><br>This book is really cheap, it's just over five dollars.","這本書真便宜，只要五塊多。这本书真便宜，只要五块多。"
"一共兩斤多，你給我六十塊錢。<br><br>一共两斤多，你给我六十块钱。yī gòng liǎng jīn duō nǐ gěi wǒ liù shí kuài qián<br><br>Together it's a little more than two jin, give me 60 dollars.","一共兩斤多，你給我六十塊錢。一共两斤多，你给我六十块钱。"
"這種葡萄比較便宜，一斤九塊錢。<br><br>这种葡萄比较便宜，一斤九块钱。zhè zhǒng pú táo bǐ jiào pián yi yī jīn jiǔ kuài qián<br><br>This kind of grape is cheaper, one jin is nine dollars.","這種葡萄比較便宜，一斤九塊錢。这种葡萄比较便宜，一斤九块钱。"
"那個牌子的手機有九千多塊錢。<br><br>那个牌子的手机有九千多块钱。nà ge pái zi de shǒu jī yǒu jiǔ qiān duō kuài qián<br><br>That brand of cell phone costs over nine thousand dollars.","那個牌子的手機有九千多塊錢。那个牌子的手机有九千多块钱。"
"有沒有八，九百塊錢的錄音機？<br><br>有没有八，九百块钱的录音机？yǒu méi yǒu bā jiǔ bǎi kuài qián de lù yīn jī<br><br>Are there any $800-$900 tape recorders?","有沒有八，九百塊錢的錄音機？有没有八，九百块钱的录音机？"
"這支手機是最新的樣式。<br><br>这支手机是最新的样式。zhè zhī shǒu jī shì zuì xīn de yàng shì<br><br>This cell phone is the newest style.","這支手機是最新的樣式。这支手机是最新的样式。"
"媽媽喜歡買新鮮的水果。<br><br>妈妈喜欢买新鲜的水果。mā ma xǐ huan mǎi xīn xiān de shuǐ guǒ<br><br>Mother likes to buy fresh fruit.","媽媽喜歡買新鮮的水果。妈妈喜欢买新鲜的水果。"
"張太太愛買便宜的東西。<br><br>张太太爱买便宜的东西。zhāng tài tai ài mǎi pián yi de dōng xi<br><br>Mrs. Zhang loves to buy cheap things.","張太太愛買便宜的東西。张太太爱买便宜的东西。"
"我有兩個聰明的孩子。<br><br>我有两个聪明的孩子。wǒ yǒu liǎng gè cōng míng de hái zi<br><br>I have two clever children.","我有兩個聰明的孩子。我有两个聪明的孩子。"
"這幾輛車都是舊的。<br><br>这几辆车都是旧的。zhè jǐ liàng chē dōu shì jiù de<br><br>These cars are all used ones.","這幾輛車都是舊的。这几辆车都是旧的。"
"我想買一個隨身聽。<br><br>我想买一个随身听。wǒ xiǎng mǎi yī ge suí shēn tīng<br><br>I'm thinking of buying a walkman.","我想買一個隨身聽。我想买一个随身听。"
"這個隨身聽怎麽樣？<br><br>这个随身听怎么样？zhè ge suí shēn tīng zěn me yàng<br><br>How is this walkman?","這個隨身聽怎麽樣？这个随身听怎么样？"
"你覺得這本中文雜誌怎麽樣？<br><br>你觉得这本中文杂志怎么样？nǐ jué de zhè běn zhōng wén zá zhì zěn me yàng<br><br>What do you think of this Chinese magazine?","你覺得這本中文雜誌怎麽樣？你觉得这本中文杂志怎么样？"
"請你念。<br><br>请你念。qǐng nǐ niàn<br><br>Please read aloud.","請你念。请你念。"
"我不喜歡念書。<br><br>我不喜欢念书。wǒ bù xǐ huan niàn shū<br><br>I don't like to study.<br>(念書/念书 can mean to read aloud or to study)","我不喜歡念書。我不喜欢念书。"
"他念書，念得很好。<br><br>他念书，念得很好。tā niàn shū niàn de hěn hǎo<br><br>He studies very well.","他念書，念得很好。他念书，念得很好。"
"那個歌很好聽。<br><br>那个歌很好听。nà ge gē hěn hǎo tīng<br><br>That song sounds very good.","那個歌很好聽。那个歌很好听。"
"我喜歡聼妹妹唱歌。<br><br>我喜欢听妹妹唱歌。wǒ xǐ huan tīng mèi mei chàng gē<br><br>I like to listen to my younger sister sing.","我喜歡聼妹妹唱歌。我喜欢听妹妹唱歌。"
"他在看報。<br><br>他在看报。tā zài kàn bào<br><br>He is reading a newspaper.","他在看報。他在看报。"
"他在吃飯呢。<br><br>他在吃饭呢。tā zài chī fàn ne<br><br>He is eating.<br><br>(呢 in this use indicates that the action is being sustained)","他在吃飯呢。他在吃饭呢。"
"我寫字，寫得不慢。<br><br>我写字，写得不慢。wǒ xiě zì xiě de bù màn<br><br>I don't write slowly.","我寫字，寫得不慢。我写字，写得不慢。"
"那本英文書很有意思。<br><br>那本英文书很有意思。nà běn yīng wén shū hěn yǒu yì si<br><br>That English book is very interesting.","那本英文書很有意思。那本英文书很有意思。"
"這個字有很多意思。<br><br>这个字有很多意思。zhè ge zì yǒu hěn duō yì si<br><br>This character has a lot of meanings.","這個字有很多意思。这个字有很多意思。"
"學中文有一點難。<br><br>学中文有一点难。xué zhōng wén yǒu yī diǎn nán<br><br>Studying Chinese is a little difficult.","學中文有一點難。学中文有一点难。"
"我只懂一點日文。<br><br>我只懂一点日文。wǒ zhǐ dǒng yī diǎn rì wén<br><br>I only understand a little Japanese.","我只懂一點日文。我只懂一点日文。"
"學英文難不難？<br><br>学英文难不难？xué yīng wén nàn bù nán<br><br>Is studying English difficult?","學英文難不難？学英文难不难？"
"王先生要學德國話。<br><br>王先生要学德国话。wáng xiān shēng yào xué dé guó huà<br><br>Mr. Wang wants to study German.","王先生要學德國話。王先生要学德国话。"
"你現在不可以說英文。<br><br>你现在不可以说英文。nǐ xiàn zài bù kě yǐ shuō yīng wén<br><br>You are not allowed to speak English now.","你現在不可以說英文。你现在不可以说英文。"
"請你教我一點中國話，好嗎？<br><br>请你教我一点中国话，好吗？qǐng nǐ jiào wǒ yī diǎn zhōng guó huà hǎo ma<br><br>Please teach me a little Chinese, OK?","請你教我一點中國話，好嗎？请你教我一点中国话，好吗？"
"王老師教書，教得很好。<br><br>王老师教书，教得很好。wáng lǎo shī jiāo shū jiào de hěn hǎo<br><br>Teacher Wang teaches very well.","王老師教書，教得很好。王老师教书，教得很好。"
"你現在很忙嗎？<br><br>你现在很忙吗？nǐ xiàn zài hěn máng ma<br><br>Are you very busy now?","你現在很忙嗎？你现在很忙吗？"
"他的英文還說的不好。<br><br>他的英文还说的不好。tā de yīng wén hái shuō de bù hǎo<br><br>He still can't speak English very well.","他的英文還說的不好。他的英文还说的不好。"
"他說他很忙。<br><br>他说他很忙。tā shuō tā hěn máng<br><br>He says he's very busy.","他說他很忙。他说他很忙。"
"現在不可以說話。<br><br>现在不可以说话。xiàn zài bù kě yǐ shuō huà<br><br>Right now talking is not allowed.","現在不可以說話。现在不可以说话。"
"你能不能給我那本書嗎？<br><br>你能不能给我那本书吗？nǐ néng bù néng gěi wǒ nà běn shū ma<br><br>Can you give me that book?","你能不能給我那本書嗎？你能不能给我那本书吗？"
"他姐姐會說日本話。<br><br>他姐姐会说日本话。tā jie jie huì shuō rì běn huà<br><br>His older sister can speak Japanese.","他姐姐會說日本話。他姐姐会说日本话。"
"我很喜歡唱歌。<br><br>我很喜欢唱歌。wǒ hěn xǐ huan chàng gē<br><br>I really like to sing.","我很喜歡唱歌。我很喜欢唱歌。"
"你要吃什麽。<br><br>你要吃什么。nǐ yào chī shén me<br><br>What do you want to eat?","你要吃什麽。你要吃什么。"
"王先生要請我們吃飯。<br><br>王先生要请我们吃饭。wáng xiāns hēng yào qǐng wǒ men chī fàn<br><br>Mr. Wang wants to invite us for a meal.","王先生要請我們吃飯。王先生要请我们吃饭。"
"我很喜歡吃法國菜。<br><br>我很喜欢吃法国菜。wǒ hěn xǐ huan chī fà guó cài<br><br>I really like to eat French food.","我很喜歡吃法國菜。我很喜欢吃法国菜。"
"李先生喜歡喝酒嗎？<br><br>李先生喜欢喝酒吗？li xiān shēng xǐ huan hē jiǔ ma<br><br>Does Mr. Li like to drink (alcohol)?","李先生喜歡喝酒嗎？李先生喜欢喝酒吗？"
"你喜不喜歡寫中國字？<br><br>你喜不喜欢写中国字？nǐ xǐ bù xǐ huan xiě zhōng guó zì<br><br>Do you like to write Chinese characters?","你喜不喜歡寫中國字？你喜不喜欢写中国字？"
"他不會寫你的名字。<br><br>他不会写你的名字。tā bù huì xiě nǐ de míng zì<br><br>He doesn't know how to write your name.","他不會寫你的名字。他不会写你的名字。"
"他很能做事。tā hěn néng zuò shì<br><br>He is very capable of handing things.","他很能做事。"
"他在做什麽？<br><br>他在做什么？tā zài zuò shén me<br><br>What's he doing?","他在做什麽？他在做什么？"
"你有什麽事？<br><br>你有什么事？nǐ yǒu shé me shì<br><br>What can I do for you?","你有什麽事？你有什么事？"
"王太太很會做飯。<br><br>王太太很会做饭。wáng tài tai hěn huì zuò fàn<br><br>Mrs. Wang really can cook.","王太太很會做飯。王太太很会做饭。"
"那個孩子很喜歡畫畫。<br><br>那个孩子很喜欢画画。nà ge hái zi hěn xǐ huan huà huà<br><br>That kid really likes to draw/paint pictures.","那個孩子很喜歡畫畫。那个孩子很喜欢画画。"
"老師寫字，寫的很快。<br><br>老师写字，写的很快。lǎo shī xiě zì xiě de hěn kuài<br><br>The teacher writes very quickly.","老師寫字，寫的很快。老师写字，写的很快。"
"你唱歌，他跳舞，好不好？nǐ chàng gē tā tiào wǔ hǎo bù hǎo<br><br>You sing, he'll dance, OK?","你唱歌，他跳舞，好不好？"
"我不會寫漢字。<br><br>我不会写汉字。wǒ bù huì xiě hàn zì<br><br>I can't write Chinese characters.","我不會寫漢字。我不会写汉字。"
"小狗在跳舞嗎？<br><br>小狗在跳舞吗？xiǎo gǒu zài tiào wǔ ma<br><br>Is the dog dancing? ","小狗在跳舞嗎？小狗在跳舞吗？"
"他覺得德國酒真好喝。<br><br>他觉得德国酒真好喝。tā jué de dé guó jiǔ zhēn hǎo hē<br><br>He thinks German liquor is very good.","他覺得德國酒真好喝。他觉得德国酒真好喝。"
"李老師的中國畫，畫得很好看。<br><br>李老师的中国画，画得很好看。li lǎo shī de zhōng guó huà huà de hěn hǎo kàn<br><br>Teacher Li's paintings are very good.","李老師的中國畫，畫得很好看。李老师的中国画，画得很好看。"
"你的舞，跳得怎麽樣？<br><br>你的舞，跳得怎么样？nǐ de wǔ tiào de zěn me yàng<br><br>How well do you dance?","你的舞，跳得怎麽樣？你的舞，跳得怎么样？"
"這個東西好看，可是不好吃。<br><br>这个东西好看，可是不好吃。zhè ge dōng xi hǎo kàn kě shì bù hào chī<br><br>This stuff looks good, but it's not delicious.","這個東西好看，可是不好吃。这个东西好看，可是不好吃。"
"你想吃什麽飯？吃中國飯，好嗎？<br><br>你想吃什么饭？吃中国饭，好吗？nǐ xiǎng chī shén me fàn chī zhōng guó fàn hǎo ma<br><br>What do you want to eat?  Is Chinese food OK?","你想吃什麽飯？吃中國飯，好嗎？你想吃什么饭？吃中国饭，好吗？"
"我兒子愛吃蘋果，女兒愛吃西瓜。<br><br>我儿子爱吃苹果，女儿爱吃西瓜。wǒ ér zi ài chī píng guǒ nǚ ér ài chī xī guā<br><br>My son loves to eat apples, my daughter loves to eat watermelon.","我兒子愛吃蘋果，女兒愛吃西瓜。我儿子爱吃苹果，女儿爱吃西瓜。"
"我每天只吃兩頓飯。<br><br>我每天只吃两顿饭。wǒ měi tiān zhǐ chī liǎng dùn fàn<br><br>I only eat two meals a day.","我每天只吃兩頓飯。我每天只吃两顿饭。"
"你覺得牛肉麵好吃還是排骨麵好吃？<br><br>你觉得牛肉面好吃还是排骨面好吃？nǐ jué de niú ròu miàn hào chī hái shì pái gǔ miàn hào chī<br><br>Do you think beef noodles or fried pork noodles are more delicious?","你覺得牛肉麵好吃還是排骨麵好吃？你觉得牛肉面好吃还是排骨面好吃？"
"我們沒有牛肉麵；排骨麵行不行？<br><br>我们没有牛肉面；排骨面行不行？wǒ men méi yǒu niú ròu miàn pái gǔ miàn xíng bù xíng<br><br>We don't have been noodles; are fried pork noodles OK?","我們沒有牛肉麵；排骨麵行不行？我们没有牛肉面；排骨面行不行？"
"我可以用你的筆嗎？<br><br>我可以用你的笔吗？wǒ kě yǐ yòng nǐ de bǐ ma<br><br>May I use your pen?","我可以用你的筆嗎？我可以用你的笔吗？"
"如果沒有白的，黑的也可以。<br><br>如果没有白的，黑的也可以。rú guǒ méi yǒu bái de hēi de yě kě yǐ<br><br>If there aren't any white ones, black ones are also fine.","如果沒有白的，黑的也可以。如果没有白的，黑的也可以。"
"請給我們兩碗飯。<br><br>請给我们两碗饭。qǐng gěi wǒ men liǎng wǎn fàn<br><br>Please give me two bowls of rice.","請給我們兩碗飯。請给我们两碗饭。"
"我們要一碗酸辣湯。<br><br>我们要一碗酸辣汤。wǒ men yào yī wǎn suān là tāng<br><br>We would like a bowl of hot and sour soup.","我們要一碗酸辣湯。我们要一碗酸辣汤。"
"我不能吃太辣的東西。<br><br>我不能吃太辣的东西。wǒ bù néng chī tài là de dōng xi<br><br>I can't eat food that's too spicy.","我不能吃太辣的東西。我不能吃太辣的东西。"
"你要喝什麽飲料。<br><br>你要喝什么饮料。nǐ yào hē shén me yǐn liào<br><br>What would you like to drink?","你要喝什麽飲料。你要喝什么饮料。"
"對不起，我要開車，不能喝酒。<br><br>对不起，我要开车，不能喝酒。duì bù qǐ wǒ yào kāi chē bù néng hē jiǔ<br><br>Sorry, I have to drive, I can't drink alcohol.","對不起，我要開車，不能喝酒。对不起，我要开车，不能喝酒。"
"請給我一杯啤酒。<br><br>请给我一杯啤酒。qǐng gěi wǒ yī bēi pí jiǔ<br><br>Please give me one cup of beer.","請給我一杯啤酒。请给我一杯啤酒。"
"現在年輕人都會用電腦。<br><br>现在年轻人都会用电脑。xiàn zài nián qīng rén dōu huì yòng diàn nǎo<br><br>The younger generations nowadays all know how to use computers.","現在年輕人都會用電腦。现在年轻人都会用电脑。"
"我是韓國人，當然會用筷子。<br><br>我是韩国人，当然会用筷子。wǒ shì hán guó rén dāng rán huì yòng kuài zi<br><br>I'm Korean, of course I know how to use chopsticks.","我是韓國人，當然會用筷子。我是韩国人，当然会用筷子。"
"你能看這麽難的書，一定非常聰明。<br><br>你能看这么难的书，一定非常聪明。nǐ néng kàn zhè me nán de shū yī dìng fēi cháng cōng míng<br><br>You can read such a hard book, you must be very smart.","你能看這麽難的書，一定非常聰明。你能看这么难的书，一定非常聪明。"
"你會說哪國話？<br><br>你会说哪国话？nǐ huì shuō nǎ guó huà<br><br>What languages can you speak?","你會說哪國話？你会说哪国话？"
"李小姐很聰明，也很會説話。<br><br>李小姐很聪明，也很会说话。li xiǎo jiě hěn cōng míng yě hěn huì shuō huà<br><br>Miss Li is very smart, she really knows how to talk.","李小姐很聰明，也很會説話。李小姐很聪明，也很会说话。"
"王先生說他要開車，不能喝酒。<br><br>王先生说他要开车，不能喝酒。wáng xiān shēng shuō tā yào kāi chē bù néng hē jiǔ<br><br>Mr. Wang said he has to drive, he can't drink alcohol.","王先生說他要開車，不能喝酒。王先生说他要开车，不能喝酒。"
"他說什麽我不太懂。<br><br>他说什么我不太懂。tā shuō shén me wǒ bù tài dǒng<br><br>I don't really understand what he said.","他說什麽我不太懂。他说什么我不太懂。"
"你會不會說中國話？我只會說幾句。<br><br>你会不会说中国话？我只会说几句。nǐ huì bù huì shuō zhōng guó huà wǒ zhǐ huì shuō jǐ jù<br><br>Do you speak Chinese?  I can only speak a few words.","你會不會說中國話？我只會說幾句。你会不会说中国话？我只会说几句。"
"我不懂中國話，還不能看中國電影。<br><br>我不懂中国话，还不能看中国电影。wǒ bù dǒng zhōng guó huà hái bù néng kàn zhòng guó diàn yǐng<br><br>I don't understand Chinese, so I can't watch Chinese movies yet.","我不懂中國話，還不能看中國電影。我不懂中国话，还不能看中国电影。"
"這本雜誌很有意思，你要不要看？<br><br>这本杂志很有意思，你要不要看？zhè běn zá zhì hěn yǒu yì si nǐ yào bù yào kàn<br><br>This magazine is very interesting, would you like to read it?","這本雜誌很有意思，你要不要看？这本杂志很有意思，你要不要看？"
"這句話是什麽意思？<br><br>这句话是什么意思？zhè jù huà shì shén me yì si<br><br>What does this sentence mean?","這句話是什麽意思？这句话是什么意思？"
"我覺得學中國話很有意思。<br><br>我觉得学中国话很有意思。wǒ jué de xué zhōng guó huà hěn yǒu yì si<br><br>I think studying Chinese is very interesting.","我覺得學中國話很有意思。我觉得学中国话很有意思。"
"大家都說：說中國話容易，寫中國字比較難。<br><br>大家都说：说中国话容易，写中国字比较难。dà jiā dōu shuō shuō zhōng guó huà róng yì xiě zhōng guó zì bǐ jiào nán<br><br>Everyone says: speaking chinese is easy, writing Chinese characters is more difficult.","大家都說：說中國話容易，寫中國字比較難。大家都说：说中国话容易，写中国字比较难。"
"有的日本字跟中國字很像。<br><br>有的日本字跟中国字很像。yǒu de rì běn zì gēn zhōng guó zì hěn xiàng<br><br>Some Japanese words look like Chinese words.","有的日本字跟中國字很像。有的日本字跟中国字很像。"
"我認識不少中國字，可是只會寫六，七十個。<br><br>我认识不少中国字，可是只会写六，七十个。wǒ rèn shì bù shǎo zhōng guó zì kě shì zhǐ huì xiě liù qī shí gè<br><br>I know quite a few Chinese characters, but can only write sixty or seventy.","我認識不少中國字，可是只會寫六，七十個。我认识不少中国字，可是只会写六，七十个。"
"我會唱好幾首英文歌。<br><br>我会唱好几首英文歌。wǒ huì chàng hǎo jǐ shǒu yīng wén gē<br><br>I can sing quite a few English songs.","我會唱好幾首英文歌。我会唱好几首英文歌。"
"這首歌真好聽，待會你教我唱，好嗎？<br><br>这首歌真好听，待会你教我唱，好吗？zhè shǒu gē zhēn hǎo tīng dài huì nǐ jiào wǒ chàng hǎo ma<br><br>This song is really good, can you teach me how to sing it later?","這首歌真好聽，待會你教我唱，好嗎？这首歌真好听，待会你教我唱，好吗？"
"請給我們一瓶啤酒，好嗎？<br><br>请给我们一瓶啤酒，好吗？qǐng gěi wǒ men yī píng pí jiǔ hǎo ma<br><br>Could you please give us a bottle of beer?","請給我們一瓶啤酒，好嗎？请给我们一瓶啤酒，好吗？"
"好，沒問題。<br><br>好，没问题。hǎo méi wèn tí<br><br>Sure, no problem.","好，沒問題。好，没问题。"
"你們有什麽問題？<br><br>你们有什么问题？nǐ men yǒu shé me wèn tí<br><br>Do you have any questions?","你們有什麽問題？你们有什么问题？"
"我媽媽很會做飯，特別會做法國飯。<br><br>我妈妈很会做饭，特别会做法国饭。wǒ mā ma hěn huì zuò fàn tè bié huì zuò fà guó fàn<br><br>My mother can rally cook, especially French food.","我媽媽很會做飯，特別會做法國飯。我妈妈很会做饭，特别会做法国饭。"
"大家都喜歡喝這種酒。<br><br>大家都喜欢喝这种酒。dà jiā dōu xǐ huan hē zhè zhǒng jiǔ<br><br>Everyone likes to drink this kind of liquor.","大家都喜歡喝這種酒。大家都喜欢喝这种酒。"
"我吃一碗飯。<br><br>我吃一碗饭。wǒ chī yī wǎn fàn<br><br>I eat one bowl of rice.","我吃一碗飯。我吃一碗饭。"
"寫中國字很難。<br><br>写中国字很难。xiě zhōng guó zì hěn nán<br><br>Writing Chinese characters is very difficult.","寫中國字很難。写中国字很难。"
"有的外國人不會用筷子。<br><br>有的外国人不会用筷子。yǒu de wài guó rén bù huì yòng kuài zi<br><br>Some foreigners can't use chopsticks.","有的外國人不會用筷子。有的外国人不会用筷子。"
"我只認識一百個中國字，還不能看中文報紙。<br><br>我只认识一百个中国字，还不能看中文报纸。wǒ zhǐ rèn shí yī bǎi gè zhōng guó zì hái bù néng kàn zhòng wén bào zhǐ<br><br>I just know 100 Chinese characters, I still can't read a Chinese newspaper.","我只認識一百個中國字，還不能看中文報紙。我只认识一百个中国字，还不能看中文报纸。"
"你能不能給我們一個湯匙？<br><br>你能不能给我们一个汤匙？nǐ néng bù néng gěi wǒ men yī ge tāng chí<br><br>Could you give us a spoon?","你能不能給我們一個湯匙？你能不能给我们一个汤匙？"
"這個西瓜太大，我不能拿。<br><br>这个西瓜太大，我不能拿。zhè ge xī guā tài dà wǒ bù néng ná<br><br>This watermelon is too big, I can't take it.","這個西瓜太大，我不能拿。这个西瓜太大，我不能拿。"
"一碗飯太多了，我只能吃半碗。<br><br>一碗饭太多了，我只能吃半碗。yī wǎn fàn tài duō le wǒ zhǐ néng chī bàn wǎn<br><br>A whole bowl of rice is too much, I can just heat half a bowl.","一碗飯太多了，我只能吃半碗。一碗饭太多了，我只能吃半碗。"
"現在不可以說英文，只可以說中國話。<br><br>现在不可以说英文，只可以说中国话。<br>xiàn zài bù kě yǐ shuō yīng wén zhǐ kě yǐ shuō zhōng guó huà<br><br>Right now you may not speak English, you may only speak Chinese.","現在不可以說英文，只可以說中國話。现在不可以说英文，只可以说中国话。"
"如果你覺得渴，可以喝杯水<br><br>如果你觉得渴，可以喝杯水。rú guǒ nǐ jué de kě kě yǐ hē bēi shuǐ<br><br>If you feel thirsty, you can drink a glass of water.<br><br>","如果你覺得渴，可以喝杯水如果你觉得渴，可以喝杯水。"
"如果你不喜歡吃豬肉，我們可以吃牛肉。<br><br>如果你不喜欢吃猪肉，我们可以吃牛肉。rú guǒ nǐ bù xǐ huan chī zhū ròu wǒ men kě yǐ chī niú ròu<br><br>If you don't like to eat pork, we can eat beef.","如果你不喜歡吃豬肉，我們可以吃牛肉。如果你不喜欢吃猪肉，我们可以吃牛肉。"
"這本書很好看。<br><br>这本书很好看。zhè běn shū hěn hǎo kàn<br><br>This book is very good.","這本書很好看。这本书很好看。"
"這個小籠包真好吃。<br><br>这个小笼包真好吃。zhè ge xiǎo lóng bāo zhēn hào chī<br><br>This dumpling is really good.<br><br>(xiǎo lóng bāo is a kind of small steamed dumpling)","這個小籠包真好吃。这个小笼包真好吃。"
"那首新歌很難聼。<br><br>那首新歌很难听。nà shǒu xīn gē hěn nán tīng<br><br>This new song sounds terrible.<br><br>(Adding 難/难, meaning 'difficult' before a sensory verb means it is unpleasant to do so.  It is the opposite of putting 好 before the sensory verb.)","那首新歌很難聼。那首新歌很难听。"
"有人說：中國菜好吃，法國酒好喝。<br><br>有人说：中国菜好吃，法国酒好喝。yǒu rén shuō zhōng guó cài hào chī fà guó jiǔ hǎo hē<br><br>Some people say: Chinese food is delicious, French wine is delicious.","有人說：中國菜好吃，法國酒好喝。有人说：中国菜好吃，法国酒好喝。"
"有的中國字好寫，有的中國字不好寫。<br><br>有的中国字好写，有的中国自不好写。yǒu de zhōng guó zì hǎo xiě yǒu de zhōng guó zì bù hǎo xiě<br><br>Some Chinese characters are easy to write, some Chinese characters are not easy to write.","有的中國字好寫，有的中國字不好寫。有的中国字好写，有的中国自不好写。"
"電腦生意不好做。<br><br>电脑生意不好做。diàn nǎo shēng yì bù hǎo zuò<br><br>The computer business is a difficult one to be in.","電腦生意不好做。电脑生意不好做。"
"英文歌好聽，可是很難唱。<br><br>英文歌好听，可是很难唱。yīng wén gē hǎo tīng kě shì hěn nán chàng<br><br>English songs are nice to listen to, but are very hard to sing.","英文歌好聽，可是很難唱。英文歌好听，可是很难唱。"
"這種車太貴了，不好賣。<br><br>这种车太贵了，不好卖。zhè zhǒng chē tài guì le bù hǎo mài<br><br>This kind of car is very expensive, it's impractical to buy one.","這種車太貴了，不好賣。这种车太贵了，不好卖。"
"蘋果好吃還是葡萄好吃？<br><br>苹果好吃还是葡萄好吃？píng guǒ hào chī hái shì pú táo hào chī<br><br>Are apples good or are grapes good?","蘋果好吃還是葡萄好吃？苹果好吃还是葡萄好吃？"
"你想喝啤酒還是想喝果汁?<br><br>你想喝啤酒还是想喝果汁？nǐ xiǎng hē pí jiǔ háishì xiǎng hē guǒ zhī<br><br>Would you like to drink beer or juice?","你想喝啤酒還是想喝果汁?你想喝啤酒还是想喝果汁？"
