მოკითხვა	Greetings	mokit`xva
არარსებული	Non-existent	ararsebuli
გააუქმოს	to cancel	gaauk`mos
არსებული	Existing	arsebuli
არც	Neither	arc`
ერთი	One	ert`i
ხორციელი	Carnal	xorc`ieli
იქადოდეს	To be there	ik`adodes
წინაშე	in front of	cinashe
იმისგან	From that	imisgan
სიბრძნედ	Wisdom	sibrz'ned
ღვთისმიერ	God willing	g'vt`ismier
სიმართლედ	Truthfully	simart`led
განწმედად	For purification	gancmedad
გამოსყიდვად	To redeem	gamosqidvad
როგორც	As	rogorc`
იქადის	Ikkad	ik`adis
უფლით	By right	up`lit`
დაიქადოს	To be praised	daik`ados
ეგონათ	They thought	egonat`
იდგნენ	They stood.	idgnen
მაგრამ	But	magram
დაეცნენ	They fell.	daec`nen
მინდა	I want	minda
ძმებო	Brothers	z'mebo
იცოდეთ	Know	ic`odet`
მამები	Fathers	mamebi
ღრუბელქვეშ	Under the cloud	g'rubelk`vesh
იყვნენ	were	iqvnen
ყველამ	Everyone	qvelam
გაიარა	Passed	gaiara
ზღვაში	In the sea	zg'vashi
მოინათლნენ	They were baptized.	moinat`lnen
მოსეს	Moses	moses
მიერ	by	mier
ღრუბელში	In the cloud	g'rubelshi
ჭამდნენ	They were eating.	chamdnen
იმავე	Of the same	imave
სულიერ	Spiritual	sulier
საჭმელს	Food	sachmels
სვამდნენ	They were drinking.	svamdnen
სასმელს	Drink	sasmels
სულიერი	Spiritual	sulieri
კლდიდან	From the rock	kldidan
თან	with	t`an
დაჰყვებოდა	would follow	dahqveboda
კლდე	Rock	klde
მათგან	From them	mat`gan
უმრავლესობა	Majority	umravlesoba
როდი	Rod	rodi
მოიწონა	Liked	moicona
ისინი	They	isini
უდაბნოში	In the desert	udabnoshi
მაგალითი	Example	magalit`i
შევნატროდეთ	Let's try.	shevnatrodet`
ბოროტს	Evil	borots
შენატროდნენ	They were watching.	shenatrodnen
კერპთაყვანისმცემლები	Idolaters	kerpt`aqvanismc`emlebi
ზოგიერთი	Some	zogiert`i
მათგანი	Of them	mat`gani
დასხდა	Sat down	dasxda
ხალხი	People	xalxi
საჭმელ	Food	sachmel
სასმელად	For a drink	sasmelad
წამოდგნენ	They stood up.	camodgnen
სათამაშოდ	To play	sat`amashod
ნურც	Not even	nurc`
ვიმეძავებთ	We are calling you.	vimez'avebt`
მეძაობდა	He was a prostitute.	mez'aobda
ერთ	One	ert`
ოცდასამი	Twenty-three	oc`dasami
ათასი	thousand	at`asi
კაცი	Man	kac`i
დაეცა	Fell	daec`a
გამოვცდით	Let's try.	gamovc`dit`
უფალს	To the Lord	up`als
ზოგიერთმა	Some	zogiert`ma
მათგანმა	Of them	mat`ganma
გამოსცადა	Tested	gamosc`ada
გველებისაგან	From snakes	gvelebisagan
დაიღუპნენ	They died.	daig'upnen
იდრტვინოთ	To murmur	idrtvinot`
დრტვინავდა	He was muttering.	drtvinavda
შემმუსვრელისაგან	From the destroyer	shemmusvrelisagan
ყოველივე	Everything	qovelive
დაემართათ	Happened to you	daemart`at`
სამაგალითოდ	For example	samagalit`od
აღწერილია	Described	ag'cerilia
დასარიგებლად	To distribute	dasarigeblad
რომლებმაც	who	romlebmac`
მივაღწიეთ	We have achieved	mivag'ciet`
აღსასრულს	At the end	ag'sasruls
ამიტომ	Therefore	amitom
ფიქრობს	thinks	p`ik`robs
დგას	Standing	dgas
იფრთხილოს	Be careful.	ip`rt`xilos
წაიქცეს	They fell.	caik`c`es
შეგმთხვევიათ	Did you happen to know?	shegmt`xveviat`
განსაცდელი	Trial	gansac`deli
ადამიანურისა	Human	adamianurisa
სარწმუნო	Reliable	sarcmuno
დაუშვებს	Will allow	daushvebs
შესაძლებლობაზე	On the opportunity	shesaz'leblobaze
მეტად	Very much	metad
გამოიცადოთ	Let's try it out.	gamoic`adot`
განსაცდელში	In trial	gansac`delshi
გამოსავალსაც	Even the solution	gamosavalsac`
მოგცემთ	I will give you	mogc`emt`
შესძლოთ	Be able to	shesz'lot`
ატანა	To bear	atana
განერიდეთ	Stay away.	ganeridet`
კერპთაყვანისმცემლობას	Idolatry	kerpt`aqvanismc`emlobas
ჩემო	My	ch`emo
საყვარელნო	Beloved	saqvarelno
გონიერებს	Makes sense	gonierebs
გელაპარაკებით	I will talk to you.	gelaparakebit`
თავად	Himself	t`avad
განსაჯეთ	Judge.	gansajet`
რასაც	whatever	rasac`
ვამბობ	I say	vambob
კურთხევის	Blessing	kurt`xevis
სასმისი	Glass	sasmisi
რომელსაც	Which	romelsac`
ვაკურთხებთ	We bless.	vakurt`xebt`
სისხლის	Blood	sisxlis
თანაზიარება	Sharing	t`anaziareba
პური	Bread	puri
ვტეხთ	We break.	vtext`
სხეულის	Body	sxeulis
ერთია	There is one	ert`ia
მრავალნი	Many	mravalni
სხეული	Body	sxeuli
პურიდან	From bread	puridan
ვეზიარებით	We share.	veziarebit`
შეხედეთ	Look.	shexedet`
ისრაელს	Israel	israels
ხორცის	Meat	xorc`is
მიხედვით	According to	mixedvit`
მსხვერპლიდან	From the victim	msxverplidan
ჭამს	Eats	chams
სამსხვერპლოს	Altar	samsxverplos
ზიარნი	Share	ziarni
არიან	Are	arian
მაშ	So	mash
რას	What?	ras
იმას	That	imas
რაიმეა	Is there anything?	raimea
კერპი	Idol	kerpi
რაიმეს	Something	raimes
ნიშნავს	means	nishnavs
ნაკერპავი	Idol	nakerpavi
სწირავენ	They sacrifice.	sciraven
ეშმაკს	The devil	eshmaks
ეშმაკთა	Devils	eshmakt`a
შეგიძლიათ	You can	shegiz'liat`
სვათ	Drink	svat`
ეშმაკის	The devil's	eshmakis
სუფრასაც	Even at the table	sup`rasac`
ეზიაროთ	Share	eziarot`
ნუთუ	Is it?	nut`u
ვბედავთ	We dare.	vbedavt`
განრისხებას	Fury	ganrisxebas
მასზე	On it	masze
ძლიერები	The strong	z'lierebi
ვართ	We are	vart`
ნებადართულია	Allowed	nebadart`ulia
ყველაფერი	Everything	qvelap`eri
სასარგებლო	Useful	sasargeblo
როდია	It's not like that.	rodia
აშენებს	Builds	ashenebs
ეძებოს	to search	ez'ebos
თავის	In his head	t`avis
სარგებელი	Benefits	sargebeli
არავინ	Nobody	aravin
სხვისი	Someone else's	sxvisi
რაც	What	rac`
ბაზარში	At the market	bazarshi
იყიდება	For sale	iqideba
ჭამეთ	Eat.	chamet`
ნურაფერს	Nothing.	nurap`ers
გამოიძიებთ	You will investigate.	gamoiz'iebt`
სინდისის	Of conscience	sindisis
გამო	Because of	gamo
უფლისაა	It belongs to the Lord.	up`lisaa
მიწა	Land	mica
მისი	His/Her	misi
სისავსე	Fullness	sisavse
მიგიწვევთ	I invite you.	migicvevt`
რომელიმე	Any	romelime
ურწმუნოთაგანი	Unbeliever	urcmunot`agani
მოისურვებთ	Would you like to	moisurvebt`
მასთან	With him	mast`an
წასვლას	to go	casvlas
წინ	Forward	cin
დააწყობენ	They will arrange	daacqoben
გეტყვით	I will tell you.	getqvit`
ნაკერპავიაო	It's an idol.	nakerpaviao
ნუ	Don't	nu
შეჭამთ	Will you eat?	shechamt`
მთქმელის	The speaker	mt`k`melis
სინდისს	Conscience	sindiss
შენსას	Yours	shensas
სხვისას	Someone else's	sxvisas
რატომ	Why?	ratom
იქნას	To be seen	ik`nas
განკითხული	Judged	gankit`xuli
თავისუფლება	Freedom	t`avisup`leba
სინდისით	With conscience	sindisit`
მადლიერებით	With gratitude	madlierebit`
ვჭამ	I eat.	vcham
რაღად	Why?	rag'ad
შევიბღალო	I'm tired.	shevibg'alo
იმის	That	imis
რისთვისაც	For what?	rist`visac`
მადლიერი	Grateful	madlieri
ჭამთ	Do you eat?	chamt`
სვამთ	We drink.	svamt`
სხვა	Other	sxva
რამეს	Something	rames
აკეთებთ	Are you doing?	aket`ebt`
აკეთეთ	Do it.	aket`et`
სადიდებლად	To praise	sadideblad
შეურაცხყოფთ	You insult me.	sheurac`xqop`t`
იუდეველებს	To the Jews	iudevelebs
წარმართებს	Pagans	carmart`ebs
ისევე	as well	iseve
მეც	Me too	mec`
ვაამებ	I am flattered.	vaameb
ყველას	Everyone	qvelas
ყველაფერში	In everything	qvelap`ershi
სარგებლობას	Benefit	sargeblobas
ვეძებ	I am looking for	vez'eb
მრავალთათვის	For many	mravalt`at`vis
გადარჩნენ	They survived.	gadarch`nen
თავდახურვა	Head covering	t`avdaxurva
ლოცვისან	Before prayer	loc`visan
წინასწარმეტყველების	Prophecy	cinascarmetqvelebis
დროს	At the time	dros
მომბაძავი	Imitator	mombaz'avi
იყავით	Be	iqavit`
ქრისტესი	Christ	k`ristesi
ამისათვის	For this	amisat`vis
გაქებთ	I praise you.	gak`ebt`
გახსოვართ	Do you remember?	gaxsovart`
ინახავთ	You keep	inaxavt`
მოძღვრებებს	Doctrines	moz'g'vrebebs
გადმოგეცით	I gave it to you.	gadmogec`it`
ასევე	Also	aseve
მამაკაცის	Men's	mamakac`is
თავი	Chapter	t`avi
ქრისტეა	It is Christ.	k`ristea
ცოლის	Wife's	c`olis
ქმარი	Husband	k`mari
მამაკაცი	Male	mamakac`i
თავდაფარული	Covered	t`avdap`aruli
ლოცულობს	Praying	loc`ulobs
წინასწარმეტყველებს	Prophecies	cinascarmetqvelebs
თავს	myself	t`avs
ირცხვენს	He is ashamed.	irc`xvens
დედაკაცი	Woman	dedakac`i
თავდაუფარავი	Selfless	t`avdaup`aravi
იგივეა	It's the same.	igivea
გადაპარსული	Shaved	gadaparsuli
დაიფარავს	Will cover	daip`aravs
გადაიპარსოს	To shave	gadaiparsos
დედაკაცს	To the woman	dedakac`s
რცხვენია	It's embarrassing.	rc`xvenia
გაკრეჭილი	Shaved	gakrechili
ამგვარად	Thus	amgvarad
მამაკაცმა	The man	mamakac`ma
მართლაც	Really	mart`lac`
უნდა	I must	unda
დაიფაროს	To cover	daip`aros
ის	He/She	is
ხატება	Icon	xateba
დიდებაა	It is a glory.	didebaa
ცოლი	Wife	c`oli
ქმრის	Husband's	k`mris
დედაკაცისაგან	From a woman	dedakac`isagan
მამაკაცისაგან	From a man	mamakac`isagan
შექმნილა	Created	shek`mnila
დედაკაცის	Woman's	dedakac`is
გულისათვის	For the sake of the heart	gulisat`vis
ვალდებულია	obliged	valdebulia
თავზე	On top	t`avze
ჰქონდეს	to have	hk`ondes
ხელმწიფების	Government	xelmcip`ebis
ნიშანი	Sign	nishani
ანგელოზების	Of angels	angelozebis
თუმცა	However	t`umc`a
ქმარია	He is a husband.	k`maria
გარეშე	Without	gareshe
ცოლია	Wife	c`olia
უფალში	In the Lord	up`alshi
მამაკაციც	Men too	mamakac`ic`
მეოხებით	With my friends	meoxebit`
ღვთისაგან	From God	g'vt`isagan
თვითონ	Himself	t`vit`on
შეშვენის	Decorate	sheshvenis
თავდაუფარავად	Without shelter	t`avdaup`aravad
ლოცვა	Prayer	loc`va
ანდა	Or	anda
თვით	Self	t`vit`
ბუნებაც	Nature too	bunebac`
გასწავლით	I will teach you.	gascavlit`
გრძელთმიანობა	Long hair	grz'elt`mianoba
სამარცხვინოა	It's shameful.	samarc`xvinoa
მისთვის	For him/her	mist`vis
გრძელი	Long	grz'eli
თმა	Hair	t`ma
მას	To him	mas
საბურველის	Saburveli	saburvelis
ნაცვლად	Instead of	nac`vlad
აქვს	has	ak`vs
მიცემული	Given	mic`emuli
განიზრახავს	intends	ganizraxavs
იდაოს	Idaho	idaos
გვაქვს	We have	gvak`vs
ასეთი	Such	aset`i
ჩვეულება	Custom	ch`veuleba
ეკლესიებს	Churches	eklesiebs
სერობის	Dinner	serobis
წესრიგისათვის	For order	cesrigisat`vis
ამას	This	amas
გამცნებთ	I will introduce you.	gamc`nebt`
იკრიბებით	We are gathering.	ikribebit`
უმჯობესისათვის	For the better	umjobesisat`vis
უარესისათვის	For the worse	uaresisat`vis
ჯერ	First	jer
გაგებული	Understood	gagebuli
მაქვს	I have	mak`vs
როცა	When	roc`a
ეკლესიად	As a church	eklesiad
დაყოფა	Division	daqop`a
არსებობს	There is	arsebobs
ნაწილობრივ	Partially	nacilobriv
ვუჯერებ	I believe it.	vujereb
აზრთა	Thoughts	azrt`a
სხვაობაც	The difference too	sxvaobac`
გამოჩნდნენ	They appeared.	gamoch`ndnen
გამოცდილნი	Experienced	gamoc`dilni
სერს	Sir	sers
წინასწარ	in advance	cinascar
საკუთარ	On your own	sakut`ar
ზოგი	Some	zogi
მშიერია	Hungry	mshieria
მთვრალი	Drunk	mt`vrali
სახლები	Houses	saxlebi
გაქვთ	Do you have	gak`vt`
იქ	There	ik`
ჭამოთ	To eat	chamot`
უგულებელყოფთ	Ignore	ugulebelqop`t`
არცხვენთ	Shame on you.	arc`xvent`
უქონელთ	For the have-nots	uk`onelt`
რა	What	ra
გითხრათ	to tell you	git`xrat`
შეგაქოთ	To praise you	shegak`ot`
მივიღე	I received	mivig'e
უფლისაგან	From the Lord	up`lisagan
თქვენც	You too	t`k`venc`
უფალმა	The Lord	up`alma
იესომ	Jesus	iesom
იმ	That	im
ღამეს	At night	g'ames
გაიცემოდა	It would be issued	gaic`emoda
აიღო	took	aig'o
შესწირა	Sacrificed	shescira
გატეხა	Broke	gatexa
თქვა	said	t`k`va
მიიღეთ	Get it	miig'et`
დამტვრეული	Broken	damtvreuli
ჩემს	My	ch`ems
მოსაგონრად	To remind you	mosagonrad
ასწია	Lifted	ascia
სასმისიც	Even if you hear it.	sasmisic`
შემდეგ	Then	shemdeg
ახალი	New	axali
აღთქმაა	It is a promise.	ag't`k`maa
სისხლში	In the blood	sisxlshi
რამდენჯერაც	How many times?	ramdenjerac`
სვამდეთ	Let's drink.	svamdet`
ყოველთვის	Always	qovelt`vis
პურს	Bread	purs
სასმისს	To hear	sasmiss
აუწყეთ	Tell them.	aucqet`
სიკვდილი	Death	sikvdili
ვიდრე	than	vidre
მოვიდოდეს	They will come.	movidodes
შეჭამს	Will eat	shechams
დალევს	Will drink	dalevs
უღირსად	Unworthily	ug'irsad
დამნაშავე	Guilty	damnashave
იქნება	There will be	ik`neba
სხეულისა	Of the body	sxeulisa
ადამიანმა	The person	adamianma
გამოსცადოს	to test	gamosc`ados
ასე	So	ase
ჭამოს	To eat	chamos
შესვას	To eat	shesvas
სასმისიდან	From the glass	sasmisidan
სვამს	Drinks	svams
დაგმობას	Condemnation	dagmobas
არჩევს	Chooses	arch`evs
სხეულს	To the body	sxeuls
ამის	This	amis
ბევრია	There are many.	bevria
უძლური	Powerless	uz'luri
ავადმყოფი	Sick	avadmqop`i
ბევრიც	Many too	bevric`
მოკვდა	Died	mokvda
თვითონვე	By yourself	t`vit`onve
განგვეკითხა	We were questioned.	gangvekit`xa
აღარ	no longer	ag'ar
ვიქნებოდით	We would be	vik`nebodit`
მსჯავრდადებულნი	Convicted	msjavrdadebulni
ვიწვრთნებით	We are training.	vicvrt`nebit`
სოფელთან	Near the village	sop`elt`an
ვიყოთ	Let's be	viqot`
შეიკრიბებით	We will gather.	sheikribebit`
საჭმელად	To eat	sachmelad
ერთიმეორეს	One another	ert`imeores
დაელოდეთ	Wait.	daelodet`
ვინმეს	Someone	vinmes
შიოდეს	Shiodes	shiodes
სახლში	At home	saxlshi
მსჯავრის	Conviction	msjavris
დასადებად	To be placed	dasadebad
შეიკრიბოთ	Gather together.	sheikribot`
დანარჩენს	The rest	danarch`ens
მოვალ	I will come.	moval
მაშინ	Then	mashin
მოვაგვარებ	I will solve it.	movagvareb
სხვადასხვანაირია	It's different.	sxvadasxvanairia
სული	Soul	suli
ახლა	Now	axla
ნიჭზე	On talent	nichze
უცოდინარნი	Ignorant	uc`odinarni
იცით	Do you know?	ic`it`
როდესაც	When	rodesac`
წარმართები	Pagans	carmart`ebi
უტყვ	Untitled	utqv
კერპებთან	With idols	kerpebt`an
დადიოდით	You were walking.	dadiodit`
თითქოს	As if	t`it`k`os
ვიღაც	Someone	vig'ac`
გეწეოდათ	You were smoking.	geceodat`
გაუწყებთ	I will inform you.	gaucqebt`
ვერავინ	Nobody	veravin
სულით	With soul	sulit`
ლაპარაკობს	Speaks	laparakobs
იტყვის	will say	itqvis
შეჩვენებულიაო	It's cursed.	shech`venebuliao
არავის	Nobody	aravis
შეუძლია	Can	sheuz'lia
უფალი	Lord	up`ali
უწოდოს	to call	ucodos
იესოს	Jesus	iesos
სულიწმიდით	By the Holy Spirit	sulicmidit`
მსახურებანიც	Also servants	msaxurebanic`
მოქმედებანიც	Actions too	mok`medebanic`
ამოქმედებს	Will take effect	amok`medebs
ყველაში	In everyone	qvelashi
თითოეულს	To each one	t`it`oeuls
ეძლევა	It is given	ez'leva
სულის	Soul	sulis
გამოვლინება	Manifestation	gamovlineba
სასიკეთოდ	For the good	sasiket`od
ერთს	One	ert`s
სიბრძნის	Wisdom	sibrz'nis
მეორეს	The other one	meores
ცოდნის	Knowledge	c`odnis
ზოგს	Some	zogs
რწმენა	Faith	rcmena
განკურნებათა	Healing	gankurnebat`a
სასწაულთმოქმედება	Miracles	sascault`mok`medeba
წინასწარმეტყველება	Prophecy	cinascarmetqveleba
სულების	Of souls	sulebis
გარჩევა	Distinguish	garch`eva
სხვადასხვა	Miscellaneous	sxvadasxva
ენები	Languages	enebi
ენების	Languages	enebis
განმარტება	Definition	ganmarteba
აკეთებს	does	aket`ebs
იგივე	The same	igive
საკუთრივ	Actually	sakut`riv
უნაწილებს	Shares	unacilebs
ნებავს	I wish.	nebavs
ქრისტესია	Christ's	k`ristesia
მრავალი	Many	mravali
ასო	Letter	aso
ბევრნი	Many	bevrni
სხეულია	It is a body.	sxeulia
ასევეა	It is the same.	asevea
ქრისტეც	Christ too	k`ristec`
მოვინათლეთ	We were baptized.	movinat`let`
სხეულად	In body	sxeulad
იუდეველები	Jews	iudevelebi
ელინები	Hellenes	elinebi
მონები	Slaves	monebi
თავისუფლები	Free	t`avisup`lebi
გვისვამს	He drinks.	gvisvams
სხეულიც	The body too	sxeulic`
ფეხმა	By foot	p`exma
ხელი	Hand	xeli
ვეკუთვნიო	I belong to	vekut`vnio
ეკუთვნის	Belongs to	ekut`vnis
ყურმა	Ear	qurma
თვალი	Eye	t`vali
მთელი	Whole	mt`eli
თვალია	It is an eye.	t`valia
სადღაა	Where is it?	sadg'aa
სმენა	Hearing	smena
სმენაა	Hearing is	smenaa
ყნოსვა	Smell	qnosva
აჰა	Look	aha
განალაგა	Arranged	ganalaga
ასოები	Letters	asoebi
სხეულში	In the body	sxeulshi
თითოეული	Each	t`it`oeuli
ნებავდა	He/She/It would be nice.	nebavda
სადღა	Where?	sadg'a
ეტყვის	Will tell	etqvis
ხელს	Hand	xels
მჭირდებიო	I need you.	mchirdebio
ვერც	Neither	verc`
ფეხს	Foot	p`exs
მჭირდებითო	I need you.	mchirdebit`o
რომლებიც	which	romlebic`
ყველაზე	Most	qvelaze
ჩანან	Seem	ch`anan
უფრო	More	up`ro
საჭირონი	Necessary	sachironi
ნაკლებ	less	nakleb
საპატიოდ	In honor of	sapatiod
გვეჩვენება	It seems to us	gvech`veneba
უხვად	Abundantly	uxvad
გარემოვიცავთ	We surround ourselves	garemovic`avt`
პატივით	With respect	pativit`
უსახურთ	Faceless	usaxurt`
აქვთ	They have	ak`vt`
სახიერება	Kindness	saxiereba
სახიერებს	Good luck	saxierebs
სჭირდებათ	They need	schirdebat`
პატივი	Honor	pativi
შეაზავა	Mixed	sheazava
უხვი	Abundant	uxvi
არგუნა	Arguna	arguna
ნაკლებად	Less	naklebad
ერთნაირად	In the same way	ert`nairad
ზრუნავდეს	To take care of	zrunavdes
სხვაზე	On another	sxvaze
იტანჯება	Suffering	itanjeba
დიდებას	Glory	didebas
