鼓舞人心的	encouraging
算命先生	fortune-teller
第五十二	fifty-second
第二十五	twenty-fifth
第二十三	twenty-third
第二十七	twenty-seventh
第三十六	thirty-sixth
第三十八	thirty-eighth
第三十五	thirty-fifth
第三十二	thirty-second
第三十九	thirty-ninth
第三十七	thirty-seventh
第三十一	thirty-first
立足之地	foothold
立在那裡	throngs
穿著涼鞋	sandaled
稱霸一方	lording
稅收徵收	tax-collection
稀里嘩啦	splinters
移情別戀	faithless
科林蒂安	Corinthians
示米拉末	Shemiramoth
示法提雅	Shephatiah
示利米雅	Shelemiah
破壞性的	devastating
瞥了一眼	glanced
看跌期權	puts
直截了當	straightforward
目瞪口呆	stunned
目中無人	defiant
盆滿缽滿	pours
皮西迪亞	Pisidia
皮膚光滑	smooth-skinned
的災害中	devastations
白色挑染	white-streaked
發育不良	stunted
發生衝突	clashed
發出噓聲	hissed
發人深省	provoking
癲癇發作	seizures
痛改前非	repentant
異端邪說	heresies
異國情調	exotic
男性親屬	kinsman
男子氣概	manhood
由來已久	long-standing
生育能力	fertility
生產廠家	manufacturer
生生不息	ever-flowing
瓢潑大雨	downpour
瑪拉基書	Malachi
瑪士利加	Masrekah
瑪土撒拉	Methuselah
瑪他提亞	Mattathias
理直氣壯	righteously
理所當然	granted
珠光寶氣	jeweled
猶太教堂	synagogues
狼吞虎咽	gorging
犯罪分子	offender
物物交換	barter
牢不可破	unbreakable
牛角撞傷	gored
爬行動物	reptiles
燈紅酒綠	feasting
煽動叛亂	sedition
無論如何	anyway
無罪釋放	acquitted
無痛人流	painless
無法無天	lawlessness
無法忍受	unbearably
無法忍受	intolerable
無法形容	unspeakable
無法形容	inexpressible
無法形容	indescribable
無所畏懼	fearlessly
無意義的	meaningless
無家可歸	homelessness
無家可歸	homeless
無可指責	blameless
無人盯防	unmarked
烏合之眾	rabble
為期三天	three-day
為情所困	lovesick
灰頭土臉	disgraced
潘菲利亞	Pamphylia
漫不經心	unconcern
漠不關心	unconcerned
漠不關心	indifference
滿目瘡痍	devastated
準備就緒	readiness
游牧民族	nomads
海風吹拂	windswept
流離失所	displaced
洛尼克斯	Andronicus
洗劫一空	ransacked
洗劫一空	looted
泰蘭努斯	Tyrannus
注意事項	precautions
注意事項	attentions
波浪狀的	wavy
法律顧問	counsel
法利賽人	Pharisee
沙本人以	Eliahba
沒頭沒腦	unthinking
沒有愛心	unloving
沒有受傷	unhurt
沒完沒了	never-ending
江湖醫生	quacks
求賢若渴	thirsting
永不褪色	unfading
氣吁吁的	panting
毫髮無損	unscathed
毫無疑問	doubtless
毗他希雅	Pethahiah
比較喜歡	prefer
比蒂亞亞	Bithiah
比提尼亞	Bithynia
比扎萊爾	Bezalel
比尼亞幹	Bene-jaakan
比利洗人	Perizzites
比亞利雅	Bealiah
每月一次	monthly
殘羹剩飯	leftovers
死記硬背	rote
死氣沉沉	lifeless
死亡纏繞	death-wound
歷史學家	historian
歡欣鼓舞	rejoiced
歐布洛斯	Eubulus
歐尼西慕	Onesimus
格拉森人	Gadarenes
朱利葉斯	Julius
本·奧尼	Ben-oni
未受割禮	uncircumcised
期待已久	awaited
服務承諾	pledges
有說服力	persuasively
有聲有色	impressive
有義務的	obliged
有經驗的	experienced
有組織的	organized
有吸引力	attractive
有名無實	figurehead
有同情心	sympathetic
最聰明的	smartest
最純淨的	purest
最明智的	wisest
最強大的	mightiest
最年輕的	youngest
最佳裝備	best-equipped
替代對象	Replaces
曾經荒涼	once-desolate
曷哈及甲	Hor-haggidgad
星光燦爛	starry
昏昏欲睡	drowsy
明目張膽	flagrant
明目張膽	brazenly
日益減少	dwindling
斑紋灰色	dappled-gray
敬畏上帝	God-fearing
敘利亞的	Syrian
攻破以雲	Ijon
收穫時間	harvesttime
撲朔迷離	confusing
撒都該人	Sadducees
撒縵以色	Shalmaneser
撒瑪利亞	Samaritans
撒瑪利亞	Samaritan
撒瑪利亞	Samaria
撒弗提迦	Sabteca
搖擺不定	wavering
搖搖欲墜	shaky
插科打諢	gag
提供服務	served
推雅推喇	Thyatira
振奮人心	exalting
指指點點	carted
持之以恆	persevere
拉美西斯	Rameses
拉扎勒斯	Lazarus
扶正祛邪	rousing
扣人心弦	exciting
托勒梅斯	Ptolemais
打個噴嚏	sneezed
手足情誼	brotherhood
手無寸鐵	defenseless
手工製造	handmade
所有消費	all-consuming
我們自己	ourselves
成群結隊	droves
戈蘭高地	Golan
懸而未決	unanswered
慶祝活動	festivities
慶祝活動	celebrations
慈善機構	charity
愛發牢騷	grumblers
想個辦法	outnumber
惡魔附身	demon-possessed
悲慟欲絕	grief-stricken
性急的人	hothead
思想生活	thought-life
快樂瘋狂	pleasure-crazy
忘恩負義	unthankful
忘恩負義	ungrateful
心地善良	good-hearted
德魯塞拉	Drusilla
德米特里	Demetrius
微不足道	insignificant
得出結論	conclude
強制實施	enforces
強制執行	enforced
弗里吉亞	Phrygia
弗里伯恩	freeborn
引人注目	striking
幾乎沒有	scarcely
幸災樂禍	gloated
幸災樂禍	gloat
平板電腦	tablets
帕特莫斯	Patmos
希羅天安	Herodion
希伯來語	Hebrew
希伯來書	Hebrews
布魯克斯	brooks
巴魯米人	Arbathite
巴比倫人	Babylonians
巴末巴力	Bamoth-baal
巴旦亞蘭	Paddan-aram
巴施戶珥	Pashhur
巴拉啤酒	Baalath-beer
巴塞洛繆	Bartholomew
巴力米恩	Baal-meon
巴力洗分	Baal-zephon
巴力毗珥	Baal-peor
巴力夏瑣	Baal-hazor
巴力哈蒙	Baal-hamon
巴力哈南	Baal-hanan
尼陀法人	Netophathites
尼陀法人	Netophah
尼希米記	Nehemiah
尼姆羅德	Nimrod
尼卡諾爾	Nicanor
尼亞波利	Neapolis
尚美學園	Shobi
尚未收割	unharvested
尖酸刻薄	vinegar
少走彎路	detours
少年時代	boyhood
尋歡作樂	merrymakers
將軍朔法	Shobach
實瑪利人	Ishmaelite
寡婦身份	widowhood
宣誓就職	sworn
宣誓就職	swearing
客西馬尼	Gethsemane
完整無缺	uncut
安菲波利	Amphipolis
安然無恙	unharmed
孩子似的	childlike
始終如一	consistently
如假包換	disguising
奴隸妻子	slave-wife
奴隸制度	slavery
女兒女婿	daughters-in-law
奧思尼爾	Othniel
夷為平地	leveled
失而復得	regained
大馬士革	Damascus
大風力量	gale-force
大規模的	massive
大搖大擺	strutted
大呼小叫	yelling
大口大口	gulps
多霧路段	fog
多數情況	inmost
士氣低落	demoralized
士氣低落	demoralize
塵土飛揚	dusty
塞浦路斯	Cyprus
塔特納伊	Tattenai
堅不可摧	impregnable
基瑪利雅	Gemariah
基希拉他	Kehelathah
基尼洗人	Kenizzites
基大老瑪	Kedorlaomer
基利波安	Gilboa
基列雅比	Jabesh-gilead
基列耶琳	Kiriath-jearim
基列耶琳	Jearim
埃萊亞薩	Eleazar
埃涅阿斯	Aeneas
埃比尼澤	Ebenezer
埃利烏德	Eliud
埃利沙巴	Elisheba
垂頭喪氣	dejected
坦率地說	frankly
圓形劇場	amphitheater
四分之一	one-fourth
嘲笑不已	scoffed
嘆了口氣	sighed
喝酒失控	guzzle
喜出望外	overjoyed
喋喋不休	nagged
喇叭播放	trumpet-playing
問心無愧	unashamed
哈馬瑣巴	Hamath-zobah
哈薩蘇塞	Hazar-susah
哈薩瑪非	Hazarmaveth
哈薩書亞	Hazar-shual
哈薩恩安	Hazar-enan
哈薩亞達	Hazar-addar
哈納尼雅	Hananiah
哈沙比雅	Hashabiah
哈大底謝	Hadadezer
哈利路亞	Hallelujah
咬牙切齒	gnashing
呼嘯而過	howls
呂底亞人	Lydians
吸引人的	appealing
吵吵嚷嚷	loudmouthed
含情脈脈	lovingly
同負一軛	yoked
同性戀者	homosexuals
合作夥伴	co-workers
合不攏嘴	crowed
可悲的是	sadly
可以預見	predictably
只有我們	Justus
古實人以	Ebed
取消資格	disqualified
反應遲鈍	unresponsive
厚顏無恥	brazen
印象深刻	impressed
卓有成效	fruitful
半蒲式耳	half-bushel
半生不熟	half-baked
午餐時間	lunchtime
十字路口	crossroads
十分之一	one-tenth
十二盎司	twelve-ounce
勢不可擋	irresistibly
勞迪西亞	Laodicea
勞苦功高	toiled
勞斯萊斯	rolls
加拉太書	Galatians
劍拔弩張	rattling
劈裡啪啦	crackling
剪切雅述	Shear-jashub
利哈比雅	Rehabiah
別有用心	ulterior
分期付款	installment
分支機構	branches
出埃及記	exodus
凱撒利亞	Caesarea
冠冕堂皇	high-sounding
再次奉獻	rededicate
其樂融融	enjoyable
全軍覆沒	annihilated
內蓋夫沙	Negev
兒子媳婦	sons-in-law
克雷森斯	Crescens
克里特島	Crete
克萊門特	Clement
克勞迪婭	Claudia
充分澆水	well-watered
元氣大傷	sapped
優柔寡斷	indecision
儘管如此	Nonetheless
傷痕累累	bruised
傳染性的	contagious
傑霍里布	Jehoiarib
傑赫卡爾	Jehucal
偷竊行為	stealing
偷偷摸摸	sneaky
偶像崇拜	idolatry
保護程序	saver
俄別以東	Obed-edom
供認不諱	confessed
來來往往	fro
使人信服	convincing
作為一個	Asa
何達威雅	Hodaviah
低三下四	cringe
伯陀迦瑪	Beth-togarmah
伯艾澤爾	Beth-ezel
伯提沙撒	Belteshazzar
伯安娜特	Beth-anath
伯伊甸園	Beth-eden
伯他普亞	Beth-tappuah
伯亞拉巴	Beth-arabah
伊麗莎白	Elizabeth
伊曼紐爾	Immanuel
伊施米萊	Ishmerai
伊施巴力	Eshbaal
伊斯拉希	Izrahiah
伊壁鳩魯	Epicurean
伊卡博德	Ichabod
伊勒哈難	Elhanan
伊利里亞	Illyricum
伊利烏賽	Eluzai
任何時候	anytime
以馬忤斯	Emmaus
以貨易貨	bartered
以色列人	Israelites
以法他人	Ephrathites
以弗所書	Ephesians
以實瑪利	Ishmaelites
以實瑪利	Ishmael
以利法列	Eliphelet
以利書亞	Elishua
以利拿單	Elnathan
以利亞敬	Eliakim
令人費解	puzzling
令人沮喪	discouraging
令人欽佩	admirable
令人欣慰	reassuring
令人擔憂	worrying
令人垂涎	coveted
令人作嘔	sickening
令人作嘔	revolting
令人不安	troubling
他們自己	themselves
他伯利們	Tabrimmon
什麼時候	when
什一奉獻	tithing
人頭攢動	thronged
人手不足	underhanded
人口調查	census
人口稠密	populated
人亞希暖	Ahinoam
交易市場	marketplaces
亞米拿達	Amminadab
亞瓦底人	Arvadites
亞比米勒	Abimelech
亞比瑪利	Abimael
亞比挪庵	Abinoam
亞比拿達	Abinadab
亞比央常	Abijam
亞比以謝	Abiezer
亞比亞撒	Abiasaph
亞歷山大	Alexandrian
亞歷山大	Alexandria
亞歷山大	Alexander
亞斯瑪威	Azmaveth
亞斯他錄	Ashtoreths
亞斯他錄	Ashtaroth
亞撒利雅	Azariah
亞摩利人	Amorite
亞得米勒	Adrammelech
亞希米勒	Ahimelech
亞希瑪斯	Ahimaaz
亞希沙哈	Ahishahar
亞希多弗	Ahithophel
亞多萊音	Adoraim
亞哈隨魯	Ahasuerus
亞利馬太	Arimathea
亞伯皂莢	Abel-shittim
亞伯拉罕	Abraham
亞伯尼歌	Abednego
五分之四	four-fifths
五分之三	three-fifths
五分之一	one-fifth
互不侵犯	nonaggression
事與願違	backfires
乃示利希	Shilhi
世界末日	Armageddon
不顧一切	recklessly
不重要的	trivial
不義之財	ill-gotten
不知所措	bewildered
不知何故	somehow
不法分子	outlaws
不斷擴大	ever-widening
不斷增加	ever-increasing
不寒而栗	shudder
不寒而栗	shivers
不孕不育	infertility
不堪重負	overwhelmed
不堪忍受	unbearable
不合理的	irrational
不可救藥	incurable
不可撤銷	irrevocable
不可接受	unacceptable
不受干擾	undisturbed
三重編織	triple-braided
三管齊下	three-pronged
三分之二	Two-thirds
三分之一	one-third
七嘴八舌	rushes
一心一意	undivided
一心一意	intently
一審宣判	verdicts
一夜暴富	flourishes
一塵不染	spotless
一同熬煮	scepters
一半份額	half-share
黛博拉	Deborah
黎巴嫩	Lebanon
黃銅匠	brazier
麵包店	bakery
麥比拉	Machpelah
魯弗斯	Rufus
魯埃爾	Reuel
魔術師	magicians
魔術師	magician
魔法師	enchanter
高質量	high-quality
高腳杯	goblets
高腳杯	goblet
驅逐艦	destroyers
驅逐艦	destroyer
驅動器	drives
騙人的	deceptive
騎著車	rode
馬耳他	Malta
馬沙爾	Mashal
馬杜克	Marduk
馬加丹	Magadan
馬其頓	Macedonian
馬其頓	Macedonia
飛行員	pilot
顯示器	displays
顯然地	apparently
顫抖的	quavering
顫巍巍	tottering
類人猿	apes
領導者	leaders
預謀的	premeditated
預言的	prophetic
預言家	seers
預言家	prophet
預言：	foresees
順風車	hitched
音樂家	musicians
音樂家	musician
革迦撒	Girgashites
革流巴	Cleopas
靠不住	untrustworthy
靠不住	unreliable
非洲人	African
非法的	illegitimate
非宗教	irreligious
非利士	Philistia
青蔥的	lush
青春的	youthful
青少年	youths
青少年	youngster
霸王鞭	rattle
霍瑟姆	Hotham
雷鳴的	thundering
雷米爾	Lemuel
雷切爾	Rachel
難得的	hard-won
離合器	clutches
離合器	clutch
雙角的	two-horned
雙胞胎	twins
雙胞胎	twin
雕刻機	engraver
集電極	collector
集裝箱	containers
集線器	hubs
雅非亞	Japhia
雅比斯	Jabez
雅朔班	Jashobeam
雅提珥	Jattir
雅挪哈	Janoah
雅弗勒	Japhlet
雅哈悉	Jahaziel
隱基底	En-gedi
陰謀家	schemers
陰謀家	conspirators
陰涼處	shade
陌生人	strangers
陌生人	stranger
附魔師	enchanters
陀迦瑪	Togarmah
陀斐特	Topheth
阿齊扎	Aziza
阿馬薩	Amasa
阿馬納	Amana
阿馬德	Amad
阿里爾	Ariel
阿邁勒	Amal
阿達爾	Addar
阿迪娜	Adina
阿貝爾	Abel
阿謝爾	Asher
阿詩瑪	Ashima
阿蘇巴	Azubah
阿莫斯	Amos
阿荷拉	Oholah
阿索斯	Assos
阿納尼	Anani
阿皮安	Appian
阿爾頓	Ardon
阿爾蒙	Almon
阿比當	Abidan
阿比林	Abilene
阿比德	Abihud
阿林巴	Olympas
阿斯旺	Aswan
阿拉德	Arad
阿拉姆	Aramaic
阿拉伯	Arabia
阿拉伯	Arab
阿扎茲	Azaz
阿德萊	Adlai
阿德納	Adna
阿帕德	Arpad
阿巴頓	Abaddon
阿巴納	Abana
阿尼安	Aniam
阿寒湖	Akan
阿姆農	Amnon
阿基姆	Akim
阿古爾	Agur
阿卡德	Akkad
阿卜達	Abda
阿卜迪	Abdi
阿博拿	Abronah
阿克爾	Achor
阮經天	Ethan
開玩笑	joking
開玩笑	fun
開心果	pistachio
閃亮的	shining
長槍兵	spearmen
長方形	rectangular
長大的	grown
鑄造廠	foundry
錫克爾	shekel
錄音機	recorder
鋪地毯	carpeted
銳利的	sharpest
銥示麥	Ir-shemesh
銀行家	bankers
針線活	sewing
金合歡	acacias
野薔薇	brier
重要性	importance
重大的	major
里茲帕	Rizpah
部落的	tribal
邁凱亞	Micaiah
邁克爾	Michael
邀請函	invitations
避風港	Havens
避風港	haven
避難所	sanctuary
避難所	sanctuaries
避難所	refuge
選擇器	picker
遮陽篷	awnings
遭天譴	sacrilegious
適時地	duly
違法者	Wrongdoers
達爾達	Darda
過路費	tolls
過路人	passerby
過時的	obsolete
運營商	carriers
運動員	athletes
運動員	athlete
逾越節	Passover
進一步	further
連衣裙	dress
連接的	connected
通行證	passes
追隨者	followers
追求的	pursued
迫擊砲	mortars
迦百農	Capernaum
迦特人	Gittite
迦步勒	Cabul
迦得人	Gadites
迦巴魯	Kebar
辯護人	defender
辦公室	office
辦事處	offices
轟隆隆	thundered
輻射的	radiant
輸卵管	Tubal
輕輕的	softly
較差的	poor
軍械庫	armory
跑步者	runner
超自然	supernatural
起重機	crane
赫爾蒙	Hermon
赫宰恩	Hezion
賽勒斯	Cyrus
賠償金	compensation
賈里德	Jared
賈卡恩	Jaakan
貿易商	traders
費解的	impenetrable
費力地	strenuously
貸款人	lenders
貸款人	lender
買回者	redeemers
貝絲車	Beth-car
貝克爾	Beker
貓頭鷹	Owls
貓頭鷹	owl
貓頭鷹	nighthawk
豐富的	teeming
豐富地	richly
豐富地	abundantly
豎琴師	harpists
讚美詩	hymns
讓我們	lets
變色龍	chameleon
警衛室	guardroom
謝爾蓋	Sergius
請願書	petitions
請享用	enjoy
諂媚的	flattering
調味料	seasoning
誹謗者	slanderers
誹謗的	slanderous
說謊者	liar
說服力	persuasive
說服了	persuaded
誘人的	tempting
誘人的	inviting
認真地	seriously
詹姆士	James
該亞法	Caiaphas
評議會	council
評論家	critic
詐騙者	racketeers
許米乃	Hymenaeus
許多色	many-colored
許可證	permits
許可證	permit
設計師	designers
設巴薩	Sheshbazzar
討厭的	loathsome
計數器	counters
計數器	counter
親戚們	relatives
親愛的	dearest
覆蓋物	coverings
西西拉	Sisera
西萊雅	Seraiah
西羅亞	Siloam
西班牙	Spain
西法瓦	Sepharvaim
西提利	Sithri
西庇太	Zebedee
西巴第	Zebadiah
西乃山	Sinai
複製品	replica
製造業	manufacturing
製造商	makers
製成的	manufactured
製作者	maker
被驅逐	evicted
被禁止	prohibited
被禁止	forbidden
被忽視	unnoticed
被定罪	convicted
表兄弟	cousins
行政的	administrative
融化了	melted
蜘蛛網	spiderweb
蛾摩拉	Gomorrah
蛇咬傷	snakebites
虔誠的	prayerful
虔誠的	devout
蘇珊娜	Susanna
藏紅花	saffron
藍寶石	sapphires
藍寶石	sapphire
薩里德	Sarid
薩迪斯	Sardis
薩莫斯	Samos
薩爾貢	Sargon
薩爾瑪	Salma
薩利姆	Salim
薛西斯	Xerxes
蓋烏斯	Gaius
蓄水池	cisterns
蒸餾出	distills
蒲式耳	bushels
蒲式耳	bushel
蒂莫西	Timothy
蒂科阿	Tekoa
葡萄酒	wines
葡萄藤	grapevines
葡萄藤	grapevine
葡萄園	vineyards
葡萄園	vineyard
葡萄乾	raisins
葡萄乾	raisin
萊納斯	Linus
菲科爾	Phicol
菲利普	Philip
華麗的	magnificent
華麗地	splendidly
莫須有	groundless
莫里亞	Moriah
莫迪凱	Mordecai
莎菲拉	Sapphira
莎樂美	Salome
莉迪亞	Lydia
荒涼的	godforsaken
艾麗卡	Elika
艾薩克	Isaac
艾哈佛	Ahava
航海的	seafaring
舒服的	comfortless
舍伯那	Shebna
舉起的	upraised
致富快	get-rich-quick
自重大	self-important
自白書	confession
自由化	freeing
自信心	self-confidence
自主性	voluntary
膚淺的	skin-deep
腳丫子	foot
腓理徒	Philetus
腓尼基	Phoenician
腓尼基	Phoenicia
腓利門	Philemon
腐敗地	corruptly
背靠背	back-to-back
背叛者	betrayer
聽起來	sounding
聯盟的	allied
聯合的	united
耶羅罕	Jeroham
耶篩亞	Jeshaiah
耶特賴	Jeatherai
耶烏施	Jeush
耶洗別	Jezebel
耶母利	Jemuel
耶書亞	Jeshua
耶斯列	Jezreel
耶拉篾	Jerahmeelites
耶弗他	Jephthah
耶布斯	Jebus
耶利米	Jeremiah
耶利摩	Jerimoth
耶利摩	Jeremoth
耶何耶	Joiada
耐心地	patiently
而不管	regardless
者禁用	forbids
老齡化	graying
翻譯員	interpreter
翻筋斗	tumbling
習慣性	customary
美聯儲	fed
美味的	delicious
羊剪毛	sheep-shearing
羅馬書	Romans
羅基琳	Rogelim
置信度	confidence
罕見的	rarer
繼承者	heir
繼承人	Heres
繼承人	heirs
繼任者	successors
繪圖儀	plotters
織布機	loom
縞瑪瑙	onyx
編譯過	complied
綠色的	grassy
綠玉髓	chrysoprase
綠松石	turquoise
綁架者	Kidnappers
統治者	rulers
統治者	ruler
絕望地	hopelessly
結構體	structure
紹洛伊	Sallai
細布業	Shebuel
累死了	worn-out
索帕特	Sopater
索多瑪	Sodom
紙莎草	papyrus
納斐塔	Naphtali
紅寶石	rubies
約雅金	Joiakim
約雅達	Jehoiada
約雅斤	Jehoiachin
約阿施	Joash
約阿施	Jehoash
約西亞	Josiah
約薩拔	Jehozabad
約瑟夫	Joseph
約沙法	Jehoshaphat
約書亞	Joshua
約撒拔	Jozabad
約拿達	Jonadab
約拿達	Jehonadab
約巴他	Jotbathah
約基別	Jochebed
約哈難	Johanan
約哈難	Jehohanan
約哈斯	Joahaz
約哈斯	Jehoahaz
紀念館	memorial
紀念章	medallions
紀念碑	monuments
紀念碑	monument
系譜的	genealogical
糊狀物	Mash
糊塗的	witless
糊塗事	stupidity
精加工	finishing
粘合劑	binder
粗暴地	harshly
粗暴地	brutally
米雅民	Mijamin
米薩合	Matred
米茲帕	Mizpah
米磯崙	Migron
米甸人	Midianites
米法押	Mephaath
米沙勒	Mishal
米沙利	Mishael
米比衫	Mibsam
米施瑪	Mishma
米斯巴	Mizpeh
米拿現	Menahem
