一	one
亞伯米何拉	Abel-meholah
亞伯蘭	Abram
亞倫	Aaron
亞別	Abiel
亞利耶	Arieh
亞利馬太	Arimathea
亞勒	Athlai
亞勞拿	Araunah
亞吉	Achish
亞哈	Ahab
亞哈斯	Ahaz
亞哈謝	Ahaziah
亞哈隨魯	Ahasuerus
亞基布	Archippus
亞基老	Archelaus
亞多尼比色	Adoni-bezek
亞多尼洗德	Adoni-zedek
亞多萊音	Adoraim
亞大	Adah
亞大錄	Ataroth
亞大錄，亞達	Ataroth-addar
亞大雅	Adaiah
亞實突	Ashdodites
亞希	Ahikam
亞希亞	Ahiah
亞希亞	Ahijah
亞希以	Ahiezer
亞希多弗	Ahithophel
亞希幔	Ahiman
亞希忽	Ahihud
亞希摩	Ahimoth
亞希沙哈	Ahishahar
亞希瑪斯	Ahimaaz
亞希突	Ahitub
亞希米勒	Ahimelech
亞希約	Ahio
亞帥雅	Asaiah
亞幹	Achan
亞弗	Aphek
亞得列	Adriel
亞得米勒	Adrammelech
亞德別	Adbeel
亞必迭	Abdiel
亞悉	Azel
亞惜	Assir
亞所	Azor
亞拉	Arah
亞拉巴	Arabah
亞拉篾	Alemeth
亞拉臘	Ararat
亞拔他	Abagtha
亞拿	Anah
亞拿突	Anathoth
亞提馬	Artemas
亞摩	Almodad
亞摩利	Amorites
亞摩利人	Amorite
亞摩斯	Amoz
亞撒利雅	Azariah
亞撒黑	Asahel
亞斯	Asriel
亞斯他錄	Ashtaroth
亞斯他錄	Ashtoreths
亞斯瑪威	Azmaveth
亞曼	Amam
亞杜蘭	Adullam
亞杜蘭	Adullamite
亞歷山大	Alexander
亞歷山大	Alexandria
亞歷山大	Alexandrian
亞比	Abishag
亞比亞撒	Abiasaph
亞比以謝	Abiezer
亞比央常	Abijam
亞比戶	Abihu
亞比拿達	Abinadab
亞比挪庵	Abinoam
亞比瑪利	Abimael
亞比篩	Abishai
亞比米勒	Abimelech
亞比蘭	Abiram
亞比雅	Abijah
亞法撒	Arphaxad
亞波羅	Apollos
亞洲	Asia
亞特	Ater
亞玻倫	Apollyon
亞現	Ahian
亞瑪	Amalek
亞瑪	Amalekites
亞瑪	Amariah
亞瑪	Amasai
亞瑪	Amaziah
亞瑪力	Amalekite
亞瓦底人	Arvadites
亞甲	Agag
亞略	Arioch
亞當	Adam
亞祿有	Aloth
亞米	Amittai
亞米利	Ammiel
亞米忽	Ammihud
亞米拿達	Amminadab
亞羅	Aroer
亞萊	Ahlai
亞薛	Asiel
亞薩	Asaph
亞蘭	Aram
亞蘭	Aramean
亞蘭	Arameans
亞蘭，naharaim	Aram-naharaim
亞蘭，瑪迦	Aram-maacah
亞衲	Anakites
亞西加	Azekah
亞該亞	Achaia
亞谷	Akkub
亞軍	runners
亞迦布	Agabus
亞述	Asshur
亞述	Assyria
亞述	Assyrian
亞述	Assyrians
亞述巴尼拔	Ashurbanipal
亞遍。	Appaim
亞錄	Alush
亞雅	Aiah
亞雅崙	Aijalon
亞麻	flax
交付	deliver
交付	delivered
交付	delivering
交叉	cross
交往	intercourse
交手	grips
交換	exchange
交換	exchanged
交易	dealing
交易	dealings
交易	deals
交易	traded
交易	trades
交易	transaction
交易市場	marketplaces
交替	alternating
交杯酒	wedlock
交織	interwoven
交融	mingle
交貨	delivery
交通	traffic
交配	mating
交錯	staggered
交響樂	symphony
亦施瓦	Ishvah
亦迦	Iscah
享受	enjoyed
享受	enjoying
享受	enjoyment
享受	enjoys
亭	booth
亭拿	Timnah
亭拿 - 西拉	Timnath-serah
亮	bright
亮	brightened
亮	brightest
亮度	brightness
人	man
人	people
人	person
人	persons
人中有	Sallu
人亞希暖	Ahinoam
人們	peoples
人口	population
人口稠密	populated
人口調查	census
人性	humanity
人手不足	underhanded
人物	figures
人的	human
人群	crowd
人群	crowds
人群	populations
人群	throng
人質	hostages
人造	man-made
人頭攢動	thronged
人類	humans
人類	mankind
什一奉獻	tithing
什一稅	tithes
什巴克	Ishbak
什麼	anything
什麼	what
什麼時候	when
仁	kernels
仁慈	merciful
仁慈	mercifully
仂	tithe
仇	hatred
仇敵	haters
今天	today
今晚	tonight
介紹	introduced
介紹	introduction
介紹	presentation
仍然	still
他	he
他	him
他伯利們	Tabrimmon
他們	them
他們	they
他們會	they'll
他們的	theirs
他們自己	themselves
他備拉	Taberah
他利亞	Tahrea
他哈	Tahath
他帶領	Heled
他拉	Terah
他提雅	Mattithiah
他施	Tarshish
他普亞	Tappuah
他瑪	Ithamar
他的	his
他納	Taanach
他自己	himself
他轄	Tahash
付款	paying
付款	payment
代	generation
代	generations
代幣	token
代替	instead
代理	agents
代理人	agent
代用品	substitutes
代表	behalf
代表	delegates
代表	represent
代表	representative
代表	representatives
代表	represented
代表	representing
代表	represents
代表團	delegation
令人不安	troubling
令人作嘔	revolting
令人作嘔	sickening
令人垂涎	coveted
令人擔憂	worrying
令人欣慰	reassuring
令人欽佩	admirable
令人沮喪	discouraging
令人眼花繚亂	dazzling
令人費解	puzzling
以上	above
以下	following
以來	since
以倘	Etham
以利亞	Eliashib
以利亞	Elijah
以利亞敬	Eliakim
以利押	Eliab
以利拿單	Elnathan
以利撒	Elzaphan
以利書亞	Elishua
以利沙	Elisha
以利沙	Elishaphat
以利法	Eliphaz
以利法列	Eliphelet
以前	formerly
以前	previous
以力	Erech
以太	Ittai
以實瑪利	Ishmael
以實瑪利	Ishmaelites
以實陶	Eshtaol
以巴	Ebal
以巴弗	Epaphras
以弗	Epher
以弗所	Ephesian
以弗所	Ephesus
以弗所書	Ephesians
以拉	Elah
以拉他	Elath
以挪士	Enosh
以掃	Esau
以斯哈	Izhar
以斯帖	Esther
以斯拉	Ezra
以斯本	Ezbon
以東	Edom
以東	Edomite
以東	Edomites
以東	Idumea
以比贊	Ibzan
以法	Ephrathah
以法他	Ephrath
以法他人	Ephrathites
以法蓮	Ephraim
以法蓮	Ephraimites
以琳	Elim
以色列	Israel
以色列	Israelite
以色列	Israels
以色列人	Israelites
以薩迦	Issachar
以貨易貨	bartered
以賽亞	Isaiah
以革倫	Ekron
以馬忤斯	Emmaus
仲春	midspring
件	pieces
任何	any
任何	whatsoever
任何	whichever
任何人	anybody
任何人	anyone
任何人	whomever
任何時候	anytime
任務	assignments
任務	mission
任務	task
任務	tasks
任命	appointed
任命	appointing
任命	appoints
任性	wayward
任那	Imna
企業	businesses
伊利烏賽	Eluzai
伊利爾	Eliel
伊利達	Eldad
伊利里亞	Illyricum
伊勒哈難	Elhanan
伊卡博德	Ichabod
伊壁鳩魯	Epicurean
伊康	Iconium
伊弗	Ephron
伊拉斯塔斯	Erastus
伊提南	Ethnan
伊斯拉希	Izrahiah
伊施巴力	Eshbaal
伊施波	Ishbosheth
伊施米萊	Ishmerai
伊曼紐爾	Immanuel
伊比利	Ibri
伊法	ephah
伊特瑪	Ithmah
伊甸園	Eden
伊示雅	Ishijah
伊示雅	Isshiah
伊胡得	Jehud
伊萊休	Elihu
伊蘭	Eran
伊隆	Elon
伊隆-bethhanan	Elon-bethhanan
伊麗莎白	Elizabeth
伏擊	ambush
伏擊	ambushes
伏擊	waylay
休克	shock
休息	breaks
休息	repose
休息	rest
休息	rested
休息	resting
休息	rests
休息室	lounge
休耕	fallow
伯anoth	Beth-anoth
伯ashbea	Beth-ashbea
伯barah	Beth-barah
伯diblathaim	Beth-diblathaim
伯EMEK	Beth-emek
伯gader	Beth-gader
伯gamul	Beth-gamul
伯haggan	Beth-haggan
伯hakkerem	Beth-hakkerem
伯jeshimoth	Beth-jeshimoth
伯leaphrah	Beth-leaphrah
伯lebaoth	Beth-lebaoth
伯marcaboth	Beth-marcaboth
伯pazzez	Beth-pazzez
伯shittah	Beth-shittah
伯亞拉巴	Beth-arabah
伯亞文	Beth-aven
伯亞斯瑪威	Beth-azmaveth
伯他普亞	Beth-tappuah
伯伊甸園	Beth-eden
伯利合	Beth-rehob
伯利恆	Bethlehem
伯吉甲	Beth-gilgal
伯和崙	Beth-horon
伯哈蘭	Beth-haran
伯夙	Beth-zur
伯大尼	Bethany
伯大袞	Beth-dagon
伯安娜特	Beth-anath
伯寧拉	Beth-nimrah
伯尼斯	Bernice
伯山	Beth-shan
伯巴力米恩	Beth-baal-meon
伯微漲	Beth-eked
伯提沙撒	Belteshazzar
伯曷拉	Beth-hoglah
伯毗力	Beth-pelet
伯毗珥	Beth-peor
伯沙撒	Belshazzar
伯法	Bethphage
伯示麥	Beth-shemesh
伯米恩	Beth-meon
伯米羅	Beth-millo
伯聖地	Beth-haram
伯艾澤爾	Beth-ezel
伯蔽日	Beth-biri
伯賽大	Bethsaida
伯里亞	Berea
伯阿爾貝爾	Beth-arbel
伯陀迦瑪	Beth-togarmah
估計	estimate
估計	estimates
估計	estimation
伴侶	companion
伴侶	mate
伴奏	accompaniment
伴娘	bridesmaids
伴隨著	accompanied
伸展	stretch
伸開	outstretched
似乎	seem
似乎	seemed
似乎	seems
伽利略	Galilean
但	but
但支派底伯利	Dibri
位	bit
位	bits
位於	located
位於	situated
位置	location
位置	position
位置	positions
低	low
低三下四	cringe
低保	guaranteeing
低地	lowlands
低廉	cheap
低斯	Kedesh
低聲道	whispered
住	dwell
住	stayed
住	staying
住宅	dwelling
住宅	residence
住宿	lodging
住房	housing
住處	quarters
佔	accounted
佔主導地位	dominated
佔據	occupied
佔據	occupy
佔比達	Bedad
佔用	occupation
佔用	occupying
何	Hosea
何利人	Horites
何巴	Hobab
何弗尼	Hophni
何珥瑪	Hormah
何細亞	Hoshea
何罪？	neglecting
何薩	Hosah
何達威雅	Hodaviah
佘山	Sheshan
作品	works
作孽	evildoers
作家	writer
作弊	cheat
作弊	cheating
作為一個	Asa
作物	crop
作物	crops
作者	author
作證	testified
作證	testifies
作證	testify
作證	testifying
你好	hello
你會	you'll
你的	your
你的	yours
你自己	yourself
你自己	yourselves
佣金	commission
佩服	admires
佩雷斯	Perez
佩雷斯 - 烏撒	Perez-uzzah
佯庇	Jambres
使	bringing
使	make
使人信服	convincing
使出	resorted
使勁	straining
使命	errand
使徒	apostle
使徒	apostles
使用	use
使用	uses
使節	envoys
使者	messengers
來	come
來	comes
來了	came
來人	bearer
來來往往	fro
來源	sources
來襲	struck
例	cases
例	example
例	instance
例外	exception
例外	exceptions
例子	examples
供	offering
供品	offerings
供奉	enshrined
供應	serves
供應	supplied
供應	supply
供應	supplying
供稿	feeds
供認不諱	confessed
依偎	cling
依托	relying
依賴	depended
依賴	dependence
依賴	relies
依賴的	dependent
依靠	depend
依靠	depends
依靠	rely
侮辱	insult
侮辱	insulting
侮辱	insults
侵入	invades
侵入	invasion
侵占	overran
侵擾	intrusion
便以利	Peniel
便士	pennies
促進	promote
促進	promotes
俄別以東	Obed-edom
俄巴底	Obadiah
俄弗拉	Ophrah
俄德	Oded
俄斐勒	Ophel
俄珥巴	Orpah
俄立	Oreb
俗世的	earthly
俘虜	captive
俘虜	captives
保	preserving
保佑	bless
保存	save
保存	saved
保存	saving
保守的	sparing
保持	held
保持	hold
保持	holding
保持	keep
保持	keeping
保持	keeps
保持	maintain
保持	maintained
保持	remained
保留	preserve
保留	reservation
保留	reserve
保留	retain
保留	retains
保留的	reserved
保盧斯	Paulus
保管	custody
保管	safekeeping
保羅	Pau
保羅	Paul
保衛	defend
保證	assurance
保證	assurances
保證	assure
保證	assured
保證	assures
保證	assuring
保證	guarantee
保證	guaranteed
保證	pledge
保證	warrant
保護	protect
保護	protected
保護	protecting
保護	protection
保護	protects
保護的	protective
保護程序	saver
保護者	protector
保釋	bail
保鏢	bodyguard
保鏢	bodyguards
保障	safeguard
保險槓	bumper
保養	maintenance
信	letter
信	letters
信仰	belief
信仰	faith
信仰	godliness
信任	confide
信任	trusted
信任地	confidentially
信任的	trusting
信使	messenger
信徒	believer
信徒	believers
信徒	follower
信心	confident
信心十足地	confidently
信息	information
信息	message
信用	credit
信號	signal
信號旗	waft
信託	trusts
修剪	prune
修剪	pruned
修剪	pruning
修剪	trim
修剪	trimmed
修復	repaired
修復	repairing
修改	amend
修改	modify
修正	corrected
修正	correcting
修理	repair
修補	mend
修補	mending
修補	patched
修飾	qualify
俯瞰	overlook
俯瞰	overlooking
俱樂部	club
倉庫	storehouses
倉庫	warehouse
個人	individual
個人	personal
個別地	individually
個月	months
個股	stocks
倒	pour
倒	poured
倒下	topples
倒台	downfall
倒塌	collapsed
倒彩	hooting
倒掉	drained
倒車	reversing
倒退	backsliding
倔	crabby
倔強	stubborn
倖免	spared
倖存	survived
倖存	surviving
倖存者	survivor
倖存者	survivors
候車亭	shelters
倚	leaning
借	borrow
借	borrowed
借	lend
借款人	borrower
借款人	borrowers
借給	lends
借給	lent
借閱	borrows
值	value
值	values
值得	deserve
值得	deserves
值得	deserving
值得	worthy
假	false
假	falsely
假定	assumed
假定	presumed
假想	imaginary
假意	hypocrisy
假日	holiday
假期	holidays
假裝	pretend
假裝	pretending
假裝	pretends
假裝的	pretended
假設	assuming
假設	suppose
偉大	greatness
偏心	partiality
偏愛	favor
偏愛	favoritism
偏愛	preference
偏遠的	remotest
偏離	deviate
做	do
做夢	dreaming
做工	workmanship
做法	practices
停	halt
停止	cease
停止	ceased
停止	stop
停止	stopped
停止	stopping
停止	stops
停產	discontinued
停靠	docked
停頓	standstill
健康	health
健康	healthier
健康	healthy
健康	wholesome
健康的前瞻性	healthy-looking
健忘	forgetfulness
健談	talkers
側	side
側翻	overturns
側翼	flank
偵察	scout
偵察	scouting
偵察兵	scouts
偶像	idol
偶像	idols
偶像崇拜	idolatry
偶像崇拜者	idolater
偶然	accidental
偶然	accidentally
偷	steal
偷了	stole
偷偷	secretly
偷偷摸摸	sneaky
偷竊行為	stealing
偷聽	overheard
偽君子	hypocrite
偽君子	hypocrites
偽裝	disguise
偽裝	disguised
偽造	counterfeit
傑作	masterpiece
傑出的	distinguished
傑希勒	Jehiel
傑思羅	Jethro
傑西	Jesse
傑赫卡爾	Jehucal
傑迪達	Jedidah
傑里科	Jericho
傑霍薩達克	Jehozadak
傑霍里布	Jehoiarib
備件	spares
備忘錄	Memorandum
備用	alternate
備用	spare
備註	remarks
催	urging
傲慢	arrogance
傲慢	arrogant
傲慢	arrogantly
傲慢	haughty
傲慢	insolence
傲氣	haughtiness
傲然	proudly
傳喚	summoned
傳播	spread
傳播	spreading
傳播者	Evangelist
傳染性的	contagious
傳染病	infectious
傳福音	evangelists
傳統	tradition
傳統	traditional
傳統	traditions
傳聞	hearsay
傳聞	rumors
傳言	rumblings
傳說	legends
傳輸	transporting
傳道	preach
傳達	convey
傴	humped
債券	bonds
債務	debt
債務	debts
債務人	debtors
債權人	creditor
債權人	creditors
傷	injury
傷亡	casualties
傷人	wounding
傷口	wound
傷口	wounds
傷害	harmed
傷害	hurt
傷害	hurting
傷害	hurts
傷心	grieved
傷心	sad
傷疤	scars
傷痕	welts
傷痕累累	bruised
傷處	injures
傻	foolish
傻子	fool
傻瓜	fools
傻瓜	simpleton
傻瓜	simpletons
傾倒	dump
傾斜	slant
傾斜	tilt
傾斜的	pitched
傾覆	overturning
傾覆	topple
僅僅	barely
僅僅	merely
像	likeness
僕人	servant
僱傭兵	mercenaries
僱員	employees
僱用	hired
價值	valued
價值	worth
價格	prices
價錢	price
僻	secluded
儀器	instrument
儀器	instruments
儀式	ceremonial
儀式	ceremonially
儀式	ceremonies
儀式	ceremony
儀式	observance
儀式	rite
儀式	rites
儀式	ritual
儀式	ritually
儀式	rituals
儘管	despite
儘管	spite
儘管如此	Nonetheless
償還	repaid
償還	repay
優惠	preferential
優於	precede
優柔寡斷	indecision
優秀	excellent
優秀	outstanding
優美	graceful
優越	superior
優雅	elegant
優雅	gracefully
優點	advantage
優點	advantages
儲藏室	storerooms
允許	allow
允許	allowed
允許	allowing
允許	allows
允許	permission
允許	permitted
允許	permitting
元帥	Marshal
元氣大傷	sapped
兄弟	brothers
充分	full
充分	fully
充分澆水	well-watered
充斥	glutted
充滿	fullness
充足	adequate
充電	charging
兇手	murderer
兇猛	fiercest
先	ahead
先	prior
先前	previously
先於	precedes
先生	sir
先生們	Gentlemen
先生們：	Sirs
先知	prophets
先祖	patriarchs
先見者	seer
先鋒	herald
光	light
光	polished
光刻膠	resists
光彩	honorable
光明	brighter
光明節	Hanukkah
光束	beam
光柵	grating
光榮	gloriously
光榮	honorably
光滑	sleek
光滑	smooth
光澤	luster
光澤	sheen
光環	halo
光頭	baldhead
克制	restraint
克勞	Claudius
克勞迪婭	Claudia
克服	overcome
克服	overcomes
克洛伊	Chloe
克萊門特	Clement
克里斯普斯	Crispus
克里特	Cretans
克里特島	Crete
克雷森斯	Crescens
兌換	convert
免得	lest
免疫的	immune
免除	absolved
兒子	son
兒子	sons
兒子媳婦	sons-in-law
兒童	child
入伍	enlisted
入住	stays
入侵	invade
入侵	invaded
入侵	invading
入侵者	invaders
入口	entrance
入口	entrances
入口	entryway
入迷	enchanted
入選	inducted
內	inner
內	innermost
內	inside
內厄姆	Nahum
內容	content
內森 - 米勒	Nathan-melech
內置	built
內蓋夫沙	Negev
內衣	underclothes
內裡	Neri
內部	insides
內部	internal
內陸	inland
全國	nationwide
全年	annual
全新的	brand-new
全然	completely
全軍覆沒	annihilated
兩側	flanked
兩刃	two-edged
兩次	twice
兩聲	mutterings
八	eight
八十	eighty
八十三	eighty-three
八十五	eighty-five
八十四	eighty-four
八卦	gossip
八布迦	Bakbukiah
八月	August
公主	princess
公佈	announced
公務員	servants
公司	company
公司	firm
公告	announcement
公告	proclamation
公園	parks
公墓	cemetery
公寓	flats
公平	fair
公平	fairness
公正	impartial
公正地	justly
公正的	fair-minded
公民	citizen
公民	citizens
公民	civic
公然	openly
公然	publicly
公牛	bull
公牛	bulls
公羊	rams
公認	accepted
公豬	boar
公路	highways
公開	publicity
公雞	rooster
六	six
六十	sixty
六十五	sixty-five
六月	June
共	altogether
共享	shared
共同	common
共治	governs
共混物	blends
共計	totaling
其	their
其中	among
其他	else
其他	other
其他	others
其實	actually
其樂融融	enjoyable
其次	followed
其餘	remaining
具有	has
具有	possess
具有挑戰性的	challenging
具體	specific
再	anymore
再保證	reassure
再婚	remarries
再婚	remarry
再次	again
再次奉獻	rededicate
再現	reappearance
再現	reappeared
再續	adjourned
再見	good-bye
冒充	imitating
冒泡	bubbled
冒泡	bubbling
冒瀆	sacrilege
冒犯	offends
冒著	risking
冒險	risked
冒險	venture
冠	crowns
冠冕堂皇	high-sounding
冠軍	champion
冤屈	wrongs
冬季	winter
冰	ice
冰雹	hail
冰雹	hailstones
冶煉	smelt
冷	cold
冷冰冰	frosty
冷凍	freezing
冷卻	cooled
冷卻	cooling
冷回火	cool-tempered
冷杉	fir
冷杉	firs
冷漠	indifferent
冷笑	sneer
冷笑	sneered
冷靜	calm
凍結	freezes
凜然	awe-inspiring
凝乳	curds
凝塊	Gob
凝視	gaze
凝視	gazed
凝視	gazing
凝視	peered
凝視	staring
凡人	mortal
凡人	mortals
凱	triumphal
凱	triumphant
凱南	Kenan
凱因	Kain
凱撒	Caesar
凱撒利亞	Caesarea
凱斯亞	Keziah
凹進	recessed
出	out
出動	dispatched
出口	exit
出售	sold
出埃及記	exodus
出席	attend
出席	attended
出席	attending
出沒	haunt
出沒	haunts
出沒	infested
出現	appear
出現	appearance
出現	appeared
出現	appearing
出現	appears
出現	arise
出現	arises
出現	arose
出現	emerge
出生	births
出發	departing
出租	letting
出租	rent
出租	rental
出納員	treasurer
出色	brilliantly
出血	hemorrhage
出逃	flees
出院	discharged
刀	blade
刀	knife
刀	knives
分	dividing
分享	share
分享	shares
分享	sharing
分佈	distributing
分佈	distributions
分別	distinction
分別	separately
分割	separation
分區	partitioned
分娩	birth
分娩	childbirth
分子	elements
分心	distracting
分心	distractions
分成小	portioned
分手	parted
分支機構	branches
分散	disperse
分散	dispersed
分散	scatter
分散式	distributed
分數	marks
分期付款	installment
分析	analyze
分歧	differences
分歧	disagreements
分歧	divides
分毫	hairsbreadth
分為	divided
分發	distribute
分裂	splintered
分裂	split
分贓	spoils
分配	allotted
分配	assign
分配	assigned
分配	assigning
分配	distributes
分配	distribution
分鐘	minute
分鐘	minutes
分隊	detachments
分離	detachment
分離	separate
分離	separated
分離	separating
分類	classified
分類	sort
切	cut
切割	cutting
切實	earnestly
切斷	severed
切斷	severing
切碎的	chopped
切絲	shredded
切除	removal
刑事	criminal
划船	rowing
列	columns
列維	Levi
初學者	beginner
初熟	firstfruits
判刑	sentenced
判斷	judged
判斷	judging
判斷	judgment
判斷	judgments
判決書	verdict
別	don't
別	dont
別加	Perga
別有用心	ulterior
別處	elsewhere
利乏音	Rephaim
利乏音	Rephaites
利亞	Leah
利亞利	Elealeh
利亞雅	Reaiah
利以謝	Elioenai
利來雅	Reelaiah
利健	Regem
利克希	Likhi
利加	Elkanah
利合	Rehob
利哈比雅	Rehabiah
利差	spreads
利巴力	Elpaal
利巴拿	Lebanah
利提瑪	Rithmah
利撒反	Elizaphan
利未人	Levite
利未人	Levites
利未記	Levitical
利比	Sherebiah
利比亞	Libya
利比亞	Libyans
利比拉	Riblah
利沙	Elishah
利沙瑪	Elishama
利法雅	Rephaiah
利潤	profit
利潤	profits
利瑪利	Remaliah
利用	exploit
