·阿爾巴	Arba
Eglath-shelishiyah	Eglath-shelishiyah
EHI	Ehi
Elasah	Elasah
Eldaah	Eldaah
Elead	Elead
Eleadah	Eleadah
Eleasah	Eleasah
Eliasaph	Eliasaph
Eliathah	Eliathah
Elidad	Elidad
Eliehoenai	Eliehoenai
Elienai	Elienai
Elihoreph	Elihoreph
Eliphal	Eliphal
Eliphelehu	Eliphelehu
Elizur	Elizur
Elkosh	Elkosh
Ellasar	Ellasar
Elmadam	Elmadam
Elnaam	Elnaam
Elonite	Elonite
Elpelet	Elpelet
Eltekeh	Eltekeh
Eltekon	Eltekon
Eltolad	Eltolad
Emites	Emites
Enaim	Enaim
ENAM	Enam
enemies'sails	enemies'sails
Epenetus	Epenetus
Ephai	Ephai
Ephlal	Ephlal
Ephrathite	Ephrathite
Eranites	Eranites
Erite	Erite
Eshban	Eshban
Eshtemoh	Eshtemoh
ETH-卡津	Eth-kazin
Ethbaal	Ethbaal
EVI	Evi
Ezbai	Ezbai
Ezem	Ezem
Ezrah	Ezrah
Ezrahite	Ezrahite
Ezri	Ezri
F	f
fiancÃ,Â,e	fiancÃ‚Â‚e
fiancÃƒÂ©	fiancÃƒÂ©
floodtime	floodtime
G	g
Gabbai	Gabbai
Gabbatha	Gabbatha
Gaddiel	Gaddiel
Gaham	Gaham
Galeed	Galeed
Gallim	Gallim
Gammad	Gammad
Gamul	Gamul
Garmite	Garmite
Gatam	Gatam
gatemen	gatemen
Gebal	Gebal
Gebalites	Gebalites
Geddalti	Geddalti
Gederah	Gederah
Gederothaim	Gederothaim
Geliloth	Geliloth
Gemalli	Gemalli
gemcutter	gemcutter
Genubath	Genubath
Geruth-kimham	Geruth-kimham
Geshem	Geshem
GETHER	Gether
Geuel	Geuel
Giah	Giah
Gibea	Gibea
Gibeath-haaraloth	Gibeath-haaraloth
Gideoni	Gideoni
Gidom	Gidom
Gilalai	Gilalai
Giloh	Giloh
Gimzo	Gimzo
Ginath	Ginath
Ginnethon	Ginnethon
Girzites	Girzites
Gishpa	Gishpa
Gittaim	Gittaim
Gizon	Gizon
gnashes	gnashes
Goah	Goah
Goiim	Goiim
Goyim	Goyim
H	h
Haahashtari	Haahashtari
Habazziniah	Habazziniah
Hacaliah	Hacaliah
Hacmonite	Hacmonite
Hadashah	Hadashah
Hadlai	Hadlai
Haeleph	Haeleph
Hagab	Hagab
Hagabah	Hagabah
Haggedolim	Haggedolim
Haggi	Haggi
Haggiah	Haggiah
Haggite	Haggite
Hagri	Hagri
Hagrite	Hagrite
Hagrites	Hagrites
Hakilah	Hakilah
Hakkatan	Hakkatan
Hakupha	Hakupha
Halhul	Halhul
Hallohesh	Hallohesh
Hammath	Hammath
Hammedatha	Hammedatha
Hammoleketh	Hammoleketh
Hammoth-DOR	Hammoth-dor
Hammuel	Hammuel
Hamonah	Hamonah
Hamulites	Hamulites
Hamutal	Hamutal
Hanamel	Hanamel
Hananel	Hananel
Hannathon	Hannathon
Hanniel	Hanniel
Hanochite	Hanochite
Hapharaim	Hapharaim
Happizzez	Happizzez
Harbona	Harbona
Hareph	Hareph
Harhaiah	Harhaiah
Harhas	Harhas
Harhur	Harhur
Harnepher	Harnepher
Harod	Harod
Haroeh	Haroeh
HARUM	Harum
Haruph	Haruph
Hasadiah	Hasadiah
Hashabnah	Hashabnah
Hashabneiah	Hashabneiah
Hashbaddanah	Hashbaddanah
Hashubah	Hashubah
Hassenaah	Hassenaah
Hassenuah	Hassenuah
Hasshub	Hasshub
Hathath	Hathath
Hatipha	Hatipha
Hatita	Hatita
Hattil	Hattil
Hazaiah	Hazaiah
Hazazon瑪	Hazazon-tamar
HAZER-hatticon	Hazer-hatticon
Hazo	Hazo
Hazzelelponi	Hazzelelponi
headcloth	headcloth
Heberites	Heberites
Hebrews'slaves	Hebrews'slaves
Hegai	Hegai
Helbah	Helbah
Helbon	Helbon
Heldai	Heldai
Helech	Helech
Helekites	Helekites
Heleph	Heleph
Helkai	Helkai
Hemdan	Hemdan
HENA	Hena
Henadad	Henadad
Hereth	Hereth
Heshmon	Heshmon
Hethlon	Hethlon
Hezro	Hezro
Hezronite	Hezronite
Hiel	Hiel
Hirah	Hirah
Hizki	Hizki
Hizkiah	Hizkiah
Hobah	Hobah
Hobaiah	Hobaiah
Hodesh	Hodesh
Hodiah	Hodiah
Hoham	Hoham
Hophra	Hophra
Horam	Horam
Horem	Horem
Horesh	Horesh
Horite	Horite
Horonaim	Horonaim
Horonite	Horonite
Hoseas	Hoseas
Hoshama	Hoshama
Hothir	Hothir
Hubbah	Hubbah
Hukkok	Hukkok
Hukok	Hukok
Humtah	Humtah
Hupham	Hupham
Huphamite	Huphamite
Huppim	Huppim
Hurai	Hurai
Hushah	Hushah
Ibneiah	Ibneiah
Ibnijah	Ibnijah
Ibsam	Ibsam
Idalah	Idalah
Idbash	Idbash
Iezer	Iezer
Iezerites	Iezerites
Igdaliah	Igdaliah
II	II
IIM	Iim
Ikkesh	Ikkesh
Imlah	Imlah
Imnite	Imnite
Imrah	Imrah
Iphdeiah	Iphdeiah
Iphtah	Iphtah
Iphtah-EL	Iphtah-el
IR-拿轄	Ir-nahash
IRAD	Irad
IRAM	Iram
IRI	Iri
Irijah	Irijah
Irpeel	Irpeel
IRU	Iru
Ishbah	Ishbah
Ishbi-benob	Ishbi-benob
Ishhod	Ishhod
Ishma	Ishma
Ishmaiah	Ishmaiah
Ishpah	Ishpah
Ishpan	Ishpan
Ishvite	Ishvite
Ismakiah	Ismakiah
Ithai	Ithai
Ithiel	Ithiel
Ithlah	Ithlah
Iturea	Iturea
Ivvah	Ivvah
Izliah	Izliah
Izrahite	Izrahite
Izziah	Izziah
Ĵ	j
Jaakobah	Jaakobah
JAAR	Jaar
Jaareshiah	Jaareshiah
Jaasiel	Jaasiel
Jaasu	Jaasu
Jaaziah	Jaaziah
Jabneel	Jabneel
Jabneh	Jabneh
Jacan	Jacan
Jadah	Jadah
Jaddai	Jaddai
Jagur	Jagur
Jahdiel	Jahdiel
Jahdo	Jahdo
Jahleelite	Jahleelite
Jahzeelite	Jahzeelite
Jahzeiah	Jahzeiah
Jahzerah	Jahzerah
Jairite	Jairite
Jakeh	Jakeh
Jakinite	Jakinite
Jaminite	Jaminite
Janai	Janai
Janim	Janim
Jannai	Jannai
Japhletites	Japhletites
Jarha	Jarha
Jaroah	Jaroah
Jashar	Jashar
Jashubite	Jashubite
Jashubi利恆	Jashubi-lehem
Jathniel	Jathniel
Jaziz	Jaziz
Jeberekiah	Jeberekiah
Jecoliah	Jecoliah
Jedidiah	Jedidiah
Jegar-sahadutha	Jegar-sahadutha
Jehallelel	Jehallelel
Jehdeiah	Jehdeiah
Jehezkel	Jehezkel
Jehiah	Jehiah
Jehizkiah	Jehizkiah
Jehoaddin	Jehoaddin
Jehudi	Jehudi
Jekabzeel	Jekabzeel
Jekameam	Jekameam
Jekamiah	Jekamiah
Jekuthiel	Jekuthiel
Jemimah	Jemimah
Jered	Jered
Jeremai	Jeremai
Jeribai	Jeribai
Jeriel	Jeriel
Jerioth	Jerioth
Jeruel	Jeruel
Jeshanah	Jeshanah
Jesher	Jesher
Jeshishai	Jeshishai
Jeshohaiah	Jeshohaiah
Jesimiel	Jesimiel
Jesus'second	Jesus'second
Jetheth	Jetheth
Jetur	Jetur
Jeturites	Jeturites
Jeuz	Jeuz
Jezaniah	Jezaniah
Jezerite	Jezerite
Jeziel	Jeziel
Jezrahiah	Jezrahiah
Joanan	Joanan
Joelah	Joelah
Joezer	Joezer
Jogbehah	Jogbehah
Jogli	Jogli
JOHA	Joha
Joiarib	Joiarib
Jokdeam	Jokdeam
Jokim	Jokim
Jokmeam	Jokmeam
Jonam	Jonam
Jorah	Jorah
Jorim	Jorim
Jorkeam	Jorkeam
Josech	Josech
Joshah	Joshah
Joshaphat	Joshaphat
Joshaviah	Joshaviah
Joshibiah	Joshibiah
Josiphiah	Josiphiah
Jotbah	Jotbah
Judahs	Judahs
Jushab-hesed	Jushab-hesed
Juttah	Juttah
ķ	k
Kaiwan	Kaiwan
Kallai	Kallai
Kanah	Kanah
Karka	Karka
Karkor	Karkor
Karnaim	Karnaim
Kartah	Kartah
Kartan	Kartan
Kattath	Kattath
Kedemah	Kedemah
Kelaiah	Kelaiah
Kelal	Kelal
Kelub	Kelub
Keluhi	Keluhi
Kenaanah	Kenaanah
Kenani	Kenani
Kenaniah	Kenaniah
Kenizzite	Kenizzite
Kephar-ammoni	Kephar-ammoni
Kephirah	Kephirah
Kerith	Kerith
Kerub	Kerub
Kesalon	Kesalon
Kesed	Kesed
Kesil	Kesil
Kesulloth	Kesulloth
Kezib	Kezib
Kibzaim	Kibzaim
Kileab	Kileab
Kilion	Kilion
Kilmad	Kilmad
Kimham	Kimham
Kinah	Kinah
Kios	Kios
Kishion	Kishion
Kislon	Kislon
Kisloth，泰伯	Kisloth-tabor
Kitlish	Kitlish
Kolaiah	Kolaiah
Korahite	Korahite
Korazin	Korazin
Kushaiah	Kushaiah
Laadah	Laadah
Lael	Lael
Lahmam	Lahmam
Lahmi	Lahmi
Laishah	Laishah
Lakkum	Lakkum
Lappidoth	Lappidoth
LASEA	Lasea
Lebaoth	Lebaoth
Lebonah	Lebonah
Lecah	Lecah
LED	led
Lehabites	Lehabites
LEMA	lema
Letushites	Letushites
Leummites	Leummites
Levites'share	Levites'share
Libnites	Libnites
Ludites	Ludites
Luhith	Luhith
Maacathites	Maacathites
Maadai	Maadai
Maarath	Maarath
Maath	Maath
Macbannai	Macbannai
Macbenah	Macbenah
Macnadebai	Macnadebai
Madmannah	Madmannah
Madmenah	Madmenah
Magdiel	Magdiel
Magpiash	Magpiash
Mahaneh丹	Mahaneh-dan
Maharai	Maharai
Mahath	Mahath
Mahavah	Mahavah
Mahazioth	Mahazioth
Mahlites	Mahlites
Mahol	Mahol
Mahseiah	Mahseiah
Makaz	Makaz
Makheloth	Makheloth
Makirite	Makirite
Makirites	Makirites
Malcam	Malcam
Malkielites	Malkielites
Malkiram	Malkiram
Mallothi	Mallothi
Manaen	Manaen
Manahath	Manahath
Manahathites	Manahathites
Maonites	Maonites
Maralah	Maralah
Maroth	Maroth
Marsena	Marsena
Matrites	Matrites
Mattatha	Mattatha
Mattattah	Mattattah
Mattenai	Mattenai
ME-jarkon	Me-jarkon
ME-zahab	Me-zahab
Mearah	Mearah
Meconah	Meconah
Mehebel	Mehebel
Mehida	Mehida
Mehir	Mehir
Mehujael	Mehujael
Mehuman	Mehuman
Mekerah	Mekerah
Melatiah	Melatiah
Meonothai	Meonothai
Meraiah	Meraiah
Meremoth	Meremoth
Meres	Meres
Merom處理器	Merom
Meronoth	Meronoth
Meroz	Meroz
Meshezabel	Meshezabel
Meshillemith	Meshillemith
Meshobab	Meshobab
Meshullemeth	Meshullemeth
Methushael	Methushael
Meunim	Meunim
Meunites	Meunites
Mibhar	Mibhar
Mibzar	Mibzar
Micmash	Micmash
Micmethath	Micmethath
Micri	Micri
Mikneiah	Mikneiah
Miniamin	Miniamin
Mirmah	Mirmah
Misham	Misham
Mishmannah	Mishmannah
Mishneh	Mishneh
Mishraites	Mishraites
Mispar	Mispar
Misrephoth-麥姆	Misrephoth-maim
Mithcah	Mithcah
Mithna	Mithna
Mithredath	Mithredath
Moadiah	Moadiah
Moserah	Moserah
Moses'share	Moses'share
Mozah	Mozah
Muppim	Muppim
Mushites	Mushites
mutilators	mutilators
ñ	n
Naamites	Naamites
Naaran	Naaran
Nacon	Nacon
Naggai	Naggai
Nahalal	Nahalal
Nahale，迦實	Nahale-gaash
Nahalol	Nahalol
Naham	Naham
Nahamani	Nahamani
Naharai	Naharai
Nahbi	Nahbi
Naphishites	Naphishites
Naphoth-DOR	Naphoth-dor
Naphtuhites	Naphtuhites
Nazirites	Nazirites
Nebai	Nebai
Neballat	Neballat
Nebushazban	Nebushazban
Nebuzaradan	Nebuzaradan
Nehelamite	Nehelamite
Nehushta	Nehushta
Neiel	Neiel
Nemuelite	Nemuelite
Nephtoah	Nephtoah
Netaim	Netaim
Nezib	Nezib
Nibhaz	Nibhaz
Nibshan	Nibshan
Nicopolis	Nicopolis
Nimrim	Nimrim
Nisroch	Nisroch
Nodabites	Nodabites
Nohah	Nohah
Nophah	Nophah
not'sinners	not'sinners
Ø	o
Obil	Obil
Ocran	Ocran
Ohel	Ohel
Ophni	Ophni
Othni	Othni
outran	outran
Ozni	Ozni
Oznite	Oznite
p	p
Paarai	Paarai
Padon	Padon
Pagiel	Pagiel
Pahath押	Pahath-moab
Palal	Palal
Palluite	Palluite
parents'sins	parents'sins
Parmashta	Parmashta
Parnach	Parnach
Parshandatha	Parshandatha
Paruah	Paruah
Parvaim	Parvaim
PAS-dammim	Pas-dammim
Pasach	Pasach
Pathrusites	Pathrusites
Patrobas	Patrobas
Pedahel	Pedahel
Pedahzur	Pedahzur
Pekod	Pekod
Pelaliah	Pelaliah
Pelusium	Pelusium
Peresh	Peresh
Perezite	Perezite
Perezites	Perezites
Persis	Persis
Peruda	Peruda
Pethor	Pethor
Pethuel	Pethuel
Peullethai	Peullethai
Phanuel	Phanuel
Pharpar	Pharpar
Philologus	Philologus
Phlegon	Phlegon
Phygelus	Phygelus
Pildash	Pildash
Pilha	Pilha
Piltai	Piltai
Piram酒店	Piram
Pirathon	Pirathon
Pishon	Pishon
Pithom	Pithom
plowmen	plowmen
Pokereth-hazzebaim	Pokereth-hazzebaim
Poratha	Poratha
Porcius	Porcius
priests'share	priests'share
Procorus	Procorus
Pudens	Pudens
Puite	Puite
Purah	Purah
Puteoli	Puteoli
Puthites	Puthites
Putiel	Putiel
q	q
Rabbith	Rabbith
Raddai	Raddai
Rakem	Rakem
Rakkath	Rakkath
Ramiah	Ramiah
Raphu	Raphu
Recabite	Recabite
Recabites	Recabites
Recah	Recah
Regemmelech	Regemmelech
Rehum	Rehum
Remeth	Remeth
Rephael	Rephael
Rephah	Rephah
Rephan	Rephan
replastered	replastered
Reubenite	Reubenite
Reumah	Reumah
Rezeph	Rezeph
Rezon	Rezon
Rhegium	Rhegium
Rhesa	Rhesa
Ribai	Ribai
Rimmono	Rimmono
Rinnah	Rinnah
Rizia	Rizia
Rodanim	Rodanim
roebucks	roebucks
Rohgah	Rohgah
Romamti，察	Romamti-ezer
Ruhamah	Ruhamah
sabachthani	sabachthani
Sacar	Sacar
Sakia	Sakia
Sakkuth	Sakkuth
Salecah	Salecah
Salmone	Salmone
Samarian	Samarian
Samgar	Samgar
Sansannah	Sansannah
SAPH	Saph
Saraph	Saraph
SAT	sat
scurries	scurries
seacoasts	seacoasts
Sebam	Sebam
Secacah	Secacah
Secundus	Secundus
Seirah	Seirah
Semakiah	Semakiah
Semein	Semein
Senaah	Senaah
Seneh	Seneh
Sephar	Sephar
Seredite	Seredite
Sethur	Sethur
Shaalabbin	Shaalabbin
Shaalbon	Shaalbon
Shaalim	Shaalim
Shaashgaz	Shaashgaz
Shaharaim	Shaharaim
Shahazumah	Shahazumah
Shalishah	Shalishah
Shalmai	Shalmai
Shamma攝影	Shamma
Shamsherai	Shamsherai
Shapham	Shapham
Shaphir	Shaphir
Sharar	Sharar
Sharuhen	Sharuhen
Shashai	Shashai
Shashak	Shashak
Shaulite	Shaulite
Sheariah	Sheariah
Sheber	Sheber
Shedeur	Shedeur
Sheerah	Sheerah
Shehariah	Shehariah
Shelanite	Shelanite
Shelesh	Shelesh
Shelumiel	Shelumiel
Shemaah	Shemaah
Shemeber	Shemeber
Shemed	Shemed
Shemidaites	Shemidaites
Shemuel	Shemuel
Shenazzar	Shenazzar
Shepher	Shepher
shepherds'story	shepherds'story
Shepho	Shepho
Sheresh	Sheresh
Sheshai	Sheshai
Shethar	Shethar
Shethar-bozenai	Shethar-bozenai
Shibboleth的	Shibboleth
Shikkeron	Shikkeron
Shilhim	Shilhim
Shillem	Shillem
Shillemite	Shillemite
Shilonite	Shilonite
Shilshah	Shilshah
Shimrath	Shimrath
Shimronite	Shimronite
Shimshai	Shimshai
Shinab	Shinab
Shiphi	Shiphi
Shiphtan	Shiphtan
Shitrai	Shitrai
Shiza	Shiza
Shobek	Shobek
Shoham	Shoham
Shuhah	Shuhah
Shuham	Shuham
Shuhamite	Shuhamite
Shulam	Shulam
Shumathites	Shumathites
Shunite	Shunite
Shupham	Shupham
Shuphamite	Shuphamite
Shuppim	Shuppim
Shuthelahite	Shuthelahite
Shuthelahites	Shuthelahites
Siaha	Siaha
Sibbecai	Sibbecai
Sibboleth	Sibboleth
Sibmah	Sibmah
Sibraim	Sibraim
Sinites	Sinites
Siphmoth	Siphmoth
Sismai	Sismai
slithers	slithers
SNIP	snip
SODI	Sodi
solemnize	solemnize
Sorek	Sorek
Sotai	Sotai
Suah	Suah
subclan	subclan
subclans	subclans
Sucathites	Sucathites
Sukkites	Sukkites
Suph	Suph
Suphah	Suphah
Syntyche	Syntyche
Syrtis	Syrtis
Ť	t
Taanath - 希洛	Taanath-shiloh
Tabbaoth	Tabbaoth
Tabbath	Tabbath
Tabeel	Tabeel
Tahanite	Tahanite
Tahtim-hodshi	Tahtim-hodshi
Taphath	Taphath
Taralah	Taralah
Tarpel	Tarpel
TARTAK	Tartak
Tattenais	Tattenais
Tebah	Tebah
Tebaliah	Tebaliah
Tehinnah	Tehinnah
TEKEL	Tekel
Telah	Telah
Telaim	Telaim
TEMAH	Temah
Temeni	Temeni
tentmakers	tentmakers
Tikvah	Tikvah
Tilon	Tilon
Tiphsah	Tiphsah
Tirhakah	Tirhakah
Tishbe	Tishbe
TIZ	Tiz
Toah	Toah
TOB	Tob
TOB-多尼雅	Tob-adonijah
Tohu	Tohu
Tolaite	Tolaite
Traconitis	Traconitis
Tryphena	Tryphena
ü	u
UEL	Uel
Ulai	Ulai
unoffered	unoffered
unsheath	unsheath
unstop	unstop
Uphaz	Uphaz
Uzai	Uzai
Uzzen-sheerah	Uzzen-sheerah
Uzzia	Uzzia
v	v
Vaizatha	Vaizatha
Vaniah	Vaniah
Vophsi	Vophsi
w ^	w
Waheb	Waheb
wakens	wakens
yeastless	yeastless
Yiron	Yiron
Zaanannim	Zaanannim
Zaavan	Zaavan
Zabdi	Zabdi
Zabdiel	Zabdiel
Zabud	Zabud
Zaccai	Zaccai
Zaham	Zaham
ZAIR	Zair
Zalaph	Zalaph
Zamzummites	Zamzummites
Zaphenath-paneah	Zaphenath-paneah
Zarethan	Zarethan
Α	Alpha
阿爾蒙 - diblathaim	Almon-diblathaim
基爾 - hareseth	Kir-hareseth
埃爾 - Elohe以色列	El-Elohe-Israel
古珊，rishathaim	Cushan-rishathaim
夏羅設-haggoyim	Harosheth-haggoyim
伊隆-bethhanan	Elon-bethhanan
米羅達巴拉 - 巴拉但	Merodach-baladan
巴力shalishah	Baal-shalishah
尼波-sarsekim	Nebo-sarsekim
夏瑣，hadattah	Hazor-hadattah
伯diblathaim	Beth-diblathaim
亞蘭，naharaim	Aram-naharaim
馬·沙爾·哈什·巴斯	Maher-shalal-hash-baz
西曷-libnath	Shihor-libnath
可人，happuch	Keren-happuch
伯marcaboth	Beth-marcaboth
伯jeshimoth	Beth-jeshimoth
阿達米，nekeb	Adami-nekeb
疏割，benoth	Succoth-benoth
尼格爾 - 沙利色	Nergal-sharezer
埃梅克-keziz	Emek-keziz
伯leaphrah	Beth-leaphrah
伯hakkerem	Beth-hakkerem
亞伯keramim	Abel-keramim
丕hahiroth	Pi-hahiroth
電話，melah	Tel-melah
電話，ASSAR	Tel-assar
阿貝爾 - 麥西	Abel-mizraim
長者的意思是鐵則	brother-in-law
貝內-berak	Bene-berak
羅ruhamah	Lo-ruhamah
的Quartus	Quartus
拉瑪 - 米斯巴	Ramath-mizpeh
恩mishpat	En-mishpat
弗-dammim	Ephes-dammim
巴力berith	Baal-berith
基列sepher	Kiriath-sepher
基列sannah	Kiriath-sannah
基列huzoth	Kiriath-huzoth
哈薩gaddah	Hazar-gaddah
取消抵押品贖回權	foreclose
佩雷斯 - 烏撒	Perez-uzzah
伯shittah	Beth-shittah
伯lebaoth	Beth-lebaoth
隨機存取存儲器	ram
阿里斯托布魯斯	Aristobulus
阿比 - 艾邦	Abi-albon
迦特 - 希弗	Gath-hepher
裡有長子耶利雅	Jeriah
萊博 - 哈馬	Lebo-hamath
米格代爾-EL	Migdal-el
米利巴，卡迪什	Meribah-kadesh
浴rabbim	Bath-rabbim
提出非分的要求	propositioned
拉末，內蓋夫沙	Ramoth-negev
恩haddah	En-haddah
恩gannim	En-gannim
恩eglaim	En-eglaim
巴西橡膠芽接樹	budded
巴爾 - 耶穌	Bar-Jesus
巴力zebub	Baal-zebub
埃貝德·梅萊奇	Ebed-melech
埃爾 - 聖地	El-bethel
埃爾 - 巴蘭	El-paran
哈薩susim	Hazar-susim
博爾 - 阿山	Bor-ashan
內森 - 米勒	Nathan-melech
伯pazzez	Beth-pazzez
伯haggan	Beth-haggan
伯ashbea	Beth-ashbea
亭拿 - 西拉	Timnath-serah
阿里斯塔克斯	Aristarchus
釘在十字架上	crucified
金屬加工工人	metalworkers
迪zahab	Di-zahab
赫利奧波利斯	Heliopolis
解析的源代碼	Parsin
美索不達米亞	Mesopotamia
的Timna	Timna
的Rumah	Rumah
的Jabal	Jabal
的FreeS	frees
沒有受過教育	uneducated
本 - 哈南	Ben-hanan
最值得驕傲的	proudest
摩利沙，迦特	Moresheth-gath
提革拉毗列色	Tiglath-pileser
拉末，吉利德	Ramoth-gilead
惡米羅達巴拉	Evil-merodach
恩rogel	En-rogel
希蘭-ABI	Huram-abi
崙 - 梅龍	Shimron-meron
富於同情心的	compassionate
奔hesed	Ben-hesed
奔deker	Ben-deker
基博羅哈他瓦	Kibroth-hattaavah
基列·阿爾巴	Kiriath-arba
埃塞俄比亞人	Ethiopians
啤酒葬在那裡	Beer-lahairoi
加略-希斯崙	Kerioth-hezron
加低斯巴尼亞	Kadesh-barnea
具有挑戰性的	challenging
健康的前瞻性	healthy-looking
但支派底伯利	Dibri
伯gamul	Beth-gamul
伯gader	Beth-gader
伯barah	Beth-barah
伯anoth	Beth-anoth
令人眼花繚亂	dazzling
亞大錄，亞達	Ataroth-addar
一概毫不介意	heeds
羅AMMI	Lo-ammi
河伯-IR	Rehoboth-ir
奔AMMI	Ben-ammi
伯EMEK	Beth-emek
