the	ðiː 
shut	ʃʌt 
feel	fiːl 
again	əˈgɛn 
supposed	səˈpəʊzd 
happening	ˈhæpnɪŋ 
before	bɪˈfɔː 
whoa	wəʊ 
expect	ɪksˈpɛkt 
promised	ˈprɒmɪst 
met	mɛt 
went	wɛnt 
trust	trʌst 
sir	sɜː 
medal	ˈmɛdl 
ha	hɑː 
nothing	ˈnʌθɪŋ 
ground	graʊnd 
feet	fiːt 
ready	ˈrɛdi 
rock	rɒk 
much	mʌʧ 
i'd	aɪd 
mine	maɪn 
had	hæd 
father	ˈfɑːðə 
happen	ˈhæpən 
circus	ˈsɜːkəs 
even	ˈiːvən 
watch	wɒʧ 
world	wɜːld 
any	ˈɛni 
knew	njuː 
ranger	ˈreɪnʤə 
by	baɪ 
cause	kɔːz 
america	əˈmɛrɪkə 
close	kləʊs 
fixed	fɪkst 
ouch	aʊʧ 
absolutely	ˈæbsəluːtli 
giving	ˈgɪvɪŋ 
taken	ˈteɪkən 
important	ɪmˈpɔːtənt 
must	mʌst 
poster	ˈpəʊstə 
imagine	ɪˈmæʤɪn 
open	ˈəʊpən 
hill	hɪl 
aren't	ɑːnt 
less	lɛs 
laying	ˈleɪɪŋ 
wouldn't	ˈwʊdnt 
ooh	uː 
bought	bɔːt 
wind	wɪnd 
hear	hɪə 
escaping	ɪsˈkeɪpɪŋ 
finally	ˈfaɪnəli 
may	meɪ 
their	ðeə 
said	sɛd 
organized	ˈɔːgənaɪzd 
after	ˈɑːftə 
valuable	ˈvæljʊəbl 
feed	fiːd 
than	ðæn 
makes	meɪks 
fetcher	ˈfɛʧə 
edwina	edwina 
ah	ɑː 
thought	θɔːt 
new	njuː 
dare	deə 
count	kaʊnt 
called	kɔːld 
discipline	ˈdɪsɪplɪn 
quick	kwɪk 
you'll	juːl 
roll	rəʊl 
yourself	jɔːˈsɛlf 
nice	naɪs 
morning	ˈmɔːnɪŋ 
tweedy's	tweedy's 
fool	fuːl 
gets	gɛts 
where'd	weəd 
hatches	ˈhæʧɪz 
larry	ˈlæri 
happy	ˈhæpi 
tooth	tuːθ 
gold	gəʊld 
flashing	ˈflæʃɪŋ 
chair	ʧeə 
rocking	ˈrɒkɪŋ 
gon'	gon' 
yeow	yeow 
er	eə 
paradise	ˈpærədaɪs 
fire	ˈfaɪə 
pedal	ˈpɛdl 
lower	ˈləʊə 
ramp	ræmp 
cap'n	cap'n 
throttle	ˈθrɒtl 
talking	ˈtɔːkɪŋ 
behind	bɪˈhaɪnd 
takeoff	takeoff 
wanderer	ˈwɒndərə 
town	taʊn 
roger	ˈrəʊʤə 
bum	bʌm 
ones	wʌnz 
medals	ˈmɛdlz 
squadron	ˈskwɒdrən 
saving	ˈseɪvɪŋ 
wanted	ˈwɒntɪd 
stars	stɑːz 
action	ˈækʃ(ə)n 
lose	luːz 
won't	wəʊnt 
hang	hæŋ 
hurry	ˈhʌri 
jerry	ˈʤɛri 
retaliation	rɪˌtælɪˈeɪʃən 
panic	ˈpænɪk 
mustn't	ˈmʌsnt 
blooming	ˈbluːmɪŋ 
box	bɒks 
apple	ˈæpl 
idiot	ˈɪdɪət 
machine	məˈʃiːn 
seems	siːmz 
attagirl	attagirl 
wine	waɪn 
hits	hɪts 
till	tɪl 
dance	dɑːns 
apparently	əˈpærəntli 
pulsing	ˈpʌlsɪŋ 
heavens	ˈhɛvnz 
ask	ɑːsk 
here's	hɪəz 
working	ˈwɜːkɪŋ 
truth	truːθ 
funny	ˈfʌni 
rule	ruːl 
hard-boiled	ˈhɑːdˈbɔɪld 
save	seɪv 
wrong	rɒŋ 
favorite	ˈfeɪvərɪt 
food	fuːd 
double	ˈdʌbl 
certain	ˈsɜːtn 
lie	laɪ 
thieving	ˈθiːvɪŋ 
guv	gʌv 
fish	fɪʃ 
seen	siːn 
meself	meself 
sleep	sliːp 
element	ˈɛlɪmənt 
calculations	ˌkælkjʊˈleɪʃənz 
quite	kwaɪt 
anyway	ˈɛnɪweɪ 
built	bɪlt 
boxes	ˈbɒksɪz 
poor	pʊə 
mate	meɪt 
week	wiːk 
worried	ˈwʌrid 
sound	saʊnd 
doesn't	dʌznt 
today	təˈdeɪ 
four	fɔː 
agnes	ˈægnəs 
pain	peɪn 
birds	bɜːdz 
poultry	ˈpəʊltri 
careful	ˈkeəfʊl 
flipping	ˈflɪpɪŋ 
obviously	ˈɒbvɪəsli 
gals	gælz 
flapping	ˈflæpɪŋ 
perfect	ˈpɜːfɪkt 
faster	ˈfɑːstə 
circles	ˈsɜːklz 
means	miːnz 
twice	twaɪs 
perseverance	ˌpɜːsɪˈvɪərəns 
takes	teɪks 
either	ˈaɪðə 
quarters	ˈkwɔːtəz 
outrageous	aʊtˈreɪʤəs 
room	ruːm 
comfortable	ˈkʌmfətəbl 
fancy	ˈfænsi 
sister	ˈsɪstə 
decided	dɪˈsaɪdɪd 
chick	ʧɪk 
kind	kaɪnd 
run	rʌn 
likes	laɪks 
guy	gaɪ 
type	taɪp 
leaving	ˈliːvɪŋ 
agree	əˈgriː 
pull	pʊl 
own	əʊn 
part	pɑːt 
cruel	krʊəl 
possible	ˈpɒsəbl 
point	pɔɪnt 
yep	jɛp 
road	rəʊd 
couldn't	ˈkʊdnt 
whole	həʊl 
chicks	ʧɪks 
red	rɛd 
mister	ˈmɪstə 
mind	maɪnd 
eating	ˈiːtɪŋ 
brave	breɪv 
home	həʊm 
eyes	aɪz 
i-i	aɪ-aɪ 
made	meɪd 
english	ˈɪŋglɪʃ 
wrapped	ræpt 
sprained	spreɪnd 
rather	ˈrɑːðə 
gotta	ˈgɒtə 
dark	dɑːk 
rooster	ˈruːstə 
professional	prəˈfɛʃənl 
quickly	ˈkwɪkli 
you've	juːv 
heaven	ˈhɛvn 
chance	ʧɑːns 
ducks	dʌks 
fantastic	fænˈtæstɪk 
such	sʌʧ 
farmers	ˈfɑːməz 
farmer	ˈfɑːmə 
where's	weəz 
ourselves	ˌaʊəˈsɛlvz 
fences	ˈfɛnsɪz 
empty	ˈɛmpti 
yet	jɛt 
farmer's	ˈfɑːməz 
em	ɛm 
escape	ɪsˈkeɪp 
ranks	ræŋks 
settle	ˈsɛtl 
clear	klɪə 
ridiculous	rɪˈdɪkjʊləs 
found	faʊnd 
profits	ˈprɒfɪts 
minuscule	ˈmɪnəskjuːl 
creatures	ˈkriːʧəz 
worthless	ˈwɜːθlɪs 
d-oh	diː-əʊ 
times	taɪmz 
nine	naɪn 
pay	peɪ 
others	ˈʌðəz 
job	ʤɒb 
big	bɪg 
voila	voila 
french	frɛnʧ 
coops	kuːps 
beautiful	ˈbjuːtəfʊl 
lovely	ˈlʌvli 
set	sɛt 
hut	hʌt 
tonight	təˈnaɪt 
yours	jɔːz 
five	faɪv 
laid	leɪd 
how's	haʊz 
welcome	ˈwɛlkəm 
attention	əˈtɛnʃ(ə)n 
senior	ˈsiːnjə 
you'd	juːd 
scramble	ˈskræmbl 
pip	pɪp 
late	leɪt 
stuck	stʌk 
credit	ˈkrɛdɪt 
ard	ard 
rats	ræts 
folk	fəʊk 
biz	bɪz 
shot	ʃɒt 
thinks	θɪŋks 
pillock	pillock 
gitface	gitface 
thanks	θæŋks 
pardon	ˈpɑːdn 
beg	bɛg 
enjoy	ɪnˈʤɔɪ 
listening	ˈlɪsnɪŋ 
mentioned	ˈmɛnʃənd 
lays	leɪz 
hatch	hæʧ 
conversely	ˈkɒnvɜːsli 
where'dit	where'dit 
wondering	ˈwʌndərɪŋ 
crack	kræk 
ha-ha	hɑːˈhɑː 
booth	buːð 
phone	fəʊn 
rumba	ˈrʌmbə 
small	smɔːl 
ohh	ohh 
overtake	ˌəʊvəˈteɪk 
cobblers	ˈkɒbləz 
eat	iːt 
cricket	ˈkrɪkɪt 
play	pleɪ 
imagined	ɪˈmæʤɪnd 
imperative	ɪmˈpɛrətɪv 
safety	ˈseɪfti 
sad	sæd 
prang	præŋ 
fearful	ˈfɪəfʊl 
heading	ˈhɛdɪŋ 
altitude	ˈæltɪtjuːd 
losing	ˈluːzɪŋ 
drumsticks	ˈdrʌmstɪks 
pedaling	ˈpɛdlɪŋ 
twee	twee 
bird	bɜːd 
bombs	bɒmz 
ammo	ˈæməʊ 
giblets	ˈʤɪblɪts 
velocity	vɪˈlɒsɪti 
increase	ˈɪnkriːs 
bingo	ˈbɪŋgəʊ 
scissors	ˈsɪzəz 
goodness	ˈgʊdnɪs 
engines	ˈɛnʤɪnz 
cling-on	klɪŋ-ɒn 
scott	skɒt 
runway	ˈrʌnweɪ 
mother	ˈmʌðə 
gotcha	ˈgɒʧə 
miracles	ˈmɪrəklz 
cannot	ˈkænɒt 
power	ˈpaʊə 
cleared	klɪəd 
contact	ˈkɒntækt 
duty	ˈdjuːti 
reporting	rɪˈpɔːtɪŋ 
t	tiː 
commander	kəˈmɑːndə 
sausage	ˈsɒsɪʤ 
aircraft	ˈeəkrɑːft 
complex	ˈkɒmplɛks 
controls	kənˈtrəʊlz 
plane	pleɪn 
mascots	ˈmæskəts 
division	dɪˈvɪʒən 
contraption	kənˈtræpʃən 
pilot	ˈpaɪlət 
knees	niːz 
between	bɪˈtwiːn 
emergency	ɪˈmɜːʤənsi 
event	ɪˈvɛnt 
likely	ˈlaɪkli 
located	ləʊˈkeɪtɪd 
exits	ˈɛksɪts 
choices	ˈʧɔɪsɪz 
revolting	rɪˈvəʊltɪŋ 
aaaah	aaaah 
attack	əˈtæk 
buggers	ˈbʌgəz 
tools	tuːlz 
boy	bɔɪ 
travel	ˈtrævl 
car	kɑː 
girl	gɜːl 
falling	ˈfɔːlɪŋ 
myself	maɪˈsɛlf 
hand	hænd 
secure	sɪˈkjʊə 
gnomes	ˈnəʊmiːz 
dickens	ˈdɪkɪnz 
advance	ədˈvɑːns 
payment	ˈpeɪmənt 
list	lɪst 
item	ˈaɪtəm 
mum	mʌm 
lady	ˈleɪdi 
roosters	ˈruːstəz 
advisor	ədˈvaɪzə 
aviation	ˌeɪvɪˈeɪʃ(ə)n 
chief	ʧiːf 
manufacturing	ˌmænjʊˈfækʧərɪŋ 
engineering	ˌɛnʤɪˈnɪərɪŋ 
handle	ˈhændl 
provided	prəˈvaɪdɪd 
fowler's	ˈfaʊləz 
able	ˈeɪbl 
duffed	dʌft 
weather	ˈwɛðə 
go-ahead	ˈgəʊəhɛd 
given	ˈgɪvn 
ops	ops
recce	recce 
story	ˈstɔːri 
beautifully	ˈbjuːtəfʊli 
gorgeous	ˈgɔːʤəs 
ahh	ahh 
offer	ˈɒfə 
a-as	ə-æz 
forgive	fəˈgɪv 
madam	ˈmædəm 
wizard	ˈwɪzəd 
co	kəʊ 
charlie	ˈʧɑːli 
tail-end	ˈteɪlˈɛnd 
whizzbang	ˈwɪzbæŋ 
map	mæp 
flappy	flappy 
stick	stɪk 
jocko	ˈʤɒkəʊ 
proper	ˈprɒpə 
conquer	ˈkɒŋkə 
divide	dɪˈvaɪd 
precisely	prɪˈsaɪsli 
dissension	dɪˈsɛnʃən 
four-eyes	fɔːr-aɪz 
push	pʊʃ 
hitting	ˈhɪtɪŋ 
knitting	ˈnɪtɪŋ 
infernal	ɪnˈfɜːnl 
pastry	ˈpeɪstri 
next	nɛkst 
american	əˈmɛrɪkən 
fake	feɪk 
cannon	ˈkænən 
r-rocky	ɑː-ˈrɒki 
everyone's	ˈɛvrɪwʌnz 
knock-knock	nɒk-nɒk 
warming	ˈwɔːmɪŋ 
girls	gɜːlz 
today's	təˈdeɪz 
company	ˈkʌmpəni 
closer	ˈkləʊsə 
looking	ˈlʊkɪŋ 
prickly	ˈprɪkli 
brown	braʊn 
greener	ˈgriːnə 
cracked	krækt 
disappointments	ˌdɪsəˈpɔɪntmənts 
stuff	stʌf 
ranging	ˈreɪnʤɪŋ 
experienced	ɪksˈpɪərɪənst 
y-you	waɪ-juː 
hills	hɪlz 
rambling	ˈræmblɪŋ 
beneath	bɪˈniːθ 
felt	fɛlt 
lives	lɪvz 
harsh	hɑːʃ 
ahead	əˈhɛd 
since	sɪns 
both	bəʊθ 
anticipation	ænˌtɪsɪˈpeɪʃ(ə)n 
demonstration	ˌdɛmənsˈtreɪʃən 
tomorrow's	təˈmɒrəʊz 
await	əˈweɪt 
entirely	ɪnˈtaɪəli 
surrender	səˈrɛndə 
occasion	əˈkeɪʒən 
honor	ˈɒnə 
salute	səˈluːt 
bravery	ˈbreɪvəri 
present	ˈprɛznt 
character	ˈkærɪktə 
misjudged	ˌmɪsˈʤʌʤd 
admit	ədˈmɪt 
dutifully	ˈdjuːtɪfʊli 
evening	ˈiːvnɪŋ 
light	laɪt 
deed	diːd 
honorable	ˈɒnərəbl 
smoother	ˈsmuːðə 
everything's	ˈɛvrɪθɪŋz 
once	wʌns 
sabotaged	ˈsæbətɑːʒd 
meant	mɛnt 
gravy	ˈgreɪvi 
owt	owt 
pudding	ˈpʊdɪŋ 
blow	bləʊ 
door	dɔː 
com	kɒm 
oven	ˈʌvn 
oops	uːps 
dough	dəʊ 
vegetables	ˈvɛʤɪtəblz 
mixed	mɪkst 
shoot	ʃuːt 
yo	jəʊ 
brilliant	ˈbrɪljənt 
size	saɪz 
boost	buːst 
trousers	ˈtraʊzəz 
catch	kæʧ 
surprise	səˈpraɪz 
they'd	ðeɪd 
laddie	ˈlædi 
chops	ʧɒps 
taking	ˈteɪkɪŋ 
calls	kɔːlz 
prisoner	ˈprɪznə 
enemy	ˈɛnɪmi 
they've	ðeɪv 
heck	hɛk 
score	skɔː 
public	ˈpʌblɪk 
touch	tʌʧ 
woman's	ˈwʊmənz 
missus	ˈmɪsɪz 
homemade	ˈhəʊmˈmeɪd 
upon	əˈpɒn 
stocked	stɒkt 
county	ˈkaʊnti 
grocers'	ˈgrəʊsəz 
fortnight	ˈfɔːtnaɪt 
lummox	ˈlʌməks 
champion	ˈʧæmpjən 
soft	sɒft 
turning	ˈtɜːnɪŋ 
cared	keəd 
apology	əˈpɒləʤi 
owe	əʊ 
looks	lʊks 
babsy	babsy 
worthwhile	ˈwɜːθˈwaɪl 
moments	ˈməʊmənts 
nancy	ˈnænsi 
sobbing	ˈsɒbɪŋ 
authorizing	ˈɔːθəraɪzɪŋ 
recall	rɪˈkɔːl 
gal	gæl 
flow	fləʊ 
body	ˈbɒdi 
through	θruː 
beat	biːt 
nellypodging	nellypodging 
feathers	ˈfɛðəz 
tail	teɪl 
shake	ʃeɪk 
kick	kɪk 
yolker	ˈjəʊkə 
solid	ˈsɒlɪd 
craftsmanship	ˈkrɑːftsmənʃɪp 
biblical	ˈbɪblɪkəl 
receive	rɪˈsiːv 
assure	əˈʃʊə 
hope	həʊp 
anything	ˈɛnɪθɪŋ 
happens	ˈhæpənz 
honest	ˈɒnɪst 
difficult	ˈdɪfɪkəlt 
perform	pəˈfɔːm 
advice	ədˈvaɪs 
hasn't	ˈhæznt 
charm	ʧɑːm 
death	dɛθ 
mention	ˈmɛnʃən 
someone	ˈsʌmwʌn 
motivate	ˈməʊtɪveɪt 
lighten	ˈlaɪtn 
minutes	ˈmɪnɪts 
alert	əˈlɜːt 
heavy	ˈhɛvi 
fattening	ˈfætnɪŋ 
extra	ˈɛkstrə 
chop	ʧɒp 
stops	stɒps 
barn	bɑːn 
arrive	əˈraɪv 
strange	streɪnʤ 
boring	ˈbɔːrɪŋ 
flashed	flæʃt 
fat	fæt 
rations	ˈræʃənz 
busy	ˈbɪzi 
offense	əˈfɛns 
release	rɪˈliːs 
killing	ˈkɪlɪŋ 
tension's	ˈtɛnʃənz 
exercise	ˈɛksəsaɪz 
helper	ˈhɛlpə 
sweetheart	ˈswiːthɑːt 
thrrrust	thrrrust 
truths	truːðz 
omitted	əˈmɪtɪd 
lied	laɪd 
sucker	ˈsʌkə 
business	ˈbɪznɪs 
pleasure	ˈplɛʒə 
posted	ˈpəʊstɪd 
speak	spiːk 
brewing	ˈbruːɪŋ 
installment	ɪnˈstɔːlmənt 
month	mʌnθ 
bright	braɪt 
gone	gɒn 
parasites	ˈpærəsaɪts 
light-fingered	ˈlaɪtˌfɪŋgəd 
sneakiest	ˈsniːkɪɪst 
doubt	daʊt 
each	iːʧ 
crooks	krʊks 
spanish	ˈspænɪʃ 
merchandiso	merchandiso 
el	ɛl 
norbert	norbert 
slipped	slɪpt 
wish	wɪʃ 
piece	piːs 
guv'nor	guv'nor 
beaut	beaut 
cock-a-doodle-doo	kɒk-ə-ˈduːdl-doo 
case	keɪs 
rock's	rɒks 
angel	ˈeɪnʤəl 
tight	taɪt 
shell	ʃɛl 
flyboy	flyboy 
find	faɪnd 
hiding	ˈhaɪdɪŋ 
results	rɪˈzʌlts 
excuse	ɪksˈkjuːs 
words	wɜːdz 
using	ˈjuːzɪŋ 
swear	sweə 
geese	giːs 
key	kiː 
figured	ˈfɪgəd 
lifted	ˈlɪftɪd 
running	ˈrʌnɪŋ 
rapidly	ˈræpɪdli 
compare	kəmˈpeə 
gifted	ˈgɪftɪd 
oranges	ˈɒrɪnʤɪz 
apples	ˈæplz 
learn	lɜːn 
flown	fləʊn 
punch	pʌnʧ 
packs	pæks 
cutest	ˈkjuːtɪst 
warmer	ˈwɔːmə 
beak	biːk 
swell	swɛl 
thoughts	θɔːts 
flighty	ˈflaɪti 
thinking	ˈθɪŋkɪŋ 
tips	tɪps 
remember	rɪˈmɛmbə 
cocktail	ˈkɒkteɪl 
fella	ˈfɛlə 
horse	hɔːs 
says	sɛz 
pig	pɪg 
ticket	ˈtɪkɪt 
trusted	ˈtrʌstɪd 
young	jʌŋ 
beware	bɪˈweə 
suffice	səˈfaɪs 
simple	ˈsɪmpl 
nanny	ˈnæni 
being	ˈbiːɪŋ 
nowhere	ˈnəʊweə 
questions	ˈkwɛsʧənz 
believe	bɪˈliːv 
saw	sɔː 
calculating	ˈkælkjʊleɪtɪŋ 
doom	duːm 
voice	vɔɪs 
hate	heɪt 
hay	heɪ 
softer	ˈsɒftə 
whatever's	wɒtˈɛvəz 
longer	ˈlɒŋgə 
melisha	melisha 
production	prəˈdʌkʃən 
automated	ˈɔːtəmeɪtɪd 
full-scale	ˈfʊlˈskeɪl 
ages	ˈeɪʤɪz 
change	ʧeɪnʤ 
nothings	ˈnʌθɪŋz 
fathers	ˈfɑːðəz 
collection	kəˈlɛkʃən 
petty	ˈpɛti 
wasting	ˈweɪstɪŋ 
future	ˈfjuːʧə 
cheers	ʧɪəz 
within	wɪˈðɪn 
charge	ʧɑːʤ 
rest	rɛst 
immediately	ɪˈmiːdjətli 
officer's	ˈɒfɪsəz 
lunatic	ˈluːnətɪk 
awarded	əˈwɔːdɪd 
shaking	ˈʃeɪkɪŋ 
ground's	graʊndz 
cheese-eating	ʧiːz-ˈiːtɪŋ 
process	ˈprəʊsɛs 
roof	ruːf 
ducky	ˈdʌki 
faith	feɪθ 
positive	ˈpɒzətɪv 
friend	frɛnd 
feather	ˈfɛðə 
motion	ˈməʊʃən 
scrambled	ˈskræmbld 
definitely	ˈdɛfɪnɪtli 
sunny-side	ˈsʌni-saɪd 
themselves	ðəmˈsɛlvz 
fetch	fɛʧ 
hell	hɛl 
caper	ˈkeɪpə 
raining	ˈreɪnɪŋ 
senses	ˈsɛnsɪz 
attila	attila 
anymore	ˌɛniˈmɔː 
walk	wɔːk 
certainly	ˈsɜːtnli 
dizzy	ˈdɪzi 
cut	kʌt 
progress	ˈprəʊgrəs 
relax	rɪˈlæks 
involved	ɪnˈvɒlvd 
usually	ˈjuːʒʊəli 
spot	spɒt 
pecking	ˈpɛkɪŋ 
team	tiːm 
codswallop	codswallop 
overnight	ˌəʊvəˈnaɪt 
huh	hʌ 
breath	brɛθ 
smell	smɛl 
wing's	wɪŋz 
scoot	skuːt 
choice	ʧɔɪs 
weren't	wɜːnt 
noncommissioned	noncommissioned 
share	ʃeə 
asking	ˈɑːskɪŋ 
end	ɛnd 
held	hɛld 
hideout	ˈhaɪdˈaʊt 
maybe	ˈmeɪbiː 
vulture	ˈvʌlʧə 
freedom	ˈfriːdəm 
emphasis	ˈɛmfəsɪs 
torch	tɔːʧ 
sure	ʃʊə 
finds	faɪndz 
what'll	ˈwɒt(ə)l 
crazy	ˈkreɪzi 
cute	kjuːt 
shouldn't	ʃʊdnt 
reason	ˈriːzn 
should	ʃʊd 
low	ləʊ 
suicide	ˈsjʊɪsaɪd 
stunt	stʌnt 
certifiable	ˈsɜːtɪfaɪəbl 
straight	streɪt 
minute	ˈmɪnɪt 
bust	bʌst 
birdcage	ˈbɜːdkeɪʤ 
besides	bɪˈsaɪdz 
problems	ˈprɒbləmz 
understand	ˌʌndəˈstænd 
used	juːzd 
properly	ˈprɒpəli 
situation	ˌsɪtjʊˈeɪʃən 
explain	ɪksˈpleɪn 
exit	ˈɛksɪt 
hearing	ˈhɪərɪŋ 
born	bɔːn 
calling	ˈkɔːlɪŋ 
shh	shh 
amen	ˈɑːˈmɛn 
blows	bləʊz 
pack	pæk 
style	staɪl 
nope	nəʊp 
hi	haɪ 
barnyard	ˈbɑːnˌjɑːd 
nature	ˈneɪʧə 
traveler	ˈtrævlə 
england	ˈɪŋglənd 
brings	brɪŋz 
miracle	ˈmɪrəkl 
prayers	preəz 
desperate	ˈdɛspərɪt 
group	gruːp 
wants	wɒnts 
catchy	ˈkæʧi 
short	ʃɔːt 
island	ˈaɪlənd 
rhode	ˈrəʊd 
name's	neɪmz 
grandpa	ˈgrænpɑː 
oversexed	ˌəʊvəˈsɛkst 
overpaid	ˌəʊvəˈpeɪd 
war	wɔː 
showing	ˈʃəʊɪŋ 
americans	əˈmɛrɪkənz 
pushy	ˈpʊʃi 
poppycock	ˈpɒpɪkɒk 
scotland	ˈskɒtlənd 
land	lænd 
illegal	ɪˈliːgəl 
cockfighting's	ˈkɒkˌfaɪtɪŋz 
far	fɑː 
excit	excit 
rude	ruːd 
top	tɒp 
carried	ˈkærid 
bandage	ˈbændɪʤ 
tweak	twiːk 
wee	wiː 
gave	geɪv 
tendon	ˈtɛndən 
anterior	ænˈtɪərɪə 
fall	fɔːl 
nasty	ˈnɑːsti 
took	tʊk 
happened	ˈhæpənd 
