the	ðiː 	thē 
trying	ˈtraɪɪŋ 	trīing 
think	θɪŋk 	thingk 
show	ʃəʊ 	shəoo 
never	ˈnɛvə 	névə 
those	ðəʊz 	thəooz 
off	ɒf 	of 
would	wʊd 	wood 
want	wɒnt 	wont 
when	wɛn 	wén 
call	kɔːl 	kôl 
pies	paɪz 	pīz 
flip	flɪp 	flip 
mrs	mrs 	mrs 
really	ˈrɪəli 	rēəlē 
wait	weɪt 	wāt 
lay	leɪ 	lā 
great	greɪt 	grāt 
free	friː 	frē 
he's	hiːz 	hēz 
there's	ðeəz 	thãz 
were	wɜː 	wû 
down	daʊn 	down 
keep	kiːp 	kēp 
quiet	ˈkwaɪət 	kwīət 
something	ˈsʌmθɪŋ 	sumthing 
two	tuː 	tū 
need	niːd 	nēd 
we've	wiːv 	wēv 
coming	ˈkʌmɪŋ 	kuming 
baby	ˈbeɪbi 	bābē 
flew	fluː 	flū 
stop	stɒp 	stop 
hide	haɪd 	hīd 
around	əˈraʊnd 	ərownd 
hard	hɑːd 	häd 
which	wɪʧ 	wich 
okay	ˈəʊˈkeɪ 	əookā 
did	dɪd 	did 
course	kɔːs 	kôs 
rhodes	ˈrəʊdz 	rəoodz 
very	ˈvɛri 	vérē 
his	hɪz 	hiz 
grass	grɑːs 	gräs 
better	ˈbɛtə 	bétə 
because	bɪˈkɒz 	bikoz 
always	ˈɔːlweɪz 	ôlwāz 
still	stɪl 	stil 
bunty	bunty 	būnty 
away	əˈweɪ 	əwā 
love	lʌv 	luv 
thrust	θrʌst 	thrust 
bunk	bʌŋk 	bungk 
tomorrow	təˈmɒrəʊ 	təmorəoo 
every	ˈɛvri 	évrē 
has	hæz 	haz 
life	laɪf 	līf 
take	teɪk 	tāk 
please	pliːz 	plēz 
everyone	ˈɛvrɪwʌn 	évriwun 
she's	ʃiːz 	shēz 
could	kʊd 	kood 
mac	mæk 	mak 
bit	bɪt 	bit 
holiday	ˈhɒlədeɪ 	holədā 
let	lɛt 	lét 
make	meɪk 	māk 
teach	tiːʧ 	tēch 
deal	diːl 	dēl 
doing	ˈdu(ː)ɪŋ 	dūing 
kiss	kɪs 	kis 
sorry	ˈsɒri 	sorē 
aye	eɪ 	ā 
flap	flæp 	flap 
little	ˈlɪtl 	litl 
side	saɪd 	sīd 
hold	həʊld 	həoold 
kill	kɪl 	kil 
listen	ˈlɪsn 	lisn 
answer	ˈɑːnsə 	änsə 
um	əm 	əm 
exactly	ɪgˈzæktli 	igzaktlē 
yank	jæŋk 	yangk 
face	feɪs 	fās 
does	dʌz 	duz 
who	huː 	hū 
problem	ˈprɒbləm 	probləm 
might	maɪt 	mīt 
haven't	hævnt 	havnt 
real	rɪəl 	rēəl 
three	θriː 	thrē 
too	tuː 	tū 
these	ðiːz 	thēz 
thank	θæŋk 	thangk 
things	θɪŋz 	thingz 
hen	hɛn 	hén 
crate	kreɪt 	krāt 
f	ɛf 	éf 
r	ɑː 	ä 
left	lɛft 	léft 
along	əˈlɒŋ 	əlong 
comes	kʌmz 	kumz 
bye-bye	ˈbaɪbaɪ 	bībī 
without	wɪˈðaʊt 	withowt 
guys	gaɪz 	gīz 
other	ˈʌðə 	uthə 
fine	faɪn 	fīn 
put	pʊt 	poot 
shall	ʃæl 	shal 
feeling	ˈfiːlɪŋ 	fēling 
everything	ˈɛvrɪθɪŋ 	évrithing 
turn	tɜːn 	tûn 
wanna	ˈwɒnə 	wonə 
roam	rəʊm 	rəoom 
worry	ˈwʌri 	wurē 
doll	dɒl 	dol 
name	neɪm 	nām 
lone	ləʊn 	ləoon 
fact	fækt 	fakt 
done	dʌn 	dun 
dollface	dollface 	dollface 
ain't	eɪnt 	ānt 
pops	pɒps 	pops 
easy	ˈiːzi 	ēzē 
together	təˈgɛðə 	təgéthə 
start	stɑːt 	stät 
ladies	ˈleɪdɪz 	lādiz 
help	hɛlp 	hélp 
am	æm 	am 
place	pleɪs 	plās 
heads	hɛdz 	hédz 
round	raʊnd 	rownd 
getting	ˈgɛtɪŋ 	géting 
perhaps	pəˈhæps 	pəhaps 
most	məʊst 	məoost 
stupid	ˈstjuːpɪd 	styüpid 
same	seɪm 	sām 
making	ˈmeɪkɪŋ 	māking 
or	ɔː 	ô 
miss	mɪs 	mis 
word	wɜːd 	wûd 
under	ˈʌndə 	undə 
tried	traɪd 	trīd 
chocks	ʧɒks 	choks 
hop	hɒp 	hop 
officer	ˈɒfɪsə 	ofisə 
days	deɪz 	dāz 
order	ˈɔːdə 	ôdə 
ya	jə 	yə 
fence	fɛns 	féns 
rolling	ˈrəʊlɪŋ 	rəooling 
blues	bluːz 	blūz 
force	fɔːs 	fôs 
air	eə 	ã 
royal	ˈrɔɪəl 	rôēəl 
only	ˈəʊnli 	əoonlē 
told	təʊld 	təoold 
full	fʊl 	fool 
actually	ˈækʧʊəli 	akchüəlē 
night	naɪt 	nīt 
waiting	ˈweɪtɪŋ 	wāting 
pie	paɪ 	pī 
glad	glæd 	glad 
shut	ʃʌt 	shut 
feel	fiːl 	fēl 
again	əˈgɛn 	əgén 
supposed	səˈpəʊzd 	səpəoozd 
happening	ˈhæpnɪŋ 	hapning 
before	bɪˈfɔː 	bifô 
whoa	wəʊ 	wəoo 
expect	ɪksˈpɛkt 	ikspékt 
promised	ˈprɒmɪst 	promist 
met	mɛt 	mét 
went	wɛnt 	wént 
trust	trʌst 	trust 
sir	sɜː 	sû 
medal	ˈmɛdl 	médl 
ha	hɑː 	hä 
nothing	ˈnʌθɪŋ 	nuthing 
ground	graʊnd 	grownd 
feet	fiːt 	fēt 
ready	ˈrɛdi 	rédē 
rock	rɒk 	rok 
much	mʌʧ 	much 
i'd	aɪd 	īd 
mine	maɪn 	mīn 
had	hæd 	had 
father	ˈfɑːðə 	fäthə 
happen	ˈhæpən 	hapən 
circus	ˈsɜːkəs 	sûkəs 
even	ˈiːvən 	ēvən 
watch	wɒʧ 	woch 
world	wɜːld 	wûld 
any	ˈɛni 	énē 
knew	njuː 	nyü 
ranger	ˈreɪnʤə 	rānyə 
by	baɪ 	bī 
cause	kɔːz 	kôz 
america	əˈmɛrɪkə 	əmérikə 
close	kləʊs 	kləoos 
fixed	fɪkst 	fikst 
ouch	aʊʧ 	owch 
absolutely	ˈæbsəluːtli 	absəlūtlē 
giving	ˈgɪvɪŋ 	giving 
taken	ˈteɪkən 	tākən 
important	ɪmˈpɔːtənt 	impôtənt 
must	mʌst 	must 
poster	ˈpəʊstə 	pəoostə 
imagine	ɪˈmæʤɪn 	imayin 
open	ˈəʊpən 	əoopən 
hill	hɪl 	hil 
aren't	ɑːnt 	änt 
less	lɛs 	lés 
laying	ˈleɪɪŋ 	lāing 
wouldn't	ˈwʊdnt 	woodnt 
ooh	uː 	ū 
bought	bɔːt 	bôt 
wind	wɪnd 	wind 
hear	hɪə 	hēə 
escaping	ɪsˈkeɪpɪŋ 	iskāping 
finally	ˈfaɪnəli 	fīnəlē 
may	meɪ 	mā 
their	ðeə 	thã 
said	sɛd 	séd 
organized	ˈɔːgənaɪzd 	ôgənīzd 
after	ˈɑːftə 	äftə 
valuable	ˈvæljʊəbl 	valyüəbl 
feed	fiːd 	fēd 
than	ðæn 	than 
makes	meɪks 	māks 
fetcher	ˈfɛʧə 	féchə 
edwina	edwina 	edwēna 
ah	ɑː 	ä 
thought	θɔːt 	thôt 
new	njuː 	nyü 
dare	deə 	dã 
count	kaʊnt 	kownt 
called	kɔːld 	kôld 
discipline	ˈdɪsɪplɪn 	disiplin 
quick	kwɪk 	kwik 
you'll	juːl 	yül 
roll	rəʊl 	rəool 
yourself	jɔːˈsɛlf 	yôsélf 
nice	naɪs 	nīs 
morning	ˈmɔːnɪŋ 	môning 
tweedy's	tweedy's 	tweedy's 
fool	fuːl 	fūl 
gets	gɛts 	géts 
where'd	weəd 	wãd 
hatches	ˈhæʧɪz 	hachiz 
larry	ˈlæri 	larē 
happy	ˈhæpi 	hapē 
tooth	tuːθ 	tūth 
gold	gəʊld 	gəoold 
flashing	ˈflæʃɪŋ 	flashing 
chair	ʧeə 	chã 
rocking	ˈrɒkɪŋ 	roking 
gon'	gon' 	gon' 
yeow	yeow 	yeow 
er	eə 	ã 
paradise	ˈpærədaɪs 	parədīs 
fire	ˈfaɪə 	fīə 
pedal	ˈpɛdl 	pédl 
lower	ˈləʊə 	ləüə 
ramp	ræmp 	ramp 
cap'n	cap'n 	cap'n 
throttle	ˈθrɒtl 	throtl 
talking	ˈtɔːkɪŋ 	tôking 
behind	bɪˈhaɪnd 	bihīnd 
takeoff	takeoff 	takeoff 
wanderer	ˈwɒndərə 	wondərə 
town	taʊn 	town 
roger	ˈrəʊʤə 	rəooyə 
bum	bʌm 	bum 
ones	wʌnz 	wunz 
medals	ˈmɛdlz 	médlz 
squadron	ˈskwɒdrən 	skwodrən 
saving	ˈseɪvɪŋ 	sāving 
wanted	ˈwɒntɪd 	wontid 
stars	stɑːz 	stäz 
action	ˈækʃ(ə)n 	akshən 
lose	luːz 	lūz 
won't	wəʊnt 	wəoont 
hang	hæŋ 	hang 
hurry	ˈhʌri 	hurē 
jerry	ˈʤɛri 	yérē 
retaliation	rɪˌtælɪˈeɪʃən 	ritaliāshən 
panic	ˈpænɪk 	panik 
mustn't	ˈmʌsnt 	musnt 
blooming	ˈbluːmɪŋ 	blūming 
box	bɒks 	boks 
apple	ˈæpl 	apl 
idiot	ˈɪdɪət 	idēət 
machine	məˈʃiːn 	məshēn 
seems	siːmz 	sēmz 
attagirl	attagirl 	attagērl 
wine	waɪn 	wīn 
hits	hɪts 	hits 
till	tɪl 	til 
dance	dɑːns 	däns 
apparently	əˈpærəntli 	əparəntlē 
pulsing	ˈpʌlsɪŋ 	pulsing 
heavens	ˈhɛvnz 	hévnz 
ask	ɑːsk 	äsk 
here's	hɪəz 	hēəz 
working	ˈwɜːkɪŋ 	wûking 
truth	truːθ 	trūth 
funny	ˈfʌni 	funē 
rule	ruːl 	rūl 
hard-boiled	ˈhɑːdˈbɔɪld 	hädboēld 
save	seɪv 	sāv 
wrong	rɒŋ 	rong 
favorite	ˈfeɪvərɪt 	fāvərit 
food	fuːd 	fūd 
double	ˈdʌbl 	dubl 
certain	ˈsɜːtn 	sûtn 
lie	laɪ 	lī 
thieving	ˈθiːvɪŋ 	thēving 
guv	gʌv 	guv 
fish	fɪʃ 	fish 
seen	siːn 	sēn 
meself	meself 	meself 
sleep	sliːp 	slēp 
element	ˈɛlɪmənt 	élimənt 
calculations	ˌkælkjʊˈleɪʃənz 	kalkyoolāshənz 
quite	kwaɪt 	kwīt 
anyway	ˈɛnɪweɪ 	éniwā 
built	bɪlt 	bilt 
boxes	ˈbɒksɪz 	boksiz 
poor	pʊə 	püə 
mate	meɪt 	māt 
week	wiːk 	wēk 
worried	ˈwʌrid 	wurēd 
sound	saʊnd 	sownd 
doesn't	dʌznt 	duznt 
today	təˈdeɪ 	tədā 
four	fɔː 	fô 
agnes	ˈægnəs 	agnəs 
pain	peɪn 	pān 
birds	bɜːdz 	bûdz 
poultry	ˈpəʊltri 	pəooltrē 
careful	ˈkeəfʊl 	kãfool 
flipping	ˈflɪpɪŋ 	fliping 
obviously	ˈɒbvɪəsli 	obvēəslē 
gals	gælz 	galz 
flapping	ˈflæpɪŋ 	flaping 
perfect	ˈpɜːfɪkt 	pûfikt 
faster	ˈfɑːstə 	fästə 
circles	ˈsɜːklz 	sûklz 
means	miːnz 	mēnz 
twice	twaɪs 	twīs 
perseverance	ˌpɜːsɪˈvɪərəns 	pûsivēərəns 
takes	teɪks 	tāks 
either	ˈaɪðə 	īthə 
quarters	ˈkwɔːtəz 	kwôtəz 
outrageous	aʊtˈreɪʤəs 	owtrāyəs 
room	ruːm 	rūm 
comfortable	ˈkʌmfətəbl 	kumfətəbl 
fancy	ˈfænsi 	fansē 
sister	ˈsɪstə 	sistə 
decided	dɪˈsaɪdɪd 	disīdid 
chick	ʧɪk 	chik 
kind	kaɪnd 	kīnd 
run	rʌn 	run 
likes	laɪks 	līks 
guy	gaɪ 	gī 
type	taɪp 	tīp 
leaving	ˈliːvɪŋ 	lēving 
agree	əˈgriː 	əgrē 
pull	pʊl 	pool 
own	əʊn 	əoon 
part	pɑːt 	pät 
cruel	krʊəl 	krüəl 
possible	ˈpɒsəbl 	posəbl 
point	pɔɪnt 	poēnt 
yep	jɛp 	yép 
road	rəʊd 	rəood 
couldn't	ˈkʊdnt 	koodnt 
whole	həʊl 	həool 
chicks	ʧɪks 	chiks 
red	rɛd 	réd 
mister	ˈmɪstə 	mistə 
mind	maɪnd 	mīnd 
eating	ˈiːtɪŋ 	ēting 
brave	breɪv 	brāv 
home	həʊm 	həoom 
eyes	aɪz 	īz 
i-i	aɪ-aɪ 	ī-ī 
made	meɪd 	mād 
english	ˈɪŋglɪʃ 	ingglish 
wrapped	ræpt 	rapt 
sprained	spreɪnd 	sprānd 
rather	ˈrɑːðə 	räthə 
gotta	ˈgɒtə 	gotə 
dark	dɑːk 	däk 
rooster	ˈruːstə 	rūstə 
professional	prəˈfɛʃənl 	prəféshənl 
quickly	ˈkwɪkli 	kwiklē 
you've	juːv 	yüv 
heaven	ˈhɛvn 	hévn 
chance	ʧɑːns 	chäns 
ducks	dʌks 	duks 
fantastic	fænˈtæstɪk 	fantastik 
such	sʌʧ 	such 
farmers	ˈfɑːməz 	fäməz 
farmer	ˈfɑːmə 	fämə 
where's	weəz 	wãz 
ourselves	ˌaʊəˈsɛlvz 	owəsélvz 
fences	ˈfɛnsɪz 	fénsiz 
empty	ˈɛmpti 	émptē 
yet	jɛt 	yét 
farmer's	ˈfɑːməz 	fäməz 
em	ɛm 	ém 
escape	ɪsˈkeɪp 	iskāp 
ranks	ræŋks 	rangks 
settle	ˈsɛtl 	sétl 
clear	klɪə 	klēə 
ridiculous	rɪˈdɪkjʊləs 	ridikyooləs 
found	faʊnd 	fownd 
profits	ˈprɒfɪts 	profits 
minuscule	ˈmɪnəskjuːl 	minəskyül 
creatures	ˈkriːʧəz 	krēchəz 
worthless	ˈwɜːθlɪs 	wûthlis 
d-oh	diː-əʊ 	dē-əoo 
times	taɪmz 	tīmz 
nine	naɪn 	nīn 
pay	peɪ 	pā 
others	ˈʌðəz 	uthəz 
job	ʤɒb 	yob 
big	bɪg 	big 
voila	voila 	voēla 
french	frɛnʧ 	frénch 
coops	kuːps 	kūps 
beautiful	ˈbjuːtəfʊl 	byütəfool 
lovely	ˈlʌvli 	luvlē 
set	sɛt 	sét 
hut	hʌt 	hut 
tonight	təˈnaɪt 	tənīt 
yours	jɔːz 	yôz 
five	faɪv 	fīv 
laid	leɪd 	lād 
how's	haʊz 	howz 
welcome	ˈwɛlkəm 	wélkəm 
attention	əˈtɛnʃ(ə)n 	əténshən 
senior	ˈsiːnjə 	sēnyə 
you'd	juːd 	yüd 
scramble	ˈskræmbl 	skrambl 
pip	pɪp 	pip 
late	leɪt 	lāt 
stuck	stʌk 	stuk 
credit	ˈkrɛdɪt 	krédit 
ard	ard 	ard 
rats	ræts 	rats 
folk	fəʊk 	fəook 
biz	bɪz 	biz 
shot	ʃɒt 	shot 
thinks	θɪŋks 	thingks 
pillock	pillock 	pēllock 
gitface	gitface 	gētface 
thanks	θæŋks 	thangks 
pardon	ˈpɑːdn 	pädn 
beg	bɛg 	bég 
enjoy	ɪnˈʤɔɪ 	inyoē 
listening	ˈlɪsnɪŋ 	lisning 
mentioned	ˈmɛnʃənd 	ménshənd 
lays	leɪz 	lāz 
hatch	hæʧ 	hach 
conversely	ˈkɒnvɜːsli 	konvûslē 
where'dit	where'dit 	where'dēt 
wondering	ˈwʌndərɪŋ 	wundəring 
crack	kræk 	krak 
ha-ha	hɑːˈhɑː 	hähä 
booth	buːð 	būth 
phone	fəʊn 	fəoon 
rumba	ˈrʌmbə 	rumbə 
small	smɔːl 	smôl 
ohh	ohh 	ohh 
overtake	ˌəʊvəˈteɪk 	əoovətāk 
cobblers	ˈkɒbləz 	kobləz 
eat	iːt 	ēt 
cricket	ˈkrɪkɪt 	krikit 
play	pleɪ 	plā 
imagined	ɪˈmæʤɪnd 	imayind 
imperative	ɪmˈpɛrətɪv 	impérətiv 
safety	ˈseɪfti 	sāftē 
sad	sæd 	sad 
prang	præŋ 	prang 
fearful	ˈfɪəfʊl 	fēəfool 
heading	ˈhɛdɪŋ 	héding 
altitude	ˈæltɪtjuːd 	altityüd 
losing	ˈluːzɪŋ 	lūzing 
drumsticks	ˈdrʌmstɪks 	drumstiks 
pedaling	ˈpɛdlɪŋ 	pédling 
twee	twee 	twee 
bird	bɜːd 	bûd 
bombs	bɒmz 	bomz 
ammo	ˈæməʊ 	aməoo 
giblets	ˈʤɪblɪts 	yiblits 
velocity	vɪˈlɒsɪti 	vilositē 
increase	ˈɪnkriːs 	inkrēs 
bingo	ˈbɪŋgəʊ 	binggəoo 
scissors	ˈsɪzəz 	sizəz 
goodness	ˈgʊdnɪs 	goodnis 
engines	ˈɛnʤɪnz 	ényinz 
cling-on	klɪŋ-ɒn 	kling-on 
scott	skɒt 	skot 
runway	ˈrʌnweɪ 	runwā 
mother	ˈmʌðə 	muthə 
gotcha	ˈgɒʧə 	gochə 
miracles	ˈmɪrəklz 	mirəklz 
cannot	ˈkænɒt 	kanot 
power	ˈpaʊə 	powə 
cleared	klɪəd 	klēəd 
contact	ˈkɒntækt 	kontakt 
duty	ˈdjuːti 	dyütē 
reporting	rɪˈpɔːtɪŋ 	ripôting 
t	tiː 	tē 
commander	kəˈmɑːndə 	kəmändə 
sausage	ˈsɒsɪʤ 	sosiy 
aircraft	ˈeəkrɑːft 	ãkräft 
complex	ˈkɒmplɛks 	kompléks 
controls	kənˈtrəʊlz 	kəntrəoolz 
plane	pleɪn 	plān 
mascots	ˈmæskəts 	maskəts 
division	dɪˈvɪʒən 	divizhən 
contraption	kənˈtræpʃən 	kəntrapshən 
pilot	ˈpaɪlət 	pīlət 
knees	niːz 	nēz 
between	bɪˈtwiːn 	bitwēn 
emergency	ɪˈmɜːʤənsi 	imûyənsē 
event	ɪˈvɛnt 	ivént 
likely	ˈlaɪkli 	līklē 
located	ləʊˈkeɪtɪd 	ləookātid 
exits	ˈɛksɪts 	éksits 
choices	ˈʧɔɪsɪz 	choēsiz 
revolting	rɪˈvəʊltɪŋ 	rivəoolting 
aaaah	aaaah 	aaaah 
attack	əˈtæk 	ətak 
buggers	ˈbʌgəz 	bugəz 
tools	tuːlz 	tūlz 
boy	bɔɪ 	boē 
travel	ˈtrævl 	travl 
car	kɑː 	kä 
girl	gɜːl 	gûl 
falling	ˈfɔːlɪŋ 	fôling 
myself	maɪˈsɛlf 	mīsélf 
hand	hænd 	hand 
secure	sɪˈkjʊə 	sikyüə 
gnomes	ˈnəʊmiːz 	nəoomēz 
dickens	ˈdɪkɪnz 	dikinz 
advance	ədˈvɑːns 	ədväns 
payment	ˈpeɪmənt 	pāmənt 
list	lɪst 	list 
item	ˈaɪtəm 	ītəm 
mum	mʌm 	mum 
lady	ˈleɪdi 	lādē 
roosters	ˈruːstəz 	rūstəz 
advisor	ədˈvaɪzə 	ədvīzə 
aviation	ˌeɪvɪˈeɪʃ(ə)n 	āviāshən 
chief	ʧiːf 	chēf 
manufacturing	ˌmænjʊˈfækʧərɪŋ 	manyoofakchəring 
engineering	ˌɛnʤɪˈnɪərɪŋ 	ényinēəring 
handle	ˈhændl 	handl 
provided	prəˈvaɪdɪd 	prəvīdid 
fowler's	ˈfaʊləz 	fowləz 
able	ˈeɪbl 	ābl 
duffed	dʌft 	duft 
weather	ˈwɛðə 	wéthə 
go-ahead	ˈgəʊəhɛd 	gəüəhéd 
given	ˈgɪvn 	givn 
ops	ops	ops
recce	recce 	recce 
story	ˈstɔːri 	stôrē 
beautifully	ˈbjuːtəfʊli 	byütəfoolē 
gorgeous	ˈgɔːʤəs 	gôyəs 
ahh	ahh 	ahh 
offer	ˈɒfə 	ofə 
a-as	ə-æz 	ə-az 
forgive	fəˈgɪv 	fəgiv 
madam	ˈmædəm 	madəm 
wizard	ˈwɪzəd 	wizəd 
co	kəʊ 	kəoo 
charlie	ˈʧɑːli 	chälē 
tail-end	ˈteɪlˈɛnd 	tālénd 
whizzbang	ˈwɪzbæŋ 	wizbang 
map	mæp 	map 
flappy	flappy 	flappy 
stick	stɪk 	stik 
jocko	ˈʤɒkəʊ 	yokəoo 
proper	ˈprɒpə 	propə 
conquer	ˈkɒŋkə 	kongkə 
divide	dɪˈvaɪd 	divīd 
precisely	prɪˈsaɪsli 	prisīslē 
dissension	dɪˈsɛnʃən 	disénshən 
four-eyes	fɔːr-aɪz 	fôr-īz 
push	pʊʃ 	poosh 
hitting	ˈhɪtɪŋ 	hiting 
knitting	ˈnɪtɪŋ 	niting 
infernal	ɪnˈfɜːnl 	infûnl 
pastry	ˈpeɪstri 	pāstrē 
next	nɛkst 	nékst 
american	əˈmɛrɪkən 	əmérikən 
fake	feɪk 	fāk 
cannon	ˈkænən 	kanən 
r-rocky	ɑː-ˈrɒki 	ä-rokē 
everyone's	ˈɛvrɪwʌnz 	évriwunz 
knock-knock	nɒk-nɒk 	nok-nok 
warming	ˈwɔːmɪŋ 	wôming 
girls	gɜːlz 	gûlz 
today's	təˈdeɪz 	tədāz 
company	ˈkʌmpəni 	kumpənē 
closer	ˈkləʊsə 	kləoosə 
looking	ˈlʊkɪŋ 	looking 
prickly	ˈprɪkli 	priklē 
brown	braʊn 	brown 
greener	ˈgriːnə 	grēnə 
cracked	krækt 	krakt 
disappointments	ˌdɪsəˈpɔɪntmənts 	disəpoēntmənts 
stuff	stʌf 	stuf 
ranging	ˈreɪnʤɪŋ 	rānying 
experienced	ɪksˈpɪərɪənst 	ikspēərēənst 
y-you	waɪ-juː 	wī-yü 
hills	hɪlz 	hilz 
rambling	ˈræmblɪŋ 	rambling 
beneath	bɪˈniːθ 	binēth 
felt	fɛlt 	félt 
lives	lɪvz 	livz 
harsh	hɑːʃ 	häsh 
ahead	əˈhɛd 	əhéd 
since	sɪns 	sins 
both	bəʊθ 	bəooth 
anticipation	ænˌtɪsɪˈpeɪʃ(ə)n 	antisipāshən 
demonstration	ˌdɛmənsˈtreɪʃən 	démənstrāshən 
tomorrow's	təˈmɒrəʊz 	təmorəooz 
await	əˈweɪt 	əwāt 
entirely	ɪnˈtaɪəli 	intīəlē 
surrender	səˈrɛndə 	səréndə 
occasion	əˈkeɪʒən 	əkāzhən 
honor	ˈɒnə 	onə 
salute	səˈluːt 	səlūt 
bravery	ˈbreɪvəri 	brāvərē 
present	ˈprɛznt 	préznt 
character	ˈkærɪktə 	kariktə 
misjudged	ˌmɪsˈʤʌʤd 	misyuyd 
admit	ədˈmɪt 	ədmit 
dutifully	ˈdjuːtɪfʊli 	dyütifoolē 
evening	ˈiːvnɪŋ 	ēvning 
light	laɪt 	līt 
deed	diːd 	dēd 
honorable	ˈɒnərəbl 	onərəbl 
smoother	ˈsmuːðə 	smūthə 
everything's	ˈɛvrɪθɪŋz 	évrithingz 
once	wʌns 	wuns 
sabotaged	ˈsæbətɑːʒd 	sabətäzhd 
meant	mɛnt 	mént 
gravy	ˈgreɪvi 	grāvē 
owt	owt 	owt 
pudding	ˈpʊdɪŋ 	pooding 
blow	bləʊ 	bləoo 
door	dɔː 	dô 
com	kɒm 	kom 
oven	ˈʌvn 	uvn 
oops	uːps 	ūps 
dough	dəʊ 	dəoo 
vegetables	ˈvɛʤɪtəblz 	véyitəblz 
mixed	mɪkst 	mikst 
shoot	ʃuːt 	shūt 
yo	jəʊ 	yəoo 
brilliant	ˈbrɪljənt 	brilyənt 
size	saɪz 	sīz 
boost	buːst 	būst 
trousers	ˈtraʊzəz 	trowzəz 
catch	kæʧ 	kach 
surprise	səˈpraɪz 	səprīz 
they'd	ðeɪd 	thād 
laddie	ˈlædi 	ladē 
chops	ʧɒps 	chops 
taking	ˈteɪkɪŋ 	tāking 
calls	kɔːlz 	kôlz 
prisoner	ˈprɪznə 	priznə 
enemy	ˈɛnɪmi 	énimē 
they've	ðeɪv 	thāv 
heck	hɛk 	hék 
score	skɔː 	skô 
public	ˈpʌblɪk 	publik 
touch	tʌʧ 	tuch 
woman's	ˈwʊmənz 	woomənz 
missus	ˈmɪsɪz 	misiz 
homemade	ˈhəʊmˈmeɪd 	həoommād 
upon	əˈpɒn 	əpon 
stocked	stɒkt 	stokt 
county	ˈkaʊnti 	kowntē 
