aa	胺基酸
abdicators	退位者
abdomen	腹部
abdomens	腹部
abdomina	腹部
abdominal	腹部
abdominals	腹部
abduce	帶走
abduced	被綁架
abducens	領先
abducent	他們將帶走
abducentes	領先
abduces	你將帶走
abducing	綁架
abduct	轉折點
abducted	被綁架
abductee	被綁架者
abductees	被綁架者
abducting	綁架
abduction	綁架
abductions	綁架
abductor	綁架者
abductores	綁架者
abductors	綁架者
abducts	綁架
abeam	正交
abed	阿貝德
abegging	乞討
abele	國內的
abeles	阿貝萊斯
abelia	六道木屬
abelian	阿貝爾
abelias	六道木屬
abelmosk	阿貝爾莫斯克
abelmosks	阿貝爾莫斯克
aberrance	例外
aberrances	例外
aberrancy	例外
aberrant	例外
aberrantly	異常地
aberrants	例外
aberrated	畸變的
aberration	像差
abet	助長
abetment	赦免
abetments	教唆
abets	教唆
abettal	教唆
abettals	教唆者
abetted	教唆
abetter	布特
abetters	教唆者
abetting	教唆
abettor	教唆犯
abettors	教唆者
abeyance	暫緩
abeyances	暫緩
abeyancies	暫緩執行
abeyancy	暫緩
abeyant	暫緩
abfarad	阿布法拉德
abfarads	阿布法拉茲
abhenries	阿布亨利斯
abhenry	阿布亨利
abhenrys	阿布亨利
abhor	痛恨
abhorred	令人厭惡
abhorrence	憎惡
abhorrent	令人憎惡
abhorrer	痛恨
abhorrers	憎惡者
abhorring	令人厭惡
abhors	厭惡
abidance	遵守
abidances	遵守
abide	遵守
abided	遵守
abider	遵守者
abiders	遵守者
abides	遵守
abiding	遵守
abidingly	堅持不懈地
abigail	阿比蓋爾
abigails	阿比蓋爾
abilities	能力
ability	能力
abiogenic	非生物成因
abiogenist	無生源論者
abioses	無生化現象
abiosis	無生狀態
abiotic	非生物的
abject	卑賤的
abjection	落魄
abjections	厭惡
abjectly	卑微地
abjectness	卑賤
abjuration	放棄
abjure	放棄
abjured	放棄
abjurer	放棄
abjurers	棄絕者
abjures	放棄
abjuring	放棄
ablate	消融
ablated	消融
ablates	消融
ablating	消融
ablation	消融
ablations	消融
ablative	奪格
ablatively	消融地
ablatives	奪格
ablator	綁架者
ablators	綁架者
ablaut	元音變換
ablauts	元音變換
ablaze	燃燒
able	有能力的
abled	有能力
ablegate	艾布爾蓋特
ablegates	艾布爾蓋茨
ableism	殘疾歧視
ableisms	健全主義
ableist	健全主義者
ableists	健全主義者
abler	阿布勒爾
ables	艾布斯
ablest	最能幹
ablings	阿布林
ablins	阿布林斯
abloom	盛開
abluent	洗淨劑
abluents	洗淨劑
ablush	臉紅
abluted	洗禮
ablution	沐浴
ablutions	沐浴
ably	能夠
abmho	艾比霍
abmhos	阿布姆霍斯
abnegate	自我否定
abnegated	放棄
abnegates	放棄
abnegating	放棄
abnegation	放棄
abnegator	克制者
abnegators	否定者
abnormal	異常
abnormally	異常地
abnormals	例外
abnormity	例外
abo	那些
aboard	船上
abode	居所
aboded	居留
abodes	居所
aboding	居留
abohm	哦天哪
abohms	阿波姆斯
aboideau	阿布瓦多
aboideaus	阿布伊德奧斯
aboideaux	阿布德歐
aboil	沸騰
aboiteau	阿博瓦托
aboiteaus	阿布伊特烏斯
aboiteaux	阿博托
abolish	取消
abolished	廢除
abolisher	廢除者
abolishers	廢除者
abolishes	廢除
abolishing	廢除
abolition	廢除
abolitions	廢除
abolla	凹痕
abollae	阿博拉
aboma	政府
abomas	阿巴馬斯
abomasa	阿巴馬斯
abomasal	皺胃
abomasi	厭惡
abomasum	皺胃
abomasus	皺胃
abominable	可惡
abominably	令人憎惡地
abominate	鄙棄
abominated	令人憎惡的
abominates	令人憎惡
abominator	厭惡
aboon	權威
aboral	無腸
aborally	出庭
aboriginal	原住民
aborigine	原住民
aborigines	原住民
aborning	出生
abort	中止
aborted	已中止
aborter	墮胎
aborters	墮胎者
aborting	流產
abortion	流產
abortions	墮胎
abortive	未遂
abortively	失敗地
aborts	流產
abortus	流產
abortuses	流產
abos	在兩者中
abought	買
aboulia	意志喪失
aboulias	阿布利亞斯
aboulic	阿布利克
abound	盛產
abounded	豐富
abounding	豐富
abounds	比比皆是
about	關於
above	多於
aboveboard	光明正大
aboves	以上
abrachia	無手臂
abrachias	阿布拉奇亞斯
abradable	耐磨
abradant	磨損
abradants	磨料
abrade	研磨
abraded	磨損
abrader	磨料磨俱
abraders	磨料磨俱
abrades	磨損
abrading	磨損
abrasion	磨損
abrasions	擦傷
abrasive	磨料
abrasively	磨蝕性地
abrasives	磨料
abreact	發洩
abreacted	宣洩
abreacting	宣洩
abreaction	發洩
abreacts	宣洩
abreast	並肩
abri	庇護所
abridge	刪節
abridged	簡略
abridger	縮寫
abridgers	縮寫
abridges	縮寫
abridging	縮寫
abridgment	刪節
abris	庇護所
abroach	接近
abroad	國外
abrogable	可廢除的
abrogate	廢除
abrogated	廢止
abrogates	廢除
abrogating	廢除
abrogation	廢除
abrogator	廢止者
abrogators	廢止者
abrosia	艾布羅西亞
abrosias	艾布羅西亞斯
abrupt	突然
abrupter	突然
abruptest	最突然的
abruption	胎盤早剝
abruptions	胎盤早剝
abruptly	突然
abruptness	突然
abs	腹肌
abscess	膿腫
abscessed	膿腫
abscesses	膿腫
abscessing	膿腫
abscise	截去
abscised	被切除的
abscises	脫落
abscisin	脫落素
abscising	脫落
abscisins	脫落素
abscissa	橫座標
abscissae	隔斷
abscissas	橫座標
abscission	脫落
abscond	隱藏
absconded	潛逃
absconder	隱藏
absconders	逃犯
absconding	潛逃
absconds	潛逃
abseil	繩降
abseiled	繩降
abseiling	繩降
abseils	繩降
absence	缺席
absences	缺席
absent	缺席的
absented	缺席
absentee	缺席者
absentees	缺席者
absenter	缺席
absenters	缺席者
absenting	缺席
absently	心不在焉地
absents	缺席的
absinth	苦艾酒
absinthe	苦艾酒
absinthes	苦艾酒
absinths	苦艾酒
absolute	絕對
absolutely	絕對地
absoluter	絕對
absolutes	絕對
absolutest	絕對的
absolution	赦免
absolutism	絕對主義
absolutist	絕對主義者
absolutive	絕對的
absolutize	絕對化
absolve	開脫
absolved	赦免
absolvent	畢業
absolvents	畢業
absolver	開脫
absolvers	赦免者
absolves	赦免
absolving	赦免
absonant	它們不相容
absorb	吸收
absorbable	可吸收
absorbance	吸光度
absorbancy	吸光度
absorbant	吸收劑
absorbants	吸收劑
absorbed	吸收
absorbency	吸水率
absorbent	吸收劑
absorbents	吸收劑
absorber	吸收器
absorbers	吸收器
absorbing	吸收
absorbs	吸收
absorption	吸收
absorptive	吸收性
abstain	棄權
abstained	棄權
abstainer	棄權者
abstainers	棄權者
abstaining	棄權
abstains	棄權
abstemious	節制的
abstention	棄權
absterge	棄權
absterged	摘錄
absterges	阿布斯特蓋斯
absterging	清除
abstinence	節制
abstinent	禁慾
abstract	抽象的
abstracted	抽象的
abstracter	更抽象
abstractly	抽像地
abstractor	摘要者
abstracts	摘要
abstrict	摘要
abstricted	被限制的
abstricts	摘要
abstruse	奧
abstrusely	深奧地
abstruser	深奧的
abstrusest	最深奧的
abstrusity	深奧
absurd	荒誕
absurder	荒誕
absurdest	荒唐至極
absurdism	荒誕主義
absurdisms	荒誕主義
absurdist	荒誕的
absurdists	荒誕派
absurdity	荒誕
absurdly	荒謬地
absurdness	荒誕
absurds	荒誕
abubble	泡泡
abuilding	建置
abulia	意志喪失
abulias	意志喪失
abulic	阿布利克
abundance	豐富
abundances	豐富
abundant	豐富
abundantly	豐富地
abusable	可濫用
abuse	虐待
abused	受虐待
abuser	施虐者
abusers	施虐者
abuses	虐待
abusing	濫用
abusive	辱罵
abusively	辱罵性地
abut	利潤
abutilon	麻屬
abutilons	麻屬
abutment	鄰接
abutments	基台
abuts	毗鄰
abuttal	與鄰接
abuttals	鄰接處
abutted	毗連
abutter	關於
abutters	鄰居
abutting	毗鄰
abuzz	喧鬧
abvolt	曾是
abvolts	伏特
abwatt	阿布瓦特
abwatts	瓦特數
aby	以便
abye	再見
abyes	阿拜耶斯
abying	阿比因
abys	所以你
abysm	深淵
abysmal	糟糕透頂
abysmally	極其糟糕地
abysms	深淵
abyss	深淵
abyssal	深淵
abysses	深淵
acacia	金合歡屬
acacias	金合歡屬
academe	學術界
academes	學院
academia	學術界
academias	學院
academic	學術的
academical	academical
academics	學者
academies	學院
academism	學院主義
academisms	學院主義
academy	學院
acajou	桃花心木
acajous	桃花心木
acaleph	阿卡利夫
acalephae	阿卡萊法斯
acalephe	生氣的
acalephes	阿卡勒菲斯
acalephs	阿卡利夫
acantha	棘屬
acanthae	棘
acanthi	阿坎蒂
acanthine	棘嘌呤
acanthoid	棘狀
acanthous	棘狀的
acanthus	老鼠簕
acanthuses	刺棘
acapnia	卡帕尼亞
acapnias	阿卡普尼亞斯
acarbose	阿卡波糖
acarboses	阿卡波糖
acari	蟎蟲
acariases	蟎病
acariasis	蟎病
acaricidal	殺蟎劑
acaricide	殺蟎劑
acaricides	殺蟎劑
acarid	蟎蟲
acaridan	蟎類
acaridans	蟎類
acarids	蟎蟲
acarine	蟎類
acarines	蟎類
acaroid	粉紅蟎
acarology	蟎學
acarpous	無果
acarus	蟎
acaudal	富裕
acaudate	當心
acauline	無莖線蟲
acaulose	無莖
acaulous	無莖
accede	同意
acceded	同意
accedence	同意
accedences	准入
acceder	使用權
acceders	訪客
accedes	您訪問
acceding	加入
accelerant	加速
accelerate	加速
accent	口音
accented	重音
accenting	重音
accentless	無口音
accentor	鳴禽
accentors	口音
accents	口音
accentual	重音符號
accentuate	強調
accept	接受
acceptable	可接受
acceptably	可以接受地
acceptance	驗收
acceptant	接受
accepted	公認
acceptedly	可以接受地
acceptee	接受者
acceptees	接受者
accepter	接受
accepters	接受者
accepting	接受
acceptive	接受
acceptor	受體
acceptors	接受者
accepts	接受
access	使用權
accessary	附屬品
accessed	訪問
accesses	訪問
accessible	無障礙
accessibly	易於理解
accessing	訪問
accession	加入
accessions	加入
accessory	配件
accidence	意外
accidences	意外事故
accident	意外事故
accidental	偶然
accidently	意外地
accidents	意外事故
accidia	懶惰
accidias	意外事故
accidie	意外事故
accidies	意外事故
accipiter	鷹
accipiters	鷹
acclaim	歡呼
acclaimed	廣受好評
acclaimer	歡呼者
acclaimers	讚譽者
acclaiming	稱讚
acclaims	讚譽
acclimate	適應
acclimated	適應
acclimates	適應
acclivity	上升度
acclivous	傾斜的
accolade	榮譽
accoladed	受到讚譽
accolades	榮譽
accolading	讚揚
accompany	陪伴
accomplice	共犯
accomplish	完成
accord	符合
accordance	依照
accordant	授予
accorded	符合
accorder	同意
accorders	艾克德斯
according	根據
accordion	手風琴
accordions	手風琴
accords	協定
accost	招呼
accosted	搭訕
accosting	搭訕
accosts	搭訕
accoucheur	產科醫生
account	帳戶
accountant	會計
accounted	記帳
accounting	會計
accounts	帳戶
accouter	裝備
accoutered	裝備精良
accouters	飾品
accoutre	裝扮
accoutred	裝備
accoutres	配件
accoutring	會計
accredit	認可
accredited	認可
accredits	認可
accrete	增生
accreted	累積的
accretes	增生
accreting	吸積
accretion	吸積
accretions	增生
accretive	增生的
accruable	應計
accrual	應計
accruals	應計項目
accrue	累積
accrued	應計
accruement	增加
accrues	累積
accruing	累積
accumbent	坐下
accumulate	累積
accuracies	準確度
accuracy	準確性
accurate	準確的
accurately	準確
accursed	被詛咒的
accursedly	可惡地
accurst	詛咒
accusable	可控告的
accusably	可指責地
accusal	賓格
accusals	指控
accusant	指責
accusants	原告
accusation	指控
accusative	賓格
accusatory	指責
accuse	控
accused	被告
accuser	原告
accusers	原告
accuses	指責
accusing	指責
accusingly	指責地
accustom	習慣
accustomed	習慣了
accustoms	習慣
ace	高手
aced	獲得
acedia	懶惰
acedias	懶惰
aceldama	阿塞爾達馬
aceldamas	艾塞爾達馬斯
acellular	無細胞
acentric	偏心
acephalic	無頭的
acephalous	無頭的
acequia	頻道
acequias	溝渠
acerate	醋酸
acerated	有氣孔的
acerb	酸澀
acerbate	酸
acerbated	尖銳的
acerbates	酸漿果屬
acerbating	尖刻的
acerber	宏碁
acerbest	宏碁
acerbic	尖酸的
acerbities	酸味
acerbity	酸澀
acerola	西印度櫻桃
acerolas	西印度櫻桃
acerose	醋酸
acerous	有刺的
acervate	堆成一堆
acervuli	堆疊
acervulus	小堆
aces	王牌
acescent	上升
acescents	上升
aceta	醋酸鹽
acetabula	菜餚
acetabular	髖臼
acetabulum	盤子
acetal	縮醛
acetals	縮醛
acetamid	乙醯胺
acetamide	乙醯胺
acetamides	乙醯胺
acetamids	乙醯胺
acetanilid	乙醯苯胺
acetate	醋酸鹽
acetated	醋酸
acetates	醋酸鹽
acetic	醋酸
acetified	醋酸化
acetifier	醋酸化劑
acetifiers	醋酸化劑
acetifies	醋酸化
acetify	醋酸化
acetifying	醋酸化
acetin	醋酸甘油酯
acetins	緞子
acetone	丙酮
acetones	丙酮
acetonic	丙酮
acetose	酢漿草
acetous	醋酸
acetoxyl	乙醯氧基
acetoxyls	乙醯氧基
acetum	醋
acetyl	乙醯
acetylate	乙醯化
acetylated	乙醯化
acetylates	乙醯化物
acetylene	乙炔
acetylenes	乙炔
acetylenic	乙炔
acetylic	乙醯基
acetyls	乙醯基
achalasia	賁門失弛緩症
achalasias	賁門失弛緩症
ache	疼痛
ached	疼痛
achene	瘦果
achenes	瘦果
achenial	阿肯亞
aches	疼痛
achier	成就
achiest	最有成就者
achievable	可實現的
achieve	達到
achieved	已實現
achiever	成就者
achievers	成就者
achieves	實現
achieving	實現
achillea	西洋蓍草
achilleas	阿喀琉斯
achiness	疼痛
achinesses	阿奇尼斯
aching	疼痛
achingly	痛苦地
achiote	紅木
achiotes	紅寶石
achiral	非手性的
acholia	膽囊功能減退
acholias	亞科利亞斯
achondrite	無顆隕石
achoo	想
achromat	消色差透鏡
achromatic	消色差
achromats	消色差透鏡
achromic	無色的
achromous	無色素
achy	疼痛
acicula	針
aciculae	針狀體
acicular	針狀
aciculas	針狀菌
aciculate	針狀的
aciculum	針狀體
aciculums	針狀體
acid	酸
acidemia	酸血症
acidemias	酸血症
acidhead	酸頭
acidheads	癮君子
acidic	酸性
acidified	酸化
acidifier	酸化劑
acidifiers	酸化劑
acidifies	酸化
acidify	酸化
acidifying	酸化
acidimeter	酸度計
acidimetry	酸度滴定法
acidities	酸性
acidity	酸度
acidly	酸地
acidness	酸度
acidnesses	酸度
acidophil	嗜酸性細胞
acidophile	嗜酸性
acidophils	嗜酸性細胞
acidoses	酸中毒
acidosis	酸中毒
acidotic	酸性
acids	酸
acidulate	起泡的
acidulated	酸化
acidulates	酸化
acidulent	酸的
acidulous	酸溜溜
aciduria	酸尿症
acidurias	酸尿症
acidy	酸性
acierate	醋酸
acierated	酸化
acierates	你猜對了
acierating	酸化
aciform	針狀
acinar	腺泡
acing	稱職
acini	腺泡
acinic	腺泡狀
aciniform	腺泡狀
acinose	橡子狀
acinous	腺泡
acinus	莓果
ackee	西非荔枝果
ackees	西非荔枝果
aclinic	阿克林
acmatic	無活性的
acme	巔峰
acmes	頂點
acmic	酸
acne	粉刺
acned	痤瘡
acnes	痤瘡
acnode	節點
acnodes	節點
acock	阿科克
acoelomate	無體腔動物
acoelous	無氣
acold	冷
acolyte	侍僧
acolytes	侍僧
aconite	附子
aconites	附子
aconitic	烏頭
aconitum	附子
aconitums	烏頭
acorn	橡子
acorned	橡果
acorns	橡子
acoustic	聲學
acoustical	聽覺的
acoustics	聲學
acquaint	熟悉
acquainted	熟悉
acquaints	相識
acquest	獲得
acquests	收穫
acquiesce	默許
acquiesced	默許
acquiesces	你會同意
acquirable	可獲得的
acquire	獲得
acquired	獲得
acquiree	被收購方
acquirees	被收購方
acquirer	收購方
acquirers	收購方
acquires	收購
acquiring	獲取
acquisitor	收購者
acquit	開釋
acquits	獲得
acquittal	開釋
acquittals	無罪釋放
acquitted	無罪釋放
acquitter	開釋
acquitters	無罪釋放者
acquitting	無罪釋放
acrasia	虛弱症
acrasias	虛弱
acrasin	阿克拉辛
acrasins	阿克拉辛
acre	英畝
acreage	面積
acreages	土地面積
acred	阿克雷德
acres	英畝
acrid	辛辣
acrider	阿克里德
acridest	阿克里斯特
acridine	吖啶
acridines	吖啶
acridities	酸味
acridity	酸味
acridly	尖刻地
acridness	辛辣
acrimonies	尖刻的言辭
acrimony	尖刻的言辭
acritarch	疑源類
acritarchs	疑源類
acritical	不批判的
acrobat	雜技演員
acrobatic	雜技
acrobatics	雜技
acrobats	雜技演員
acrodont	頂齒類
acrodonts	尖牙類
acrogen	頂生
acrogenic	頂生的
acrogens	頂生菌
acrolect	艾克羅萊克
acrolects	方言
acrolein	丙烯醛
acroleins	丙烯醛
acrolith	克羅利特
acroliths	石器時代
acromegaly	肢端肥大症
acromia	肩峰
acromial	肩峰
acromion	肩峰
acronic	克羅尼克
acronical	紀事的
acronycal	首字母縮寫
acronym	縮寫
acronymic	縮寫
acronyms	縮寫
acropetal	頂葉
acrophobe	懼高症患者
acrophobes	懼高症患者
acrophobia	懼高症
acropolis	雅典衛城
acrosomal	頂體
acrosome	頂體
acrosomes	頂體
acrospire	頂尖
acrospires	尖頂
across	穿過
acrostic	首字母縮寫詞
acrostical	首字母縮寫詞
acrostics	首字母縮寫詞
acrotic	腸音音素
acrotism	肢體動作
acrotisms	肢體動作
acrylamide	丙烯醯胺
acrylate	丙烯酸酯
acrylates	丙烯酸纖維
acrylic	丙烯酸纖維
acrylics	丙烯酸樹脂
act	行為
acta	學報
actability	行動能力
actable	可行動的
acted	行動
actin	肌動蛋白
actinal	放線菌
actinally	活動性地
acting	演技
actings	演技
actinia	海葵
actiniae	海葵
actinian	海葵屬
actinians	海葵屬
actinias	海葵屬
actinic	光化性
actinide	錒系元素
actinides	錒系元素
actinism	光化作用
actinisms	光化作用
actinium	錕
actiniums	錕
actinoid	錒系元素
actinoids	錒系
actinolite	陽起石
actinon	錒系
actinons	錒系
actins	肌動蛋白
action	行動
actionable	可操作性
actionably	可操作地
actioner	行動
actioners	行動者
actionless	無作為
actions	行動
activate	啟用設定
activated	活性
activates	啟用設定
activating	啟用設定
activation	啟用設定
activator	活化劑
activators	活化劑
active	積極的
actively	積極
activeness	活躍度
actives	活性物質
activism	行動主義
activisms	行動主義
activist	活動家
activistic	積極分子
activists	活動人士
activities	活動
activity	活動
activize	啟用設定
activized	啟用設定
activizes	啟用設定
activizing	啟用設定
actomyosin	肌動球蛋白
actor	演員
actorish	演員
actorly	演員
actors	演員
actress	演員
actresses	女演員
actressy	女演員
acts	行為
actual	實際的
actuality	現實
actualize	實現
actualized	已實現
actualizes	實現
actually	實際上
actuarial	精算
actuaries	精算師
actuary	精算師
actuate	啟動
actuated	啟動
actuates	啟動
actuating	致動
actuation	驅動
actuations	動作
actuator	執行器
actuators	執行器
acuate	急性
acuities	敏銳度
acuity	敏銳度
aculeate	有刺的
aculeated	被刺傷
aculei	羽毛筆
aculeus	刺痛
acumen	敏銳
acumens	敏銳
acuminate	尖銳的
acuminated	尖銳的
acuminates	尖
acuminous	敏銳的
acutance	銳利度
acutances	銳利度
acute	急性
acutely	敏銳地
acuteness	敏銳度
acuter	急性
acutes	急性
acutest	最急性的
acyclic	無環
acyclovir	阿昔洛韋
acyclovirs	阿昔洛韋
acyl	醯基
acylate	醯化物
acylated	醯化
acylates	醯化物
acylating	醯化
acylation	醯化
acylations	醯化
acyloin	乙醯輔酶
acyloins	偶氮類
acyls	醯基
ad	廣告
adage	諺語
adages	諺語
adagial	放下
adagio	柔板
adagios	柔板
adamance	堅定
adamances	亞當斯
adamancies	亞當斯
adamancy	強
adamant	固執的
adamantine	金剛烷
adamantly	堅定地
adamants	固執者
adamsite	亞當斯密
adamsites	亞當石
adapt	適應
adaptable	適應性強
adaptation	適應
adapted	適應
adapter	適配器
adapters	適配器
adapting	適應
adaption	適應
adaptions	改編
adaptive	自適應
adaptively	適應性地
adaptivity	適應性
adaptor	適配器
adaptors	適配器
adapts	適應
adaxial	近軸方向
add	添加
addable	可添加
addax	阿達克斯
addaxes	蛇
added	額外
addedly	另外
addend	添加
addenda	附加物
addends	加數
addendum	附錄
addendums	附錄
adder	加法器
adders	加法器
addible	可加性
addict	癮君子
addicted	上癮
addicting	令人上癮
addiction	癮
addictions	成癮
addictive	令人上癮
addicts	癮君子
adding	添加
addition	添加
additional	額外的
additions	補充
additive	添加劑
additively	加性地
additives	添加劑
additivity	可加性
additory	附加的
addle	糊塗
addled	混亂的
addlepated	糊塗了
addles	混亂
addling	加添
address	地址
addressed	處理
addressee	收件者
addressees	收件者
addresser	寄件人
addressers	尋址器
addresses	地址
addressing	尋址
addressor	發信人
addressors	地址
addrest	地址
adds	添加
adduce	引證
adduced	引證
adducent	他們將帶來
adducer	收肌
adducers	引證者
adduces	你會帶來
adducible	可接受
adducing	帶來
adduct	加合物
adducted	加合物
adducting	加合物
adduction	內收
adductions	內收
adductive	歸納的
adductor	收肌
adductors	內收肌
adducts	加合物
adeem	過程
adeemed	認為
adeeming	承認
adeems	阿德姆斯
ademption	扣除
ademptions	扣除額
adenine	腺嘌呤
adenines	腺嘌呤
adenitis	你病了
adenitises	腺炎
adenoid	腺樣體
adenoidal	腺樣體的
adenoids	腺樣體
adenoma	腺瘤
adenomas	腺瘤
adenomata	腺瘤
adenoses	腺瘤
adenosine	腺苷
adenosines	腺苷
adenosis	腺病
adenoviral	腺病毒
adenovirus	腺病毒
adenyl	腺苷酸
adenyls	腺苷酸
adept	熟練
adepter	行家
adeptest	熟練者
adeptly	熟練地
adeptness	熟練程度
adepts	行家
adequacies	充分性
adequacy	充足性
adequate	足夠的
adequately	充分
adherable	可黏附
adhere	堅持
adhered	堅持
adherence	堅持
adherences	遵守
adherend	被黏者
adherends	被依附者
adherent	追隨者
adherently	堅持不懈地
adherents	信徒
adherer	追隨者
adherers	追隨者
adheres	堅持
adhering	堅持
adhesion	黏附力
adhesional	沾黏
adhesions	沾黏
adhesive	黏合劑
adhesively	黏合地
adhesives	黏合劑
adhibit	用途
adhibited	附著
adhibiting	黏附
adhibits	附著物
adiabatic	絕熱的
adieu	再見
adieus	再見
adieux	告別
adios	再見
adipic	己二酸
adipocere	屍蠟
adipoceres	蠟質體
adipocyte	脂肪細胞
adipocytes	脂肪細胞
adipose	脂肪
adiposes	脂肪
adiposis	肥胖症
adiposity	肥胖
adipous	脂肪
adit	平巷
adits	平巷
adjacence	相鄰
adjacences	鄰接
adjacency	鄰接
adjacent	鄰近的
adjacently	相鄰地
adjectival	形容詞
adjective	形容詞
adjectives	形容詞
adjoin	毗
adjoined	毗連
adjoining	毗連
adjoins	毗連
adjoint	助理
adjoints	助理
adjourn	休會
adjourned	休會
adjourning	休會
adjourns	休會
adjudge	宣判
adjudged	已判決
adjudges	裁決者
adjudging	裁決
adjudicate	裁定
adjunct	附件
adjunction	附加
adjunctive	附加的
adjunctly	附加地
adjuncts	附屬物
adjuration	懇求
adjuratory	勸誡性的
adjure	懇請
adjured	懇求
adjurer	調解員
adjurers	調解員
adjures	懇請
adjuring	懇求
adjuror	我發誓
adjurors	宣誓者
adjust	調整
adjustable	可調節的
adjusted	已調整
adjuster	調節器
adjusters	調節器
adjusting	調整
adjustive	可調整的
adjustment	調整
adjustor	調節器
adjustors	調節器
adjusts	調整
adjutancy	輔助
adjutant	副官
adjutants	副官
adjuvant	佐劑
adjuvants	佐劑
adman	廣告人
admass	品質
admasses	廣告
admeasure	衡量
admeasured	適度的
admeasures	措施
admen	行政人員
administer	管理
admirable	令人欽佩
admirably	令人欽佩
admiral	上將
admirals	海軍上將
admiralty	金鐘
admiration	欽佩
admire	欽佩
admired	欽佩
admirer	仰慕者
admirers	仰慕者
admires	欽佩
admiring	欣賞
admiringly	欽佩地
admissible	可接受
admission	入場
admissions	招生
admissive	承認的
admit	承認
admits	承認
admittance	准入
admitted	承認
admittedly	無可否認
admittee	受許人
admittees	入學者
admitter	承認
admitters	承認者
admitting	承認
admix	混合
admixed	混合
admixes	混合物
admixing	混合
admixt	混合物
admixture	混合物
admixtures	外加劑
admonish	諫
admonished	告誡
admonisher	勸誡者
admonishes	告誡
admonition	警告
admonitor	監察員
admonitors	告誡者
admonitory	警告性的
adnate	附生
adnation	附屬國
adnations	附庸
adnexa	隨附的
adnexal	附件
adnoun	阿德農
adnouns	名詞
ado	裝飾
adobe	土坯
adobelike	類似土坯
adobes	土坯
adobo	阿多波
adobos	土坯
adolescent	青少年
adonis	不客氣
adonises	阿多尼斯
adopt	採納
adoptable	可採用的
adopted	採納
adoptee	被收養人
adoptees	被收養人
adopter	採用者
adopters	採用者
adopting	採用
adoption	採用
adoptions	收養
adoptive	收養
adoptively	收養地
adopts	採用
adorable	可愛的
adorably	可愛地
adoration	崇拜
adorations	崇拜
adore	崇拜
adored	崇拜
adorer	崇拜
adorers	基督寶血崇拜者
adores	我愛
adoring	崇拜
adoringly	崇拜地
adorn	裝飾
adorned	裝飾
adorner	裝飾者
adorners	裝飾者
adorning	裝飾
adornment	裝飾
adornments	裝飾品
adorns	裝飾
ados	好的
adown	向下
adoze	搗蛋
adrenal	腎上腺
adrenalin	腎上腺素
adrenaline	腎上腺素
adrenalins	腎上腺素
adrenally	腎上腺的
adrenals	腎上腺
adrenergic	腎上腺素能
adrift	漂泊
adroit	熟練的
adroiter	去德克斯特
adroitest	熟練的
adroitly	巧妙地
adroitness	靈巧
ads	廣告
adscript	附言
adscripts	附加詞
adsorb	吸附
adsorbable	可吸附
adsorbate	吸附質
adsorbates	吸附物
adsorbed	吸附
adsorbent	吸附劑
adsorbents	吸附劑
adsorber	吸附
adsorbers	吸附器
adsorbing	吸附
adsorbs	吸附
adsorption	吸附
adsorptive	吸附的
adularia	雪蓮
adularias	奉承
adulate	諂媚
adulated	受到奉承
adulates	讚美
adulating	諂媚
adulation	諂媚
adulations	讚美
adulator	諂媚者
