de	of
paz	peace
plata	silver
fuera	out
unos	some
verdad	TRUE
tal	such
dijeron	They said
ejército	army
fe	faith
voz	voice
dioses	gods
siervo	servant
espada	sword
luz	light
puerta	door
gloria	glory
madre	mother
cabeza	head
lado	side
nuestros	our
tan	so
familia	family
voy	go
jefes	bosses
profetas	prophets
cuanto	how much
esa	that
comer	eat
mujeres	women
va	goes
tienen	have
pan	bread
discípulos	disciples
luego	then
campo	field
mío	mine
cuerpo	body
pueblos	peoples
padres	parents
mientras	while
aunque	although
mas	further
hoy	today
da	gives
haya	is
guerra	war
cinco	five
fin	end
haré	I will do
hicieron	They did
envió	shipment
cuatro	four
durante	during
santuario	sanctuary
frente	forehead
pecados	sins
pacto	covenant
tomó	took
contestó	answered
ellas	they
presencia	presence
mensaje	message
boca	mouth
Josué	Joshua
llegó	arrive
carne	meat
ángel	angel
algunos	some
hija	daughter
conforme	according
espíritu	spirit
ovejas	sheep
algo	something
levitas	Levites
mes	month
animales	animals
hemos	we have
sabiduría	wisdom
miedo	fear
diez	ten
grande	big
preguntó	asked
salió	came out
pies	feet
quienes	who
nunca	never
río	river
ſus	their
vuestros	your
habitantes	population
territorio	territory
hebreo	Hebrew
cuenta	account
ofrendas	offerings
antepasados	forefathers
Jordán	Jordan
vuestro	your
mandó	command
misma	same
puesto	position
contigo	with you
digo	say
muertos	dead
filisteos	Philistines
ira	gonna
alguien	someone
pie	foot
conmigo	with me
aceite	oil
siguiente	following
norte	north
siervos	servants
dar	give
estoy	I'm
sacrificio	sacrifice
nuevo	new
cielos	Heavens
Jesucristo	Christ
ir	go
doce	twelve
bajo	low
libro	book
aguas	waters
haber	have
tuvo	had
acerca	about
visto	seen
cuales	which
hablar	talk
ſe	it is
vio	saw
llamó	called
obra	construction site
piedra	stone
hijas	daughters
vivir	live
caso	case
justo	fair
jefe	boss
quedó	was left
trono	throne
mejor	better
maldad	evil
muerto	dead
señor	Sir
faraón	Pharaoh
ancianos	seniors
aun	still
murió	died
hacen	do
sacrificios	sacrifices
poco	bit
persona	person
entrada	entrance
ordenó	ordered
alegría	happiness
llamado	called
momento	moment
primero	first
modo	mode
treinta	thirty
mandamientos	commandments
grandes	big
Efraín	Ephraim
piedras	stones
esposa	wife
nuestra	our
bueno	Well
tener	have
veces	times
propia	own
arca	ark
dinero	money
nota	note
tribus	tribes
alrededor	around
viene	comes
ídolos	idols
santo	holy
muchas	many
sean	be
puertas	doors
casas	houses
hambre	hunger
habló	speak
volvió	came back
esos	those
debe	has to
obras	works
dicen	They say
cuarenta	forty
alguno	some
escrito	written
buena	good
juicio	judgment
Manasés	Manasseh
misericordia	mercy
fiesta	party
otras	Others
llevó	he took
malo	bad
cosa	stuff
sur	south
ropa	clothes
tengo	I have
soldados	soldiers
encuentro	meeting
levantó	raised
habrá	There will be
cincuenta	fifty
orden	order
tenían	They had
personas	people
aquellos	those
ninguna	none
castigo	punishment
palacio	palace
campamento	camp
servicio	service
venido	came
alma	soul
sol	sun
cerca	near
llegaron	They arrived
fuerte	strong
holocausto	holocaust
ayuda	aid
gracias	thank you
valle	valley
haga	do
metros	meters
saber	know
mayor	elderly
bronce	bronze
morir	die
rostro	face
alto	high
niño	child
àl	to the
testimonio	testimony
daré	I will give
trabajo	job
fruto	fruit
fuerza	force
mismos	same
dentro	inside
habéis	you have
montes	mountains
enemigo	enemy
primer	first
batalla	battle
iba	I was going
salvación	salvation
tarde	late
cambio	change
nación	nation
pusieron	they put
decía	He said
Ezequías	Hezekiah
seis	six
incienso	incense
entrar	enter
tras	after
ejércitos	armies
aquella	that
alianza	alliance
viento	wind
ordenado	tidy
propio	own
resto	rest
Elías	Elias
reinado	reign
traducción	translation
salieron	They left
tienda	store
culto	worship
veinte	twenty
estar	be
esperanza	hope
multitud	crew
ninguno	none
familias	families
deben	must
beber	drink
pueden	they can
forma	shape
pronto	soon
sé	HE
ſobre	about
venir	come
quiere	wants
vuestra	your
significa	means
madera	wood
van	they go
suelo	floor
derecho	right
carros	cars
lejos	far
dieron	gave
llevaron	they took
somos	are
dónde	where
trigo	wheat
malvados	wicked
comida	meal
posible	possible
 R	 R
pasar	pass
promesa	promise
riquezas	riches
segundo	second
enviado	sent
cierto	TRUE
acuerdo	agreement
vuestras	your
texto	text
tienes	have
Eliseo	Elysium
dios	God
tierras	land
caminos	paths
derecha	right
alguna	some
llegar	arrive
volver	return
caballos	horses
hora	hour
lugares	places
heredad	inheritance
nuestras	ours
fué	was
Jonatán	Jonathan
voluntad	willpower
debajo	below
ganado	cattle
gracia	funny
príncipes	princes
ve	go
iglesia	church
habla	speaks
vieron	they saw
entró	came in
cualquier	any
temor	fear
dejó	let
tampoco	neither
dije	said
reinó	kingdom
joven	young
oración	prayer
tenga	have
sabio	sage
Canaán	Canaan
hubo	was
largo	long
ángeles	angels
lengua	language
salir	go out
oriente	East
hice	I did
vive	lives
Esaú	Esau
árbol	tree
hermana	sister
estado	state
allá	there
dixo	he said
fiel	faithful
Nabucodonosor	Nebuchadnezzar
compasión	compassion
tiempos	time
autoridad	authority
hechos	facts
llegado	arrived
Sión	Zion
culpa	blame
conocer	know
hablado	spoken
dirigió	directed
séptimo	seventh
ciento	hundred
vista	view
pobre	poor
Absalón	Absalom
quiero	wanna
mató	killed
egipcios	Egyptians
justos	righteous
quedaron	were left
polvo	dust
Iſrael	Israel
sabe	knows
ruego	request
nota 	note
viven	They live
amo	I love
sábado	Saturday
contrario	contrary
haciendo	doing
’	'
mandado	sent
decían	They said
 S	 S
mucha	a lot
cara	face
carnero	ram
partes	parts
presente	present
malos	bad
varón	male
vi	I saw
hagan	do
setenta	seventy
mesa	table
campos	fields
principio	principle
sabios	wise men
lino	linen
nube	cloud
seguir	continue
pobres	poor
parece	seems
di	say
sacó	sack
varones	men
hierro	iron
tenemos	have
esclavos	slaves
tabernáculo	tabernacle
solamente	only
pasado	past
propios	own
jóvenes	youths
probable	likely
igual	equal
trata	treats
buen	good
impuro	impure
tengan	have
encima	on
vinieron	They came
dolor	pain
conducta	conduct
labios	lips
oficiales	officers
subió	went up
clase	class
llevar	carry
leyes	laws
falta	lack
llama	calls
esas	those
fortaleza	strength
marido	husband
prueba	proof
siquiera	even
fuerzas	forces
extranjeros	foreigners
saben	They know
oyó	heard
aves	birds
posesión	possession
quedado	left
confianza	trust
árboles	trees
ama	loves
entregó	delivered
serás	you will be
menos	less
nombres	names
nueva	new
valor	worth
amigos	friends
herencia	inheritance
levadura	yeast
puro	pure
harás	you will do
caer	fall
pueda	can
malvado	wicked
eterna	eternal
sentado	sitting
Leví	Levi
Josafat	Jehoshaphat
todopoderoso	almighty
comunidad	community
aldeas	villages
holocaustos	holocausts
vestidos	clothes
hacía	toward
seres	beings
completo	complete
Isaías	Isaiah
llamaba	called
poderoso	powerful
cien	hundred
destrucción	destruction
respondieron	they responded
león	lion
primera	first
cayó	fell
evangelio	gospel
atrio	atrium
Jue	Thu
sola	alone
guardia	guard
angustia	distress
cualquiera	any
buenas	hello good
sepulcro	tomb
venga	come
griega	Greek
seré	I will be
matar	kill
imagen	image
fuertes	strong
sucedió	happened
ancho	broad
Hebrón	Hebron
fariseos	Pharisees
furor	fury
vergüenza	shame
ven	come
lleno	full
tinieblas	darkness
mataron	They killed
volvieron	They returned
oscuridad	darkness
puedo	I can
poner	put
Jehú	Jehu
importante	important
tenido	had
montañas	mountains
mensajeros	messengers
apóstoles	apostles
dejado	left
ello	it
podía	could
vivían	They lived
vas	you go
pasó	passed
enojo	anger
victoria	victory
gobernador	governor
libertad	freedom
mía	mine
sesenta	sixty
clanes	clans
bendición	blessing
reinar	reign
noticia	news
oídos	ears
cuarto	room
estás	are
descendencia	offspring
acciones	actions
llegue	I arrived
bondad	goodness
interior	inside
cosecha	harvest
corderos	lambs
vivo	alive
mitad	half
vestido	dress
criado	servant
usted	you
tomaron	They took
panes	breads
cuidado	careful
semejante	such
refugio	shelter
reina	queen
valientes	brave
frutos	fruits
harán	will do
entregado	delivered
consejo	advice
prójimo	neighbor
huesos	bones
arriba	above
doscientos	two hundred
harina	flour
lluvia	rain
juramento	oath
libre	free
iniquidad	iniquity
carta	letter
expresión	expression
conocimiento	knowledge
quieren	They want
hubiera	had
muralla	wall
Pilato	Pilate
llena	full
morirá	will die
humano	human
alas	at
queda	is left over
pesar	weigh
amonitas	ammonites
santos	saints
Josías	Josiah
hago	do
cargo	post
cárcel	jail
parientes	relatives
piel	fur
preguntaron	They asked
ſi	Yes
punto	spot
cumplir	achieve
utensilios	utensils
órdenes	orders
siguió	followed
sentido	sense
reunión	meeting
tomar	take
recibido	received
pondré	I will put
estamos	we are
vaya	Oh
hiciste	you did
rico	rich
copa	cup
Líbano	Lebanon
Jericó	Jericho
ruinas	ruins
israelita	Israelite
final	end
mandamiento	commandment
cabo	cape
recibir	receive
refiere	refers
necio	foolish
iban	were going
reposo	repose
estuvo	was
alabanza	praise
Herodes	Herod
gritos	shouting
tercer	third
pone	puts
haz	beam
amado	beloved
primeros	first
maestros	teachers
historia	history
sabes	You know
viva	Viva
amigo	friend
regresó	return
dejar	leave
altares	altars
vacas	cattle
testigos	witnesses
muro	wall
extranjero	foreign
esclavo	slave
hacerlo	do it
engendró	begot
Joás	Joash
cordero	lamb
siendo	being
gozo	joy
violencia	violence
respuesta	answer
quiso	wanted
ofrecer	offer
cometido	task
rebaño	herd
escogido	selected
cuernos	horns
abundancia	abundance
hierba	grass
amorreos	Amorites
columnas	columns
becerro	calf
bueyes	oxen
llevado	carried away
tengas	you have
fueran	were
hablaba	I was speaking
falsos	false
destruir	destroy
alimento	food
escucha	listen
doy	give
maldición	curse
primogénito	firstborn
menor	minor
ocho	eight
toma	take
juntos	together
planes	plans
acercó	approached
ramas	branches
enfermo	sick
lleva	carry
pozo	well
llamar	call
suerte	luck
vara	stick
dirá	will say
prometido	fiance
Zacarías	Zechariah
busca	seeks
congregación	congregation
Labán	Laban
codos	elbows
príncipe	prince
Am	A.M
tuyo	yours
miel	Honey
ejemplo	example
tablas	tables
segunda	second
sois	you are
deja	leaves
pastores	shepherds
secreto	secret
ropas	clothes
frontera	border
edad	age
bienes	estate
hayan	have
Gedeón	Gideon
roca	rock
aparece	appears
instrucciones	instructions
inocente	innocent
altos	highs
encontró	found
oyeron	they heard
brazos	arms
viuda	widow
sombra	shade
haces	you do
dan	give
afirma	affirms
pasa	happens
meses	months
tercera	third
recibe	receives
antiguos	ancient
ido	gone
 Co	 Co
dejaron	They left
carneros	rams
pedazos	pieces
verdadero	TRUE
Sedequías	Zedekiah
manto	mantle
eterno	eternal
expiación	atonement
dueño	owner
oráculo	oracle
salvo	except
creyentes	believers
principal	major
vivía	I lived
sed	thirst
Noé	Noah
echó	threw
conocido	acquaintance
paganos	pagans
firme	firm
desgracia	misfortune
creen	They believe
vuelve	comes back
tomado	taken
estrellas	stars
tuvieron	They had
adelante	forward
consagrado	consecrated
calles	streets
Basán	Bashan
servir	serve
apareció	appeared
viaje	journey
hagas	you do
vivió	lived
recibió	received
come	eat
grano	grain
principales	main
grupo	cluster
ríos	rivers
acamparon	they camped
mala	bad
lanza	lance
trompeta	trumpet
destruido	destroyed
presentó	presented
mira	look
luna	moon
paso	passed
terreno	land
vuelto	turned
nubes	clouds
enseñanza	teaching
cama	bed
vientre	belly
patio	yard
hablando	talking
detrás	behind
llega	arrives
testigo	witness
comerán	will eat
morada	dwelling
cuyo	whose
vendrán	They will come
salido	left
reinos	kingdoms
jueces	judges
quería	wanted to
esposo	husband
aseguro	I assure
orgullo	pride
Mardoqueo	Mordecai
ambos	both
grasa	fat
buscan	They are looking for
murieron	They died
buscar	look for
propiedad	property
culpable	guilty
conoce	knows
trescientos	three hundred
morirán	will die
demonios	demons
tendrás	you will have
objetos	objects
salvar	save
Sadoc	Zadok
Simeón	Simeon
orilla	bank
entender	understand
caldeos	Chaldeans
carro	car
servidores	servers
llenos	full
fieles	faithful
Sodoma	Sodom
llamada	call
universo	universe
tocó	touched
griego	Greek
dirán	They will say
subir	increase
quieres	want
cabezas	heads
cedro	cedar
sabemos	We know
míos	mine
diga	say
defecto	flaw
abajo	below
humanos	humans
honra	honor
buenos	good
santa	saint
estando	being
antiguo	ancient
Ismael	Ishmael
descanso	rest
mejores	best
ojo	eye
mente	mind
ſerá	will be
viña	vineyard
arroyo	stream
mentira	lie
fuente	fountain
brazo	arm
comenzaron	They started
realidad	reality
dia	day
maravillas	wonders
cananeos	Canaanites
 Cr	 Cr
especial	special
ciego	blind
acaso	perhaps
cuello	neck
armas	arms
qual	which
carga	burden
tropas	troops
perdón	sorry
provincia	province
descendiente	descendant
caballo	horse
flor	flower
gentiles	Gentiles
encuentra	finds
entendimiento	understanding
completamente	completely
ahí	there
Azarías	Azariah
suyo	his
tomará	will take
traído	brought
trompetas	trumpets
relaciones	relations
elegido	elected
tesoros	treasures
daba	gave
alta	high
corona	crown
siguieron	followed
regresaron	They returned
Abrahán	Abraham
vienen	They come
quitó	removed
Sinaí	Sinai
Satanás	Satan
seas	you are
promesas	promises
cuatrocientos	four hundred
izquierda	left
generaciones	generations
arco	bow
adorar	worship
leche	milk
asamblea	assembly
limpio	clean
Neftalí	Naphtali
oeste	west
fidelidad	fidelity
banquete	feast
resurrección	Resurrection
llevará	will carry
probablemente	probably
podemos	can
pecadores	sinners
quede	I stayed
trabajar	work
motivo	reason
muera	die
abrió	opened
sale	comes out
puedes	can
hirió	hurt
cuya	whose
buey	ox
extremo	extreme
seiscientos	six hundred
sentó	sat
encontraron	They found
Zabulón	Zebulun
media	average
oscuro	dark
maestro	teacher
escuchar	hear
sigue	go on
reunió	gathered
bestias	beasts
unas	nails
necesario	necessary
purificación	purification
traer	bring
criados	servants
pidió	asked
uvas	grapes
nueve	nine
funcionarios	officials
podían	could
monedas	coins
pecar	sin
llevaba	was wearing
judío	Jew
seguro	sure
preparado	prepared
caerán	will fall
aparte	apart
ocasión	chance
siclos	shekels
bestia	beast
contó	told
incluso	even
entraron	They entered
filo	edge
ciertamente	certainly
bendijo	blessed
vamos	come on
púrpura	purple
fama	fame
decirle	tell him
querubines	cherubs
enel	in it
haſta	until
profundo	deep
semilla	seed
enseñanzas	teachings
afirmo	I affirm
gentes	people
camellos	camels
objeto	object
velo	veil
asno	ass
Éufrates	Euphrates
Raquel	Rachel
mando	command
ciegos	blind
yugo	yoke
pudo	could
malas	bad
recto	straight
guerreros	warriors
grandeza	greatness
Amasías	Amaziah
oye	hey
quedar	meet
impíos	wicked
Aser	Asher
vivirá	will live
vayan	go
dirás	you will say
compañeros	companions
vestiduras	vestments
suyos	his
barro	mud
pudieron	They were able to
estatutos	statutes
trampa	trap
sinagoga	synagogue
cree	believe
rebaños	flocks
plaga	plague
asunto	affair
deseos	wishes
medida	extent
combate	combat
caſa	house
anda	go on
Acab	Finish
sirve	serves
comieron	They ate
aflicción	affliction
oriental	eastern
tristeza	sadness
muchacho	young guy
dices	you say
reunieron	gathered
obedecer	obey
contestaron	They answered
altura	height
adonde	where to
guarda	guard
deseo	desire
relato	story
dejaré	I will leave
mediante	through
diste	you gave
pagar	pay
sufrir	suffer
contar	count
cumplido	compliment
seguía	followed
censo	census
podrás	you will be able to
enfermedad	disease
decretos	decrees
cantidad	amount
ochenta	eighty
dominio	domain
quedan	remain
juez	judge
costumbre	habit
acercaron	They approached
llevaban	were carrying
habría	there would be
lepra	leprosy
quiera	want
pensamientos	thoughts
diablo	devil
construir	build
poderosos	powerful
levantaron	they raised
cayeron	fell
aman	love
miembros	members
alimentos	food
vean	see
efod	ephod
botín	swag
colinas	hills
echaron	they threw
gobernantes	rulers
terminó	term
macho	male
cruz	cross
temático	thematic
verlo	see it
caerá	will fall
anſi	so on
Ocozías	Ochozias
hallado	found
inteligencia	intelligence
seguida	followed
darle	give it to
porción	portion
pelear	fight
lago	lake
consigo	with him
vale	Okay
milagros	miracles
sabrán	They will know
sitio	place
seguidores	followers
andar	walk
volveré	I will return
murallas	walls
cautivos	captives
tela	fabric
siguientes	following
siguen	follow
Micaías	Micaiah
barca	boat
conocen	They know
paciencia	patience
sexuales	sexual
peso	weight
oficial	official
extendió	extended
hacían	They did
nacido	born
sabía	knew
juro	I swear
abandonado	abandoned
tambien	also
enviaron	They sent
leones	lions
venía	permission
Abimélec	Abimelech
ruina	ruin
sirios	Syrians
capitán	captain
apartado	paragraph
mapas	maps
construyó	built
leña	firewood
respeto	I respect
maldades	evil deeds
flechas	arrows
sagrado	sacred
loque	which
anunciado	announced
vengan	come
algunas	some
silencio	silence
efecto	effect
Natán	Nathan
veinticinco	twenty-five
rectitud	rectitude
vivan	long live
viejo	old
dejes	leave
catorce	fourteen
horno	oven
fui	I went
don	gift
diles	tell them
Balac	Balak
debía	should
asnos	donkeys
Sidón	Sidon
viendo	seeing
humana	human
lados	sides
mentiras	lies
cueva	cave
respecto	regard
vivos	alive
aconteció	It happened
hermosa	beautiful
fino	fine
eſta	this
espíritus	spirits
memoria	memory
ſon	are
pensar	think
capitanes	captains
tiendas	stores
ofreció	offered
habiendo	having
antiguas	ancient
salud	health
declara	declares
sal	salt
noticias	news
é	and
viudas	widows
gritó	shout
tocar	tap
Isacar	Issachar
riqueza	wealth
líderes	leaders
significado	meaning
partir	leave
luto	mourning
bosque	forest
occidente	West
falso	fake
llenó	full
atacar	attack
caiga	fall
Bernabé	Barnabas
puedan	can
asimismo	in addition
orar	pray
trajo	brought
canto	singing
recompensa	reward
mensajero	messenger
pocos	few
agradable	pleasant
recibieron	received
toque	touch
pecho	chest
futuro	future
medidas	measures
Coré	Korah
vuelva	come back
llanura	plain
juzgar	judge
humo	smoke
obedecen	obey
Esdras	Ezra
tales	such
dispuesto	willing
nieto	grandson
dando	giving
cortina	curtain
eſte	this
apartó	set aside
sonido	sound
ánimo	cheer up
vid	vine
permanece	remains
hecha	made
oí	I heard
autoridades	authorities
Gabaón	Gibeon
serpiente	snake
vecinos	neighbors
ungido	anointed
pasaron	They passed
huyeron	They fled
conozco	know
escuchó	I'm listening
cuerpos	bodies
miró	looked
mediodía	noon
filisteo	philistine
cadáver	corpse
Roboam	Rehoboam
instante	instant
escribió	wrote
pared	wall
Elí	Eli
véanse	see
Jonás	Jonah
sana	fury
peligro	danger
espera	wait
escapar	escape
lenguas	languages
convertido	converted
sueños	dreams
presentes	presents
diziendo	saying
añadió	added
ponga	put
lista	list
queden	remain
impío	impious
creyeron	They believed
encontraba	I found
sagradas	sacred
precio	price
montañosa	mountainous
iglesias	churches
dientes	teeth
temas	topics
cortinas	curtains
rebeldes	rebels
marcha	march
toros	bullfighting
Madián	Midian
nuevas	new
cuentas	accounts
trajeron	They brought
grupos	groups
juventud	youth
destruyó	destroyed
quinto	fifth
pondrás	you will put
pasos	steps
Timoteo	Timothy
subieron	they went up
propias	own
mandatos	mandates
enviaré	I will send
cuál	which
pelo	hair
dejen	leave
tumba	grave
seca	dry
hablan	They speak
fiestas	parties
Semaías	Shemaiah
sentencia	judgment
digno	worthy
digan	say
becerros	calves
anuncia	announces
vano	vain
debido	due
presentaron	presented
Asaf	Asaph
firmes	firm
cimientos	foundations
borde	edge
cadáveres	corpses
Guibeá	Gibeah
decidido	decided
cap	chap
enfermos	sick
mandato	mandate
huir	flee
ricos	rich
costa	coast
olor	smell
adulterio	adultery
Saulo	Saul
presa	prey
pertenece	belongs
cebada	barley
cubierta	deck
época	time
sacar	take out
cofre	chest
muros	walls
querido	darling
corresponde	corresponds
cuchillo	knife
esposas	handcuffs
muere	dies
regresar	go back
tanta	so much
quinientos	five hundred
oraciones	prayers
destruiré	I will destroy
impuestos	taxes
darles	give them
ay	Oh
vuelta	lap
santuarios	sanctuaries
escuchado	heard
viñas	Vineyards
regreso	return
Moyſen	Moses
sucederá	will happen
perdido	lost
llamas	flames
corazones	hearts
cadenas	chains
llorar	cry
comandante	commander
debemos	must
visiones	visions
rodillas	knees
higuera	fig tree
condenado	condemned
supo	knew
pondrán	will put
juró	swore
nació	was born
moradores	residents
tercero	third
rebelde	rebel
puestos	positions
huyó	fled
destierro	exile
debes	you must
ataque	stroke
salía	I was leaving
diestra	right-handed
comerá	will eat
conciencia	awareness
siglos	ages
pariente	relative
ministerio	ministry
iré	I will go
escudos	shields
dias	days
destruirá	will destroy
anciano	old man
sucedido	happened
Urías	Uriah
quitado	taken
escondido	hidden
familiares	relatives
fuere	was
darán	will give
seguido	continued
parábola	parable
cõ	co
contaron	They counted
cantores	singers
Ramá	Branch
red	grid
partió	left
paja	straw
torre	tower
trae	brings
rollo	roll
piensan	They think
pide	ask
nacimiento	birth
duelo	duel
estuvieron	were
cereales	cereals
blanco	white
salvajes	savages
referencia	reference
alusión	allusion
impuros	impure
cartas	cards
escudo	shield
quemó	burned
cae	falls
entrado	entered
peor	worse
echado	lying
Jeroboán	Jeroboam
quince	fifteen
quando	when
mayores	older
prostituta	prostitute
abominaciones	abominations
lágrimas	tears
duda	doubt
servidor	server
matado	killed
litros	liters
instrumentos	tools
quisieron	They wanted
enojó	anger
divina	divine
pregunta	ask
contados	counted
sufrimiento	suffering
preciosas	beautiful
peces	fish
dile	tell him
castigaré	I will punish
ten	have
columna	column
abierto	open
oyen	They hear
destruidos	destroyed
voces	voices
llanto	crying
celebrar	celebrate
derechos	rights
tenéis	you have
frase	phrase
anunciar	announce
palacios	palaces
cumplió	fulfilled
puse	I put
enseñar	teach
bajó	low
coſas	things
rocío	dew
vivientes	living
aquello	that
veintidós	twenty two
hebreos	Hebrews
cosechas	harvests
saqué	I took out
porteros	goalkeepers
necesidad	need
aliento	breath
profecía	prophecy
espigas	spikes
campaña	Campaign
ayuno	fast
ruedas	wheels
suya	his
prometió	promised
dió	gave
oveja	sheep
encontrado	found
encargado	in charge
buscando	searching
teniendo	having
venganza	revenge
tesoro	treasure
escritos	writings
barco	ship
debían	They should
antepasado	ancestor
viviendo	living
parecía	It seemed
acompañado	accompanied
pasaba	I was passing by
espalda	back
varas	rods
engaño	deception
vuelvan	come back
burla	derision
vea	see
viviente	living
preso	prisoner
mismas	same
gobernadores	governors
llevan	they carry
doble	double
presentar	introduce
preceptos	precepts
postes	posts
esclava	slave
levanta	lifts up
exclamó	he exclaimed
Quiriat	Kiriath
Zorobabel	Zerubbabel
Chriſto	Christo
venida	coming
salvará	will save
llegará	will arrive
destruida	destroyed
demasiado	too much
presenta	presents
pongan	put
diera	gave
andan	They walk
vivirán	will live
impura	impure
mirando	looking
matarlo	kill him
compañero	buddy
hayas	beech
cumple	fulfills
provincias	provinces
ofrecieron	They offered
importantes	important
bendiciones	blessings
ayudar	help
tantos	so many
fuiste	you were
eſtá	is
confían	they trust
Ciro	Cyrus
propósito	purpose
entra	come in
raíz	root
par	pair
ganados	won
necios	fools
jardín	garden
tuve	I had
pertenecen	belong
permitió	allowed
pensando	thinking
glorioso	glorious
quemar	burn
sacaron	They took out
inmundo	unclean
especialmente	especially
construido	built
comprar	buy
capaz	able
sierva	servant
dolores	pains
tributo	tribute
trabajos	jobs
seréis	you will be
salga	come out
prisioneros	prisoners
casi	almost
llamados	called
hablaron	They spoke
tema	issue
Benaías	Benaiah
santidad	holiness
discípulo	disciple
muger	woman
creer	believe
arena	sand
enteró	whole
dedo	finger
seguridad	security
edificó	built
suficiente	enough
reconocerán	will recognize
agrada	pleases
sello	seal
figura	figure
ídolo	idol
sepan	know
entrará	will enter
prisa	hurry
piedad	piety
esplendor	splendor
cólera	anger
majestad	majesty
sexto	sixth
referirse	refer
aspecto	aspect
sabéis	you know
ofrecerá	will offer
varios	several
podido	could
granizo	hail
cabrío	goat
Jefté	Jephthah
exterior	abroad
realmente	really
naturaleza	nature
muestra	sample
anochecer	dusk
setecientos	seven hundred
pido	I ask
oró	gold
noſotros	us
viñedos	vineyards
toro	bull
feliz	happy
coman	eat
afuera	outside
juntamente	together
levantará	will raise
entero	whole
descendió	descended
confiado	confident
octavo	eighth
uso	use
Abiatar	Abiathar
sirven	serve
resucitó	resurrected
Oseas	Hosea
entrañas	bowels
medía	average
coraçon	heart
Booz	Boaz
puesta	putting
llevados	taken away
estáis	you are
casarse	marry
salva	save
enojado	angry
sepa	know
décima	tenth
derramó	spilled
corriendo	in a hurry
perfecto	perfect
eſto	this
especie	species
cuerno	horn
candelabro	candelabra
humildes	humble
habitan	inhabit
Guilgal	Gilgal
verdadera	true
Nínive	Nineveh
Ieruſalem	Jerusalem
adoraron	They worshipped
sepultado	buried
pura	pure
prosperidad	prosperity
moabitas	Moabites
tendré	I will have
jinetes	riders
entregaré	I will deliver
Hesbón	Heshbon
coro	choir
problemas	issues
mancha	stain
edificio	building
reconciliación	reconciliation
levantado	up
hablo	speak
dinastía	dynasty
comen	eat
Antioquía	Antioch
atacó	attacked
numerosos	numerous
mostró	showed
Joaquín	Joaquin
enterraron	they buried
Johanán	Johanan
salario	salary
libres	free
calor	heat
novillo	steer
inclinó	tilted
comió	ate
hiciera	did
fieras	beasts
digas	you say
Amnón	Amnon
levita	Levitate
quedarse	stay
enfermedades	diseases
comido	eaten
triste	sad
suceder	happen
ceniza	ash
anuncio	advertisement
Darío	Dario
pedir	ask
gobernante	ruler
escuchen	listen
Nilo	Nile
valiente	brave
pasaje	passage
territorios	territories
pase	happens
dada	Dadaist
calamidad	calamity
quemada	burned
paraque	so that
traeré	I will bring
fortificadas	fortified
convirtió	became
resucitado	resurrected
mostrado	shown
encontrar	find
situada	located
montón	lot
manda	send
