্নানি	Grandma	naani
হোদশের	Hodsher	hodsher
হোদশি	Hodashi	heaadshi
হোদশ	Hodash	heaadsh
হোদভিয়ের	Hodviere	heaadbhiyyer
হোদভিয়	Hodaviya	heaadbhiyy
হোদবিয়ের	Hodavier	heaadbiyyer
হোদবিয়াহ্	Hodaviah	heaadbiyyaah
হোদবিয়র	Hodavior	heaadbiyyr
হোদবিয়	Hodaviya	heaadbiyy
হোদদিয়	Hoddia	heaaddiyy
হোদ	Hod	heaad
হোথীর	Hothir	heaathiir
হোথামের	Hotham's	heaathaamer
হোথমের	Hotham's	heaathmer
হোথম।	Hotham.	hothm / 
হোথম	Hotham	heaathm
হোতা	Host	heaataa
হোটেলের	Hotel	hotteler
হোটেলে	At the hotel	hottele
হোচ্ছ	Dirty	hocch
হোঁচট্‌	Stumble	heaaNctt
হোঁচটও	Stumble	hoNctto
হোঁচট	Stumble	heaaNctt
হোক্	Let it be	heaak
হোকইসরায়েলের	Let Israel	heaakisraayyeler
হোক৷	Let it be.	hok4/
হোক।যিনি	Whoever.	hok / yini
হোক।	Let it be.	heaak / 
হোক	Let	heaak
হৈরোণ	Hairon	haireaann
হৈচৈ	Noise	haicai
হৈ	Hey	hai
হেসো	Heso	heseaa
হেসেছিলে।	You laughed.	hesechile / 
হেসেছ	You laughed.	hesech
হেসে	Laughing	hese
হেসদ।	Hesed.	hesd / 
হেষ্‌রো	Hesro	hessreaa
হেষ্রাশব্দে	In the word "heshrasabde"	hessraashbde
হেষ্রা	Hesra	hessraa
হেষীরের	Hesir's	hessiirer
হেষীর	Hesher	hessiir
হেষদ।	Heshad.	hessd / 
হেষদ	Heshad	hessd
হেশবোনের	Heshbon	heshbeaaner
হেল্‌বা	Helba	helbaa
হেলোনের	Helon's	heleaaner
হেলেস	Helles	heles
হেলেমের	Helmer	helemer
হেলেম	Helm	helem
হেলেফ	Helef	heleph
হেলেদুলে	In the morning	heledule
হেলেকের	Helek's	heleker
হেলেক	Halek	helek
হেলে	Hele	hele
হেলিয়ার	Hellyer	heliyyaar
হেলিয়া	Helia	heliyyaa
হেলিওপোলিস।	Heliopolis.	heliopeaalis / 
হেলিওপোলিস	Heliopolis	heliopeaalis
হেলিওপলিস	Heliopolis	helioplis
হেলায়	In the rain	helaayy
হেলান	Lean	helaan
হেলাতে	To lean	helaate
হেলাইতে	In the sky	helaaite
হেলা	Hella	helaa
হেলহ্‌	Hello	helh
হেলহে	Hello	helhe
হেলহ	Hell	helh
হেলসের	Hell's	helser
হেলস।	Hells.	hels / 
হেলস	Hells	hels
হেলমের	Helm's	helmer
হেলমে।	At the helm.	helme / 
হেলমে	At the helm	helme
হেলবোনের	Hellbone	helbeaaner
হেলব	Helb	helb
হেলফ	Help	helph
হেলনে	Helen	helne
হেলন।	Helen.	heln / 
হেলদায়	In health	heldaayy
হেলদ	Health	held
হেলকের	Hell's	helker
হেলকীয়	Helkaian	helkiiy'
হেলক	Hell	helk
হের্মেস।	Hermes.	hermes / 
হের্মেস	Hermes	hermes
হের্মাস্‌	Hermes	hermaas
হের্মস	Hermes	herms
হেরোনিয়ম	Hieronymus	hereaaniyym
হেরোদের	Herod's	hereaader
হেরোদীয়দের	Herodians	hereaadiiyyder
হেরোদীয়কে	Herodian	hereaadiiyyke
হেরোদীয়	Herodian	hereaadiiyy
হেরোদিয়োনকে	To Herodion	hereaadiyyeaanke
হেরোদিয়োন	Herodion	herodiyyon
হেরোদিয়ার	Herodias	hereaadiyyaar
হেরোদিয়ানকে	To Herodian	hereaadiyyaanke
হেরোদিয়াকে	To Herodias	herodiy'aake
হেরোদিয়া	Herodias	hereaadiyyaa
হেরোদপন্থীদের	Herodians	hereaadpnthiider
হেরোদপন্থী	Herodian	hereaadpnthii
হেরোদকে	To Herod	hereaadke
হেরোদও	Herod too	hereaado
হেরোদ।	Herod.	herod / 
হেরোদ	Herod	hereaad
হেরেসের	Here's	hereser
হেরেসে	In here	herese
হেরেস	Heres	heres
হেরেৎ	Heret	here
হেরে	Loser	here
হেরাদের	Herod's	heraader
হেরসের	Heres	herser
হেরসে	Heresey	herse
হেরস	Heres	hers
হেরশ	Hersh	hersh
হেরথ	Hearth	herth
হেরৎ	Herat	her
হেরত	Herat	hert
হেঁয়ালীর	Henna	heNyyaaliir
হেঁয়ালির	Henna	heNy'aalir
হেঁয়ালিতে	In a dream	heNyyaalite
হেঁয়ালি।	Riddle.	heNyyaali / 
হেঁয়ালি	Riddle	heNyyaali
হেয়জ্ঞান	Depravity	heyyjnyaan
হেয়।	Hey.	heyy / 
হেয়	Disgraceful	hey'
হেমাম।	Hemam.	hemaam / 
হেমানের	Heman	hemaaner
হেমান	Heman	hemaan
হেমম।	Hmm.	hemm / 
হেমম	Hmmm	hemm
হেমবলিরূপে	As a sacrifice	hembliruupe
হেমন্তকালের	Winter	hemntkaaler
হেমন্তকাল	Winter	hemntkaal
হেমন্ত	Hemant	hemnt
হেমনের	Heman	hemner
হেমনকে	To Heman	hemnke
হেমন।	Heman.	hemn / 
হেমন	Heman	hemn
হেমদান	Hemdan	hemdaan
হেমকান্ত	Hemkanth	hemkaant
হেম	Hem	hem
হেবের	Heber	heber
হেবলের	Abel's	hebler
হেবলকে	To Abel	heblke
হেবলও	Abel too	heblo
হেবল	Abel	hebl
হেবরের	Heber	hebrer
হেবরীয়	Hebrew	hebriiy'
হেবরনের	Hebron	hebrner
হেবরনে।	In Hebron.	hebrne / 
হেবরনে	In Hebron	hebrne
হেবরনীয়দের	The Hebronites	hebrniiyyder
হেবরনীয়	Hebronite	hebrniiyy
হেবরনস্থ	In Hebron	hebrnsth
হেবরনকে	To Hebron	hebrnke
হেবরন।	Hebron.	hebrn / 
হেবরন	Hebron	hebrn
হেবরকে	To Heber	hebrke
হেবর	Heber	hebr
হেব।	Heb.	heb / 
হেফ্‌সিবা।	Hephzibah.	hephsibaa / 
হেফেরের	Hefer's	hepherer
হেফের	Hefer	hepher
হেফরের	Hepher's	hephrer
হেফরীয়	Hephri	hephriiy'
হেফরকে	Heferke	hephrke
হেফর	Heifer	hephr
হেনেন	Hennen	henen
হেনেছিল	He was angry.	henechil
হেনেছ	Hennessy	henech
হেনে	Henne	hene
হেনার	Henner	henaar
হেনাপুষ্পের	Henna flower	henaapussper
হেনাদনের	Henadon's	henaadner
হেনাদদের	Henads	henaadder
হেনাদদ	Henadad	henaadd
হেনা	Henna	henaa
হেনস্তা	Harassment	henstaa
হেনকে	Henke	henke
হেদায়েতকারীর	The guide	hedaayyetkaariir
হেদায়েতকারী	Guide	hedaayyetkaarii
হেদশকে	To the head	hedshke
হেৎলোন	Hetlon	heleaan
হেৎ।	Het.	he / 
হেৎ	Het	he
হেতের	Heter	heter
হেতুবাদে	Reasonably	hetubaade
হেতুবাদ	Causation	hetubaad
হেতুই	Because of	hetui
হেতু।	Because.	hetu / 
হেতু	Because	hetu
হেতীয়	Hittite	hetiiy'
হেঁটো	Walk	heNtto
হেঁটেছেন।	Walked.	heNttechen / 
হেঁটেছে।	Walked.	heNtteche / 
হেঁটেছে	Walked	heNtteche
হেঁটেছ	Walked.	heNttech
হেঁটেও	Even on foot	heNtteo
হেঁটে	Walking	heNtte
হেটে	On foot	hette
হেঁট	Walk	heNtt
হেঁচে	Hench	heNce
হেঁচকা	Jerk	heNckaa
হেগয়ের	Hegai	hegy'er
হেগয়	Hegai	hegy'
হেআম	Hey,	heaam
হে।	Hey.	he / 
হে	Hey	he
হৃষ্টমন	Happy-go-lucky	hRssttmn
হৃষ্টপুষ্টদেরকে	To the healthy and strong	hRssttpussttderke
হৃষ্টপুষ্টগণকে	To the healthy and the fit.	hRssttpussttgnnke
হৃষ্টপুষ্ট।	Healthy and strong.	hRssttpusstt / 
হৃষ্টপুষ্ট	Healthy	hRssttpusstt
হৃষ্টচিত্তে	With joy	hRssttcitte
হৃষ্টচিত্ত	Cheerful	hRssttcitt
হৃষ্ট	Harsh	hRsstt
হৃদ্‌কম্প	Heart palpitations	hRdkmp
হৃদিস্থিত	Heartbroken	hRdisthit
হৃদরোগে	Heart disease	hRdreaage
হৃদয়ের	Of the heart	hRdy'er
হৃদয়েও	In the heart too	hRdyyeo
হৃদয়ে।	In the heart.	hRdyye / 
হৃদয়ে	In the heart	hRdy'e
হৃদয়ানুসারে	According to the heart	hRdyyaanusaare
হৃদয়াকাশে	In the sky of the heart	hRdyyaakaashe
হৃদয়হীন	Heartless	hRdyyhiin
হৃদয়সমূহের	Of hearts	hRdyysmuuher
হৃদয়রূপ	Heart-shaped	hRdyyruup
হৃদয়মধ্যে	In the heart	hRdyymdhye
হৃদয়বিশিষ্ট	Hearty	hRdyybishisstt
হৃদয়ফলকে।	On the heart.	hRdyyphlke / 
হৃদয়ফলকে	On the heart	hRdyyphlke
হৃদয়প্রোক্ষণ	Heartfelt	hRdyypreaakssnn
হৃদয়পটে।	In the heart.	hRdyyptte / 
হৃদয়দের	Hearts	hRdy'der
হৃদয়টাই	The heart itself	hRdy'ttaai
হৃদয়ঙ্গম	Heartfelt	hRdyynggm
হৃদয়গুলো	The hearts	hRdyygulo
হৃদয়খানি	Heart	hRdyykhaani
হৃদয়কেও	To the heart too	hRdyykeo
হৃদয়কে	To the heart	hRdy'ke
হৃদয়ও	The heart too	hRdy'o
হৃদয়।	Heart.	hRdy' / 
হৃদয়	Heart	hRdy'
হৃদপিণ্ডে	In the heart	hRdpinndde
হৃৎপিণ্ডে	In the heart	hRpinndde
হৃৎপিণ্ড	Heart	hRpinndd
হৃৎপদ্ম	Heart lotus	hRpdm
হৃৎকম্প।	Heart palpitations.	hRkmp / 
হৃৎকম্প	Heart palpitations	hRkmp
হৃতসর্ব্বস্ব	Heartfelt	hRtsrbbsb
হৃতসর্বস্ব	Heartfelt	hRtsrbsb
হৃতবস্ত্র	Heart cloth	hRtbstr
হৃতবস্তু	Heart material	hRtbstu
হৃতবৎসা	Heartbeat	hRtbsaa
হৃতধন	Heart's treasure	hRtdhn
হৃতগৌরব	Heart-felt pride	hRtgaurb
হৃত	Stolen	hRt
হূহূ	Huhu	huuhuu
হূশের	Husher	huusher
হূশীমের	Hushim's	huushiimer
হূশীম।	Hushim.	huushiim / 
হূশীম	Hushim	huushiim
হূশাতীয়	Hushaitian	huushaatiiy'
হূশয়ের	Hushai	huushy'er
হূশয়কেও	Hushai too	huushyykeo
হূশয়কে	To Hushai	huushy'ke
হূশয়	Hushai	huushy'
হূশমের	Husham's	huushmer
হূশম	Husham	huushm
হূশ।	Hush.	huush / 
হূল	Hole	huul
হূরের	Hur's	huurer
হূরির	Houri's	huurir
হূরি	Houri	huuri
হূরয়	Hurray!	huury'
হূরমের	Hurem	huurmer
হূরম।	Hurum.	huurm / 
হূরম	Hurum	huurm
হূরকে	Hurke	huurke
হূর।	Hurrah.	huur / 
হূর	Hur	huur
হূফমীয়	Huphamian	huuphmiiy'
হূফম	Huffam	huuphm
হূড়কা	Hookah	huurrkaa
হূঙ্কার	Shout	huungkaar
হূক্কোক	Hookah	huukkok
হূকোক	Hookah	huukeaak
হূকের	Hook's	huuker
হূকে	Hook	huuke
হূকগুলির	Hooks	huukgulir
হূক	Hook	huuk
হুুকুম	Decree	huukum
হুহু	Huhu	huhu
হুষোৎ	Hushot	husseaa
হুষোতে	In a hurry	hussote
হুষিম।	Hushim.	hussim / 
হুশীম।	Hushim.	hushiim / 
হুঁশিয়ার	Be careful.	huNshiyyaar
হুশিমের	Hushim's	hushimer
হুশিম।	Hushim.	hushim / 
হুশিম	Hushim	hushim
হুশাহ্	Husah	hushaah
হুশামের	Husham's	hushaamer
হুশাম	Husham	hushaam
হুশাতীয়	Hushaitian	hushaatiiy'
হুশা	Husha	hushaa
হুশয়ের	Hushai	hushyyer
হুশয়কেও	Hushai too	hushyykeo
হুশয়কে	To Hushai	hushy'ke
হুশয়	Hushai	hushyy
হুশমের	Hushamer	hushmer
হুশম	Husham	hushm
হুশব্‌ন	Hushabnon	hushbn
হুল্লোড়ে	In a hurry	hullorre
হুল্লোড়কারীরা	The troublemakers	hullorrkaariiraa
হুল্লোড়কারীদের	The troublemakers	hullorrkaariider
হুল্লোড়	Hullor	hullodd'
হুল্‌দার	Huldar	huldaar
হুল্‌দাকে	To Huldah	huldaake
হুল্‌দা	Huldah	huldaa
হুলের	Hull	huler
হুলুস্থূল	Fat	hulusthuul
হুলস্বরূপ	Like a flash	hulsbruup
হুলস্থূল	Huge	hulsthuul
হুলস	Hulls	huls
হুলদার	Huldar	huldaar
হুলদা	Huldah	huldaa
হুল	Hull	hul
হুরের	Hooray!	hurer
হুরির	Houri	hurir
হুরয়	Hooray!	huryy
হুরমকে	Hurmake	hurmke
হুরম।	Hurm.	hurm / 
হুর।	Hurray.	hur / 
হুর	Hurray!	hur
হুম্‌কি	Threat	humki
হুমেনিয়াস	Humenius	humeniyyaas
হুমিনায়	In Humina	huminaay'
হুমড়ি	Humri	humrri
হুমটা	Humta	humttaa
হুমকি	Threat	humki
হুবহু	Exactly.	hubhu
হুফম	Hmph.	huphm
হুপ্লিম	Hoplim	huplim
হুপ্পের	Hooper	hupper
হুপ্পু	Hoopoe	huppu
হুপ্পীম	Huppim	huppiim
হুপ্পিমও	Huppim too	huppimo
হুপ্পিম	Huppim	huppim
হুপপীম	Huppim	huppiim
হুতুম	Hutum	hutum
হুতাশ	Hutash	hutaash
হুণ্ডিকা	Hundika	hunnddikaa
হুড়কো	Hurco	hudd'ko
হুড়কার	Hudkar	hurrkaar
হুড়কাটা	Rush	hurrkaattaa
হুড়কাগুলোর	The hooks	hurrkaagulor
হুড়কাগুলোও	The hooks too	hurrkaaguloo
হুড়কাগুলো	The hooks	hurrkaagulo
হুড়কা।	Hurka.	hurrkaa / 
হুড়কা	Hook	hudd'kaa
হুজুরের।	Lord's.	hujurer / 
হুজুরের	Lord's	hujurer
হুজুরগণ	Gentlemen	hujurgnn
হুজুরকে	To the Lord	hujurke
হুজুর।	Sir.	hujur / 
হুজুর	Master	hujur
হুঙ্কারের	Shout	hungkaarer
হুঙ্কারে	With a roar	hungkaare
হুঙ্কারশব্দে	With a shout	hungkaarshbde
হুঙ্কার	Roar	hungkaar
হুক্কোকে	Hukkoke	hukkoke
হুক্কোক	Hookah	hukkeaak
হুকে	Hooke	huke
হুকুমের	Command	hukumer
হুকুমেই	By order	hukumei
হুকুমে	By order	hukume
হুকুমমতই	As ordered	hukummti
হুকুমমত	As ordered	hukummt
হুকুমপত্র	Decree	hukumptr
হুকুমনামায়	In the decree	hukumnaamaayy
হুকুমনামা	Decree	hukumnaamaa
হুকুমদাতা	Commander	hukumdaataa
হুকুমটি	The command	hukumtti
হুকুমটা	The command	hukumttaa
হুকুমগুলোর	The commandments	hukumgulor
হুকুমগুলোকে	The commandments	hukumguloke
হুকুমগুলোই	The commandments themselves	hukumguloi
হুকুমগুলো	The commandments	hukumgulo
হুকুমকে	The command	hukumke
হুকুমও	Commandment too	hukumo
হুকুমই	The command	hukumi
হুকুম।	Command.	hukum / 
হুকুম	Command	hukum
হুংকার	Shout	huNkaar
হুকসুদ্ধ	Hooked	huksuddh
হুকক্	Hookah	hukk
হুক	Hook	huk
হু	Who?	hu
হীরের	Diamond	hiirer
হীরে	In diamonds	hiire
হীরার	Diamond	hiiraar
হীরামের	Hiram	hiiraamer
হীরামকে	To Hiram	hiiraamke
হীরাম	Hiram	hiiraam
হীরা।	Diamond.	hiiraa / 
হীরা	Diamond	hiiraa
হীরমের	Hiram	hiirmer
হীরমকে	To Hiram	hiirmke
হীরম	Hiram	hiirm
হীরকের	Diamond	hiirker
হীরক	Diamond	hiirk
হীয়েলের	Hieler	hiiyyeler
হীয়েল	Hiel	hiiy'el
হীনাবস্থায়	In a state of despair	hiinaabsthaay'
হীনাবস্তায়	In ruins	hiinaabstaay'
হীনাঙ্গ	Limbless	hiinaangg
হীনসত্য	Falsehood	hiinsty
হীনবুদ্ধিরা	Fools	hiinbuddhiraa
হীনবুদ্ধির	Foolish	hiinbuddhir
হীনবুদ্ধিদের	Fools	hiinbuddhider
হীনবুদ্ধিতা	Idiocy	hiinbuddhitaa
হীনবুদ্ধিকে	To the fool	hiinbuddhike
হীনবুদ্ধি।	Stupidity.	hiinbuddhi / 
হীনবুদ্ধি	Idiot	hiinbuddhi
হীনবীর্য	Low sperm count	hiinbiiry
হীনবল।	Weakness.	hiinbl / 
হীনবল	Weakness	hiinbl
হীনপ্রতাপ	Infamy	hiinprtaap
হীনতার	Inferiority	hiintaar
হীনতম	The lowest	hiintm
হীন	Poor	hiin
হিস্‌হিস্‌	Hiss	hishis
হিস্রোনের	Hezron	hisroner
হিংস্রভাবে	Violently	hiNsrbhaabe
হিংস্রবাণ	Violent language	hiNsrbaann
হিংস্রপক্ষী	Bird of prey	hiNsrpkssii
হিংস্রতার	Of violence	hiNsrtaar
হিংস্রতায়	In violence	hiNsrtaay'
হিংস্রতা	Violence	hiNsrtaa
হিস্রণ	Hisran	hisrnn
হিংস্রক	Violent	hiNsrk
হিংস্র।	Violent.	hiNsr / 
হিংস্র	Violent	hiNsr
হিস্র	Hisar	hisr
হিস্যোপ	Calculation	hisyop
হিস্কীয়	Hezekiah	hiskiiy'
হিস্কিয়ের	Hezekiah	hiskiy'er
হিস্‌কিয়হ্	Hezekiah	hiskiyyh
হিস্কিয়	Hezekiah	hiskiy'
হিস্কি	Husky	hiski
হিসেবে	As	hisebe
হিসেব	Calculation	hiseb
হিংসেচ্ছা	Jealousy	hiNsecchaa
হিংসিত	Jealous	hiNsit
হিংসি	Jealousy	hiNsi
হিংসাহিংসি	Jealousy	hiNsaahiNsi
হিংসার্থী	Violent	hiNsaarthii
হিংসার	Of violence	hiNsaar
হিংসায়	In jealousy	hiNsaay'
হিংসাভাবে	Jealously	hiNsaabhaabe
হিংসাভাব	Jealousy	hiNsaabhaab
হিসাবের	Account	hisaaber
হিসাবেও	Also as	hisaabeo
হিসাবেই	As	hisaabei
হিসাবে।	As.	hisaabe / 
হিসাবে	As	hisaabe
হিংসাবশতঃ	Out of jealousy	hiNsaabshtH
হিসাবপত্র	Accounts	hisaabptr
হিসাব	Account	hisaab
হিংসাপূর্ণ	Jealous	hiNsaapuurnn
হিংসাপরায়ণ	Jealous	hiNsaapraayynn
হিংসাত্মক	Violent	hiNsaatmk
হিংসাতে	In jealousy	hiNsaate
হিংসাচেষ্টাকারীদের	Those who try to commit violence	hiNsaacessttaakaariider
হিংসা	Jealousy	hiNsaa
হিসহিস	Hiss	hishis
হিসবোনের	Heshbon	hisbeaaner
হিসবোনে	In Heshbon	hisbeaane
হিসবোন	Heshbon	hisbeaan
হিষ্রোনে	In Hezron	hissrone
হিষ্রোণের	Hisron	hissreaanner
হিষ্রোণে	In Hezron	hissreaanne
হিষ্রোণীয়	Hezronian	hissreaanniiyy
হিষ্রোণ	Hezron	hissreaann
হিষ্রো	Hisro	hissreaa
হিষ্রয়	Hisray	hissry'
হিষ্‌মোন	Hishmon	hissmeaan
হিষ্‌বোনের	Heshbon	hissbeaaner
হিষ্‌বোনে।	In Heshbon.	hissbeaane / 
হিষ্‌বোনে	In Heshbon	hissbeaane
হিষ্‌বোনবাসী	The inhabitants of Heshbon	hissbeaanbaasii
হিষ্বোন	Heshbon	hissbon
হিষ্‌বোণের	Heshbon	hissbeaanner
হিষ্‌বোণে	In Heshbon	hissbeaanne
হিষ্‌বোণ	Heshbon	hissbeaann
হিষ্‌বেণ	Calculation	hissbenn
হিষ্‌বনের	Hisban	hissbner
হিষ্কিয়ের	Hezekiah	hisskiy'er
হিষ্কিয়র	Hezekiah	hisskiyyr
হিষ্কিয়কে	Hezekiah	hisskiy'ke
হিষ্কিয়ই	Hezekiah	hisskiyyi
হিষ্কিয়	Hezekiah	hisskiy'
হিষ্কি	Hezekiah	hisski
হিষোণের	Hishon	hissonner
হিষোণ	Hison	hissonn
হিষিরোনের	Hezron	hissireaaner
হিষিয়োনের	Of Heshion	hissiyyoner
হিষিয়োণের	Hision	hissiy'onner
হিষরোণের	Of Hezron	hissreaanner
হিষরোণ	Hesron	hissreaann
হিষবোনের	Hishon	hissbeaaner
হিষবোনে	In Heshbon	hissbone
হিষবোন	Heshbon	hissbeaan
হিষবোণের	Hishon	hissbeaanner
হিষবোণ	Hishon	hissbeaann
হিশ্‌বোনের	Heshbon	hishbeaaner
হিশ্‌বোনে	In Heshbon	hishbeaane
হিশ্‌বোন	Heshbon	hishbeaan
হিশ্‌বনের	Heshbon	hishbner
হিশবোনের	Heshbon	hishbeaaner
হিশবোনে	In Heshbon	hishbone
হিশবোন	Heshbon	hishbeaan
হিশবনের	Heshbon	hishbner
হিল্লোলের	Hillol's	hilloler
হিল্লোলে।	In the hills.	hilleaale / 
হিল্লোল	Hillol	hilleaal
হিল্লোম	Hillom	hilleaam
হিল্লেলের	Hillel's	hilleler
হিল্‌বোনের	Hillborn	hilbeaaner
হিল্‌বানের	Hilban's	hilbaaner
হিল্‌দয়।	Hildai.	hildy' / 
হিল্‌দয়	Hildaiah	hildyy
হিল্কিয়ের	Hilkiah	hilkiy'er
হিল্কিয়র	Hilkiar	hilkiyyr
হিল্কিয়কে	Hilkiah	hilkiy'ke
হিল্কিয়	Hilkiah	hilkiy'
হিল্কয়	Hilkoy	hilky'
হিল্‌কৎ	Hilkat	hilk
হিলেন	Helen	hilen
হিলাহ্	Hillah	hilaah
হিলার	Healer	hilaar
হিলা	Hill	hilaa
হিলদয়	Hilday	hildy'
হিলকিয়ের	Hilkiar	hilkiyyer
হিলকিয়	Hilkiah	hilkiyy
হিলকাথ্	Hellcat	hilkaath
হিলকত্হত্সূরীম	Hilkath-hatzurim	hilkthtsuuriim
হিলকৎ	Hilkat	hilk
হিরোতের	Herod's	hireaater
হিরোতে	In Hero	hireaate
